player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Malik Hausman,55567,CB,HAWAII,9,0,0,180,64.3,1,1,7,2.9,0.0,0,2,14.3,0,243,7,2,0,69.8,1,1,2,3.0,0.0,0,50.0,0,67,2,2
Azizi Hearn,55569,CB,UCLA,8,0,1,324,60.3,0,2,11,5.2,18.2,2,3,9.1,0,248,13,2,0,59.7,0,0,1,1.6,0.0,0,0.0,0,62,1,0
Timarcus Davis,55574,CB,ARIZONA ST,6,0,0,110,56.2,0,0,1,1.6,0.0,0,4,0.0,0,127,2,0,0,,0,0,0,0.0,,0,,0,46,0,0
Wylan Free,55596,S,GA SOUTHRN,8,0,0,174,73.7,0,1,5,2.0,20.0,1,1,10.0,0,252,5,1,0,70.4,0,0,2,2.1,50.0,1,0.0,0,97,2,0
Anthony Johnson,55628,CB,VIRGINIA,8,0,1,335,56.2,0,0,4,1.3,0.0,0,5,0.0,0,312,4,0,0,59.9,0,0,1,0.6,0.0,0,0.0,0,156,1,0
Zack Sanders,55638,S,OHIO,7,0,0,259,70.1,0,1,9,4.3,11.1,1,2,16.7,1,253,11,2,0,55.6,0,0,3,3.5,0.0,0,0.0,0,113,4,0
Tre Shaw,55648,CB,W KENTUCKY,4,0,0,346,59.1,0,0,1,2.9,0.0,0,1,0.0,0,34,1,0,0,,0,0,0,0.0,,0,,0,7,0,0
Justin Broiles,55678,S,OKLAHOMA,8,1,0,261,70.9,0,0,9,5.1,11.1,1,1,0.0,0,195,10,0,0,56.6,0,0,2,3.4,0.0,0,0.0,0,59,2,0
Kordell Rodgers,55713,CB,TEXAS ST,8,0,0,314,79.3,0,1,2,0.8,100.0,2,0,25.0,0,259,2,1,0,81.5,0,0,1,1.3,200.0,2,0.0,0,78,1,0
Grayson Cash,55727,S,UAB,8,0,0,321,76.0,0,1,2,0.8,0.0,0,1,75.0,1,247,2,2,0,,0,0,0,0.0,,0,,0,44,0,0
Keyon Blankenbaker,55749,CB,TEXAS TECH,8,0,0,315,66.4,0,1,2,5.3,0.0,0,1,25.0,0,38,2,1,0,59.2,0,0,1,5.9,0.0,0,0.0,0,17,1,0
Jordyn Riley,55767,CB,LA MONROE,7,0,0,209,56.7,0,0,4,5.7,0.0,0,0,0.0,0,70,4,0,0,59.7,0,0,1,4.2,0.0,0,0.0,0,24,1,0
Steven Jones Jr.,55785,CB,APP STATE,9,0,1,108,60.0,0,0,1,0.3,0.0,0,4,0.0,0,293,1,0,0,,0,0,0,0.0,,0,,0,111,0,0
Jahmin Muse,55830,S,BUFFALO,9,1,0,126,79.6,1,1,15,4.8,20.0,3,0,20.0,2,310,15,4,0,69.3,0,1,6,5.1,33.3,2,25.0,1,118,6,2
Blake Bogan,55868,S,E MICHIGAN,4,0,0,160,60.0,0,0,1,1.0,0.0,0,0,0.0,0,105,1,0,0,,0,0,0,0.0,,0,,0,24,0,0
Cyrus Fagan,55895,S,NC STATE,8,0,0,248,59.2,0,1,1,0.4,100.0,1,0,50.0,0,239,1,1,0,,0,0,0,0.0,,0,,0,55,0,0
Latavious Brini,55915,S,ARKANSAS,8,0,0,111,68.4,0,4,16,6.4,25.0,4,4,12.5,0,264,17,4,0,61.7,0,1,7,8.4,14.3,1,7.1,0,95,8,1
Ameer Speed,55918,CB,MICH STATE,8,0,0,223,57.1,0,0,3,1.1,0.0,0,1,0.0,0,262,3,0,0,60.0,0,0,1,1.0,0.0,0,0.0,0,105,1,0
Devodric Bynum,55931,CB,UAB,8,0,0,321,59.9,0,1,1,0.5,0.0,0,2,50.0,0,183,1,1,0,,0,0,0,0.0,,0,,0,29,0,0
Bennett Williams,55954,CB,OREGON,8,0,0,264,81.6,0,1,11,3.5,18.2,2,1,13.6,1,317,11,2,0,64.0,0,1,3,2.9,33.3,1,16.7,0,103,3,1
Bryant Fitzgerald,55961,S,INDIANA,8,0,0,190,66.0,0,1,9,3.9,22.2,2,1,27.8,2,255,10,3,0,55.9,0,0,6,6.7,16.7,1,16.7,1,89,6,1
Camron Harrell,55965,CB,SO MISS,8,0,0,296,60.2,1,2,23,15.3,4.3,1,1,6.5,0,157,24,3,0,51.9,0,0,7,12.3,0.0,0,0.0,0,57,7,0
Gervarrius Owens,55987,S,HOUSTON,7,0,0,182,54.4,0,0,4,1.9,0.0,0,0,0.0,0,212,4,0,0,58.3,0,0,2,3.0,0.0,0,0.0,0,66,2,0
Tyrell Ajian,55995,S,KENTUCKY,8,0,0,202,73.9,0,0,2,1.0,0.0,0,0,50.0,1,193,2,1,0,76.8,0,0,1,1.9,0.0,0,100.0,1,52,1,1
Bralen Trahan,56012,S,LA LAFAYET,8,0,0,207,55.9,0,0,4,2.3,0.0,0,0,0.0,0,266,6,0,0,60.0,0,0,0,1.1,,0,,0,89,1,0
Kenny Bennett,56032,S,GA TECH,2,0,0,176,57.2,1,0,1,12.5,0.0,0,1,50.0,0,8,1,1,0,57.2,1,0,1,14.3,0.0,0,50.0,0,7,1,1
Xavier Cullens,56044,LB,MEMPHIS,8,1,1,218,66.5,0,3,45,16.9,13.3,6,3,3.3,0,302,51,3,0,68.8,0,1,19,19.5,21.1,4,2.6,0,113,22,1
Derrick Smith,56050,LB,W KENTUCKY,9,0,1,346,71.7,0,3,20,7.0,30.0,6,4,22.5,3,286,20,6,0,76.2,0,1,10,13.3,40.0,4,25.0,2,75,10,3
Jaylen Kelly-Powell,56057,S,AKRON,6,0,1,102,75.7,1,0,6,6.6,0.0,0,1,25.0,1,122,8,2,0,59.9,0,0,1,2.4,0.0,0,0.0,0,42,1,0
Hunter Reynolds,56060,S,UTAH ST,8,0,0,329,60.7,0,1,8,3.5,25.0,2,1,6.3,0,259,9,1,0,64.4,0,1,3,4.9,66.7,2,16.7,0,82,4,1
Tavyn Jackson,56164,S,COAST CAR,9,0,0,141,58.2,0,0,2,1.4,0.0,0,0,0.0,0,143,2,0,0,58.9,0,0,1,2.2,0.0,0,0.0,0,46,1,0
Eric Coley,56200,S,SYRACUSE,4,0,0,304,56.1,0,1,2,5.3,0.0,0,0,25.0,0,38,2,1,0,59.9,0,0,1,7.7,0.0,0,0.0,0,13,1,0
Jordan Perryman,56240,CB,WASHINGTON,6,0,0,340,66.7,1,0,2,1.0,0.0,0,2,25.0,0,195,2,1,0,,0,0,0,0.0,,0,,0,69,0,0
Shea Pitts,56242,LB,UCLA,3,0,0,324,59.7,0,0,1,5.3,0.0,0,0,0.0,0,19,1,0,0,,0,0,0,0.0,,0,,0,4,0,0
Elijah Gates,56243,S,FRESNO ST,7,0,0,169,64.0,0,0,7,3.5,0.0,0,0,14.3,1,200,7,1,0,68.6,0,0,2,2.9,0.0,0,50.0,1,69,2,1
Mo Osling III,56246,S,UCLA,8,0,0,324,57.4,0,0,2,0.6,0.0,0,0,0.0,0,310,2,0,0,59.6,0,0,1,1.2,0.0,0,0.0,0,83,1,0
Armani Marsh,56292,CB,WASH STATE,8,0,0,341,71.1,2,3,12,3.8,16.7,2,1,37.5,2,313,12,7,0,67.9,0,3,4,3.1,25.0,1,62.5,1,130,4,4
Jalen Harris,56321,ED,ARIZONA,8,3,0,109,55.9,1,6,225,95.6,4.9,11,0,2.4,2,248,237,9,0,56.9,0,4,57,95.4,12.3,7,7.0,2,65,62,6
Jose Ramirez,56323,ED,E MICHIGAN,8,1,1,160,90.1,3,23,183,98.5,20.2,37,3,10.9,7,200,197,33,0,91.7,1,10,62,100.0,30.6,19,16.9,5,68,68,16
Cole Maxwell,56332,ED,BAYLOR,5,2,0,118,62.9,1,2,75,96.2,5.3,4,1,2.0,0,79,76,3,0,66.9,0,2,14,93.3,14.3,2,7.1,0,15,14,2
Marcus Valdez,56333,ED,BOSTON COL,9,0,0,121,68.8,1,22,210,98.3,15.2,32,0,6.0,1,230,226,24,0,68.5,1,10,75,97.6,18.7,14,7.3,0,83,81,11
Myles Cecil,56334,DI,VANDERBILT,6,0,0,333,59.9,0,3,89,97.8,5.6,5,1,2.8,1,92,90,4,0,58.1,0,1,18,94.7,5.6,1,2.8,0,19,18,1
Nick Figueroa,56335,ED,USC,8,0,0,326,71.3,3,12,122,90.0,13.9,17,1,10.2,5,150,135,20,0,73.1,2,8,47,93.0,21.3,10,17.0,3,57,53,13
Terrance Lang,56343,ED,COLORADO,8,1,0,143,57.4,3,3,162,100.0,4.9,8,1,2.5,1,171,171,7,0,56.8,2,2,57,100.0,7.0,4,5.3,1,60,60,5
Taijh Alston,56348,ED,W VIRGINIA,8,0,1,343,55.1,2,5,146,100.0,7.5,11,2,3.1,1,153,153,8,0,55.8,0,1,39,100.0,7.7,3,1.3,0,41,41,1
Jelani Arnold,56376,DI,KANSAS,1,0,0,198,65.8,0,0,5,100.0,0.0,0,0,0.0,0,6,6,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Sam Burt,56379,DI,KANSAS,8,0,0,198,55.3,1,3,126,100.0,3.2,4,0,2.4,1,131,131,5,0,57.7,1,2,35,100.0,8.6,3,7.1,1,40,40,4
Zayin West,56384,ED,KENT STATE,9,0,0,201,70.5,1,13,213,100.0,9.4,20,2,5.2,4,219,219,18,0,80.2,0,9,68,100.0,17.6,12,12.5,4,69,69,13
Andre Jones,56395,ED,LA LAFAYET,8,2,0,207,71.7,5,12,172,83.8,17.4,30,2,6.7,3,228,191,20,1,69.7,2,7,58,86.8,19.0,11,7.8,0,76,66,9
Ibrahim Kante,56423,ED,BUFFALO,9,1,0,126,62.9,0,18,235,99.2,11.1,26,1,5.1,3,245,243,21,0,60.1,0,10,87,98.9,13.8,12,8.0,2,93,92,12
Brock Martin,56439,ED,OKLA STATE,7,1,1,262,70.5,5,12,200,87.7,15.5,31,1,5.8,3,235,206,20,1,76.3,3,9,72,97.4,27.8,20,11.1,2,78,76,14
Marcus Haynes,56441,ED,DOMINION,8,1,0,263,63.4,6,10,160,84.7,10.6,17,3,5.6,1,202,171,17,0,65.9,2,7,40,78.9,17.5,7,11.3,0,57,45,9
Robert McWilliams III,56445,ED,ARK STATE,2,0,0,113,69.8,1,1,7,100.0,14.3,1,0,28.6,1,7,7,3,0,66.0,1,0,3,100.0,33.3,1,16.7,0,3,3,1
TyJuan Garbutt,56473,ED,VA TECH,6,1,0,337,62.2,7,9,164,94.5,11.6,19,1,7.9,5,182,172,21,0,63.2,5,5,75,96.3,13.3,10,9.3,2,82,79,12
Zion DeBose,56476,ED,KANSAS,7,0,0,198,62.1,0,1,42,93.6,9.5,4,0,1.2,0,47,44,1,0,53.4,0,0,10,100.0,0.0,0,0.0,0,11,11,0
Christian Mejia,56478,DI,WASH STATE,7,1,0,341,61.7,0,6,107,100.0,8.4,9,0,4.7,2,118,118,8,0,57.8,0,4,38,100.0,10.5,4,5.3,0,42,42,4
Victor Jones,56486,ED,AKRON,9,1,1,102,70.8,7,13,207,89.1,11.1,23,2,5.8,2,248,221,22,0,62.7,2,7,63,86.3,17.5,11,10.3,2,80,69,11
Antoine Cook,56490,ED,KENT STATE,9,0,0,201,60.1,0,3,101,100.0,6.9,7,0,1.5,0,105,105,3,0,63.8,0,2,27,100.0,14.8,4,3.7,0,27,27,2
Walter Haire,56555,DI,BOWL GREEN,9,2,0,122,70.3,0,6,151,98.2,6.6,10,0,4.6,4,166,163,10,2,81.0,0,5,65,97.2,12.3,8,6.9,2,72,70,7
Shaundre Mims,56570,DI,E CAROLINA,9,0,0,156,56.3,1,3,138,100.0,5.8,8,0,4.3,4,144,144,8,0,56.1,1,1,40,100.0,7.5,3,7.5,2,42,42,4
Kolby Wyatt,56615,ED,HAWAII,7,0,0,180,52.2,0,1,59,95.2,5.1,3,0,0.8,0,62,59,1,0,54.4,0,0,19,95.0,0.0,0,0.0,0,20,19,0
Jamal Woods,56640,DI,ILLINOIS,6,0,0,187,55.9,0,1,32,100.0,6.3,2,0,1.6,0,36,36,1,0,57.7,0,1,16,100.0,12.5,2,3.1,0,17,17,1
Alfred Bryant,56647,ED,INDIANA,8,0,0,190,53.6,4,16,193,81.6,8.3,16,1,5.7,1,250,204,21,0,59.5,2,9,65,85.0,13.8,9,10.0,1,80,68,12
Jamare Edwards,56686,DI,JAMES MAD,7,0,0,197,69.1,3,8,192,100.0,8.9,17,3,4.4,3,199,199,14,0,58.8,1,6,56,100.0,10.7,6,8.0,1,58,58,8
Bryce Brand,56691,ED,BOWL GREEN,9,1,0,122,68.4,4,8,112,88.7,14.3,16,0,6.3,1,133,118,13,0,65.2,1,5,47,89.3,19.1,9,6.4,0,56,50,6
B'Ahmad Miller,56693,DI,ARIZONA ST,3,0,0,110,55.9,0,0,8,100.0,0.0,0,0,0.0,0,8,8,0,0,56.6,0,0,5,100.0,0.0,0,0.0,0,5,5,0
