,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Lightning,2022-03-24 19:00:00,-110,18.18,1.5,7.14,5.5,17.39,50.0,2.0,3.5
Bruins,2022-03-24 19:00:00,-110,18.18,-1.5,45.00,5.5,19.05,50.0,3.5,2.0
Panthers,2022-03-24 19:00:00,-245,8.16,-1.5,20.00,6.5,18.18,68.4,4.0,2.5
Canadiens,2022-03-24 19:00:00,205,41.00,1.5,16.67,6.5,18.18,31.6,2.5,4.0
Stars,2022-03-24 19:00:00,160,32.00,1.5,13.79,6.0,20.00,37.2,2.3,3.8
Hurricanes,2022-03-24 19:00:00,-185,10.81,-1.5,25.00,6.0,16.67,62.8,3.8,2.3
Red Wings,2022-03-24 19:30:00,185,37.00,1.5,14.29,5.5,18.18,33.5,2.0,3.5
Islanders,2022-03-24 19:30:00,-230,8.70,-1.5,24.00,5.5,18.18,66.5,3.5,2.0
Flyers,2022-03-24 20:00:00,220,44.00,1.5,17.39,6.0,19.05,29.9,2.3,3.8
Blues,2022-03-24 20:00:00,-275,7.27,-1.5,19.05,6.0,17.39,70.1,3.8,2.3
Canucks,2022-03-24 20:00:00,180,36.00,1.5,13.79,6.0,19.05,34.0,2.3,3.8
Wild,2022-03-24 20:00:00,-225,8.89,-1.5,25.00,6.0,17.39,66.0,3.8,2.3
Senators,2022-03-24 20:00:00,225,45.00,1.5,18.18,6.0,18.18,29.4,2.3,3.8
Jets,2022-03-24 20:00:00,-285,7.02,-1.5,18.18,6.0,18.18,70.6,3.8,2.3
Sharks,2022-03-24 21:00:00,205,41.00,1.5,17.39,6.0,16.67,31.3,2.3,3.8
Oilers,2022-03-24 21:00:00,-255,7.84,-1.5,19.05,6.0,20.00,68.7,3.8,2.3
Predators,2022-03-24 22:00:00,-105,19.05,1.5,7.14,6.0,18.18,48.9,2.3,3.8
Golden Knights,2022-03-24 22:00:00,-115,17.39,-1.5,45.00,6.0,18.18,51.1,3.8,2.3
Blackhawks,2022-03-24 22:00:00,155,31.00,1.5,12.90,6.0,18.18,37.4,2.3,3.8
Kings,2022-03-24 22:00:00,-190,10.53,-1.5,27.00,6.0,18.18,62.6,3.8,2.3
