,,Win,,Win By Knockout,,Win By Submission,,Win By Decision,,Fight Goes Distance,,,,Round 1,,Round 2,,Round 3,,Round 4,,Round 5,
Fighter,Date,Win,$20 Bet,Knockout,$20 Bet,Submission,$20 Bet,Decision,$20 Bet,Yes,$20 Bet,No,$20 Bet,Rd 1,$20 Bet,Rd 2,$20 Bet,Rd 3,$20 Bet,Rd 4,$20 Bet,Rd 5,$20 Bet
Francisco Trinaldo,2022-05-07 17:00:00.000,-110,18.18,,,,,,,,,,,,,,,,,,,,
Danny Roberts,2022-05-07 17:00:00.000,-110,18.18,,,,,,,,,,,,,,,,,,,,
Tracy Cortez,2022-05-07 17:00:00.000,-170,11.76,,,,,,,,,,,,,,,,,,,,
Melissa Gatto,2022-05-07 17:00:00.000,150,30.00,,,,,,,,,,,,,,,,,,,,
Kleydson Rodrigues,2022-05-07 17:00:00.000,-275,7.27,,,,,,,,,,,,,,,,,,,,
C.J. Vergara,2022-05-07 17:00:00.000,220,44.00,,,,,,,,,,,,,,,,,,,,
Lupita Godinez,2022-05-07 17:00:00.000,-180,11.11,,,,,,,,,,,,,,,,,,,,
Ariane Carnelossi,2022-05-07 17:00:00.000,155,31.00,,,,,,,,,,,,,,,,,,,,
Fernie Garcia,2022-05-07 17:00:00.000,-155,12.90,,,,,,,,,,,,,,,,,,,,
Journey Newson,2022-05-07 17:00:00.000,135,27.00,,,,,,,,,,,,,,,,,,,,
Cameron VanCamp,2022-05-07 17:00:00.000,,,,,,,,,,,,,,,,,,,,,,
Andre Fialho,2022-05-07 17:00:00.000,,,,,,,,,,,,,,,,,,,,,,
Blagoy Ivanov,2022-05-07 19:00:00.000,-145,13.79,,,,,,,,,,,,,,,,,,,,
Marcos Rogerio de Lima,2022-05-07 19:00:00.000,125,25.00,,,,,,,,,,,,,,,,,,,,
Khaos Williams,2022-05-07 19:00:00.000,-125,16.00,,,,,,,,,,,,,,,,,,,,
Randy Brown,2022-05-07 19:00:00.000,105,21.00,,,,,,,,,,,,,,,,,,,,
Norma Dumont,2022-05-07 19:00:00.000,-235,8.51,,,,,,,,,,,,,,,,,,,,
Macy Chiasson,2022-05-07 19:00:00.000,190,38.00,,,,,,,,,,,,,,,,,,,,
Brandon Royval,2022-05-07 19:00:00.000,-255,7.84,,,,,,,,,,,,,,,,,,,,
Matt Schnell,2022-05-07 19:00:00.000,205,41.00,,,,,,,,,,,,,,,,,,,,
Charles Oliveira,2022-05-07 21:00:00.000,-165,12.12,,,,,,,,,,,,,,,,,,,,
Justin Gaethje,2022-05-07 21:00:00.000,145,29.00,,,,,,,,,,,,,,,,,,,,
Ovince Saint Preux,2022-05-07 21:00:00.000,-240,8.33,,,,,,,,,,,,,,,,,,,,
Mauricio Rua,2022-05-07 21:00:00.000,195,39.00,,,,,,,,,,,,,,,,,,,,
Donald Cerrone,2022-05-07 21:00:00.000,-165,12.12,,,,,,,,,,,,,,,,,,,,
Joe Lauzon,2022-05-07 21:00:00.000,145,29.00,,,,,,,,,,,,,,,,,,,,
Michael Chandler,2022-05-07 21:00:00.000,-410,4.88,,,,,,,,,,,,,,,,,,,,
Tony Ferguson,2022-05-07 21:00:00.000,310,62.00,,,,,,,,,,,,,,,,,,,,
Rose Namajunas,2022-05-07 21:00:00.000,-195,10.26,,,,,,,,,,,,,,,,,,,,
Carla Esparza,2022-05-07 21:00:00.000,165,33.00,,,,,,,,,,,,,,,,,,,,
