"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"1","Davante Adams","LV",9000,10.72,20.05,90.9,85.9,10.2,2.69,1.458,"NE",7,13,-0.22,2.66,2.88,3,30,94,0.432,8,267,0.568,13,-0.057,12,5.1,"Davante Adams 9000 10.72"
"2","Ja'Marr Chase","CIN",8300,16.05,19.53,85.2,97.1,10.1,2.17,1.321,"TB",4,8,2.13,3.94,1.81,25,8,108,0.226,6,231,0.774,12,-0.068,7,5.1,"Ja'Marr Chase 8300 16.05"
"3","Amon-Ra St. Brown","DET",7800,12.42,18.46,90.6,56.2,8.8,2.57,0.801,"NYJ",11,1,0,2.58,2.58,12,21,117,0.298,1,208,0.702,6,-0.013,6,5.1,"Amon-Ra St. Brown 7800 12.42"
"4","CeeDee Lamb","DAL",7300,13.16,17.67,84.5,80.3,8.5,2.32,NA,"JAX",23,30,0.81,3.1,2.29,NA,NA,109,NA,NA,257,NA,NA,0.113,6,4.7,"CeeDee Lamb 7300 13.16"
"5","Keenan Allen","LAC",6800,18.09,16.59,76.5,34.8,7.7,1.95,0.309,"TEN",18,18,-1.5,0.9,2.4,14,19,68,0.285,11,125,0.715,21,0.084,2,4.1,"Keenan Allen 6800 18.09"
"6","DeAndre Hopkins","ARI",7700,5,16.56,76.9,97.5,10.6,2.36,1.143,"DEN",2,2,-1.34,1.28,2.62,22,12,46,0.251,4,177,0.749,7,-0.081,3,2.9,"DeAndre Hopkins 7700 5"
"7","Chris Olave","NO",6500,12.91,15.95,83.4,50.8,7.8,2.45,0.7,"ATL",31,28,-0.0699999999999998,2.62,2.69,20,13,96,0.265,26,209,0.735,27,0.206,3,2.9,"Chris Olave 6500 12.91"
"8","Tee Higgins","CIN",6900,7.1,15.44,81.5,62.1,6.2,2.16,0.627,"TB",4,8,0.58,2.45,1.87,25,8,115,0.226,6,254,0.774,12,-0.068,5,4,"Tee Higgins 6900 7.1"
"9","A.J. Brown","PHI",8000,5.53,15.34,85.8,88.4,7.4,2.43,0.884,"CHI",32,20,1.65,3.23,1.58,15,18,149,0.282,22,245,0.718,26,0.293,10,5.9,"A.J. Brown 8000 5.53"
"10","Christian Kirk","JAX",6600,11.37,15.29,73.6,42.6,7.5,1.82,0.392,"DAL",10,6,0.21,2.09,1.88,22,12,129,0.251,24,305,0.749,1,-0.019,7,4.8,"Christian Kirk 6600 11.37"
"11","Mike Williams","LAC",6300,14.4,15.03,75.7,53,7.1,1.84,0.647,"TEN",18,18,2.65,3.99,1.34,14,19,88,0.285,11,200,0.715,21,0.084,4,4.9,"Mike Williams 6300 14.4"
"12","Chris Godwin","TB",6700,12.48,14.93,72.7,51.4,9.4,1.61,0.569,"CIN",3,8,-0.9,1.15,2.05,13,20,90,0.295,13,276,0.705,9,-0.076,2,4.6,"Chris Godwin 6700 12.48"
"13","Jerry Jeudy","DEN",6100,10.37,14.2,73.6,33,6.1,1.9,0.406,"ARI",21,19,3.26,4.67,1.41,29,4,67,0.21,20,193,0.79,15,0.097,6,5.9,"Jerry Jeudy 6100 10.37"
"14","Garrett Wilson","NYJ",6000,21.48,14.18,81,59.6,7.3,2,0.83,"DET",26,28,0.65,2.59,1.94,2,31,139,0.437,20,239,0.563,30,0.128,4,5.5,"Garrett Wilson 6000 21.48"
"15","DeVonta Smith","PHI",6400,9.54,13.8,73.7,98.1,7.1,1.78,0.658,"CHI",32,20,0.17,2.04,1.87,15,18,151,0.282,22,262,0.718,26,0.293,5,4.9,"DeVonta Smith 6400 9.54"
"16","Zay Jones","JAX",4900,13.3,13.72,69.5,37.2,7.8,1.5,0.254,"DAL",10,6,0.17,1.73,1.56,22,12,122,0.251,24,273,0.749,1,-0.019,2,3.5,"Zay Jones 4900 13.3"
"17","Mike Evans","TB",6200,8.41,13.58,70.4,61,7.8,1.63,0.603,"CIN",3,8,0.0799999999999998,1.94,1.86,13,20,112,0.295,13,301,0.705,9,-0.076,3,2.4,"Mike Evans 6200 8.41"
"18","Marquise Brown","ARI",5500,4.61,13.49,73.6,33.4,9.6,1.6,0.419,"DEN",2,2,0.82,2.17,1.35,22,12,72,0.251,4,244,0.749,7,-0.081,3,3.7,"Marquise Brown 5500 4.61"
"19","JuJu Smith-Schuster","KC",5800,11.27,13.18,72.7,27.3,6.5,1.88,0.317,"HOU",22,32,-0.44,1.79,2.23,26,7,163,0.22,28,212,0.78,31,0.111,3,6.5,"JuJu Smith-Schuster 5800 11.27"
"20","Chris Moore","HOU",4200,28.25,12.97,66.2,19,4.1,1.48,-0.123,"KC",14,7,1.13,2.37,1.24,8,25,92,0.354,2,190,0.646,11,0.026,2,6.6,"Chris Moore 4200 28.25"
"21","Jakobi Meyers","NE",4700,11.01,12.78,76.1,71,6.5,2.03,0.718,"LV",30,22,0.62,2.56,1.94,7,26,85,0.4,25,167,0.6,22,0.174,3,3.4,"Jakobi Meyers 4700 11.01"
"22","D.J. Moore","CAR",5300,5.16,11.61,67.5,38.7,6.5,1.52,0.329,"PIT",19,21,1.16,2.27,1.11,4,29,79,0.429,10,297,0.571,26,0.094,4,2.8,"D.J. Moore 5300 5.16"
"23","Diontae Johnson","PIT",5100,6.34,11.4,66.9,40.2,8.5,1.28,0.429,"CAR",8,25,-0.35,1.13,1.48,30,3,139,0.205,32,333,0.795,23,-0.042,0,2.2,"Diontae Johnson 5100 6.34"
"24","Drake London","ATL",4700,4.87,11.01,77.8,46,6.1,1.72,0.294,"NO",20,16,0.19,2.02,1.83,11,22,59,0.301,21,228,0.699,16,0.096,4,3.3,"Drake London 4700 4.87"
"25","Michael Gallup","DAL",4500,3.34,10.12,66.7,42,5.3,1.23,NA,"JAX",23,30,0.2,1.63,1.43,NA,NA,66,NA,NA,167,NA,NA,0.113,3,3.3,"Michael Gallup 4500 3.34"
"26","Elijah Moore","NYJ",3600,9.25,9.75,57.8,34.1,4,0.96,-0.148,"DET",26,28,-0.4,0.84,1.24,2,31,118,0.437,20,203,0.563,30,0.128,1,2.8,"Elijah Moore 3600 9.25"
"27","Robert Woods","TEN",4400,4.6,9.43,68.3,36.8,4.8,1.19,NA,"LAC",15,14,-0.33,1.08,1.41,NA,NA,87,NA,NA,228,NA,NA,0.041,1,3.3,"Robert Woods 4400 4.6"
"28","Tyler Boyd","CIN",4800,1.11,9.41,71.6,NA,4.9,1.44,NA,"TB",4,8,0.3,1.75,1.45,25,8,147,0.226,6,274,0.774,12,-0.068,4,4.7,"Tyler Boyd 4800 1.11"
"29","George Pickens","PIT",5000,2.18,8.9,65.8,47.9,5,1.27,0.235,"CAR",8,25,0.02,1.22,1.2,30,3,137,0.205,32,300,0.795,23,-0.042,2,2.3,"George Pickens 5000 2.18"
