"","Name","TeamAbbrev","Salary","proj_own","fpts","sum_sd","touches_game","runBlockAdv","opp","off_def","off_rush_epa_rank","def_rush_epa_rank","rdef_rank","mtf_per_attempt","breakaway_percent","elusive_rating","tack_rank","grades_offense","yco_attempt","yprr","name_salary_own"
"1","Miles Sanders","PHI",6500,10.17,14.59,1.399,17.1,65,"CHI",25,1,23,29,3.3,25.3,59.4,27,80.9,3.14,0.39,"Miles Sanders 6500 10.17"
"2","Derrick Henry","TEN",8000,20.8,21.39,1.229,23.2,20,"LAC",15,12,24,30,2.3,31.5,70,24,83.1,3.69,2.15,"Derrick Henry 8000 20.8"
"3","Josh Jacobs","LV",8100,22.61,21.13,0.894,24,-26,"NE",-4,16,12,12,4.2,26.2,100.7,2,92.7,3.73,1.37,"Josh Jacobs 8100 22.61"
"4","Austin Ekeler","LAC",8500,11.03,19.69,0.795,18.9,-44,"TEN",-11.5,14,1,4,2.1,22.9,56.9,17,75.8,2.69,1.73,"Austin Ekeler 8500 11.03"
"5","Rhamondre Stevenson","NE",7000,12.32,16.56,0.788,17.1,-22,"LV",-4,11,3,11,2.1,30.1,83.1,29,83.8,3.62,1.46,"Rhamondre Stevenson 7000 12.32"
"6","Ezekiel Elliott","DAL",6200,3.37,11.27,0.76,16.9,-10,"JAX",14,4,21,15,2,20.3,40.6,32,76,2.91,0.46,"Ezekiel Elliott 6200 3.37"
"7","Cordarrelle Patterson","ATL",5900,3.19,12.4,0.707,13.2,13,"NO",13,5,13,23,1.9,32.3,48.6,23,80.2,3.05,0.61,"Cordarrelle Patterson 5900 3.19"
"8","David Montgomery","CHI",6300,10.7,13.88,0.696,15.4,-2,"PHI",10,6,14,18,3.1,6.7,85,22,68.5,3.03,1.18,"David Montgomery 6300 10.7"
"9","Tony Pollard","DAL",7100,5.06,14.59,0.679,14.4,-10,"JAX",14,4,21,15,3.3,46.9,79.4,32,88.2,4.01,1.48,"Tony Pollard 7100 5.06"
"10","Joe Mixon","CIN",7200,4.15,14.51,0.655,19.5,-12,"TB",1,20,18,24,1.4,19.5,36,11,76.7,2.67,1.36,"Joe Mixon 7200 4.15"
"11","Boston Scott","PHI",4100,0.38,3.79,0.644,4.4,65,"CHI",25,1,23,29,0.8,22.3,25.8,27,60.9,3.09,0.29,"Boston Scott 4100 0.38"
"12","Tyler Allgeier","ATL",4700,1.14,9.24,0.633,11.8,13,"NO",13,5,13,23,3.4,27.2,63.8,23,76.4,3.21,0.7,"Tyler Allgeier 4700 1.14"
"13","Kenneth Gainwell","PHI",4600,0.09,4.96,0.612,4.2,65,"CHI",25,1,23,29,0.7,0,30.1,27,55.6,2.76,0.74,"Kenneth Gainwell 4600 0.09"
"14","Najee Harris","PIT",5700,5.19,12.48,0.608,16.8,-38,"CAR",-1,13,8,16,2.7,14.9,54.6,14,67.6,2.72,0.69,"Najee Harris 5700 5.19"
