player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Josh Jones,26634,T,ARZ,3,100.0,0,1,83.9,81.1,84.6,0,1,119,100.0,100.0,98.7,1,2,1,190,0,0,190,190,127,127,0,0,63,0
Joshua Miles,29038,T,ARZ,3,100.0,1,1,60.7,57.0,65.8,1,3,123,100.0,100.0,97.6,2,5,1,187,0,0,13,187,130,130,0,174,57,0
Luke Wattenberg,41024,C,DEN,3,100.0,0,10,71.4,63.9,72.2,1,0,117,100.0,100.0,99.6,0,1,0,180,92,13,0,180,125,125,75,0,55,0
Devery Hamilton,40636,T,NYG,3,100.0,0,21,76.1,58.2,91.8,0,5,121,100.0,100.0,97.9,1,5,0,179,0,19,160,179,128,128,0,0,51,0
Quinn Bailey,46669,G,DEN,3,100.0,0,10,81.5,68.0,88.7,1,5,113,100.0,100.0,97.3,2,6,0,175,0,154,21,175,120,120,0,0,55,0
Logan Stenberg,37181,G,DET,3,100.0,0,11,80.1,72.9,78.7,1,3,103,100.0,100.0,97.1,0,5,1,167,0,167,0,167,109,109,0,0,58,0
Jake Curhan,38549,G,SEA,3,100.0,0,29,71.6,49.6,89.9,2,2,96,100.0,100.0,97.9,2,4,0,164,0,0,0,164,104,104,100,64,60,0
Jeremiah Kolone,46167,C,LA,3,100.0,0,26,66.4,61.1,66.1,1,3,88,100.0,100.0,97.7,0,4,0,162,162,0,0,162,94,94,0,0,68,0
Coy Cronk,46235,T,JAX,4,100.0,0,15,67.4,66.9,62.4,1,7,111,100.0,100.0,95.5,1,9,1,162,0,0,80,162,119,119,0,82,43,0
Aaron Monteiro,25693,G,WAS,3,100.0,0,32,58.9,61.1,55.8,2,4,100,100.0,100.0,97.0,1,6,0,161,0,129,0,161,107,107,32,0,54,0
Will Holden,11912,T,NYG,3,100.0,0,21,50.6,31.8,77.5,1,6,107,100.0,100.0,96.7,3,7,0,160,36,24,0,160,114,114,19,81,46,0
Trey Hill,81653,C,CIN,3,100.0,0,7,60.0,63.2,56.9,0,1,102,100.0,100.0,99.5,0,1,0,160,145,0,0,160,109,109,15,0,51,0
Willie Beavers,10755,T,WAS,3,100.0,0,32,66.5,71.1,61.9,0,4,104,100.0,100.0,95.2,1,7,3,160,0,0,122,160,111,111,0,37,49,1
Jordan Mills,7945,T,SF,3,100.0,0,28,58.9,79.7,48.1,0,2,90,100.0,100.0,97.8,2,3,1,159,0,0,0,159,94,94,0,159,65,0
Jackson Barton,46978,T,LV,4,100.0,0,23,78.3,82.2,71.5,0,2,79,100.0,100.0,98.7,0,2,0,157,0,42,96,157,82,82,0,19,75,0
Chris Paul,77579,G,WAS,3,100.0,1,32,62.0,69.4,64.9,0,6,101,100.0,100.0,96.0,2,7,1,156,0,0,0,156,106,106,156,0,50,0
Jake Hanson,28148,C,GB,3,100.0,1,12,69.8,65.5,76.8,0,2,86,100.0,100.0,98.8,3,2,0,155,85,0,0,155,92,92,70,0,63,0
Alex Bars,47018,G,LV,4,100.0,0,23,59.8,62.3,56.9,0,4,83,100.0,100.0,97.6,0,4,0,153,42,77,0,153,88,88,34,0,65,0
Hakeem Adeniji,45419,T,CIN,3,100.0,0,7,44.7,32.4,60.3,1,5,95,100.0,100.0,95.8,2,7,1,153,0,0,81,153,103,103,0,72,50,0
Alex Leatherwood,58468,T,LV,4,100.0,0,23,57.7,47.6,62.9,2,8,85,100.0,100.0,91.8,0,12,2,153,0,0,0,153,89,89,0,153,64,0
Tyre Phillips,59874,G,BLT,3,100.0,0,3,43.1,65.0,37.8,2,3,87,100.0,100.0,94.8,4,7,2,153,0,63,52,153,90,90,9,29,63,0
