player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Tyson Alualu,5535,DI,PIT,2,0,1,,0,0,25,,59.7,75.3,57.1,61.3,67.3,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,26,26,9,8,0,9,0,0,17,9,0,1,1,0,0,0,0,0,
Brandon Graham,5538,ED,PHI,1,0,0,,0,0,24,,78.4,69.0,59.1,65.4,69.6,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,2,2,0,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,
Devin McCourty,5552,S,NE,2,0,0,100.0,0,0,19,55.6,62.7,71.9,,71.2,76.7,0,0,0,20,0.0,0,0,0,118.8,1,0,14,2,18,33,0,0,0,0,0,17,33,0,15,0,1,3,1,0,0,20,4,20.0
Jerry Hughes,5556,ED,HST,1,0,0,100.0,0,0,13,60.7,89.4,74.8,85.6,67.4,72.6,0,3,0,5,0.0,0,0,0,87.5,1,0,0,0,1,10,10,0,0,10,0,0,0,5,4,0,3,3,1,3,0,5,5,5.0
Carlos Dunlap,5579,ED,KC,1,0,0,,0,0,16,,64.4,74.1,54.1,66.1,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,9,9,0,0,8,1,0,0,4,5,0,0,0,0,0,0,0,0,
Al Woods,5646,DI,SEA,1,1,0,,0,0,29,60.0,59.8,70.3,56.8,60.0,67.3,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,5,5,1,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,
Robert Quinn,6166,ED,CHI,1,0,0,,0,0,6,60.0,46.4,73.4,54.7,55.4,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,6,6,0,0,6,0,0,0,3,2,0,0,0,0,0,0,0,0,
Cameron Jordan,6176,ED,NO,1,0,0,,0,0,20,60.0,73.7,73.7,65.4,66.2,67.4,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,1,9,9,0,0,8,1,0,0,5,3,0,0,1,0,1,0,0,0,
Cameron Heyward,6183,DI,PIT,1,1,2,,0,0,25,,71.6,74.6,78.7,56.2,68.4,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,23,23,3,18,1,1,0,0,14,9,0,1,1,0,1,0,0,0,
Lawrence Guy,6385,DI,NE,2,0,0,,0,0,19,,54.4,75.4,52.6,58.2,26.2,0,1,0,,50.0,1,0,0,0.0,0,0,0,0,0,24,24,0,20,0,4,0,0,12,12,0,1,1,0,1,0,0,0,
