player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Greg Dortch,42237,WR,ARZ,3,8.7,1,58.3,50.0,2,4,0,12.5,2,8,1,0,49.6,77.7,69.2,,68.7,0.0,0,0,34,0.0,0,97,0,14,92.8,90,92.8,90,93.1,24,1,7.2,7,164,68,4.9,11.7,1.82
Tom Kennedy,94379,WR,DET,3,12.3,0,69.6,50.0,2,4,0,5.9,1,11,11,0,66.7,74.0,72.6,,72.1,0.0,0,1,26,0.0,0,88,0,16,95.5,84,36.4,32,96.8,23,2,63.6,56,143,26,1.6,8.9,1.7
Michael Bandy,91824,WR,LAC,3,9.2,4,78.3,25.0,1,4,0,10.0,2,12,27,0,55.6,76.9,67.3,66.3,68.5,0.0,0,1,19,1.0,1,97,0,18,92.8,90,71.1,69,108.7,23,2,28.9,28,172,43,2.4,9.6,1.91
Andy Isabella,47448,WR,ARZ,3,12.8,1,63.6,50.0,2,4,0,0.0,0,10,1,0,80.6,72.7,71.6,,73.0,0.0,0,0,74,0.0,0,105,2,14,93.3,98,15.2,16,97.9,22,0,84.8,89,226,112,8.0,16.1,2.31
Isaiah Hodgins,52130,WR,BUF,3,7.7,1,76.2,100.0,5,5,0,5.9,1,7,4,0,66.7,73.3,72.0,,72.3,0.0,0,1,27,0.0,0,79,0,16,94.9,75,27.8,22,70.3,21,0,72.2,57,124,20,1.3,7.8,1.65
Tre Nixon,40445,WR,NE,3,14.1,0,60.0,50.0,3,6,0,20.0,3,8,19,0,31.0,73.6,66.3,,65.4,0.0,0,1,36,0.0,0,86,0,12,98.8,85,27.9,24,66.5,20,0,72.1,62,169,25,2.1,14.1,1.99
Alex Bachman,47996,WR,NYG,3,5.1,3,95.0,0.0,0,1,0,0.0,0,8,21,0,83.2,75.5,76.6,36.3,74.5,0.0,0,0,22,1.3,1,75,0,19,94.7,71,82.7,62,134.6,20,2,17.3,13,166,96,5.1,8.7,2.34
Lance McCutcheon,61478,WR,LA,3,11.4,3,75.0,83.3,5,6,0,0.0,0,10,26,1,81.7,22.8,83.2,,83.9,0.0,0,0,60,0.0,0,91,0,15,92.3,84,14.3,13,150.0,20,2,85.7,78,259,67,4.5,17.3,3.08
Kendric Pryor,40408,WR,CIN,3,14.6,3,68.4,66.7,4,6,0,7.1,1,7,7,0,63.2,73.3,75.2,,76.6,0.0,0,0,38,0.0,0,87,0,13,93.1,81,11.5,10,116.6,19,1,88.5,77,182,26,2.0,14.0,2.25
Deon Cain,13597,WR,PHI,3,14.3,0,42.1,28.6,2,7,0,20.0,2,7,24,0,35.3,70.1,63.1,,63.6,0.0,0,0,24,0.0,0,84,2,8,91.7,77,9.5,8,60.4,19,0,90.5,76,106,11,1.4,13.3,1.38
Trenton Irwin,48080,WR,CIN,3,7.7,1,77.8,33.3,2,6,0,12.5,2,8,7,1,49.8,21.9,62.0,,61.6,0.0,0,0,20,0.0,0,82,0,14,91.5,75,59.8,49,94.9,18,0,40.2,33,122,32,2.3,8.7,1.63
