player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Armani Chatman,76663,CB,VA TECH,4,1,-1.0,0,0,337,51.2,54.4,81.9,52.8,70.6,58.3,0.0,0,0,84,86,1.2,1,1
Nasir Peoples,76665,S,VA TECH,4,4,1.5,0,0,337,66.1,65.0,82.0,57.9,61.2,57.1,22.2,4,1,77,78,11.7,9,10
Tanner Ingle,76667,S,NC STATE,4,2,3.0,0,0,248,51.9,63.0,83.2,85.1,82.7,32.3,22.2,2,1,54,54,7.4,4,5
Gilbert Frierson,76668,LB,MIAMI FL,4,0,4.0,0,0,220,68.1,66.4,79.2,59.1,61.5,51.9,33.3,1,0,28,30,3.6,1,2
Al Blades Jr.,76669,S,MIAMI FL,4,0,,0,0,220,63.3,63.8,78.2,,62.5,29.8,,0,0,15,16,0.0,0,0
DJ Ivey,76670,CB,MIAMI FL,4,0,9.5,0,0,220,62.9,64.9,80.8,,71.4,72.9,0.0,0,0,82,82,1.2,1,2
Gurvan Hall Jr.,76671,S,UTAH ST,5,4,9.1,1,0,329,53.2,53.8,0.0,46.9,68.0,39.8,22.2,4,3,138,140,2.2,3,10
Nigel Bethel Jr.,76672,CB,COLORADO,3,0,,0,0,143,57.0,49.1,73.9,,39.3,,,0,0,24,24,0.0,0,0
Dyllon Lester,76682,S,UCF,4,1,11.5,0,0,323,57.7,45.9,79.0,,27.3,44.7,0.0,0,0,33,33,0.0,0,2
Jermaine McMillian,76684,S,UMASS,2,0,4.0,0,0,216,50.3,45.9,72.6,59.7,51.5,73.0,0.0,0,0,11,11,9.1,1,1
Quindell Johnson,76689,S,MEMPHIS,4,3,6.3,0,0,218,61.8,70.0,84.8,57.4,88.3,54.6,0.0,0,0,136,138,2.9,4,17
Jalon Ferrell,76698,S,UMASS,4,5,8.8,0,0,216,71.0,73.2,80.8,67.5,72.8,88.0,0.0,0,1,71,73,2.8,2,4
Keyshawn Paul,76700,CB,TEMPLE,2,0,9.0,0,0,306,38.0,34.1,70.1,,48.7,26.6,50.0,1,0,7,7,0.0,0,1
Myles Berry,76702,LB,E CAROLINA,4,7,4.1,0,0,156,49.2,56.2,14.0,54.2,67.3,42.3,18.2,4,1,115,117,6.1,7,11
Jordan Morrison,76703,LB,UCONN,2,0,,0,0,146,62.8,50.8,70.3,,44.3,21.4,100.0,1,0,20,20,0.0,0,0
Garrison Vaughn,76708,S,HOUSTON,1,0,,0,0,182,67.1,65.8,75.9,60.0,60.0,78.2,,0,0,6,6,0.0,0,0
Nolan Johnson,76714,CB,MIAMI OH,4,0,12.0,0,0,221,72.0,73.1,74.7,,68.4,79.6,0.0,0,0,21,21,0.0,0,2
Jalen Green,76723,S,MISS STATE,4,2,5.8,1,0,227,73.8,71.7,83.0,56.6,64.0,58.2,25.0,2,2,67,67,3.0,2,4
Anthony Cook,76724,S,TEXAS,4,1,10.5,0,0,311,70.7,68.3,84.0,58.6,56.3,65.3,25.0,1,0,90,91,0.0,0,2
DeMarvion Overshown,76729,LB,TEXAS,4,6,1.3,2,0,311,63.3,70.7,0.0,70.3,85.7,72.6,9.5,2,4,76,77,14.5,11,13
Anthony Johnson Jr.,76736,S,IOWA STATE,4,2,2.6,1,0,193,62.4,67.1,0.0,67.9,82.2,67.4,0.0,0,2,74,75,6.8,5,7
Jeremy Lucien,76740,CB,VANDERBILT,4,1,5.0,1,0,333,70.7,73.4,79.7,85.1,69.8,86.8,0.0,0,2,59,60,1.7,1,2
Ekow Boye-Doe,76742,CB,KANSAS ST,4,0,5.5,0,0,199,67.1,68.1,82.6,56.6,70.6,73.1,0.0,0,0,87,89,2.3,2,2
Wayne Jones,76744,S,CHARLOTTE,5,7,8.5,0,0,136,40.2,47.1,6.0,60.0,61.4,50.9,26.7,8,1,125,130,3.2,4,15
Lance Robinson,76747,CB,TULANE,5,0,14.7,0,0,319,72.2,73.5,81.7,,74.1,82.2,0.0,0,0,132,133,0.8,1,3
Cecil Singleton Jr.,76760,CB,LA TECH,4,1,5.9,0,0,208,60.4,56.7,83.9,54.6,47.1,43.9,30.8,4,0,69,71,4.3,3,8
Nate Bauer,76764,S,TOLEDO,4,1,10.0,0,0,316,69.6,66.0,79.5,58.0,58.4,55.7,27.3,3,0,65,68,3.1,2,7
Zaire Barnes,76766,LB,W MICHIGAN,4,7,5.9,0,0,347,58.6,69.7,82.5,60.0,80.1,67.6,10.7,3,0,127,130,8.7,11,18
Keni-H Lovely,76768,CB,W MICHIGAN,4,0,0.0,0,0,347,50.5,50.7,81.1,,52.4,49.9,75.0,3,2,96,99,1.0,1,1
Caleb Biggers,76772,CB,BOISE ST,5,1,3.0,0,0,120,64.5,68.5,2.3,60.0,83.3,68.3,0.0,0,2,123,125,5.7,7,8
Isaiah Watson,76777,CB,E MICHIGAN,3,0,3.0,0,0,160,52.8,51.9,74.9,,53.6,80.1,0.0,0,0,15,15,6.7,1,1
Timarcus Simpson,76778,S,USF,4,0,11.8,0,1,327,59.6,61.7,78.9,59.6,65.3,46.3,33.3,3,0,65,67,3.1,2,6
EJ Williams,76779,LB,E MICHIGAN,3,0,,0,0,160,64.7,59.9,74.3,59.1,54.4,74.8,,0,0,12,12,0.0,0,0
Rolliann Sturkey,76786,CB,C MICHIGAN,2,0,,0,0,134,49.7,51.3,79.4,55.4,65.1,58.5,,0,2,37,37,0.0,0,0
Charlie Thomas,76790,LB,GA TECH,4,7,2.9,0,0,176,65.3,67.1,0.0,63.8,73.7,78.6,6.9,2,3,133,134,10.5,14,20
D'Shawn Jamison,76791,CB,TEXAS,4,0,5.0,0,0,311,71.9,72.7,81.1,62.4,70.8,83.8,0.0,0,0,73,74,1.4,1,2
Dennis Briggs Jr.,76792,ED,FLORIDA ST,4,3,,0,0,167,65.5,69.4,81.1,70.6,59.2,42.8,40.0,2,0,44,44,0.0,0,0
Jamarcus Chatman,76793,DI,TROY,3,0,,0,0,318,,52.1,73.8,55.9,52.8,,,0,0,13,14,0.0,0,0
Jarrett Jackson,76795,DI,FLORIDA ST,4,4,3.8,0,0,167,60.0,56.0,78.3,53.8,61.3,28.3,20.0,2,0,38,38,7.9,3,4
Thurman Geathers,76797,ED,ARK STATE,4,3,1.8,0,0,113,,69.4,37.1,63.3,74.7,81.2,8.3,1,1,69,70,8.7,6,8
