player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
John Porchivina,28202,LB,OLE MISS,1,0,,,100.0,,,0,0,0,,226,60.3,47.4,67.2,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Colby Reeder,30285,LB,IOWA STATE,4,0,4.7,62.5,73.0,8.4,5.3,0,1,1,6.3,193,67.0,74.1,14.7,77.4,77.5,71.8,2,18,0.0,0,1,1,73.4,10,89,122,2,6,16,2,74,33,0.9,7.4
Kyle Pugh,35900,LB,N ILLINOIS,4,2,10.5,50.0,81.0,61.0,30.5,0,0,0,0.0,254,70.6,67.8,79.6,54.9,64.7,80.7,0,8,10.0,1,0,0,60.4,1,64,79,2,7,2,0,8,12,0.1,8.0
Jordan Carmouche,39951,LB,ARK STATE,4,2,12.0,60.0,88.2,34.0,20.4,0,0,0,0.0,113,56.7,54.8,9.8,57.1,57.0,70.0,0,51,0.0,0,0,1,143.8,3,112,127,1,2,5,2,84,54,0.8,28.0
Monte McGary,42477,CB,KANSAS,1,1,,,100.0,,,0,0,0,,198,65.9,66.5,73.2,,60.7,73.5,0,,0.0,0,0,0,0.0,0,8,8,0,0,0,0,0,0,0.0,
Bricen Garner,42520,S,W MICHIGAN,4,0,8.0,75.0,98.0,30.0,22.5,0,0,1,25.0,347,70.2,67.7,81.2,58.6,61.9,62.6,0,37,0.0,0,1,0,115.6,3,97,99,1,8,4,0,49,19,0.5,16.3
Brandon Moore,42620,CB,NEBRASKA,2,0,4.0,100.0,90.9,8.0,8.0,0,0,0,0.0,238,71.8,64.9,0.0,60.0,61.5,73.5,0,5,0.0,0,0,1,87.5,1,10,11,0,1,1,0,5,1,0.6,5.0
Clifford Chattman,42657,S,UTSA,5,2,14.3,47.4,100.0,16.9,8.0,0,0,3,15.8,331,69.9,68.5,85.1,,62.5,71.9,0,42,8.3,1,3,1,90.5,9,163,163,1,9,19,1,143,25,0.9,15.9
Justin Clark,43185,CB,WISCONSIN,2,0,10.3,33.3,100.0,25.0,8.3,0,0,0,0.0,349,62.4,61.6,76.9,,58.1,47.7,0,11,100.0,1,0,0,45.1,1,25,25,0,0,3,0,11,5,0.4,11.0
Ryan McWood,43189,LB,MIAMI OH,4,5,5.1,100.0,85.8,9.3,9.3,0,1,0,0.0,221,48.4,54.9,79.8,69.0,58.2,51.9,1,19,18.2,2,0,0,81.7,13,127,148,2,4,13,0,147,81,1.2,11.3
Jaydon Grant,43354,S,OREGON ST,4,1,14.2,53.3,94.4,17.9,9.5,0,1,1,6.7,265,80.3,78.3,83.6,46.1,76.5,74.0,2,60,10.0,1,1,0,38.1,8,152,161,3,8,15,0,112,41,0.8,14.0
Linwood Crump,43401,CB,NEW MEX ST,4,0,16.3,50.0,97.1,21.0,10.5,0,0,1,16.7,242,69.8,66.3,80.1,59.5,49.2,44.8,0,19,0.0,0,1,2,116.0,3,66,68,1,6,6,1,47,-2,0.7,15.7
Jon-Michael Terry,43635,LB,TULSA,4,2,5.2,60.0,72.4,24.7,14.8,0,0,0,0.0,320,64.4,60.1,27.6,66.0,56.1,68.5,0,11,28.6,2,0,1,66.3,3,76,105,0,3,5,0,17,11,0.2,5.7
Tyrone Hopper,43714,ED,MISSOURI,4,0,,,12.5,,,0,0,0,,229,61.7,55.9,78.6,56.0,55.1,19.4,0,,,0,0,0,0.0,0,4,32,0,0,0,0,0,0,0.0,
Sione Tupou,44093,LB,TEXAS ST,4,1,6.6,66.7,93.4,9.6,6.4,0,0,1,4.8,314,66.6,71.8,80.9,75.3,72.5,89.3,1,45,0.0,0,1,0,89.2,14,141,151,3,10,21,1,179,97,1.3,12.8
Semisi Fakasiieiki,44340,LB,PURDUE,2,1,7.0,0.0,100.0,,14.0,0,0,0,0.0,273,51.4,59.7,74.0,63.3,65.0,80.7,0,,0.0,0,0,0,39.6,0,17,17,0,0,1,0,0,0,0.0,
