player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Connor Bazelak,99135,QB,INDIANA,4,66,28.8,0,190,2,0,7.6,7.6,81.8,12.1,0,4,19,5,5,66,54,8,13,25,4,1,19.7,37.9,2,6.1,1.5
Donovan Smith,73929,QB,TEXAS TECH,4,59,25.4,0,315,1,4,13.6,30.5,81.4,10.2,0,6,15,8,18,59,48,6,10,9,6,0,16.9,15.3,1,10.2,0.0
Cameron Ward,133244,QB,WASH STATE,4,58,5.2,0,341,6,6,12.1,17.2,63.8,13.8,0,15,3,7,10,58,37,8,8,13,15,0,13.8,22.4,3,25.9,0.0
Frank Harris,60586,QB,UTSA,5,57,15.8,0,331,0,2,5.3,21.1,93.0,-3.5,0,3,9,3,12,57,53,-2,6,30,3,7,10.5,52.6,1,5.3,12.3
Brennan Armstrong,77696,QB,VIRGINIA,4,56,16.1,0,335,1,4,12.5,28.6,85.7,5.4,0,8,9,7,16,56,48,3,2,19,8,2,3.6,33.9,3,14.3,3.6
DJ Irons,145585,QB,AKRON,4,55,9.1,0,102,1,4,12.7,23.6,74.5,14.5,0,6,5,7,13,55,41,8,7,16,6,2,12.7,29.1,1,10.9,3.6
Chase Cunningham,78533,QB,MIDDLE TN,5,55,18.2,0,224,1,1,14.5,23.6,83.6,10.9,0,4,10,8,13,55,46,6,12,10,4,0,21.8,18.2,2,7.3,0.0
Clayton Tune,77652,QB,HOUSTON,5,49,10.2,0,182,1,5,8.2,22.4,77.6,8.2,0,8,5,4,11,49,38,4,5,18,8,1,10.2,36.7,2,16.3,2.0
Spencer Rattler,97408,QB,S CAROLINA,5,49,12.2,0,289,0,5,14.3,20.4,87.8,0.0,0,7,6,7,10,49,43,0,10,14,7,2,20.4,28.6,2,14.3,4.1
Phil Jurkovec,83533,QB,BOSTON COL,4,47,10.6,0,121,1,0,12.8,31.9,87.2,4.3,0,3,5,6,15,47,41,2,7,16,3,1,14.9,34.0,2,6.4,2.1
Gavin Hardison,100827,QB,UTEP,5,47,12.8,0,330,3,8,4.3,12.8,48.9,17.0,0,17,6,2,6,47,23,8,6,4,17,0,12.8,8.5,6,36.2,0.0
Clay Millen,146082,QB,COLO STATE,4,47,21.3,0,144,0,1,8.5,40.4,89.4,8.5,0,2,10,4,19,47,42,4,4,15,2,1,8.5,31.9,1,4.3,2.1
Hayden Wolff,98362,QB,DOMINION,4,47,29.8,0,263,0,1,17.0,12.8,89.4,6.4,0,2,14,8,6,47,42,3,11,10,2,3,23.4,21.3,1,4.3,6.4
Drake Maye,143969,QB,N CAROLINA,4,46,0.0,0,245,1,7,26.1,2.2,69.6,10.9,0,11,0,12,1,46,32,5,7,13,11,1,15.2,28.3,3,23.9,2.2
