player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
David Gbenda,99370,LB,TEXAS,4,0,311,1,2,0,0,1,1,75.0,3,1,16.7,0,0,0,1,18.5,5,27,3,30.0,0,0,1,0,25.0,1,1,50.0,0,0,0,0,0,0
Avery Morris,123323,LB,UTSA,5,0,331,1,2,0,1,2,0,80.0,4,3,37.5,0,0,0,0,17.9,5,28,3,30.0,0,0,0,0,20.0,1,0,0.0,0,0,0,0,0,0
Ahmad Walker,147555,LB,LIBERTY,4,0,206,1,3,0,1,2,1,62.5,10,4,25.0,1,1,0,1,15.0,17,113,7,29.4,0,0,1,0,37.5,6,2,25.0,1,1,0,3,2,0
Equandric Ross,168534,LB,ALCORN ST,3,0,107,1,2,0,1,2,0,50.0,6,4,41.7,1,1,0,0,34.3,12,35,5,29.2,0,0,0,0,50.0,6,1,16.7,1,1,0,2,2,0
Donovan Manuel,87272,LB,FIU,3,0,166,1,1,0,1,0,0,28.6,2,2,75.0,1,1,0,0,8.3,7,84,3,28.6,0,0,1,0,71.4,5,1,10.0,0,0,0,1,1,0
Jayelin Davis,150536,ED,W CAROLINA,3,0,344,0,0,0,0,0,0,60.0,3,1,33.3,1,0,0,0,100.0,7,7,2,28.6,0,0,0,0,40.0,2,1,50.0,1,0,0,2,0,0
Hunter Nabers,146044,LB,VALPO,1,0,332,0,2,0,0,1,1,28.6,2,1,25.0,0,0,0,1,14.6,7,48,3,28.6,0,0,1,0,71.4,5,2,30.0,1,1,0,1,1,0
Tah Mac Bright,133231,LB,INCAR WORD,4,0,189,0,4,0,0,1,0,50.0,3,1,16.7,0,0,0,0,11.1,7,63,4,28.6,0,0,2,0,50.0,3,2,33.3,0,0,0,0,0,0
Walter Yates,81383,LB,UCF,4,0,323,0,2,0,0,1,0,50.0,3,2,50.0,1,1,0,0,11.9,7,59,3,28.6,0,0,1,0,50.0,3,1,16.7,0,0,0,1,1,0
BJ Davis,79542,LB,SCAR STATE,4,0,290,1,3,0,0,1,0,57.1,4,1,12.5,0,0,0,0,5.1,7,136,4,28.6,0,1,2,0,42.9,3,3,50.0,0,0,0,0,0,0
Armani Marsh,56292,CB,WASH STATE,4,0,341,0,2,0,0,2,0,71.4,5,3,40.0,1,1,0,0,4.3,7,162,3,28.6,0,0,0,0,28.6,2,0,0.0,0,0,0,1,1,0
Jeremiah Jackson,161297,CB,BUTLER,3,1,127,0,4,0,0,3,0,42.9,3,3,50.0,0,0,0,0,15.2,7,46,4,28.6,1,0,1,0,57.1,4,1,12.5,0,0,0,0,0,0
Mike Sainristil,97180,CB,MICHIGAN,4,0,222,1,0,0,1,0,0,55.6,5,2,30.0,1,1,0,0,8.7,9,104,3,27.8,0,0,0,0,44.4,4,1,25.0,1,1,0,2,2,0
Bryce Norman,149187,LB,SE MO ST,4,0,293,1,4,0,1,2,0,55.6,5,3,30.0,0,0,0,0,7.8,9,115,5,27.8,0,0,2,0,44.4,4,2,25.0,0,0,0,0,0,0
Hamilton Moore,108149,LB,YALE,2,0,352,2,1,0,1,1,1,66.7,6,3,33.3,1,1,0,1,18.0,9,50,4,27.8,0,1,0,0,33.3,3,1,16.7,0,0,0,1,1,0
E.J. Porter,54466,LB,W CAROLINA,4,0,344,0,0,0,0,0,0,30.0,3,1,33.3,1,1,0,0,16.7,11,66,3,27.3,0,0,0,0,70.0,7,2,28.6,2,2,0,3,3,0
Cole Bishop,146454,S,UTAH,4,0,328,2,2,0,0,0,0,30.0,3,0,0.0,0,0,0,0,11.3,11,97,5,27.3,0,2,2,0,70.0,7,4,28.6,0,0,0,1,1,0
Adam Bock,103784,LB,S DAK ST,4,0,292,2,2,0,2,2,1,70.0,7,5,42.9,1,1,0,1,8.9,11,124,5,27.3,0,0,0,0,30.0,3,0,0.0,0,0,0,1,1,0
Kris Peat,161506,LB,MURRAY ST,1,0,236,0,1,0,0,1,0,100.0,2,1,25.0,0,0,0,0,28.6,2,7,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
D'Shawn Jamison,76791,CB,TEXAS,4,0,311,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.9,2,106,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Brian Norris,77750,LB,USF,2,0,327,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,16.7,2,12,1,25.0,0,0,1,1,100.0,2,1,25.0,0,0,0,0,0,0
Ben Wilson,77208,LB,WASH STATE,1,0,341,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,15.4,2,13,1,25.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
