,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Butler,2022-01-23 12:00:00,330,66.00,9.0,18.18,126.5,19.05,22.2,58.8,67.8
Providence,2022-01-23 12:00:00,-435,4.60,-9.0,18.18,126.5,17.39,77.8,67.8,58.8
Northwestern,2022-01-23 13:00:00,,,,,,,,,
Purdue,2022-01-23 13:00:00,,,,,,,,,
St. Peter's,2022-01-23 13:00:00,-180,11.11,-3.0,19.05,132.0,18.18,62.1,67.5,64.5
Canisius,2022-01-23 13:00:00,155,31.00,3.0,17.39,132.0,18.18,37.9,64.5,67.5
Rider,2022-01-23 13:00:00,250,50.00,7.0,17.39,131.0,16.67,27.3,62.0,69.0
Niagara,2022-01-23 13:00:00,-320,6.25,-7.0,19.05,131.0,20.00,72.7,69.0,62.0
St. Francis (NY),2022-01-23 13:00:00,525,105.00,12.0,18.18,147.5,18.18,15.3,67.8,79.8
Bryant,2022-01-23 13:00:00,-760,2.63,-12.0,18.18,147.5,18.18,84.7,79.8,67.8
Central Connecticut,2022-01-23 14:00:00,375,75.00,10.5,18.18,129.0,18.18,20.1,59.3,69.8
Mount St. Mary's,2022-01-23 14:00:00,-510,3.92,-10.5,18.18,129.0,18.18,79.9,69.8,59.3
Fairfield,2022-01-23 14:00:00,145,29.00,3.0,18.18,132.0,18.18,39.6,64.5,67.5
Marist,2022-01-23 14:00:00,-165,12.12,-3.0,18.18,132.0,18.18,60.4,67.5,64.5
Manhattan,2022-01-23 14:00:00,350,70.00,9.0,18.18,143.5,20.00,21.2,67.3,76.3
Monmouth,2022-01-23 14:00:00,-475,4.21,-9.0,18.18,143.5,16.67,78.8,76.3,67.3
Iona,2022-01-23 14:00:00,-350,5.71,-7.5,18.18,151.0,16.67,74.2,79.3,71.8
Quinnipiac,2022-01-23 14:00:00,270,54.00,7.5,18.18,151.0,20.00,25.8,71.8,79.3
Illinois State,2022-01-23 14:00:00,,,,,,,,,
Evansville,2022-01-23 14:00:00,,,,,,,,,
Xavier,2022-01-23 14:00:00,-125,16.00,-2.0,19.05,146.0,18.18,53.2,74.0,72.0
Marquette,2022-01-23 14:00:00,105,21.00,2.0,17.39,146.0,18.18,46.8,72.0,74.0
Youngstown State,2022-01-23 14:00:00,150,30.00,4.0,18.18,144.0,18.18,38.8,70.0,74.0
IPFW,2022-01-23 14:00:00,-170,11.76,-4.0,18.18,144.0,18.18,61.2,74.0,70.0
Massachusetts,2022-01-23 14:30:00,340,68.00,9.0,19.05,149.0,17.39,21.7,70.0,79.0
Saint Louis,2022-01-23 14:30:00,-450,4.44,-9.0,17.39,149.0,19.05,78.3,79.0,70.0
Robert Morris,2022-01-23 15:00:00,600,120.00,12.5,18.18,143.5,19.05,13.7,65.5,78.0
Cleveland State,2022-01-23 15:00:00,-900,2.22,-12.5,18.18,143.5,17.39,86.3,78.0,65.5
Memphis,2022-01-23 15:00:00,-225,8.89,-5.0,16.67,142.5,18.18,66.4,73.8,68.8
Tulsa,2022-01-23 15:00:00,185,37.00,5.0,20.00,142.5,18.18,33.6,68.8,73.8
Arizona,2022-01-23 15:00:00,-1000,2.00,-13.5,18.18,140.0,18.18,87.2,76.8,63.3
California,2022-01-23 15:00:00,650,130.00,13.5,18.18,140.0,18.18,12.8,63.3,76.8
Wagner,2022-01-23 15:00:00,-335,5.97,-8.0,18.18,126.0,18.18,73.5,67.0,59.0
Merrimack,2022-01-23 15:00:00,260,52.00,8.0,18.18,126.0,18.18,26.5,59.0,67.0
Michigan,2022-01-23 15:30:00,155,31.00,4.0,18.18,134.0,20.00,37.9,65.0,69.0
Indiana,2022-01-23 15:30:00,-180,11.11,-4.0,18.18,134.0,16.67,62.1,69.0,65.0
UTEP,2022-01-23 16:00:00,-300,6.67,-7.0,16.67,135.5,18.18,71.5,71.3,64.3
Texas-San Antonio,2022-01-23 16:00:00,235,47.00,7.0,20.00,135.5,18.18,28.5,64.3,71.3
Sacred Heart,2022-01-23 16:00:00,150,30.00,4.0,18.18,144.0,18.18,38.8,70.0,74.0
St. Francis (Pa.),2022-01-23 16:00:00,-170,11.76,-4.0,18.18,144.0,18.18,61.2,74.0,70.0
LIU-Brooklyn,2022-01-23 19:00:00,-335,5.97,-8.5,18.18,153.0,18.18,73.5,80.8,72.3
Fairleigh-Dickinson,2022-01-23 19:00:00,260,52.00,8.5,18.18,153.0,18.18,26.5,72.3,80.8
Washington,2022-01-23 22:00:00,475,95.00,11.5,18.18,142.5,18.18,16.6,65.5,77.0
Oregon,2022-01-23 22:00:00,-675,2.96,-11.5,18.18,142.5,18.18,83.4,77.0,65.5
