player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Andrew Thomas,59701,T,NYG,1,0,21,82.3,0,1,29,100.0,100.0,98.3,0,1,0,31,31,79.4,0,1,13,100.0,100.0,96.2,1,0,13,13
Evan Neal,99063,T,NYG,1,0,21,56.2,0,2,29,100.0,100.0,96.6,0,2,0,31,31,38.0,0,2,13,100.0,100.0,92.3,2,0,13,13
Jon Feliciano,9561,C,NYG,1,0,21,70.1,0,1,29,100.0,100.0,94.8,0,2,1,31,31,67.6,0,1,13,100.0,100.0,96.2,1,0,13,13
Mark Glowinski,9567,G,NYG,1,0,21,70.2,0,3,29,100.0,100.0,94.8,1,3,0,31,31,74.0,0,1,13,100.0,100.0,96.2,1,0,13,13
Isaiah Wynn,46048,T,NE,1,0,19,83.9,0,0,29,100.0,100.0,100.0,0,0,0,30,30,82.3,0,0,15,100.0,100.0,100.0,0,0,16,16
Jermaine Eluemunor,11914,T,LV,1,0,23,66.2,0,0,28,100.0,100.0,96.4,0,1,1,30,30,68.8,0,0,16,100.0,100.0,93.7,1,1,17,17
Tristan Wirfs,64818,T,TB,1,0,30,71.3,0,2,29,100.0,100.0,96.6,0,2,0,29,29,74.2,0,1,11,100.0,100.0,95.5,1,0,11,11
Luke Goedeke,77548,G,TB,1,0,30,31.8,0,3,29,100.0,100.0,94.8,0,3,0,29,29,10.3,0,3,11,100.0,100.0,86.4,3,0,11,11
Robert Hainsey,59980,C,TB,1,0,30,36.8,0,1,29,100.0,100.0,98.3,0,1,0,29,29,24.5,0,0,11,100.0,100.0,100.0,0,0,11,11
Cole Strange,22976,G,NE,1,0,19,87.2,0,0,27,100.0,100.0,100.0,0,0,0,29,29,84.2,0,0,12,100.0,100.0,100.0,0,0,13,13
Shaq Mason,9564,G,TB,1,0,30,66.4,1,0,29,100.0,100.0,98.3,0,1,0,29,29,71.9,0,0,11,100.0,100.0,100.0,0,0,11,11
Greg Little,46254,T,MIA,1,0,17,62.1,0,2,28,100.0,100.0,92.9,0,3,1,28,28,56.4,0,1,10,100.0,100.0,85.0,2,1,10,10
Dylan Parham,60953,G,LV,1,0,23,73.1,0,0,24,100.0,100.0,100.0,0,0,0,26,26,64.7,0,0,13,100.0,100.0,100.0,0,0,14,14
Zach Tom,55443,T,GB,1,0,12,34.0,0,2,23,100.0,100.0,95.7,0,2,0,24,24,3.2,0,2,10,100.0,100.0,90.0,2,0,10,10
Braxton Jones,60092,T,CHI,1,0,6,62.7,0,1,23,100.0,100.0,89.1,0,3,2,24,24,43.6,0,1,10,100.0,100.0,75.0,3,2,11,11
Sam Mustipher,13026,C,CHI,1,0,6,75.6,0,1,23,100.0,100.0,97.8,0,1,0,24,24,67.6,0,1,10,100.0,100.0,95.0,1,0,11,11
Cody Whitehair,10690,G,CHI,1,0,6,44.3,0,1,23,100.0,100.0,97.8,0,1,0,24,24,18.6,0,1,10,100.0,100.0,95.0,1,0,11,11
Larry Borom,59879,T,CHI,1,0,6,72.7,0,1,23,100.0,100.0,97.8,0,1,0,24,24,64.6,0,1,10,100.0,100.0,95.0,1,0,11,11
Nick Allegretti,39268,G,KC,1,0,16,21.8,1,1,21,100.0,100.0,95.2,0,2,0,23,23,38.3,1,0,9,100.0,100.0,94.4,1,0,10,10
Justin McCray,9234,G,HST,1,0,13,12.0,1,4,22,100.0,100.0,88.6,0,5,0,22,22,0.0,0,3,8,100.0,100.0,81.2,3,0,8,8
Trey Smith,62960,G,KC,1,0,16,57.0,0,2,20,100.0,100.0,95.0,0,2,0,21,21,81.5,0,0,7,100.0,100.0,100.0,0,0,8,8
Kenyon Green,99052,G,HST,1,0,13,60.1,1,0,19,100.0,100.0,97.4,0,1,0,21,21,77.9,0,0,2,100.0,100.0,100.0,0,0,3,3
Ben Bredeson,27305,G,NYG,1,0,21,38.0,0,2,19,100.0,100.0,94.7,0,2,0,20,20,69.4,0,1,9,100.0,100.0,94.4,1,0,9,9
Lester Cotton Sr.,46085,G,LV,1,0,23,84.4,0,0,19,100.0,100.0,100.0,0,0,0,19,19,83.3,0,0,13,100.0,100.0,100.0,0,0,13,13
Jon Runyan,36661,G,GB,1,0,12,84.6,0,0,19,100.0,100.0,100.0,0,0,0,19,19,81.3,0,0,6,100.0,100.0,100.0,0,0,6,6
Josh Wells,8968,T,TB,1,0,30,59.3,0,1,19,100.0,100.0,92.1,0,2,1,19,19,24.1,0,1,6,100.0,100.0,75.0,2,1,6,6
Ja'Wuan James,8654,T,BLT,1,0,3,86.0,0,0,17,100.0,100.0,100.0,0,0,0,18,18,81.8,0,0,5,100.0,100.0,100.0,0,0,5,5
Patrick Mekari,46219,T,BLT,1,0,3,62.4,0,2,17,100.0,100.0,94.1,0,2,0,17,17,50.4,0,2,10,100.0,100.0,90.0,2,0,10,10
Thayer Munford,59994,T,LV,1,0,23,50.8,0,2,15,100.0,100.0,93.3,0,2,0,15,15,57.6,0,2,10,100.0,100.0,90.0,2,0,10,10
Wes Schweitzer,10829,C,WAS,1,0,32,24.8,1,0,14,100.0,100.0,96.4,0,1,0,14,14,0.0,1,0,4,100.0,100.0,87.5,1,0,4,4
Teven Jenkins,41534,G,CHI,1,0,6,71.7,0,1,12,100.0,100.0,95.8,0,1,0,13,13,63.8,0,1,5,100.0,100.0,90.0,1,0,6,6
