player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Rahm, Jon",PGA TOUR,1,0,1,0,2.64
"Scheffler, Scottie",PGA TOUR,2,0,2,0,2.512
"Schauffele, Xander",PGA TOUR,3,0,5,0,2.292
"Cantlay, Patrick",PGA TOUR,4,0,4,0,2.138
"Finau, Tony",PGA TOUR,5,0,12,-1,2.099
"McIlroy, Rory",PGA TOUR,6,0,3,0,1.992
"Im, Sungjae",PGA TOUR,7,0,18,0,1.821
"Hatton, Tyrrell",PGA TOUR,8,0,17,0,1.679
"Day, Jason",PGA TOUR,9,6,20,15,1.611
"Thomas, Justin",PGA TOUR,10,-1,13,1,1.578
"Clark, Wyndham",PGA TOUR,11,-1,32,-1,1.497
"Homa, Max",PGA TOUR,12,-1,6,0,1.481
"Spieth, Jordan",PGA TOUR,13,-1,10,0,1.479
"Morikawa, Collin",PGA TOUR,14,-1,16,0,1.474
"Young, Cameron",PGA TOUR,15,-1,15,0,1.472
"Hovland, Viktor",PGA TOUR,16,0,11,1,1.447
"Fitzpatrick, Matthew",PGA TOUR,17,0,7,0,1.417
"Smith, Cameron",LIV Tour,18,5,8,0,1.358
"Johnson, Dustin",LIV Tour,19,8,82,-1,1.307
"Fowler, Rickie",PGA TOUR,20,-2,49,1,1.296
"Burns, Sam",PGA TOUR,21,-2,14,-1,1.271
"Henley, Russell",PGA TOUR,22,-2,27,1,1.24
"Fleetwood, Tommy",PGA TOUR,23,-2,23,-2,1.225
"Zalatoris, Will",PGA TOUR,24,0,9,0,1.184
"Matsuyama, Hideki",PGA TOUR,25,4,24,-2,1.183
"Conners, Corey",PGA TOUR,26,0,29,-2,1.145
"Kuchar, Matt",PGA TOUR,27,-5,49,-1,1.126
"Bradley, Keegan",PGA TOUR,28,2,22,1,1.121
"Niemann, Joaquin",LIV Tour,29,6,28,-2,1.114
"Kim, Tom",PGA TOUR,30,-5,19,0,1.109
"McCarthy, Denny",PGA TOUR,31,0,55,0,1.096
"Theegala, Sahith",PGA TOUR,32,0,25,-1,1.096
"Moore, Taylor",PGA TOUR,33,0,45,0,1.095
"Rose, Justin",PGA TOUR,34,0,33,-1,1.085
"Kim, Si Woo",PGA TOUR,35,9,36,6,1.001
"Gooch, Talor",LIV Tour,36,-8,63,0,0.994
"Koepka, Brooks",LIV Tour,37,4,44,-1,0.979
"Reed, Patrick",LIV Tour,38,0,48,1,0.966
"Pereira, Mito",PGA TOUR,39,-3,56,1,0.962
"Howell III, Charles",LIV Tour,40,0,375,-3,0.943
"Scott, Adam",PGA TOUR,41,4,38,-1,0.931
"Kirk, Chris",PGA TOUR,42,-3,35,-1,0.926
"Lee, Kyounghoon",PGA TOUR,43,-6,42,2,0.878
"Todd, Brendon",PGA TOUR,44,-2,69,-1,0.839
"Taylor, Nick",PGA TOUR,45,-2,64,1,0.825
"Woodland, Gary",PGA TOUR,46,0,75,0,0.791
"Hoge, Tom",PGA TOUR,47,0,30,0,0.769
"Jaeger, Stephan",PGA TOUR,48,6,117,19,0.763
"Harman, Brian",PGA TOUR,49,-1,34,-1,0.756
"Spaun, J.J.",PGA TOUR,50,-1,74,-1,0.727
"Varner III, Harold",LIV Tour,51,12,65,-1,0.703
"Hadwin, Adam",PGA TOUR,52,-2,71,3,0.698
"Rodgers, Patrick",PGA TOUR,53,-2,105,0,0.694
"Lowry, Shane",PGA TOUR,54,-2,26,-1,0.693
"Power, Seamus",PGA TOUR,55,5,39,0,0.667
"Putnam, Andrew",PGA TOUR,56,-1,72,0,0.64
"Buckley, Hayden",PGA TOUR,57,-1,76,0,0.639
"Poston, J.T.",PGA TOUR,58,-1,54,0,0.631
"Montgomery, Taylor",PGA TOUR,59,-6,60,0,0.619
"Grillo, Emiliano",PGA TOUR,60,-2,78,1,0.601
"Meronk, Adrian",DP World Tour,61,0,47,-1,0.596
"Noren, Alex",PGA TOUR,62,0,57,-1,0.594
"Svensson, Adam",PGA TOUR,63,2,58,0,0.582
"Steele, Brendan",PGA TOUR,64,4,141,-3,0.582
"Wu, Brandon",PGA TOUR,65,8,81,2,0.567
"Hossler, Beau",PGA TOUR,66,0,131,-3,0.566
"Bezuidenhout, Christiaan",PGA TOUR,67,9,77,0,0.559
"Garcia, Sergio",LIV Tour,68,-4,200,-11,0.558
"English, Harris",PGA TOUR,69,-2,37,-1,0.554
"Lahiri, Anirban",LIV Tour,70,4,98,0,0.539
"Kokrak, Jason",LIV Tour,71,7,118,-8,0.519
"Stricker, Steve",PGA TOUR Champions,72,29,9999,0,0.506
"Mitchell, Keith",PGA TOUR,73,-1,51,2,0.502
"An, Byeong Hun",PGA TOUR,74,18,140,4,0.499
"Bramlett, Joseph",PGA TOUR,75,11,151,5,0.497
"Burmester, Dean",LIV Tour,76,12,85,0,0.476
"Hubbard, Mark",PGA TOUR,77,0,123,0,0.473
"Casey, Paul",LIV Tour,78,-19,142,-11,0.472
"Cole, Eric",PGA TOUR,79,10,122,11,0.465
