player_id,team,opp,pos,name,fpts,proj_own,smash,value_percent,ceil,floor,min_exposure,max_exposure,rg_value,salary,custom,rg_id,partner_id
1215108,NYG,JAX,RB,Sandro Platzgummer,,0,0,0,,,0,0,-10.75,4000,,2185009,1215108
696080,SF,KC,RB,Tevin Coleman,1.29,0.1,0,0,4.58,,0,0,-10.46,4500,,21723,696080
1110697,LV,HOU,RB,Zamir White,0.81,0.05,0,0,2.87,,0,0,-9.94,4000,,3492105,1110697
335,GB,WAS,DST,Packers,8.58,7.67,0,0,14.97,3.66,0,0,0.78,3400,,18425,335
357,LAC,SEA,DST,Chargers,6.15,1.09,0,0,13.22,0.8,0,0,-2.25,3700,,18439,357
1105824,CAR,TB,QB,Matt Corral,,0,0,0,,,0,0,-15.35,4800,,3491962,1105824
1050230,NYJ,DEN,WR,Tarik Black,,0,0,0,,,0,0,-8.75,3000,,2861903,1050230
1107826,WAS,GB,RB,Antonio Gibson,6.84,0.5,0,0,12.76,3.24,0,0,-6.51,5300,,1844676,1107826
1173430,TB,CAR,WR,Kaylon Geiger Sr.,,0,0,0,,,0,0,-8.75,3000,,3515976,1173430
978120,DET,DAL,TE,Brock Wright,0.24,0.08,0,0,0.48,,0,0,-7.51,2500,,2861662,978120
1108937,WAS,GB,RB,Jaret Patterson,,0,0,0,,,0,0,-10.75,4000,,2862097,1108937
606551,HOU,LV,WR,Chris Moore,5.21,0.37,0,0,12.19,1.67,0,0,-3.74,3100,,35415,606551
1176730,KC,SF,WR,Skyy Moore,4.14,0.92,0,0,11.54,,0,0,-5.41,3400,,3492073,1176730
605242,SEA,LAC,WR,Tyler Lockett,16.17,18.1,0,0,26.76,9.04,0,0,1.82,5800,,21808,605242
911020,DAL,DET,TE,Sean McKeon,0.07,0,0,0,0.14,,0,0,-7.68,2500,,1844580,911020
946594,BAL,CLE,WR,Binjimen Victor,,0,0,0,,,0,0,-8.75,3000,,1844607,946594
1075002,CLE,BAL,WR,Daylen Baldwin,,0,0,0,,,0,0,-8.75,3000,,3757783,1075002
838487,LAC,SEA,TE,Gerald Everett,9.88,5.46,0,0,18.97,4.25,0,0,-0.87,4000,,37058,838487
913155,LV,HOU,TE,Cole Fotheringham,0.22,0,0,0,0.44,,0,0,-7.53,2500,,3516069,913155
1079304,HOU,LV,RB,Troy Hairston,,0,0,0,,,0,0,-10.75,4000,,-1079304,1079304
607047,CLE,BAL,QB,Jacoby Brissett,16,1.18,0,0,24.45,9.68,0,0,-0.35,5300,,35493,607047
838179,DEN,NYJ,WR,Tim Patrick,,0,0,0,,,0,0,-8.75,3000,,36825,838179
877790,CAR,TB,WR,DJ Moore,12.03,6.87,0,0,20.56,6.34,0,0,-0.52,4900,,328733,877790
448240,KC,SF,TE,Travis Kelce,17.69,6.69,0,0,29.19,9.98,0,0,-1.06,8000,,18314,448240
325,HOU,LV,DST,Texans,5.49,2.34,0,0,11.42,1,0,0,-0.11,2300,,18426,325
336,TEN,IND,DST,Titans,7.31,6.08,0,0,14.01,2.65,0,0,0.31,3000,,18444,336
501150,SF,KC,RB,Kyle Juszczyk,3.05,0.22,0,0,8.44,0.01,0,0,-7.90,4100,,18516,501150
1124338,BAL,CLE,RB,Tyler Badie,,0,0,0,,,0,0,-10.75,4000,,3491354,1124338
