Alcorn State,45,Final
Houston (14) ,77,
Texas Southern,69,Final
Florida (20) ,54,
Babson,64,Final
Harvard,74,
Columbia,61,Final
Colgate,89,
Delaware State,60,Final
Liberty,96,
Illinois,87,Final
Iowa,83,
Mercer,74,Final
Coastal Carolina,69,
Millersville,71,Final
Morgan State,77,
New Mexico State,78,Final
New Mexico,76,OT
North Carolina Central,67,Final
The Citadel,80,
Presbyterian,66,Final
Morehead State,71,
San Jose State,69,Final
Pepperdine,82,
Towson,73,Final
Kent State,58,
Voorhees,51,Final
Georgia State,80,
