,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Texas Southern,12/6/2021 18:00,1600,320,22.5,18.18,138,17.39,5.7,57.8,80.3
Florida,12/6/2021 18:00,-3800,0.53,-22.5,18.18,138,19.05,94.3,80.3,57.8
Delaware State,12/6/2021 19:00,1200,240,22.5,18.18,129.5,20,7.4,53.5,76
Liberty,12/6/2021 19:00,-2500,0.8,-22.5,18.18,129.5,16.67,92.6,76,53.5
Illinois,12/6/2021 19:00,,,2.5,,150,,,,
Iowa,12/6/2021 19:00,,,-2.5,,150,,,,
Presbyterian,12/6/2021 19:00,375,75,10,17.39,121.5,18.18,20.1,55.8,65.8
Morehead State,12/6/2021 19:00,-510,3.92,-10,19.05,121.5,18.18,79.9,65.8,55.8
North Carolina Central,12/6/2021 19:00,270,54,7.5,18.18,148.5,20,25.8,70.5,78
Citadel,12/6/2021 19:00,-350,5.71,-7.5,18.18,148.5,16.67,74.2,78,70.5
Mercer,12/6/2021 19:00,135,27,3,18.18,139.5,18.18,41.2,68.3,71.3
Coastal Carolina,12/6/2021 19:00,-155,12.9,-3,18.18,139.5,18.18,58.8,71.3,68.3
Columbia,12/6/2021 19:00,1200,240,21,18.18,150,18.18,7.4,64.5,85.5
Colgate,12/6/2021 19:00,-2500,0.8,-21,18.18,150,18.18,92.6,85.5,64.5
Towson,12/6/2021 19:00,175,35,5,18.18,133.5,20,34.9,64.3,69.3
Kent State,12/6/2021 19:00,-210,9.52,-5,18.18,133.5,16.67,65.1,69.3,64.3
Alcorn State,12/6/2021 20:00,2500,500,32.5,18.18,131.5,18.18,3.7,49.5,82
Houston,12/6/2021 20:00,-8000,0.25,-32.5,18.18,131.5,18.18,96.3,82,49.5
New Mexico State,12/6/2021 21:00,-180,11.11,-4,18.18,153.5,18.18,62.1,78.8,74.8
New Mexico,12/6/2021 21:00,155,31,4,18.18,153.5,18.18,37.9,74.8,78.8
San Jose State,12/6/2021 22:00,150,30,4,18.18,135.5,16.67,38.8,65.8,69.8
Pepperdine,12/6/2021 22:00,-170,11.76,-4,18.18,135.5,20,61.2,69.8,65.8
