,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Campbell,2022-01-10 17:00:00,155,31.00,4.5,18.18,137.0,18.18,37.9,66.3,70.8
Winthrop,2022-01-10 17:00:00,-180,11.11,-4.5,18.18,137.0,18.18,62.1,70.8,66.3
Army,2022-01-10 18:00:00,260,52.00,7.5,19.05,153.5,19.05,26.5,73.0,80.5
Colgate,2022-01-10 18:00:00,-335,5.97,-7.5,17.39,153.5,17.39,73.5,80.5,73.0
Wofford,2022-01-10 18:00:00,-150,13.33,-3.0,17.39,125.5,18.18,58.0,64.3,61.3
UNC-Greensboro,2022-01-10 18:00:00,130,26.00,3.0,19.05,125.5,18.18,42.0,61.3,64.3
Illinois-Chicago,2022-01-10 19:00:00,,,,,,,,,
IUPUI,2022-01-10 19:00:00,,,,,,,,,
Boston University,2022-01-10 19:00:00,-320,6.25,-7.5,18.18,132.0,16.67,72.7,69.8,62.3
American,2022-01-10 19:00:00,250,50.00,7.5,18.18,132.0,20.00,27.3,62.3,69.8
Holy Cross,2022-01-10 19:00:00,235,47.00,7.0,18.18,141.0,18.18,28.5,67.0,74.0
Lehigh,2022-01-10 19:00:00,-300,6.67,-7.0,18.18,141.0,18.18,71.5,74.0,67.0
Bucknell,2022-01-10 19:00:00,190,38.00,6.0,18.18,143.0,18.18,33.0,68.5,74.5
Loyola (MD),2022-01-10 19:00:00,-235,8.51,-6.0,18.18,143.0,18.18,67.0,74.5,68.5
Navy,2022-01-10 19:00:00,-365,5.48,-9.0,18.18,136.5,20.00,74.9,72.8,63.8
Lafayette,2022-01-10 19:00:00,280,56.00,9.0,18.18,136.5,16.67,25.1,63.8,72.8
Western Carolina,2022-01-10 19:00:00,350,70.00,9.0,18.18,148.5,18.18,21.2,69.8,78.8
E. Tennessee State,2022-01-10 19:00:00,-475,4.21,-9.0,18.18,148.5,18.18,78.8,78.8,69.8
Grambling,2022-01-10 19:30:00,145,29.00,3.5,19.05,135.5,18.18,39.6,66.0,69.5
Florida A&M,2022-01-10 19:30:00,-165,12.12,-3.5,17.39,135.5,18.18,60.4,69.5,66.0
Southern,2022-01-10 19:30:00,-235,8.51,-5.5,18.18,135.5,18.18,67.0,70.5,65.0
Bethune-Cookman,2022-01-10 19:30:00,190,38.00,5.5,18.18,135.5,18.18,33.0,65.0,70.5
Jackson State,2022-01-10 20:00:00,-125,16.00,-1.0,17.39,118.5,18.18,53.2,59.8,58.8
Alabama A&M,2022-01-10 20:00:00,105,21.00,1.0,19.05,118.5,18.18,46.8,58.8,59.8
South Dakota,2022-01-10 20:00:00,-200,10.00,-5.0,18.18,145.0,17.39,64.3,75.0,70.0
North Dakota,2022-01-10 20:00:00,170,34.00,5.0,18.18,145.0,19.05,35.7,70.0,75.0
Omaha,2022-01-10 20:00:00,450,90.00,9.5,19.05,140.5,18.18,17.4,65.5,75.0
UM-Kansas City,2022-01-10 20:00:00,-630,3.17,-9.5,17.39,140.5,18.18,82.6,75.0,65.5
Arkansas-Pine Bluff,2022-01-10 20:30:00,500,100.00,,,150.0,18.18,16.0,,
Prairie View,2022-01-10 20:30:00,-720,2.78,,,150.0,18.18,84.0,,
Mississippi Valley St.,2022-01-10 20:30:00,1200,240.00,19.0,18.18,146.0,18.18,7.4,63.5,82.5
Texas Southern,2022-01-10 20:30:00,-2500,0.80,-19.0,18.18,146.0,18.18,92.6,82.5,63.5
North Dakota State,2022-01-10 21:00:00,-240,8.33,-5.0,18.18,139.5,16.67,67.6,72.3,67.3
Denver,2022-01-10 21:00:00,195,39.00,5.0,18.18,139.5,20.00,32.4,67.3,72.3
Alcorn State,2022-01-10 21:00:00,-105,19.05,-1.0,19.05,140.5,18.18,48.9,70.8,69.8
Alabama State,2022-01-10 21:00:00,-115,17.39,1.0,17.39,140.5,18.18,51.1,69.8,70.8
San Diego,2022-01-10 22:00:00,130,26.00,3.0,18.18,139.5,18.18,42.0,68.3,71.3
Pepperdine,2022-01-10 22:00:00,-150,13.33,-3.0,18.18,139.5,18.18,58.0,71.3,68.3
Oregon,2022-01-10 22:00:00,-225,8.89,-5.0,17.39,137.5,18.18,66.4,71.3,66.3
Oregon State,2022-01-10 22:00:00,185,37.00,5.0,19.05,137.5,18.18,33.6,66.3,71.3
