player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Christian Harris,98996,LB,HST,1,6,,6.0,13,0,39.6,0,1,0,0,0,0.0
Taylor Rapp,51172,S,LA,1,20,,20.0,26,0,39.6,0,1,0,0,0,0.0
Paulson Adebo,52280,CB,NO,1,2,,2.0,20,0,39.6,0,1,0,0,0,0.0
Coby Bryant,55088,CB,SEA,1,17,,17.0,29,0,39.6,0,1,0,0,0,0.0
Derwin James,51368,S,LAC,1,3,,3.0,27,1,0.0,0,1,0,0,0,0.0
Jamin Davis,57905,LB,WAS,1,5,,5.0,32,0,39.6,0,1,0,0,0,0.0
Patrick Queen,57941,LB,BLT,1,6,,6.0,3,0,39.6,0,1,0,0,0,0.0
Lorenzo Carter,50126,ED,ATL,1,4,,4.0,2,0,39.6,0,1,0,0,0,0.0
Keion Crossen,49454,CB,MIA,1,3,,3.0,17,0,39.6,0,1,0,0,0,0.0
Landon Collins,9466,S,NYG,1,4,,4.0,21,0,39.6,0,1,0,0,0,0.0
Carlton Davis,49335,CB,TB,1,2,,2.0,30,0,39.6,0,1,0,0,0,0.0
Jordan Whitehead,49196,S,NYJ,1,10,,10.0,22,0,39.6,0,1,0,0,0,0.0
Jalen Ramsey,10639,CB,LA,1,14,,7.0,26,1,0.0,0,2,0,0,0,0.0
Myles Hartsfield,49159,S,CAR,1,6,,6.0,5,0,39.6,0,1,0,0,0,0.0
James Bradberry,10696,CB,PHI,1,4,,4.0,24,0,39.6,0,1,0,0,0,0.0
Jaquan Brisker,101665,S,CHI,1,5,,2.5,6,0,39.6,0,2,0,0,0,0.0
Nick Bolton,81322,LB,KC,1,3,,3.0,16,0,39.6,0,1,0,0,0,0.0
Greg Newsome II,83341,CB,CLV,1,10,,3.3,8,0,39.6,0,3,0,0,0,0.0
Tashaun Gipson Sr.,7288,S,SF,1,2,,2.0,28,0,39.6,0,1,0,0,0,0.0
Kamu Grugier-Hill,10842,LB,ARZ,1,2,,2.0,1,0,39.6,0,1,0,0,0,0.0
Rodney Thomas II,108389,S,IND,1,1,,1.0,14,0,39.6,0,1,0,0,0,0.0
K'Von Wallace,42467,S,PHI,1,3,,3.0,24,0,39.6,0,1,0,0,0,0.0
Trent McDuffie,72191,CB,KC,1,32,32.0,10.7,16,0,42.4,1,3,0,7,0,0.22
Kyle Hamilton,102684,S,BLT,1,22,22.0,11.0,3,0,64.6,1,2,0,10,4,0.45
Cobie Durant,79126,CB,LA,1,20,20.0,10.0,26,2,16.7,1,2,0,2,0,0.1
Joshua Kalu,51203,S,TEN,1,19,19.0,19.0,31,0,83.3,1,1,0,4,6,0.21
