player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Joe Burrow,28022,QB,CIN,1,55,85.7,7,7,7.0,2.2,0,1,14.3,85.7,6,2,0.0,7,12.7,0,2,,69.6,70.0,71.1,69.0,,,0,1,7,0.0,69.3,0.0,0,0,0,0,0,1,14.3,71,10.1,0,7,81.8,91.6,91.2,67.3,88.1,42,45,7.2,2.3,0,5,10.6,75.6,34,10,8.1,48,87.3,3,17,,80.5,92.8,78.0,91.6,,63.3,0,1,51,20.0,106.2,4.2,2,1,0,3,3,0,0.0,304,6.8,88.1,42,43,7.2,2.1,0,4,9.3,81.4,35,0,5.4,43,78.2,2,16,,79.5,93.5,77.4,92.4,,,0,1,43,,111.6,0.0,0,0,0,1,3,0,0.0,324,7.5,2,85.7,7,9,6.6,2.96,0,2,18.2,55.6,5,12,16.7,12,21.8,1,3,,73.5,69.3,73.7,66.0,,63.3,0,1,15,16.7,32.4,16.7,2,1,0,2,0,1,6.7,51,5.7
Kirk Cousins,7102,QB,MIN,1,52,71.4,21,24,8.6,2.53,2,1,4.2,62.5,15,10,0.0,27,51.9,0,9,,76.8,72.2,75.8,71.1,,,0,0,27,30.0,111.6,11.1,3,0,0,1,2,0,0.0,171,7.1,0,18,80.9,69.4,67.2,62.6,87.0,23,24,5.0,2.54,0,1,4.0,79.2,19,8,5.0,25,48.1,1,7,,76.6,60.3,75.6,60.1,,,0,0,26,12.5,102.8,4.0,1,0,1,0,1,1,3.8,128,5.3,81.3,32,34,4.9,2.17,1,0,0.0,73.5,25,0,3.8,34,65.4,1,12,,78.3,59.8,76.7,59.6,,,0,0,35,,99.5,0.0,0,0,1,0,1,1,2.9,215,6.3,0,75.0,12,14,11.6,3.22,1,2,14.3,64.3,9,18,0.0,18,34.6,0,4,,74.5,76.9,74.3,75.4,,,0,0,18,22.2,120.2,22.2,4,0,0,1,2,0,0.0,84,6.0
Daniel Jones,39395,QB,NYG,1,49,88.9,9,11,8.1,2.51,1,1,8.3,72.7,8,6,0.0,12,24.5,0,6,,72.8,74.2,73.2,72.9,,,0,1,13,16.7,64.6,8.3,1,0,0,1,0,1,7.7,105,9.5,0,21,32.0,85.3,79.4,80.9,86.2,29,31,6.0,2.96,1,1,3.0,71.0,22,13,12.0,37,75.5,3,11,,28.0,84.5,77.1,77.7,,80.9,1,0,39,15.4,102.9,5.4,2,4,0,0,1,1,2.6,230,7.4,92.6,27,28,4.7,2.39,1,1,3.6,85.7,24,0,4.0,30,61.2,1,11,,77.4,92.9,76.1,90.4,,78.2,0,0,30,,102.8,0.0,0,2,0,0,0,0,0.0,243,8.7,0,72.7,11,14,10.9,3.57,1,1,5.9,42.9,6,19,25.0,19,38.8,2,6,,23.7,59.7,75.0,57.1,,66.0,1,1,22,15.8,59.2,15.8,3,2,0,1,1,2,9.1,92,6.6
Trace McSorley,32819,QB,ARZ,1,48,57.1,14,16,8.4,2.64,0,0,0.0,43.8,7,5,12.5,18,37.5,1,3,,22.6,30.0,74.3,32.3,,57.9,0,0,18,20.0,53.9,5.6,1,1,0,2,0,2,11.1,59,3.7,0,1,35.1,45.3,48.3,47.1,69.2,26,29,7.7,2.28,0,1,3.3,58.6,17,6,5.6,30,62.5,1,4,,77.6,62.7,76.3,63.3,,58.3,0,1,31,0.0,59.3,0.0,0,1,1,2,0,0,0.0,158,5.4,68.6,35,36,7.3,2.17,0,1,2.7,61.1,22,0,8.3,37,77.1,2,7,,78.7,55.4,77.0,56.2,,58.3,0,0,38,,77.3,0.0,0,1,1,0,0,1,2.6,210,5.8,0,40.0,5,9,12.4,3.22,0,0,0.0,22.2,2,11,0.0,11,22.9,0,0,,19.5,30.5,72.6,32.6,,57.9,0,1,11,9.1,0.0,9.1,1,1,0,4,0,1,9.1,7,0.8
Tom Brady,698,QB,TB,1,48,55.6,9,9,7.1,1.83,0,1,11.1,55.6,5,1,0.0,9,18.8,0,4,,70.9,66.1,71.9,65.5,,,0,0,9,0.0,72.5,0.0,0,0,0,0,0,0,0.0,52,5.8,0,30,80.9,60.1,58.1,64.7,73.7,38,39,4.8,1.89,0,1,2.4,69.2,27,4,3.6,39,81.3,1,11,,79.3,55.3,77.3,55.5,,,1,2,42,0.0,71.4,0.0,0,0,0,0,1,2,4.8,229,5.9,72.1,43,43,4.6,1.8,0,2,4.4,72.1,31,0,0.0,43,89.6,0,15,,79.8,63.3,77.6,62.8,,,0,1,45,,87.1,0.0,0,0,0,0,1,1,2.2,277,6.4,0,50.0,4,5,12.3,2.54,0,0,0.0,20.0,1,5,50.0,5,10.4,1,0,,68.9,41.9,70.6,43.3,,,1,1,6,0.0,0.0,0.0,0,0,0,0,0,1,16.7,4,0.8
Jared Goff,10635,QB,DET,1,46,77.8,9,11,11.4,2.6,1,0,0.0,63.6,7,3,0.0,12,26.1,0,5,,72.4,74.2,72.9,73.0,,,0,0,12,33.3,101.7,8.3,1,0,0,1,0,0,0.0,123,11.2,0,11,31.5,78.6,83.2,39.3,76.0,25,31,8.6,2.89,3,2,5.9,58.1,18,11,5.3,34,73.9,1,11,,78.7,85.2,77.0,82.3,,66.4,0,0,38,9.1,113.9,2.9,1,2,0,3,3,0,0.0,232,7.5,84.6,26,31,8.7,2.65,4,2,6.3,67.7,21,0,4.5,32,69.6,1,14,,77.9,93.7,76.5,91.9,,65.6,0,0,33,,129.8,0.0,0,1,0,1,3,0,0.0,290,9.4,0,50.0,8,11,11.5,3.17,0,0,0.0,36.4,4,14,0.0,14,30.4,0,2,,74.2,48.3,74.1,49.8,,58.3,0,0,17,14.3,57.0,14.3,2,1,0,3,0,0,0.0,65,5.9
Geno Smith,7820,QB,SEA,1,44,100.0,4,4,11.8,2.55,0,1,25.0,100.0,4,1,0.0,4,9.1,0,2,,66.9,91.1,69.2,90.0,,,0,0,4,0.0,118.8,0.0,0,0,0,0,0,0,0.0,61,15.3,0,29,80.2,73.4,70.9,66.9,74.2,31,36,7.5,2.77,2,1,2.6,58.3,21,13,8.7,40,90.9,2,7,,79.5,64.9,77.4,64.0,,62.0,0,1,43,15.4,66.2,5.0,2,2,0,3,1,2,4.7,154,4.3,72.0,25,28,8.6,2.46,2,1,3.4,57.1,16,0,11.1,30,68.2,2,7,,77.6,73.7,76.3,72.5,,62.0,0,1,31,,59.7,0.0,0,2,0,1,0,1,3.2,167,6.0,0,90.0,10,12,6.2,3.35,0,1,7.7,75.0,9,14,0.0,14,31.8,0,2,,73.9,63.4,73.9,63.0,,,0,0,16,14.3,109.0,14.3,2,0,0,2,1,1,6.3,48,4.0
Dak Prescott,10769,QB,DAL,1,44,75.0,12,12,2.7,2.41,0,0,0.0,75.0,9,5,0.0,14,31.8,0,8,,72.8,40.9,73.5,42.1,,,0,1,14,40.0,63.9,14.3,2,0,0,0,0,1,7.1,98,8.2,0,9,80.2,77.6,74.3,70.1,87.0,23,23,11.1,3.16,0,3,12.5,78.3,18,12,10.0,30,68.2,2,12,,77.6,90.2,76.3,87.8,,67.4,0,0,31,33.3,151.4,13.3,4,3,0,0,3,1,3.2,249,10.8,84.0,25,25,8.3,2.49,0,3,12.0,80.0,20,0,4.8,27,61.4,1,13,,76.8,77.5,75.8,77.5,,58.7,0,1,27,,119.8,0.0,0,2,0,0,2,2,7.4,259,10.4,1,80.0,10,10,8.0,3.62,0,0,0.0,70.0,7,17,12.5,17,38.6,1,7,,74.2,68.6,74.3,63.4,,65.9,0,0,18,35.3,130.4,35.3,6,1,0,0,1,0,0.0,88,8.8
Gardner Minshew,41401,QB,PHI,1,42,100.0,8,8,10.8,2.26,0,0,0.0,100.0,8,2,0.0,8,19.0,0,7,,70.3,94.0,71.5,92.7,,,0,0,8,0.0,156.3,0.0,0,0,0,0,1,0,0.0,96,12.0,0,24,79.7,73.4,74.7,52.2,64.0,25,32,11.8,2.87,1,0,0.0,50.0,16,18,0.0,34,81.0,0,12,,78.3,58.4,76.8,60.7,,51.1,0,2,36,0.0,61.8,0.0,0,2,1,5,1,1,2.8,259,8.1,71.4,21,22,11.0,2.19,0,0,0.0,68.2,15,0,0.0,22,52.4,0,11,,76.1,68.8,75.3,68.0,,,0,2,24,,72.5,0.0,0,0,1,0,1,1,4.2,192,8.7,0,75.0,12,18,12.7,3.39,1,0,0.0,50.0,9,20,0.0,20,47.6,0,8,,74.8,74.0,74.7,77.9,,51.1,0,0,20,0.0,100.0,0.0,0,2,0,5,1,0,0.0,163,9.1
Aaron Rodgers,2241,QB,GB,1,42,81.0,21,23,9.0,2.53,1,2,8.7,73.9,17,7,0.0,25,59.5,0,9,,76.6,88.7,75.6,86.9,,62.9,0,0,26,14.3,110.8,4.0,1,1,0,1,1,0,0.0,180,7.8,0,12,80.4,74.9,74.3,62.9,64.3,14,15,9.4,2.69,1,0,0.0,46.7,7,3,22.2,17,40.5,2,3,,74.2,53.8,74.1,51.1,,63.9,0,1,17,33.3,29.3,5.9,1,1,0,0,0,2,11.8,58,3.9,76.7,30,32,7.7,2.23,2,1,3.1,65.6,21,0,8.7,32,76.2,2,10,,77.7,81.4,76.4,79.6,,,0,0,32,,93.0,0.0,0,0,0,0,1,1,3.1,198,6.2,0,60.0,5,6,18.2,3.79,0,1,16.7,50.0,3,10,0.0,10,23.8,0,2,,71.9,59.1,72.6,52.2,,68.0,0,1,11,20.0,31.9,20.0,2,2,0,1,0,1,9.1,40,6.7
