player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Ted Karras,10855,C,CIN,1,0,7,68.4,0,2,55,100.0,100.0,98.2,0,2,0,58,58,59.5,0,2,26,100.0,100.0,96.2,2,0,28,28
Cordell Volson,30614,G,CIN,1,0,7,74.8,0,1,55,100.0,100.0,99.1,1,1,0,58,58,67.3,0,1,26,100.0,100.0,98.1,1,0,28,28
Alex Cappa,66578,G,CIN,1,0,7,71.6,0,0,55,100.0,100.0,100.0,0,0,0,58,58,61.8,0,0,26,100.0,100.0,100.0,0,0,28,28
Jonah Williams,41651,T,CIN,1,0,7,61.1,0,2,55,100.0,100.0,94.5,0,4,2,58,58,53.3,0,1,26,100.0,100.0,90.4,3,2,28,28
Christian Darrisaw,77373,T,MIN,1,0,18,83.0,0,0,51,100.0,100.0,98.0,0,1,1,53,53,82.7,0,0,19,100.0,100.0,94.7,1,1,19,19
Ed Ingram,59819,G,MIN,1,0,18,53.7,1,1,51,100.0,100.0,96.1,0,3,1,53,53,33.0,1,1,19,100.0,100.0,89.5,3,1,19,19
Austin Schlottmann,30097,C,MIN,1,0,18,26.3,1,4,51,100.0,100.0,93.1,0,6,1,53,53,38.3,1,2,19,100.0,100.0,86.8,4,1,19,19
Brian O'Neill,46854,T,MIN,1,0,18,83.0,1,0,51,100.0,100.0,99.0,0,1,0,53,53,83.0,0,0,19,100.0,100.0,100.0,0,0,19,19
Ezra Cleveland,41973,G,MIN,1,0,18,59.3,3,0,51,100.0,100.0,95.1,0,4,1,53,53,44.3,3,0,19,100.0,100.0,86.8,4,1,19,19
Evan Neal,99063,T,NYG,1,0,21,49.0,3,3,49,100.0,100.0,91.8,0,7,1,52,52,35.4,1,2,20,100.0,100.0,87.5,4,1,21,21
Mark Glowinski,9567,G,NYG,1,0,21,41.5,0,4,49,100.0,100.0,95.9,0,4,0,52,52,37.1,0,3,20,100.0,100.0,92.5,3,0,21,21
Andrew Thomas,59701,T,NYG,1,0,21,69.8,0,4,49,100.0,100.0,95.9,0,4,0,52,52,71.7,0,0,20,100.0,100.0,100.0,0,0,21,21
Jon Feliciano,9561,C,NYG,1,0,21,64.9,0,1,49,100.0,100.0,99.0,1,1,0,52,52,73.4,0,0,20,100.0,100.0,100.0,0,0,21,21
Nick Leverett,27699,G,TB,1,0,30,49.4,1,0,48,100.0,100.0,99.0,0,1,0,51,51,74.2,1,0,11,100.0,100.0,95.5,1,0,13,13
Robert Hainsey,59980,C,TB,1,0,30,71.6,1,0,48,100.0,100.0,99.0,0,1,0,51,51,69.0,0,0,11,100.0,100.0,100.0,0,0,13,13
Tristan Wirfs,64818,T,TB,1,0,30,80.4,0,0,48,100.0,100.0,100.0,1,0,0,51,51,66.8,0,0,11,100.0,100.0,100.0,0,0,13,13
Shaq Mason,9564,G,TB,1,0,30,68.5,0,0,48,100.0,100.0,100.0,0,0,0,51,51,64.2,0,0,11,100.0,100.0,100.0,0,0,13,13
Penei Sewell,81788,T,DET,1,0,11,76.9,0,2,46,100.0,100.0,97.8,1,2,0,50,50,73.6,0,2,30,100.0,100.0,96.7,2,0,34,34
Jonah Jackson,37070,G,DET,1,0,11,36.7,1,2,46,100.0,100.0,96.7,0,3,0,50,50,44.4,0,2,30,100.0,100.0,96.7,2,0,34,34
Evan Brown,38709,G,DET,1,1,11,26.9,1,3,46,100.0,100.0,93.5,1,5,1,50,50,21.0,1,3,30,100.0,100.0,93.3,4,0,34,34
Frank Ragnow,39137,C,DET,1,0,11,51.4,0,1,46,100.0,100.0,98.9,0,1,0,50,50,45.5,0,1,30,100.0,100.0,98.3,1,0,34,34
