team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
ATL,2,1,37,0,1,37,98.6,1,0
LA,26,1,29,0,1,29,98.3,1,0
CLV,8,1,33,1,1,33,97.0,2,0
TB,30,1,48,4,0,48,95.8,4,0
BLT,3,1,18,0,2,18,94.4,2,0
GB,12,1,42,0,5,42,94.0,5,0
CAR,5,1,23,0,3,23,93.5,3,0
KC,16,1,31,0,2,31,93.5,3,1
PIT,25,1,40,2,5,40,91.2,7,0
SF,28,1,26,0,3,26,90.4,4,1
NO,20,1,15,0,3,15,90.0,3,0
ARZ,1,1,47,4,6,47,89.4,10,0
CHI,6,1,32,0,3,32,89.1,5,2
DAL,9,1,44,0,8,44,88.6,9,1
HST,13,1,35,2,6,35,88.6,8,0
BUF,4,1,31,1,7,31,87.1,8,0
CIN,7,1,55,1,10,55,86.4,13,2
LAC,27,1,36,2,5,36,84.7,9,2
DET,11,1,46,2,9,46,83.7,13,2
MIA,17,1,27,1,4,27,83.3,7,2
PHI,24,1,41,0,14,41,82.9,14,0
DEN,10,1,42,2,11,42,82.1,14,1
NE,19,1,36,1,10,36,81.9,12,1
SEA,29,1,44,3,9,44,81.8,14,2
MIN,18,1,51,6,5,51,81.4,15,4
NYG,21,1,49,4,13,49,80.6,18,1
TEN,31,1,28,1,10,28,80.4,11,0
JAX,15,1,36,2,11,36,79.2,14,1
IND,14,1,36,1,6,36,79.2,11,4
NYJ,22,1,40,1,10,40,78.7,14,3
LV,23,1,35,0,11,35,75.7,14,3
WAS,32,1,36,5,14,36,70.8,20,1
