player_id,team,opp,pos,name,fpts,proj_own,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1215324,VAND,NIU,WR,Logan Kyle,0.61,0,0,0,4100,,,1215324
1214114,CINCY,MIAOH,WR,Jadon Thompson,10.61,1,0,0,4700,,,1214114
1214598,MIAOH,CINCY,QB,Aveon Smith,13.01,1,0,0,5700,,,1214598
1325555,COL,MINN,QB,James Mott III,,0,0,0,4500,,,1325555
1238204,BYU,ORE,WR,Hobbs Nyberg,,0,0,0,3000,,,1238204
1325203,NEB,OU,WR,Truitt Robinson,,0,0,0,3000,,,1325203
1325214,CINCY,MIAOH,QB,Jacob Hoying,,0,0,0,4500,,,1325214
1229503,IU,WKU,WR,AJ Barner,6.97,0,0,0,3500,,,1229503
1128116,UCLA,SALA,QB,Dorian Thompson-Robinson,25.33,24,0,0,8300,,,1128116
1401213,VAND,NIU,WR,Hutch Baird,,0,0,0,3000,,,1401213
1400003,NIU,VAND,WR,Caden VandenBerge,,0,0,0,3000,,,1400003
1172050,UGA,SCAR,RB,Kenny McIntosh,16.92,5,0,0,6700,,,1172050
1296461,VAND,NIU,RB,Patrick Smith,,0,0,0,3100,,,1296461
1293073,KU,UH,WR,Tanaka Scott,1.62,0,0,0,3000,,,1293073
1218658,UGA,SCAR,WR,Darnell Washington,3.69,0,0,0,3900,,,1218658
1176330,IU,WKU,RB,Josh Henderson,7.17,2,0,0,4400,,,1176330
1402468,KU,UH,QB,Kai Kunz,,0,0,0,4500,,,1402468
1067441,NIU,VAND,WR,Liam Soraghan,1.43,0,0,0,3300,,,1067441
1229449,SYR,PUR,QB,Luke MacPhail,,0,0,0,4500,,,1229449
1287683,NEB,OU,WR,Shawn Hardy II,,0,0,0,3000,,,1287683
1395142,MINN,COL,QB,Jacob Knuth,,0,0,0,4500,,,1395142
1396000,UGA,SCAR,WR,Miles Thornton,,0,0,0,3000,,,1396000
1395153,MINN,COL,RB,Max Grand,2.19,0,0,0,3000,,,1395153
1286253,MISS,GT,WR,Brandon Buckhaulter,,0,0,0,3000,,,1286253
1121220,SCAR,UGA,RB,Dante Miller,,0,0,0,3000,,,1121220
1231693,SALA,UCLA,RB,Omni Wells,2.15,0,0,0,3300,,,1231693
1378840,SYR,PUR,RB,LeQuint Allen,4.71,0,0,0,6500,,,1378840
1178365,UCLA,SALA,RB,Christian Grubb,0.97,0,0,0,3000,,,1178365
1166386,KU,UH,WR,Trevor Wilson,,0,0,0,3000,,,1166386
1286176,ORE,BYU,WR,Troy Franklin,9.95,1,0,0,4900,,,1286176
1289586,NIU,VAND,QB,Ethan Hampton,,0,0,0,5800,,,1289586
1286088,SCAR,UGA,RB,Nathan Harris-Waynick,,0,0,0,3000,,,1286088
1067089,PSU,AUB,QB,Sean Clifford,20.9,9,0,0,5600,,,1067089
1134365,UCLA,SALA,WR,Ryan Cragun,0.66,0,0,0,3000,,,1134365
1378312,GT,MISS,QB,Zach Pyron,,0,0,0,4500,,,1378312
