"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"1","Scottie Scheffler",22529105,10900,93.81,92.46,25.6,115.5,72,0.8242,0.0314,0.6618,0.5637,0.4007,0.2717,0.195,0.0881,15,0.2618,118.5,8.08,1.23,0.18,26,2022-05-15,"AT&T Byron Nelson"
"2","Justin Thomas",22529106,10600,99.21,93.24,26.5,116,73,0.807,0.0277,0.6318,0.5281,0.3684,0.24,0.1694,0.0733,5,0.2856,127,6.92,0.99,0.15,27,2022-05-15,"AT&T Byron Nelson"
"3","Dustin Johnson",22529107,10200,65.14,79.58,10.9,104,34,0.7198,0.0256,0.4779,0.3726,0.2306,0.1341,0.0883,0.034,59,0.1027,90,3.33,-1.54,-0.23,11,2022-05-15,"AT&T Byron Nelson"
"4","Jordan Spieth",22529108,10100,69.68,77.94,15.7,102.5,33.5,0.659,0.0129,0.3944,0.2919,0.1675,0.0931,0.0582,0.0209,2,0.1566,141,2.07,-2.57,-0.39,15,2022-05-15,"AT&T Byron Nelson"
"5","Hideki Matsuyama",22529109,9900,86.65,77.14,14.1,102,34,0.7517,0.0271,0.5204,0.413,0.2625,0.1578,0.1048,0.041,3,0.1017,139.5,4.14,-0.06,-0.01,14,2022-05-15,"AT&T Byron Nelson"
"6","Xander Schauffele",22529110,9700,81.59,85.07,14.8,107,38,0.7474,0.0251,0.5127,0.3988,0.2454,0.1431,0.0947,0.0355,5,0.1385,130,3.66,-0.14,-0.02,15,2022-05-15,"AT&T Byron Nelson"
"7","Sam Burns",22529111,9500,81.92,78.6,30.8,103,34.42,0.7081,0.0173,0.4678,0.3638,0.2231,0.1311,0.0855,0.033,100,0.251,37,3.47,0.03,0,31,2022-05-15,"AT&T Byron Nelson"
"8","Will Zalatoris",22529112,9400,74.32,80.28,27.4,104.5,33.5,0.7338,0.0158,0.4993,0.3882,0.2416,0.141,0.0915,0.0341,100,0.314,35.5,3.63,0.36,0.05,27,2022-05-15,"AT&T Byron Nelson"
"9","Joaquin Niemann",22529113,9300,74.08,83.54,17.2,106,37,0.712,0.0131,0.4632,0.3525,0.206,0.1143,0.0737,0.0266,25,0.1699,99,2.86,-0.25,-0.04,17,2022-05-15,"AT&T Byron Nelson"
"10","Tommy Fleetwood",22529115,9000,71.32,73.32,8.1,98,32.5,0.66,0.0112,0.3902,0.2815,0.1544,0.0795,0.0495,0.0173,59,0.0816,86.5,1.92,-0.77,-0.12,8,2022-05-15,"AT&T Byron Nelson"
"11","Adam Scott",22529116,8700,72.27,70.08,6.4,96,32,0.6018,0.0078,0.315,0.221,0.1148,0.057,0.034,0.0102,32,0.0603,100,1.17,-1.16,-0.17,6,2022-05-15,"AT&T Byron Nelson"
"12","Talor Gooch",22529117,8600,83,72.13,17.9,98,32,0.6756,0.0189,0.4065,0.2999,0.1713,0.0921,0.0575,0.0191,100,0.1935,36,2.22,0,0,18,2022-05-15,"AT&T Byron Nelson"
"13","Jhonattan Vegas",22529118,8400,69.67,73.88,16.6,99.5,32.5,0.634,0.0086,0.3496,0.2476,0.1304,0.0662,0.0394,0.0125,59,0.1647,76.5,1.49,-0.54,-0.08,17,2022-05-15,"AT&T Byron Nelson"
"14","Jason Kokrak",22529119,8300,69.32,64.85,6.7,93,30.5,0.597,0.0087,0.314,0.2194,0.1154,0.0609,0.0366,0.0124,17,0.0873,106,1.49,-0.45,-0.07,7,2022-05-15,"AT&T Byron Nelson"
"15","Jason Day",22529120,8200,60.4,63.87,7.7,92.5,30.5,0.629,0.0136,0.3397,0.2414,0.1282,0.0671,0.0391,0.0134,51,0.0703,85.5,1.63,-0.22,-0.03,8,2022-05-15,"AT&T Byron Nelson"
"16","Aaron Wise",22529121,8100,68.71,72.43,20.1,98.5,32.5,0.6786,0.0203,0.4057,0.2998,0.1733,0.0935,0.0601,0.0217,51,0.1687,89,2.68,0.91,0.14,20,2022-05-15,"AT&T Byron Nelson"
"17","Adam Hadwin",22529122,8000,70,71.13,20.5,96.5,32.5,0.6247,0.0102,0.3455,0.2469,0.131,0.0669,0.0396,0.0131,100,0.166,23.5,1.64,-0.06,-0.01,20,2022-05-15,"AT&T Byron Nelson"
"18","Cameron Champ",22529123,8000,54,51.25,8.8,83.5,27.5,0.5169,0.0052,0.2194,0.1415,0.066,0.0311,0.0179,0.0051,38,0.0857,94.5,0.64,-1.06,-0.16,9,2022-05-15,"AT&T Byron Nelson"
"19","Seamus Power",22529124,7900,69.75,75.07,7.5,100,32.5,0.7067,0.0212,0.4462,0.3382,0.2013,0.1131,0.072,0.0269,17,0.1327,104,3.41,1.78,0.27,8,2022-05-15,"AT&T Byron Nelson"
"20","Alex Noren",22529125,7900,68.96,73.65,13.4,98,33,0.6604,0.0157,0.3774,0.2742,0.1502,0.0786,0.0473,0.0148,12,0.1163,111.5,1.87,0.24,0.04,13,2022-05-15,"AT&T Byron Nelson"
"21","Maverick McNealy",22529126,7800,77.86,70.39,20.9,96.5,31.5,0.6474,0.0096,0.3742,0.2712,0.1505,0.0782,0.0472,0.0163,32,0.1991,101,2.09,0.54,0.08,21,2022-05-15,"AT&T Byron Nelson"
"22","Marc Leishman",22529127,7800,74.42,71.4,7.7,97,32,0.5978,0.0077,0.3058,0.21,0.1046,0.0512,0.0301,0.0094,51,0.1096,106.5,1.21,-0.34,-0.05,8,2022-05-15,"AT&T Byron Nelson"
"23","Si Woo Kim",22529128,7800,69.36,69.72,5.7,96,31.5,0.6715,0.0184,0.3965,0.2911,0.162,0.0875,0.0546,0.0196,100,0.1074,34.5,2.51,0.96,0.14,6,2022-05-15,"AT&T Byron Nelson"
"24","Davis Riley",22529129,7700,61.97,57.47,7.4,87.5,28.5,0.4961,0.0047,0.1981,0.1241,0.0568,0.0243,0.0133,0.0034,9,0.0628,115.5,0.44,-1,-0.15,7,2022-05-15,"AT&T Byron Nelson"
"25","Matt Kuchar",22529130,7700,71.23,59.86,3.6,88.5,29,0.5698,0.0089,0.2609,0.173,0.0806,0.0374,0.0216,0.006,12,0.0622,107.5,0.78,-0.66,-0.1,4,2022-05-15,"AT&T Byron Nelson"
"26","Lanto Griffin",22529131,7700,64.88,63.87,11.8,92.5,30,0.5993,0.0075,0.3086,0.214,0.1084,0.0527,0.0316,0.0097,51,0.105,87.5,1.26,-0.18,-0.03,12,2022-05-15,"AT&T Byron Nelson"
"27","Mito Pereira",22529133,7600,67.06,68.27,9.1,95.5,31.5,0.6344,0.0126,0.3362,0.2372,0.1246,0.0625,0.0382,0.0116,17,0.0817,108,1.53,0.2,0.03,9,2022-05-15,"AT&T Byron Nelson"
"28","Sebastian Munoz",22529134,7600,66.4,64.02,11.4,91.5,30.5,0.6465,0.0154,0.3587,0.2576,0.1412,0.0745,0.0455,0.0156,3,0.1181,137,2.05,0.72,0.11,12,2022-05-15,"AT&T Byron Nelson"
"29","Sepp Straka",22529135,7600,58.32,60.4,9.5,90.5,29.5,0.6306,0.0094,0.3474,0.2466,0.1301,0.0669,0.04,0.0129,73,0.0886,77,1.7,0.37,0.06,10,2022-05-15,"AT&T Byron Nelson"
"30","Bubba Watson",22529136,7500,52.4,60.63,3.8,89.5,29.5,0.6464,0.0157,0.3653,0.2632,0.144,0.076,0.0472,0.0168,100,0.0519,33,2.24,1.04,0.16,4,2022-05-15,"AT&T Byron Nelson"
"31","Keith Mitchell",22529137,7500,68.14,68.86,12.5,96,31.5,0.635,0.0154,0.3494,0.2499,0.1336,0.0692,0.0421,0.0141,76,0.1392,77,1.88,0.68,0.1,13,2022-05-15,"AT&T Byron Nelson"
