player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Cam Camper,156414,WR,INDIANA,4,62,0,190,0,0.7,0,66.7,,0,0,33.3,1,1,0,12.9,45.8,0,10,0.0,0,20,2,95.0,19,79.9,3,4.8,0,16,13,6.5,8.0,0.84,10.4,0,20.0,0.0,0,1,50.0,1,1,0,67.9,69.7,0,15,0.0,0,22,1,95.5,21,39.6,5,8.1,0,15,3,3.0,15.0,0.71
Rashee Rice,97605,WR,SMU,4,58,0,287,0,-3.3,3,71.4,,0,0,0.0,0,0,0,93.6,60.9,0,8,0.0,0,22,5,95.5,21,74.1,7,12.1,0,9,26,5.2,1.8,0.43,13.0,3,66.7,50.0,1,2,9.1,1,4,0,79.8,90.6,1,54,0.0,0,24,10,95.8,23,76.5,15,25.9,0,168,58,5.8,16.8,7.3
Zakhari Franklin,97620,WR,UTSA,5,58,0,331,0,-1.8,4,75.0,,0,0,18.2,2,3,0,29.2,63.8,1,35,0.0,0,29,9,100.0,29,85.4,12,20.7,1,80,99,11.0,8.9,2.76,7.2,4,76.9,0.0,0,1,0.0,0,7,0,72.7,72.0,1,35,0.0,0,37,10,91.9,34,125.8,13,22.4,2,171,96,9.6,17.1,5.03
Tyrin Smith,145487,WR,UTEP,5,58,0,330,0,-1.0,0,50.0,,0,0,0.0,0,0,0,81.5,64.0,0,1,0.0,0,12,1,91.7,11,56.3,2,3.4,0,1,3,3.0,1.0,0.09,13.3,5,53.7,0.0,0,4,12.0,3,11,1,48.8,59.9,2,74,0.0,0,152,22,97.4,148,79.8,41,70.7,2,365,106,4.8,16.6,2.47
Xavier Hutchinson,122518,WR,IOWA STATE,4,52,0,193,0,-1.4,2,100.0,,0,0,0.0,0,1,0,92.6,91.8,0,12,0.0,0,10,5,90.0,9,100.8,5,9.6,0,41,48,9.6,8.2,4.56,10.3,1,56.3,25.0,1,4,10.0,1,8,0,84.0,87.0,2,33,0.0,0,39,9,97.4,38,77.9,16,30.8,2,111,29,3.2,12.3,2.92
Charlie Jones,55038,WR,PURDUE,4,52,0,273,0,-1.1,0,100.0,,0,0,0.0,0,1,1,95.2,48.2,0,22,0.0,0,20,8,90.0,18,91.1,8,15.4,0,47,56,7.0,5.9,2.61,5.7,0,100.0,100.0,1,1,0.0,0,4,0,93.6,85.0,0,16,0.0,0,13,6,92.3,12,142.4,6,11.5,2,52,19,3.2,8.7,4.33
De'Corian Clark,100892,WR,UTSA,5,52,0,331,0,-3.3,1,100.0,,0,0,0.0,0,0,0,90.0,53.7,0,9,0.0,0,26,3,100.0,26,91.7,3,5.8,0,18,28,9.3,6.0,0.69,8.8,2,100.0,100.0,1,1,0.0,0,3,0,89.1,84.7,0,19,0.0,0,28,5,92.9,26,157.1,5,9.6,1,61,20,4.0,12.2,2.35
Dontayvion Wicks,99711,WR,VIRGINIA,4,47,0,335,0,-2.7,1,100.0,,0,0,0.0,0,0,0,90.0,52.5,0,12,0.0,0,13,3,100.0,13,93.1,3,6.4,0,19,27,9.0,6.3,1.46,12.3,2,42.9,,0,0,40.0,2,0,1,51.2,52.5,1,12,0.0,0,18,3,94.4,17,10.7,7,14.9,0,21,4,1.3,7.0,1.24
Zay Flowers,97268,WR,BOSTON COL,4,46,0,121,0,-3.9,0,100.0,,0,0,0.0,0,3,1,95.2,74.8,0,11,0.0,0,19,8,100.0,19,84.4,8,17.4,0,34,65,8.1,4.3,1.79,11.4,0,57.9,100.0,1,1,15.4,2,7,1,67.4,72.7,1,15,0.0,0,61,11,93.4,57,64.6,19,41.3,1,85,59,5.4,7.7,1.49
Jacob Cowing,100894,WR,ARIZONA,4,46,0,109,0,-2.8,1,80.0,,0,0,20.0,1,0,0,29.3,54.2,0,9,0.0,0,12,4,100.0,12,82.5,5,10.9,0,19,31,7.8,4.8,1.58,12.7,6,53.1,25.0,1,4,19.0,4,14,0,53.6,90.8,2,38,0.0,0,113,17,95.6,108,92.1,32,69.6,4,247,111,6.5,14.5,2.29
