player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
John Porchivina,28202,LB,OLE MISS,1,0,0,,0,0,226,60.3,47.4,67.2,,60.0,,0,0,0,,,0,0,0,0.0,0,0,3,0,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,
Colby Reeder,30285,LB,IOWA STATE,4,4,1,62.5,0,0,193,67.0,74.1,14.7,77.4,77.5,71.8,4,1,2,18,5.9,1,1,1,73.4,10,1,84,2,89,203,39,0,0,39,0,0,164,33,81,78,6,12,16,6,2,74,33,7.4
Kyle Pugh,35900,LB,N ILLINOIS,4,12,0,50.0,0,0,254,70.6,67.8,79.6,54.9,64.7,80.7,1,2,0,8,6.7,2,0,0,60.4,1,0,157,0,64,166,6,0,0,6,0,1,160,15,87,2,6,16,2,3,0,8,12,8.0
Jordan Carmouche,39951,LB,ARK STATE,4,9,0,60.0,0,0,113,56.7,54.8,9.8,57.1,57.0,70.0,2,5,0,51,8.3,2,0,1,143.8,3,0,222,0,112,232,7,0,0,7,0,0,225,15,105,3,9,13,5,7,2,84,54,28.0
Alema Pilimai,41395,DI,BYU,1,0,0,,0,0,128,60.0,71.4,69.8,69.2,,71.3,0,1,0,,,0,0,0,0.0,0,0,0,0,0,6,6,0,0,4,2,0,0,6,0,0,0,0,0,1,0,0,0,
Monte McGary,42477,CB,KANSAS,1,1,0,,0,0,198,65.9,66.5,73.2,,60.7,73.5,0,0,0,,0.0,0,0,0,0.0,0,0,0,18,8,18,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,
Bricen Garner,42520,S,W MICHIGAN,4,5,0,75.0,0,0,347,70.2,67.7,81.2,58.6,61.9,62.6,0,0,0,37,18.2,6,1,0,115.6,3,0,88,1,97,205,0,0,0,0,0,99,205,2,106,17,5,22,4,0,0,49,19,16.3
Brandon Moore,42620,CB,NEBRASKA,3,0,0,100.0,0,0,238,71.8,64.9,0.0,60.0,61.5,73.5,0,0,0,5,0.0,0,0,1,87.5,1,0,1,15,10,18,2,0,0,2,0,0,16,1,7,0,0,1,1,0,0,5,1,5.0
Clifford Chattman,42657,S,UTSA,5,6,0,47.4,0,0,331,69.9,68.5,85.1,,62.5,71.9,0,0,0,42,12.5,4,3,1,90.5,9,0,72,4,164,282,3,0,0,3,0,118,279,0,118,85,5,22,19,0,1,143,25,15.9
Anthony Watts,42807,DI,MARSHALL,4,3,0,,0,0,214,61.0,66.4,17.4,59.7,72.6,60.2,0,3,0,,12.5,1,0,1,0.0,0,0,0,0,0,96,96,22,44,4,26,0,0,57,39,0,3,4,0,3,0,0,0,
Justin Clark,43185,CB,WISCONSIN,2,1,0,33.3,0,0,349,62.4,61.6,76.9,,58.1,47.7,0,0,0,11,25.0,1,0,0,45.1,1,0,3,56,25,60,0,0,0,0,0,0,60,0,35,1,0,2,3,0,0,11,5,11.0
Ryan McWood,43189,LB,MIAMI OH,4,7,0,100.0,0,0,221,48.4,54.9,79.8,69.0,58.2,51.9,2,3,1,19,17.1,7,0,0,81.7,13,1,229,0,127,244,4,0,0,4,0,0,240,21,96,11,17,27,13,6,0,147,81,11.3
Jaydon Grant,43354,S,OREGON ST,4,2,0,53.3,0,1,265,80.3,78.3,83.6,46.1,76.5,74.0,1,4,2,60,10.5,2,1,0,38.1,8,0,52,3,152,259,4,0,0,4,0,120,255,9,98,80,6,15,15,5,0,112,41,14.0
Linwood Crump,43401,CB,NEW MEX ST,4,0,0,50.0,0,0,242,69.8,66.3,80.1,59.5,49.2,44.8,0,1,0,19,25.0,2,1,2,116.0,3,0,8,123,66,135,4,0,0,4,0,0,131,2,67,0,1,6,6,1,1,47,-2,15.7
Jon-Michael Terry,43635,LB,TULSA,4,7,0,60.0,0,0,320,64.4,60.1,27.6,66.0,56.1,68.5,0,10,0,11,15.4,4,0,1,66.3,3,0,174,0,76,241,51,0,0,50,1,0,190,29,136,16,8,15,5,10,0,17,11,5.7
Tyrone Hopper,43714,ED,MISSOURI,4,0,0,,0,0,229,61.7,55.9,78.6,56.0,55.1,19.4,0,0,0,,100.0,2,0,0,0.0,0,0,1,0,4,57,56,0,2,50,4,0,1,28,25,0,0,0,0,0,0,0,0,
