player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Michael Boyle,52076,K,COLO STATE,2,0,0,0,,1,0,0.0,144,58.5,0,0,,2,2,100.0,0,0,0,,2,1,50.0,1,1,100.0
Christian VanSickle,55137,K,RICE,4,0,0,0,,2,2,100.0,275,78.4,0,0,,13,13,100.0,0,1,1,100.0,5,5,100.0,2,2,100.0
Zach Murphy,55435,K,WAKE,1,0,0,0,,0,0,,339,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Joseph Bulovas,57496,K,VANDERBILT,5,0,0,0,,1,1,100.0,333,76.5,0,0,,21,21,100.0,0,2,2,100.0,3,3,100.0,0,0,
Blake Grupe,57502,K,NOTRE DAME,4,0,0,0,,3,2,66.7,258,68.2,0,0,,11,11,100.0,0,1,1,100.0,4,3,75.0,0,0,
Anders Carlson,57509,K,AUBURN,4,0,0,0,,2,1,50.0,115,65.4,0,0,,11,11,100.0,0,2,2,100.0,5,4,80.0,1,1,100.0
Brooks Buce,57529,K,TROY,4,0,0,0,,1,1,100.0,318,70.9,0,0,,11,11,100.0,0,3,2,66.7,6,5,83.3,2,2,100.0
Noah Ruggles,57579,K,OHIO STATE,4,0,0,0,,0,0,,260,70.5,0,0,,27,27,100.0,0,1,0,0.0,3,2,66.7,2,2,100.0
Calum Sutherland,57592,K,LA MONROE,4,0,0,0,,1,0,0.0,209,64.3,0,0,,10,10,100.0,0,0,0,,2,1,50.0,1,1,100.0
Briggs Bourgeois,57616,K,SO MISS,4,0,1,1,100.0,0,0,,296,75.4,0,0,,14,14,100.0,0,4,3,75.0,7,6,85.7,2,2,100.0
Andre Szmyt,57624,K,SYRACUSE,4,0,1,1,100.0,2,1,50.0,304,82.5,0,0,,14,14,100.0,0,3,3,100.0,10,9,90.0,4,4,100.0
Chase McGrath,57641,K,TENNESSEE,4,0,1,1,100.0,1,0,0.0,307,76.1,0,0,,24,24,100.0,0,3,3,100.0,5,4,80.0,0,0,
Connor Coles,57644,K,UTAH ST,3,0,0,0,,1,1,100.0,329,74.4,0,0,,7,7,100.0,0,0,0,,1,1,100.0,0,0,
Jared Sackett,57647,K,UTSA,4,0,0,0,,3,1,33.3,331,80.1,0,0,,17,17,100.0,0,3,3,100.0,7,5,71.4,1,1,100.0
Peyton Henry,57651,K,WASHINGTON,4,0,0,0,,1,1,100.0,340,80.4,0,0,,21,21,100.0,0,4,4,100.0,7,7,100.0,2,2,100.0
Chris Howard,58344,K,MEMPHIS,4,0,0,0,,2,2,100.0,218,72.0,0,0,,17,16,94.1,0,3,3,100.0,6,6,100.0,1,1,100.0
Daniel Gutierrez,60310,K,UNLV,4,0,0,0,,0,0,,325,74.7,0,0,,21,21,100.0,0,1,1,100.0,3,3,100.0,2,2,100.0
Parker Grothaus,62900,K,W VIRGINIA,1,0,0,0,,0,0,,343,51.5,0,0,,3,2,66.7,0,0,0,,0,0,,0,0,
Mason Lawler,64598,K,BOWL GREEN,4,0,0,0,,1,1,100.0,122,68.1,0,0,,14,14,100.0,0,1,0,0.0,3,2,66.7,1,1,100.0
Christopher Dunn,77049,K,NC STATE,4,0,0,0,,4,4,100.0,248,82.6,0,0,,17,17,100.0,0,0,0,,5,5,100.0,1,1,100.0
Bubba Baxa,77050,K,HOUSTON,4,0,0,0,,1,0,0.0,182,72.6,0,0,,14,13,92.9,0,5,5,100.0,9,8,88.9,3,3,100.0
B.T. Potter,77054,K,CLEMSON,4,0,1,1,100.0,0,0,,140,80.8,0,0,,19,19,100.0,0,3,3,100.0,7,7,100.0,3,3,100.0
John Mayers,77068,K,BAYLOR,3,0,0,0,,0,0,,118,70.1,0,0,,14,13,92.9,0,0,0,,1,1,100.0,1,1,100.0
Casey Legg,77072,K,W VIRGINIA,4,0,0,0,,0,0,,343,78.5,0,0,,17,17,100.0,0,2,2,100.0,8,8,100.0,6,6,100.0
Brayden Narveson,77073,K,W KENTUCKY,4,0,0,0,,1,0,0.0,346,64.4,0,0,,25,25,100.0,0,3,2,66.7,8,5,62.5,4,3,75.0
