player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Chase Brown,77787,HB,ILLINOIS,9,258,63,20,34.0,452,0,1329,1,4,63,777,72.6,41,64,187,4,80,67.1,80.3,55.9,74.3,61.3,50.9,81.7,77.6,49,2,141,20,181,288,0,0,22,278,5,1329,777,3.01,5.2,0.78,168
Carson Steele,145632,HB,BALL ST,10,249,76,18,32.9,417,0,1268,0,5,76,963,115.2,34,65,117,1,87,88.4,88.4,57.7,,59.2,61.6,90.9,44.6,38,1,131,23,213,281,0,0,30,272,12,1268,963,3.87,5.1,0.62,159
Khalan Laborn,57204,HB,MARSHALL,9,236,54,18,41.7,510,0,1222,1,3,54,712,68.8,32,68,214,4,44,65.0,79.0,54.5,60.0,37.3,55.4,84.1,43.8,78,1,82,14,185,285,0,0,22,250,13,1222,712,3.02,5.2,0.44,188
Marquez Cooper,130489,HB,KENT STATE,10,234,68,15,28.4,310,0,1093,0,1,68,662,81.0,35,63,201,1,120,87.4,84.2,55.3,,78.1,57.9,85.1,59.5,46,1,93,7,175,281,0,0,11,241,9,1093,662,2.83,4.7,0.53,112
Brad Roberts,125398,HB,AIR FORCE,9,206,22,10,26.7,286,0,1073,0,0,22,507,26.3,15,60,101,1,86,84.9,87.3,89.7,,42.6,54.7,84.8,60.4,71,0,0,0,10,327,0,0,0,206,13,1073,507,2.46,5.2,0.0,19
Mohamed Ibrahim,55226,HB,MINNESOTA,8,202,52,15,31.0,338,0,1089,0,1,52,731,92.2,33,75,225,1,81,84.9,87.3,83.8,,40.0,62.4,85.5,64.8,44,0,43,6,84,220,0,0,6,208,15,1089,731,3.62,5.4,0.51,121
Blake Corum,129574,HB,MICHIGAN,9,199,56,20,45.1,535,0,1187,0,2,56,665,93.6,29,77,222,0,123,91.1,93.5,43.2,,81.3,66.4,93.6,57.2,61,1,37,8,127,227,0,0,9,207,16,1187,665,3.34,6.0,0.29,76
Bijan Robinson,123126,HB,TEXAS,9,191,75,15,41.3,464,0,1124,0,8,75,784,162.2,27,52,311,1,71,84.3,92.7,86.5,,50.3,78.9,92.9,72.8,78,0,314,19,168,207,0,0,27,210,12,1124,784,4.1,5.9,1.87,120
Israel Abanikanda,122999,HB,PITTSBURGH,8,184,38,16,50.2,546,0,1088,2,8,38,514,67.3,29,52,268,2,51,75.2,84.7,87.2,,35.8,42.7,89.1,59.3,80,0,109,7,130,204,0,0,11,191,16,1088,514,2.79,5.9,0.84,133
DeWayne McBride,121495,HB,UAB,8,183,48,18,50.5,646,0,1279,0,1,48,805,117.1,36,62,321,4,55,55.3,86.7,37.9,,62.4,49.1,85.3,58.2,68,1,4,1,55,202,0,0,3,184,14,1279,805,4.4,7.0,0.07,127
Quinshon Judkins,157128,HB,OLE MISS,9,181,61,18,47.7,494,0,1036,0,2,61,611,113.1,27,60,226,1,63,83.2,88.6,84.8,,68.3,53.2,90.5,46.4,61,0,71,7,116,227,0,0,9,188,13,1036,611,3.38,5.7,0.61,118
Anthony Grant,77701,HB,NEBRASKA,9,175,44,8,25.7,219,0,852,3,5,44,484,71.3,20,44,238,2,74,73.8,75.9,86.0,,35.2,52.0,80.0,62.6,46,0,87,15,174,201,0,0,18,190,6,852,484,2.77,4.9,0.5,93
Raheim Sanders,146626,HB,ARKANSAS,9,174,48,16,44.2,496,0,1123,1,7,48,558,92.3,31,53,111,2,27,74.1,81.9,85.5,,60.9,62.1,84.6,51.3,76,0,197,17,186,231,0,0,21,191,7,1123,558,3.21,6.5,1.06,143
Braelon Allen,145159,HB,WISCONSIN,9,172,44,10,40.3,399,0,989,1,3,44,540,81.1,17,39,349,1,107,80.7,78.9,46.0,69.4,32.2,62.7,80.2,58.5,96,1,100,10,107,194,0,0,12,182,10,989,540,3.14,5.8,0.93,62
Deuce Vaughn,122624,HB,KANSAS ST,9,172,33,15,45.5,446,0,980,0,3,33,438,45.2,26,37,199,1,95,83.1,76.2,53.2,,25.6,73.5,77.8,52.8,69,1,211,31,187,259,0,0,37,203,5,980,438,2.55,5.7,1.13,77
Samson Evans,84228,HB,E MICHIGAN,9,168,36,11,27.4,235,0,858,2,3,36,523,67.5,23,56,160,3,106,89.9,81.8,87.4,71.5,59.4,49.5,84.2,64.1,32,0,64,12,135,210,0,0,16,180,12,858,523,3.11,5.1,0.47,62
Sean Tyler,97124,HB,W MICHIGAN,10,166,28,9,37.9,269,0,710,1,2,28,447,45.4,16,30,347,5,65,47.7,65.1,46.0,,68.7,56.4,65.7,58.8,60,1,111,12,138,196,0,0,18,178,5,710,447,2.69,4.3,0.8,99
Evan Hull,97302,HB,NWESTERN,9,165,41,10,25.9,182,0,702,2,11,41,448,67.2,16,37,256,2,105,72.7,72.5,53.5,,24.6,76.9,71.7,53.8,29,1,455,45,233,203,0,0,52,210,4,702,448,2.72,4.3,1.95,60
Calvin Tyler Jr.,52133,HB,UTAH ST,9,164,33,12,33.1,245,0,740,0,1,33,433,51.9,17,38,329,1,89,81.6,74.0,84.9,,56.5,47.2,79.0,41.4,31,0,55,9,120,219,0,0,10,173,2,740,433,2.64,4.5,0.46,69
La'Damian Webb,122423,HB,S ALABAMA,9,163,47,12,36.5,327,0,896,2,2,47,584,99.2,23,57,288,1,52,81.7,83.1,85.1,,27.4,58.5,86.4,69.4,69,0,145,14,138,173,0,0,18,177,13,896,584,3.58,5.5,1.05,110
Jordan Mims,57209,HB,FRESNO ST,9,162,33,10,32.3,258,0,799,1,2,33,399,49.3,15,49,169,0,46,90.4,79.7,86.6,,42.8,48.9,87.1,53.5,42,1,80,13,221,188,0,0,18,175,9,799,399,2.46,4.9,0.36,110
Lew Nichols III,97187,HB,C MICHIGAN,7,159,21,6,20.0,112,0,561,5,3,21,369,31.1,14,35,134,2,67,72.1,62.9,86.4,,34.9,40.1,70.0,55.4,31,0,128,20,181,186,0,0,28,179,6,561,369,2.32,3.5,0.71,88
Devon Achane,124305,HB,TEXAS A&M,9,158,35,14,43.4,384,0,885,3,7,35,540,74.0,28,49,312,1,66,82.7,76.8,86.8,,23.4,61.2,84.5,56.8,65,0,196,36,286,195,0,0,44,194,6,885,540,3.42,5.6,0.69,92
Xazavian Valladay,57490,HB,ARIZONA ST,9,157,34,15,46.2,394,0,852,3,9,34,484,72.8,24,39,110,1,55,81.4,76.6,87.4,,26.1,64.8,81.1,61.6,44,1,209,25,207,189,0,0,29,182,12,852,484,3.08,5.4,1.01,101
Ray Davis,101072,HB,VANDERBILT,9,156,42,11,36.7,269,0,733,1,5,42,503,85.1,16,39,333,1,46,81.2,82.8,86.0,56.8,32.5,66.5,86.8,61.9,39,0,142,22,183,205,0,0,30,178,4,733,503,3.22,4.7,0.78,110
Richard Reese,158568,HB,BAYLOR,9,156,27,11,33.5,269,0,802,1,2,27,441,49.1,24,53,118,0,44,90.3,84.3,85.3,,7.2,64.6,83.9,44.1,52,0,80,11,64,171,0,0,12,167,13,802,441,2.83,5.1,1.25,111
Toa Taua,83722,HB,NEVADA,9,154,34,6,25.2,144,0,572,3,8,34,412,61.1,16,31,239,0,55,90.2,68.3,45.7,,50.3,65.9,68.4,75.7,40,1,254,30,175,182,0,0,35,184,10,572,412,2.68,3.7,1.45,92
Kendre Miller,123091,HB,TCU,9,153,53,17,48.7,491,0,1009,2,4,53,604,138.0,28,48,305,1,61,80.6,83.7,84.2,,53.9,53.3,86.4,59.6,69,0,79,10,123,185,0,0,13,163,12,1009,604,3.95,6.6,0.64,89
Sean Tucker,123056,HB,SYRACUSE,9,153,36,11,36.1,281,0,779,2,1,36,429,55.2,21,39,304,1,67,81.5,76.1,87.5,,55.6,65.9,79.6,50.9,60,0,259,35,224,216,0,0,45,188,7,779,429,2.8,5.1,1.16,85
Frank Gore Jr.,121457,HB,SO MISS,9,149,54,7,28.5,212,1,731,0,4,53,575,138.3,23,40,296,1,100,80.5,84.0,87.4,63.2,80.2,61.7,85.1,55.6,46,1,85,10,139,202,12,1,14,159,5,743,578,3.85,5.0,0.61,49
Harrison Waylee,130584,HB,N ILLINOIS,9,149,29,10,44.2,380,0,859,1,3,29,545,70.5,21,38,254,0,74,90.2,76.1,87.0,,26.9,58.0,80.7,57.8,76,0,117,17,152,220,0,0,21,166,5,859,545,3.66,5.8,0.77,68
Jalen White,122464,HB,GA SOUTHRN,10,149,55,10,36.4,284,0,780,2,12,55,519,137.3,20,43,174,0,58,90.2,75.2,85.4,,63.3,62.8,79.9,36.8,71,0,195,21,231,169,0,0,27,170,10,780,519,3.48,5.2,0.84,89
Titus Swen,97314,HB,WYOMING,9,148,35,7,23.9,162,0,679,4,4,35,437,72.4,18,35,351,2,27,69.3,73.5,85.4,,49.0,41.3,78.0,55.7,30,0,87,11,121,177,0,0,17,159,7,679,437,2.95,4.6,0.72,120
George Holani,72154,HB,BOISE ST,8,148,47,8,30.7,224,0,730,0,10,47,489,112.8,16,42,120,1,72,82.8,85.1,86.1,,45.8,74.0,85.5,55.8,59,1,144,19,125,168,0,0,22,167,8,730,489,3.3,4.9,1.15,75
Aidan Robbins,98030,HB,UNLV,8,146,35,8,33.4,236,0,706,1,0,35,493,73.4,17,35,325,0,55,90.2,79.5,87.3,,27.9,62.8,82.8,64.6,59,0,81,15,182,173,0,0,18,161,8,706,493,3.38,4.8,0.45,91
Dedrick Parson,78572,HB,HAWAII,10,140,39,7,25.6,150,0,586,1,2,39,393,70.6,15,38,180,3,41,48.4,75.5,45.2,,70.8,64.8,77.2,47.5,37,1,145,23,155,156,0,0,28,163,10,586,393,2.81,4.2,0.94,94
Eric Gray,99143,HB,OKLAHOMA,9,139,41,14,37.3,339,0,910,0,7,41,455,95.8,31,56,261,1,72,79.2,89.6,84.8,28.3,40.7,85.2,91.1,46.5,44,1,186,25,156,163,0,0,29,164,8,910,455,3.27,6.5,1.19,64
Daba Fofana,144305,FB,NAVY,9,138,33,5,24.7,122,0,493,0,0,33,278,48.2,10,29,237,1,56,78.3,59.4,89.2,,30.6,53.7,62.4,56.2,47,0,0,0,12,316,0,0,0,138,5,493,278,2.01,3.6,0.0,6
Ron Cook Jr.,97070,HB,BUFFALO,10,138,25,9,34.9,210,0,602,2,10,25,377,62.1,16,36,126,0,41,90.1,75.0,84.1,77.2,45.6,69.6,75.0,62.9,49,0,207,16,156,175,0,0,21,154,4,602,377,2.73,4.4,1.33,96
Tucker Gregg,83669,HB,GA STATE,9,137,25,5,25.1,159,0,634,0,0,25,363,47.3,12,42,175,0,26,89.9,72.3,82.6,,60.2,57.2,73.4,52.7,56,0,34,3,88,185,0,0,3,140,9,634,363,2.65,4.6,0.39,109
Travis Dye,83738,HB,USC,9,137,28,15,36.7,317,0,863,2,2,28,446,62.2,25,49,326,1,68,79.2,79.2,85.2,,67.2,61.3,82.9,50.2,36,0,194,20,171,170,0,0,24,157,9,863,446,3.26,6.3,1.13,67
Larry McCammon III,97309,HB,FAU,9,137,28,11,42.2,312,0,739,1,4,28,440,70.9,16,32,165,0,58,90.0,76.7,85.1,,65.4,56.8,77.7,70.5,58,0,110,8,125,181,0,0,13,145,4,739,440,3.21,5.4,0.88,75
Tyjae Spears,97195,HB,TULANE,9,136,26,9,40.1,301,0,750,1,16,26,500,100.9,17,36,319,0,70,89.7,82.2,12.0,,54.8,81.9,81.3,62.6,75,2,209,17,136,179,0,0,20,153,10,750,500,3.68,5.5,1.54,65
Brenden Brady,83795,HB,UTSA,9,136,22,3,11.6,66,0,569,0,3,22,340,40.8,13,38,331,1,38,78.7,68.9,86.2,58.0,23.2,62.0,73.8,53.3,25,0,182,17,208,165,0,0,18,153,7,569,340,2.5,4.2,0.88,97
Dominic Richardson,122985,HB,OKLA STATE,8,136,31,3,10.7,54,0,507,0,5,31,386,65.1,9,35,262,3,19,57.3,72.8,85.8,,48.7,77.2,72.4,59.9,19,0,216,21,176,195,0,0,23,157,8,507,386,2.84,3.7,1.23,117
Will Shipley,144138,HB,CLEMSON,9,135,31,9,35.4,279,0,789,1,3,31,509,80.6,24,47,140,1,54,79.4,79.9,85.7,,25.2,69.4,83.4,58.8,53,0,170,24,153,184,0,0,25,159,11,789,509,3.77,5.8,1.11,75
Ronald Awatt,57461,HB,UTEP,10,133,20,4,16.6,95,0,571,0,4,20,358,46.5,15,30,330,1,25,78.2,67.9,84.3,,65.0,67.9,66.7,57.6,36,0,76,6,91,143,0,0,8,139,2,571,358,2.69,4.3,0.84,107
Jaydn Ott,158325,HB,CAL,9,131,38,11,45.8,329,0,718,1,9,38,437,96.8,22,34,130,0,75,89.8,84.9,86.3,,67.8,68.9,89.5,70.0,73,0,213,31,224,143,0,0,38,162,7,718,437,3.34,5.5,0.95,54
Dae Hunter,128200,HB,LIBERTY,9,129,48,16,52.7,448,0,850,2,12,48,567,179.4,27,41,206,1,65,78.3,84.3,41.0,,65.9,68.8,85.9,57.4,80,1,149,18,132,154,0,0,21,147,8,850,567,4.4,6.6,1.13,61
Isaiah Bowser,66123,HB,UCF,9,129,23,4,16.3,81,0,496,0,1,23,303,41.1,9,38,323,1,59,77.9,70.0,85.3,73.1,30.2,64.7,71.0,61.9,30,0,121,8,139,196,0,0,8,137,11,496,303,2.35,3.8,0.87,67
Zach Charbonnet,97630,HB,UCLA,7,127,42,16,44.4,428,0,963,0,14,42,575,172.5,31,45,324,1,62,78.0,90.2,84.6,,37.5,78.1,91.6,46.0,49,0,231,20,166,162,0,0,21,147,10,963,575,4.53,7.6,1.39,65
Sieh Bangura,145886,HB,OHIO,8,127,33,5,27.2,174,0,639,3,3,33,339,65.8,17,30,259,2,61,66.6,74.9,86.8,,65.0,61.1,77.7,53.6,64,0,179,19,146,162,0,0,26,146,8,639,339,2.67,5.0,1.23,64
Marquis Crosby,145241,HB,LA TECH,9,126,25,11,50.5,344,0,681,0,0,25,436,66.5,15,35,208,2,43,77.3,77.4,84.4,,65.7,46.7,83.2,58.9,68,0,7,4,174,150,0,0,6,130,5,681,436,3.46,5.4,0.04,82
Frank Peasant,121817,HB,MIDDLE TN,9,126,39,4,27.2,150,0,551,0,6,39,449,113.7,12,29,224,1,53,77.7,71.2,84.3,,54.1,61.0,73.8,59.7,85,0,126,15,169,157,0,0,17,141,6,551,449,3.56,4.4,0.75,70
Tank Bigsby,123974,HB,AUBURN,9,123,49,11,53.3,362,1,679,3,9,49,575,187.0,18,34,115,1,32,77.8,80.1,10.4,,51.2,51.8,90.1,55.6,50,2,143,22,173,166,0,0,33,145,8,679,575,4.67,5.5,0.83,88
Keaton Mitchell,123826,HB,E CAROLINA,8,122,37,18,55.4,478,0,863,2,2,37,360,81.6,35,44,156,0,20,89.1,81.5,83.8,,7.1,55.4,90.1,51.2,81,0,134,19,149,140,0,0,23,141,9,863,360,2.95,7.1,0.9,101
Shadrick Byrd,101661,HB,CHARLOTTE,10,121,19,3,9.6,51,0,529,0,5,19,324,46.2,15,27,136,0,13,89.5,74.1,84.2,,23.8,76.5,74.2,76.1,18,0,197,18,182,142,0,0,20,139,4,529,324,2.68,4.4,1.08,107
Avery Morrow,128240,HB,COLO STATE,9,121,37,7,35.6,223,0,626,2,5,37,477,125.4,17,24,144,1,51,77.0,71.7,37.8,,60.0,48.2,76.5,55.5,67,1,41,11,127,130,0,0,15,132,4,626,477,3.94,5.2,0.32,69
Henry Parrish Jr.,124144,HB,MIAMI FL,8,120,27,7,21.8,124,0,569,3,7,27,313,64.7,14,38,220,0,76,89.0,81.5,85.2,,43.1,61.8,85.9,65.8,24,0,120,17,149,135,0,0,23,137,4,569,313,2.61,4.7,0.81,44
Lincoln Pare,121537,HB,TEXAS ST,9,120,27,3,12.6,55,0,438,1,5,27,285,54.3,9,32,314,2,32,66.0,70.1,83.5,,24.4,66.6,71.9,59.9,22,0,175,20,148,127,0,0,21,140,3,438,285,2.38,3.7,1.18,87
Casey Filkins,131759,HB,STANFORD,7,120,12,4,16.9,80,0,474,2,3,12,325,29.7,8,32,300,4,59,53.1,66.9,83.1,,57.8,57.2,68.5,57.2,23,0,205,17,121,136,0,0,27,137,4,474,325,2.71,4.0,1.69,57
Mike Washington,145672,HB,BUFFALO,10,120,14,5,33.3,181,0,544,1,0,14,310,27.8,10,35,126,1,43,76.7,73.4,83.3,,76.7,43.1,77.5,57.9,92,0,56,10,125,153,0,0,14,130,7,544,310,2.58,4.5,0.45,77
Roman Hemby,144891,HB,MARYLAND,9,120,24,9,47.7,356,0,746,0,7,24,364,64.4,11,29,215,0,44,89.0,78.5,86.3,,29.3,72.3,83.5,53.0,75,0,245,26,206,170,0,0,27,146,7,746,364,3.03,6.2,1.19,76
CJ Beasley,122317,HB,COAST CAR,9,119,27,9,37.5,220,0,587,1,3,27,290,53.8,17,25,141,1,91,76.8,72.5,88.6,,15.7,64.6,80.3,51.4,37,1,159,17,166,230,0,0,19,136,4,587,290,2.44,4.9,0.96,26
Blake Watson,84363,HB,DOMINION,8,119,49,10,48.0,343,0,715,2,8,49,570,196.4,17,29,263,1,51,76.8,75.4,84.2,,39.5,60.2,81.5,56.8,67,0,125,20,202,128,0,0,26,139,5,715,570,4.79,6.0,0.62,67
Deion Hankins,97310,HB,UTEP,10,118,23,4,25.2,149,0,592,1,1,23,364,60.7,10,29,330,0,30,88.7,80.0,84.2,,69.2,53.8,80.0,57.0,72,0,42,4,52,148,0,0,6,122,3,592,364,3.08,5.0,0.81,85
Oscar Adaway III,100835,HB,N TEXAS,9,118,36,13,42.6,249,0,585,1,3,36,426,114.5,22,30,251,0,53,88.7,76.1,82.5,,42.4,53.5,77.7,56.9,35,0,29,5,72,133,0,0,6,123,5,585,426,3.61,5.0,0.4,63
Devin Neal,144558,HB,KANSAS,9,117,23,12,52.1,399,0,766,1,7,23,333,66.2,20,31,198,2,81,64.3,72.1,86.1,,49.0,62.0,75.1,52.5,80,0,143,12,124,180,0,0,15,129,7,766,333,2.85,6.5,1.15,36
Audric Estime,147476,HB,NOTRE DAME,9,117,28,6,23.5,152,0,648,0,1,28,407,82.7,21,41,258,3,65,50.8,81.1,83.6,,40.4,55.1,81.6,80.8,46,0,66,5,87,143,0,0,5,122,9,648,407,3.48,5.5,0.76,46
Chris Rodriguez Jr.,83689,HB,KENTUCKY,5,116,40,7,27.5,157,0,571,0,4,40,405,127.0,17,30,202,1,52,88.3,90.3,83.7,,84.4,63.4,88.7,59.3,47,0,41,5,55,124,0,0,6,121,4,571,405,3.49,4.9,0.75,57
