player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Dru Prox,23093,LB,UTSA,1,0,0,331,59.7,0,0,1,20.0,0.0,0,0,0.0,0,5,1,0,0,,0,0,0,,,0,,0,0,0,0
Colby Reeder,30285,LB,IOWA STATE,7,1,0,193,74.7,5,2,47,26.7,23.4,11,1,11.7,2,180,48,9,0,65.1,2,1,15,46.9,26.7,4,10.0,0,32,15,3
Kyle Pugh,35900,LB,N ILLINOIS,10,0,0,254,51.1,1,3,25,16.8,4.0,1,0,8.0,0,155,26,4,0,62.1,0,2,10,20.8,0.0,0,10.0,0,53,11,2
Jordan Carmouche,39951,LB,ARK STATE,9,0,0,113,54.1,2,5,35,12.2,5.7,2,1,12.9,1,295,36,8,0,52.8,0,4,13,13.9,7.7,1,15.4,0,101,14,4
Alema Pilimai,41395,ED,BYU,3,0,0,128,64.6,0,0,11,100.0,0.0,0,0,0.0,0,13,13,0,0,59.6,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Monte McGary,42477,CB,KANSAS,6,0,0,198,69.5,1,0,2,9.1,0.0,0,0,25.0,0,22,2,1,0,69.5,1,0,2,22.2,0.0,0,25.0,0,9,2,1
Bricen Garner,42520,S,W MICHIGAN,10,1,0,347,60.4,0,1,7,2.2,14.3,1,0,7.1,0,321,7,1,0,60.0,0,0,1,0.9,0.0,0,0.0,0,116,1,0
Brandon Moore,42620,CB,NEBRASKA,5,0,0,238,60.0,0,0,1,1.2,0.0,0,1,0.0,0,83,1,0,0,,0,0,0,0.0,,0,,0,24,0,0
Clifford Chattman,42657,S,UTSA,9,0,0,331,57.1,0,1,4,1.2,0.0,0,2,12.5,0,328,4,1,0,,0,0,0,0.0,,0,,0,112,0,0
Anthony Watts,42807,DI,MARSHALL,9,0,0,214,61.5,0,6,145,98.0,7.6,11,1,2.8,1,151,148,7,0,67.2,0,4,55,100.0,16.4,9,5.5,1,57,57,5
Ryan McWood,43189,LB,MIAMI OH,9,0,0,221,53.4,2,7,47,13.7,10.6,5,0,11.7,1,358,49,10,0,51.1,1,6,27,19.1,7.4,2,16.7,1,152,29,8
Jaydon Grant,43354,S,OREGON ST,9,0,0,265,51.9,1,5,16,4.4,6.3,1,2,25.0,1,383,17,7,0,46.7,0,3,7,4.6,0.0,0,21.4,0,153,7,3
Linwood Crump,43401,CB,NEW MEX ST,7,0,0,242,71.4,0,1,3,2.0,33.3,1,2,50.0,1,149,3,2,0,,0,0,0,0.0,,0,,0,49,0,0
Jon-Michael Terry,43635,LB,TULSA,10,0,1,320,59.5,1,13,72,25.6,19.4,14,2,11.1,1,301,77,15,0,66.0,1,7,30,55.0,23.3,7,16.7,1,60,33,9
Tyrone Hopper,43714,ED,MISSOURI,9,0,1,229,57.3,0,0,52,90.0,5.8,3,2,0.0,0,60,54,0,0,57.2,0,0,12,100.0,8.3,1,0.0,0,13,13,0
Sione Tupou,44093,LB,TEXAS ST,9,0,0,314,88.3,1,6,35,11.1,25.7,9,0,12.9,1,333,37,8,0,80.6,0,3,8,10.2,37.5,3,31.3,1,98,10,4
Semisi Fakasiieiki,44340,LB,PURDUE,7,0,0,273,79.4,0,1,3,4.5,66.7,2,1,16.7,0,88,4,1,0,80.4,0,0,1,3.6,100.0,1,0.0,0,28,1,0
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,4,0,0,174,51.2,0,1,8,19.0,0.0,0,0,6.3,0,58,11,1,0,52.5,0,0,5,26.1,0.0,0,0.0,0,23,6,0
Alden Tofa,51983,ED,BYU,10,0,0,128,60.5,1,3,62,83.3,12.9,8,0,4.8,1,78,65,5,0,58.3,0,0,20,95.2,10.0,2,0.0,0,21,20,0
Chaz Ah You,51989,S,BYU,2,0,0,128,59.5,0,0,1,10.0,0.0,0,0,0.0,0,10,1,0,0,,0,0,0,0.0,,0,,0,3,0,0
Earl Tuioti-Mariner,51992,ED,BYU,8,0,0,128,56.4,0,4,100,99.1,5.0,5,0,2.0,0,106,105,4,0,61.4,0,3,30,100.0,13.3,4,5.0,0,30,30,3
