player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Xavier Hutchinson,122518,WR,IOWA STATE,9,128,0,193,6.8,3,59.3,28.6,2,7,5.9,1,11,0,70.9,76.4,0,33,0.0,0,60,16,95.0,57,112.1,27,21.1,3,153,84,5.3,9.6,2.68,0,10.1,7,72.6,60.0,6,10,5.4,3,31,1,77.5,84.3,1,38,0.0,0,203,53,95.1,193,99.6,73,57.0,2,589,192,3.6,11.1,3.05
Rashee Rice,97605,WR,SMU,9,121,0,287,14.4,2,35.7,37.5,3,8,23.1,3,8,0,24.9,60.7,1,41,0.0,0,95,10,88.4,84,73.4,28,23.1,3,139,63,6.3,13.9,1.65,0,10.8,10,70.0,53.3,8,15,8.2,5,34,3,68.6,89.0,1,75,0.0,0,206,56,96.1,198,112.8,80,66.1,3,865,370,6.6,15.4,4.37
Charlie Jones,55038,WR,PURDUE,9,115,0,273,13.4,1,64.1,52.6,10,19,3.8,1,17,0,78.0,80.9,1,55,0.0,0,129,25,93.0,120,120.1,39,33.9,4,385,112,4.5,15.4,3.21,0,10.7,3,73.7,57.1,8,14,4.5,2,21,1,78.6,74.3,0,41,0.5,1,191,42,94.8,181,107.9,57,49.6,2,448,135,3.2,10.7,2.48
Jayshon Jackson,78041,WR,BALL ST,10,113,0,117,10.3,3,56.4,54.5,6,11,4.3,1,16,0,76.5,76.8,0,37,0.0,0,133,22,91.0,121,97.5,39,34.5,2,293,156,7.1,13.3,2.42,0,7.9,8,65.6,16.7,2,12,6.7,3,23,0,72.7,75.2,1,43,0.0,0,201,42,96.0,193,83.2,64,56.6,1,426,250,6.0,10.1,2.21
Tyrin Smith,145487,WR,UTEP,10,106,0,330,13.0,4,50.0,50.0,1,2,0.0,0,10,0,82.2,77.6,1,32,0.0,0,72,11,93.1,67,81.8,22,20.8,2,141,47,4.3,12.8,2.1,0,12.9,7,62.5,33.3,1,3,16.7,7,20,1,29.7,66.1,1,74,0.0,0,217,35,95.4,207,98.9,56,52.8,2,541,172,4.9,15.5,2.61
Corey Crooms,97276,WR,W MICHIGAN,10,101,0,347,14.1,0,38.9,50.0,2,4,22.2,2,5,0,37.6,59.3,1,25,0.0,0,86,7,91.9,79,68.8,18,17.8,2,88,5,0.7,12.6,1.11,0,13.0,2,49.2,23.1,3,13,3.2,1,18,0,81.4,75.1,4,75,0.0,0,187,30,95.2,178,62.6,61,60.4,3,446,202,6.7,14.9,2.51
Derwin Burgess Jr.,147111,WR,GA SOUTHRN,10,101,0,174,10.7,0,66.7,62.5,5,8,0.0,0,10,0,83.3,71.8,0,35,0.0,0,96,14,94.8,91,128.4,21,20.8,3,157,39,2.8,11.2,1.73,0,12.9,0,51.6,50.0,5,10,15.8,6,20,0,44.5,58.7,5,44,0.0,0,263,32,95.8,252,47.5,62,61.4,2,376,114,3.6,11.8,1.49
Zay Flowers,97268,WR,BOSTON COL,9,98,0,121,7.9,2,50.0,66.7,2,3,28.6,4,4,1,24.9,49.4,1,14,0.0,0,85,10,95.3,81,68.8,20,20.4,2,37,32,3.2,3.7,0.46,0,9.9,6,63.0,33.3,1,3,8.1,3,20,1,67.3,74.0,4,51,0.0,0,204,34,96.6,197,69.1,54,55.1,2,429,207,6.1,12.6,2.18
Nathaniel Dell,78874,WR,HOUSTON,9,98,0,182,11.6,4,72.7,100.0,3,3,11.1,3,19,0,60.8,86.7,2,41,0.0,0,104,24,92.3,96,113.0,33,33.7,8,285,102,4.3,11.9,2.97,0,9.1,8,77.8,75.0,3,4,2.8,1,18,1,83.4,74.0,0,63,0.0,0,206,35,96.1,198,113.9,45,45.9,1,430,212,6.1,12.3,2.17
Jacob Cowing,100894,WR,ARIZONA,9,95,0,109,7.9,8,70.6,50.0,2,4,7.7,2,22,1,68.4,90.4,1,39,0.0,0,104,24,93.3,97,134.2,34,35.8,5,375,270,11.3,15.6,3.87,0,8.7,3,71.7,50.0,2,4,5.7,2,13,0,74.1,67.8,2,38,0.0,0,209,33,96.2,201,73.9,46,48.4,0,333,183,5.5,10.1,1.66
