player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Spencer Rattler,97408,QB,S CAROLINA,9,83,15.7,0,289,0,10,15.7,20.5,79.5,4.8,0,16,13,13,17,83,66,4,15,18,16,2,18.1,21.7,6,19.3,2.4
Layne Hatcher,82068,QB,TEXAS ST,9,83,19.3,0,314,4,11,19.3,18.1,74.7,7.2,0,17,16,16,15,83,62,6,6,9,17,3,7.2,10.8,2,20.5,3.6
Davis Brin,77642,QB,TULSA,9,82,17.1,0,320,2,5,18.3,22.0,70.7,15.9,0,14,14,15,18,82,58,13,14,13,14,0,17.1,15.9,7,17.1,0.0
Dequan Finn,97804,QB,TOLEDO,9,82,17.1,0,316,1,6,11.0,30.5,89.0,3.7,0,9,14,9,25,82,73,3,19,15,9,1,23.2,18.3,2,11.0,1.2
Anthony Richardson,124393,QB,FLORIDA,9,81,14.8,0,163,0,12,11.1,13.6,75.3,8.6,0,15,12,9,11,81,61,7,12,14,15,9,14.8,17.3,3,18.5,11.1
Will Rogers,124184,QB,MISS STATE,9,81,12.3,0,227,1,3,16.0,23.5,86.4,6.2,0,6,10,13,19,81,70,5,13,25,6,0,16.0,30.9,2,7.4,0.0
Holton Ahlers,77651,QB,E CAROLINA,9,81,7.4,0,156,1,7,12.3,18.5,70.4,14.8,0,13,6,10,15,81,57,12,15,15,13,2,18.5,18.5,5,16.0,2.5
Aidan O'Connell,60516,QB,PURDUE,8,79,11.4,0,273,1,5,12.7,17.7,81.0,8.9,0,8,9,10,14,79,64,7,10,20,8,4,12.7,25.3,2,10.1,5.1
Grayson James,145214,QB,FIU,9,78,21.8,0,166,2,0,21.8,24.4,94.9,1.3,0,2,17,17,19,78,74,1,14,21,2,4,17.9,26.9,0,2.6,5.1
Bryce Young,123943,QB,ALABAMA,8,77,16.9,0,103,5,18,7.8,14.3,57.1,6.5,0,28,13,6,11,77,44,5,3,9,28,4,3.9,11.7,5,36.4,5.2
Daniel Richardson,97103,QB,C MICHIGAN,10,77,13.0,0,134,1,4,13.0,33.8,77.9,11.7,0,8,10,10,26,77,60,9,5,25,8,2,6.5,32.5,3,10.4,2.6
Donovan Smith,73929,QB,TEXAS TECH,8,77,20.8,0,315,2,5,14.3,35.1,83.1,7.8,0,8,16,11,27,77,64,6,12,12,8,0,15.6,15.6,1,10.4,0.0
Chris Reynolds,60361,QB,CHARLOTTE,8,76,9.2,0,136,1,6,7.9,21.1,76.3,9.2,0,12,7,6,16,76,58,7,14,21,12,2,18.4,27.6,5,15.8,2.6
Will Levis,83542,QB,KENTUCKY,8,76,11.8,0,202,3,7,10.5,21.1,75.0,2.6,0,17,9,8,16,76,57,2,10,20,17,2,13.2,26.3,7,22.4,2.6
Sean Clifford,51708,QB,PENN STATE,9,76,11.8,0,266,2,9,14.5,13.2,78.9,3.9,0,13,9,11,10,76,60,3,17,21,13,1,22.4,27.6,2,17.1,1.3
Spencer Petras,82136,QB,IOWA,9,75,20.0,0,192,0,0,17.3,13.3,90.7,8.0,0,1,15,13,10,75,68,6,20,25,1,0,26.7,33.3,1,1.3,0.0
Jordan Travis,77615,QB,FLORIDA ST,9,75,8.0,0,167,4,7,9.3,28.0,84.0,-1.3,0,14,6,7,21,75,63,-1,14,21,14,6,18.7,28.0,3,18.7,8.0
Ben Bryant,77655,QB,CINCINNATI,9,73,21.9,0,138,0,2,13.7,19.2,84.9,8.2,0,5,16,10,14,73,62,6,12,14,5,2,16.4,19.2,3,6.8,2.7
Dorian Thompson-Robinson,83574,QB,UCLA,9,73,5.5,0,324,0,2,15.1,23.3,89.0,4.1,0,5,4,11,17,73,65,3,8,28,5,4,11.0,38.4,3,6.8,5.5
TJ McMahon,83521,QB,RICE,9,72,15.3,0,275,1,1,11.1,27.8,91.7,1.4,0,4,11,8,20,72,66,1,20,26,4,2,27.8,36.1,2,5.6,2.8
Adrian Martinez,83522,QB,KANSAS ST,8,71,21.1,0,199,0,9,4.2,19.7,78.9,5.6,0,12,15,3,14,71,56,4,15,12,12,2,21.1,16.9,3,16.9,2.8
Emory Jones,82111,QB,ARIZONA ST,7,71,14.1,0,110,1,4,5.6,39.4,84.5,4.2,0,7,10,4,28,71,60,3,15,12,7,3,21.1,16.9,2,9.9,4.2
John Paddock,77689,QB,BALL ST,10,71,11.3,0,117,1,2,19.7,21.1,84.5,9.9,0,5,8,14,15,71,60,7,10,19,5,2,14.1,26.8,2,7.0,2.8
Max Duggan,99470,QB,TCU,9,71,8.5,0,305,2,10,8.5,23.9,71.8,4.2,0,19,6,6,17,71,51,3,16,14,19,0,22.5,19.7,7,26.8,0.0
Grayson McCall,98002,QB,COAST CAR,9,70,5.7,0,141,1,5,17.1,22.9,71.4,18.6,0,8,4,12,16,70,50,13,15,9,8,5,21.4,12.9,2,11.4,7.1
Jack Salopek,130662,QB,W MICHIGAN,6,70,8.6,0,347,1,2,8.6,25.7,88.6,5.7,0,5,6,6,18,70,62,4,17,23,5,4,24.3,32.9,2,7.1,5.7
Riley Leonard,143862,QB,DUKE,9,69,10.1,0,154,1,6,21.7,8.7,76.8,8.7,0,10,7,15,6,69,53,6,14,14,10,1,20.3,20.3,3,14.5,1.4
KJ Jefferson,99129,QB,ARKANSAS,8,69,13.0,0,111,2,8,11.6,23.2,76.8,2.9,0,15,9,8,16,69,53,2,9,14,15,2,13.0,20.3,5,21.7,2.9
Robby Ashford,131702,QB,AUBURN,9,69,8.7,0,115,1,5,15.9,21.7,75.4,4.3,0,14,6,11,15,69,52,3,13,9,14,3,18.8,13.0,8,20.3,4.3
Michael Penix Jr.,82134,QB,WASHINGTON,9,68,19.1,0,340,0,10,11.8,20.6,79.4,2.9,0,11,13,8,14,68,54,2,12,13,11,4,17.6,19.1,1,16.2,5.9
Brady Cook,124199,QB,MISSOURI,9,68,11.8,0,229,1,5,17.6,20.6,72.1,11.8,0,12,8,12,14,68,49,8,8,10,12,0,11.8,14.7,6,17.6,0.0
Haynes King,124329,QB,TEXAS A&M,6,68,20.6,0,312,1,2,20.6,29.4,86.8,8.8,0,3,14,14,20,68,59,6,13,12,3,0,19.1,17.6,0,4.4,0.0
JT Daniels,83578,QB,W VIRGINIA,9,68,14.7,0,343,3,0,19.1,14.7,85.3,11.8,0,3,10,13,10,68,58,8,11,21,3,4,16.2,30.9,0,4.4,5.9
Kedon Slovis,100580,QB,PITTSBURGH,8,67,19.4,0,268,1,4,23.9,17.9,73.1,13.4,0,9,13,16,12,67,49,9,8,9,9,3,11.9,13.4,4,13.4,4.5
N'Kosi Perry,60446,QB,FAU,9,67,11.9,0,165,2,6,10.4,10.4,80.6,7.5,0,10,8,7,7,67,54,5,16,19,10,2,23.9,28.4,2,14.9,3.0
Tyler Van Dyke,122225,QB,MIAMI FL,8,67,14.9,0,220,1,2,17.9,14.9,79.1,9.0,0,8,10,12,10,67,53,6,20,5,8,2,29.9,7.5,5,11.9,3.0
Ben Wooldridge,82115,QB,LA LAFAYET,10,66,18.2,0,207,2,4,10.6,10.6,77.3,10.6,0,8,12,7,7,66,51,7,11,19,8,2,16.7,28.8,2,12.1,3.0
Miles Kendrick,77673,QB,NEW MEXICO,8,66,16.7,0,241,3,3,12.1,10.6,78.8,6.1,0,12,11,8,7,66,52,4,15,21,12,4,22.7,31.8,6,18.2,6.1
Taulia Tagovailoa,97271,QB,MARYLAND,8,65,16.9,0,215,4,6,10.8,15.4,61.5,12.3,0,17,11,7,10,65,40,8,7,11,17,0,10.8,16.9,7,26.2,0.0
Garrett Shrader,98212,QB,SYRACUSE,8,64,15.6,0,304,3,6,10.9,9.4,75.0,-1.6,0,16,10,7,6,64,48,-1,8,16,16,9,12.5,25.0,7,25.0,14.1
Malik Cunningham,60436,QB,LOUISVILLE,8,64,17.2,0,210,1,14,6.3,10.9,51.6,15.6,0,22,11,4,7,64,33,10,5,6,22,3,7.8,9.4,7,34.4,4.7
Jeff Sims,122496,QB,GA TECH,7,64,18.8,0,176,1,3,14.1,21.9,82.8,7.8,0,6,12,9,14,64,53,5,9,16,6,6,14.1,25.0,2,9.4,9.4
Hendon Hooker,60593,QB,TENNESSEE,9,64,12.5,0,307,1,6,10.9,23.4,68.8,15.6,0,10,8,7,15,64,44,10,12,6,10,1,18.8,9.4,3,15.6,1.6
Jaren Hall,82094,QB,BYU,10,63,11.1,0,128,2,11,12.7,12.7,71.4,6.3,0,18,7,8,8,63,45,4,7,13,18,5,11.1,20.6,5,28.6,7.9
Jake Haener,60596,QB,FRESNO ST,5,63,14.3,0,169,3,6,7.9,19.0,82.5,0.0,0,11,9,5,12,63,52,0,14,19,11,2,22.2,30.2,2,17.5,3.2
Johnathan Bennett,104158,QB,LIBERTY,8,62,12.9,0,206,5,4,19.4,21.0,71.0,9.7,0,14,8,12,13,62,44,6,8,7,14,3,12.9,11.3,5,22.6,4.8
Gunnar Watson,83570,QB,TROY,8,62,17.7,0,318,0,1,11.3,14.5,88.7,1.6,0,5,11,7,9,62,55,1,11,20,5,4,17.7,32.3,4,8.1,6.5
Jaxson Dart,146409,QB,OLE MISS,9,62,17.7,0,226,4,3,14.5,32.3,83.9,1.6,0,9,11,9,20,62,52,1,6,14,9,7,9.7,22.6,2,14.5,11.3
Todd Centeio,60552,QB,JAMES MAD,7,61,19.7,0,197,0,3,6.6,29.5,86.9,3.3,0,6,12,4,18,61,53,2,7,16,6,1,11.5,26.2,3,9.8,1.6
DJ Uiagalelei,122162,QB,CLEMSON,9,61,11.5,0,140,2,5,11.5,6.6,77.0,4.9,0,10,7,7,4,61,47,3,18,15,10,3,29.5,24.6,3,16.4,4.9
Graham Mertz,97994,QB,WISCONSIN,9,61,8.2,0,349,5,6,8.2,16.4,57.4,18.0,0,16,5,5,10,61,35,11,5,8,16,4,8.2,13.1,5,26.2,6.6
Nate Cox,60432,QB,NEVADA,7,60,26.7,0,239,2,1,13.3,16.7,91.7,3.3,0,4,16,8,10,60,55,2,20,12,4,0,33.3,20.0,1,6.7,0.0
Blake Shapen,122282,QB,BAYLOR,9,59,13.6,0,118,1,5,15.3,23.7,78.0,5.1,0,10,8,9,14,59,46,3,12,7,10,4,20.3,11.9,4,16.9,6.8
Payton Thorne,101629,QB,MICH STATE,9,59,13.6,0,223,2,2,15.3,18.6,83.1,6.8,0,8,8,9,11,59,49,4,7,15,8,4,11.9,25.4,4,13.6,6.8
E.J. Warner,156185,QB,TEMPLE,8,59,16.9,0,306,2,3,23.7,22.0,81.4,8.5,0,6,10,14,13,59,48,5,7,15,6,1,11.9,25.4,1,10.2,1.7
Zach Wilcke,156836,QB,SO MISS,8,59,5.1,0,296,2,5,25.4,28.8,81.4,0.0,0,11,3,15,17,59,48,0,11,12,11,2,18.6,20.3,4,18.6,3.4
Darren Grainger,78496,QB,GA STATE,9,58,15.5,0,175,3,2,12.1,27.6,74.1,6.9,0,13,9,7,16,58,43,4,7,16,13,3,12.1,27.6,8,22.4,5.2
Behren Morton,144747,QB,TEXAS TECH,6,57,15.8,0,315,2,7,17.5,22.8,77.2,1.8,0,12,9,10,13,57,44,1,7,17,12,1,12.3,29.8,3,21.1,1.8
Collin Schlee,98025,QB,KENT STATE,9,57,5.3,0,201,1,6,14.0,28.1,73.7,5.3,0,13,3,8,16,57,42,3,11,7,13,1,19.3,12.3,6,22.8,1.8
Chase Brice,60363,QB,APP STATE,9,57,17.5,0,108,0,3,22.8,15.8,82.5,3.5,0,8,10,13,9,57,47,2,12,8,8,3,21.1,14.0,5,14.0,5.3
Cameron Rising,77663,QB,UTAH,8,56,16.1,0,328,0,2,8.9,8.9,85.7,10.7,0,2,9,5,5,56,48,6,12,18,2,1,21.4,32.1,0,3.6,1.8
Tanner Mordecai,77656,QB,SMU,8,55,9.1,0,287,2,7,12.7,14.5,72.7,5.5,0,13,5,7,8,55,40,3,5,18,13,3,9.1,32.7,4,23.6,5.5
Tommy DeVito,60545,QB,ILLINOIS,9,55,10.9,0,187,0,2,14.5,23.6,87.3,5.5,0,4,6,8,13,55,48,3,14,9,4,0,25.5,16.4,2,7.3,0.0
Michael Pratt,123229,QB,TULANE,8,54,3.7,0,319,2,6,11.1,20.4,66.7,11.1,0,12,2,6,11,54,36,6,6,13,12,4,11.1,24.1,4,22.2,7.4
Carter Bradley,77685,QB,S ALABAMA,9,54,11.1,0,288,2,1,14.8,14.8,79.6,13.0,0,5,6,8,8,54,43,7,11,19,5,2,20.4,35.2,2,9.3,3.7
Taylor Powell,60459,QB,E MICHIGAN,6,53,17.0,0,160,1,1,18.9,22.6,84.9,5.7,0,5,9,10,12,53,45,3,12,11,5,1,22.6,20.8,3,9.4,1.9
