"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"WAS","5.033045317085362","10","2.6355624453031745","0.591874967628781","4.0875965853650955","4.471547292782352","0.1919040633592636","3.3983044489677807","2.691782417310586","2.6355624453031745","6.171568241087659","8.551731141605913","5.41112133476563","","5.41112133476563","1.2209576812686382","0.43235758034162136","0.591874967628781","13","5.958185561512796","4","0","17","2.0847625410271813"
"LV","5.626282655694554","5.581107831046644","4.0875965853650955","5.168696367960086","3.8240440336913606","","5.998563082744225","3.545410241048816","5.033045317085362","3.3983044489677807","5.168696367960086","6.936231749438234","5.626282655694554","0","4.1559805781526205","4.163461388813911","1.2209576812686382","3.8240440336913606","13","6.367937522209445","4","2.9186615463152865","17","4.228374997240858"
"LA","2.3429579370494964","8.551731141605913","5.581107831046644","1.2209576812686382","0.591874967628781","6.252803056567613","","1.2209576812686382","4.820695633133519","5.581107831046644","3.545410241048816","3.8240440336913606","6.936231749438234","3.119319667361771","0.6159645260517114","5.168696367960086","5.626282655694554","6.936231749438234","13","4.528275078716027","4","5.466413922460063","17","3.4105861290271546"
"LAC","3.119319667361771","3.8240440336913606","5.033045317085362","6.171568241087659","0.43235758034162136","6.044035157762766","6.797781400915733","","8.551731141605913","1.2209576812686382","3.8240440336913606","5.581107831046644","3.119319667361771","5.244396758713982","4.0875965853650955","3.3983044489677807","0","5.168696367960086","13","7.375150379425598","4","2.5557055044155783","17","4.156029218528699"
"HST","3.3983044489677807","5.168696367960086","3.8239470234850454","5.626282655694554","5.033045317085362","","2.808384729658501","4.0875965853650955","2.6355624453031745","5.41112133476563","5.422903697974042","5.244396758713982","0.43235758034162136","0.591874967628781","3.8240440336913606","4.0875965853650955","5.033045317085362","3.3983044489677807","13","2.642749274393389","4","4.4416413139331326","17","1.657561295773243"
"TEN","5.41112133476563","2.3429579370494964","3.119319667361771","3.3983044489677807","5.422903697974042","","3.0999767116422614","6.171568241087659","3.8240440336913606","5.168696367960086","0.6159645260517114","4.275257247230236","2.6355624453031745","5.033045317085362","5.626282655694554","6.171568241087659","0.591874967628781","5.033045317085362","13","3.255864595510915","4","4.993750939947047","17","1.5654190516721935"
"JAX","5.422903697974042","3.3983044489677807","5.626282655694554","2.6355624453031745","6.171568241087659","3.9738204963370953","5.203751913004479","5.168696367960086","3.119319667361771","3.8240440336913606","","5.449904886295159","10","4.0875965853650955","0.591874967628781","5.229512204305321","6.171568241087659","4.0875965853650955","13","9.486143425819177","4","4.3074522636832775","17","7.874696504598404"
"CAR","0.43235758034162136","5.41112133476563","3.545410241048816","5.581107831046644","1.2209576812686382","0","4.586645131903443","8.551731141605913","4.275257247230236","8.551731141605913","5.449904886295159","5.168696367960086","","6.936231749438234","4.163461388813911","10","4.820695633133519","3.545410241048816","13","5.176039871624756","4","7.604939510924579","17","7.582063001636498"
"ARZ","3.8240440336913606","3.119319667361771","0","5.34722906211779","2.6355624453031745","8.110909515959937","3.253730150189234","2.691782417310586","6.936231749438234","0","1.2209576812686382","5.626282655694554","","4.1559805781526205","5.168696367960086","4.820695633133519","8.551731141605913","1.2209576812686382","13","0.9557736403901018","4","6.189878317057013","17","3.5879657211262126"
"CHI","1.2209576812686382","0.6159645260517114","6.171568241087659","5.41112133476563","2.691782417310586","6.34129348570199","3.891891894036686","0.591874967628781","5.244396758713982","10","8.551731141605913","5.229512204305321","0.6159645260517114","","2.6355624453031745","2.3429579370494964","10","2.691782417310586","13","7.06703392651622","4","5.120317915012787","17","4.9217141339908945"
"CIN","4.163461388813911","0.591874967628781","5.229512204305321","5.244396758713982","5.449904886295159","4.1458392252297","8.4862845047194","0.43235758034162136","5.34722906211779","","4.163461388813911","4.0875965853650955","3.8240440336913606","0.43235758034162136","4.820695633133519","4.1559805781526205","2.3429579370494964","5.449904886295159","13","4.837083652882696","4","4.659742632415506","17","3.6602608271501595"
"BUF","0","4.0875965853650955","5.244396758713982","5.449904886295159","4.163461388813911","4.471660732043607","","0.6159645260517114","5.229512204305321","2.691782417310586","0.43235758034162136","10","4.1559805781526205","5.229512204305321","5.244396758713982","3.8239470234850454","4.275257247230236","4.1559805781526205","13","2.5197494956837896","4","5.0330253702406615","17","1.7457676698002844"
"DEN","6.936231749438234","6.171568241087659","1.2209576812686382","3.119319667361771","3.3983044489677807","6.579115459233212","5.013935945293184","5.033045317085362","","4.0875965853650955","3.119319667361771","5.34722906211779","5.449904886295159","3.8240440336913606","5.581107831046644","0","3.8240440336913606","5.626282655694554","13","7.1328330718622945","4","3.7710212951605566","17","5.294619144572802"
"CLV","5.34722906211779","5.229512204305321","4.163461388813911","8.551731141605913","5.626282655694554","4.859812018566544","5.244288076281068","4.275257247230236","","5.244396758713982","2.3429579370494964","4.820695633133519","6.171568241087659","4.275257247230236","5.449904886295159","3.545410241048816","5.422903697974042","4.163461388813911","13","10","4","5.586320130595416","17","10"
"TB","0.591874967628781","3.545410241048816","0.6159645260517114","3.8240440336913606","8.551731141605913","4.868559733546608","5.136972376473553","5.449904886295159","0","6.936231749438234","","0.43235758034162136","3.545410241048816","1.2209576812686382","4.275257247230236","5.581107831046644","5.34722906211779","8.551731141605913","13","0","4","8.231689684404826","17","0"
"KC","5.581107831046644","5.626282655694554","3.3983044489677807","4.820695633133519","3.119319667361771","2.739746956789286","0.824236594907332","","4.0875965853650955","5.033045317085362","5.626282655694554","0","4.275257247230236","5.168696367960086","6.171568241087659","6.936231749438234","5.168696367960086","3.119319667361771","13","1.9299955033466685","4","7.025233913613125","17","3.6576706303447843"
"IND","6.171568241087659","5.033045317085362","3.8240440336913606","4.0875965853650955","5.168696367960086","5.885411074956007","3.8204176584956318","5.422903697974042","4.1559805781526205","3.119319667361771","2.6355624453031745","4.163461388813911","0.591874967628781","","2.691782417310586","5.626282655694554","5.41112133476563","6.171568241087659","13","3.7337978942874583","4","6.260784517513889","17","3.8198058198791385"
"DAL","4.820695633133519","4.275257247230236","5.41112133476563","5.422903697974042","0","3.081905174123899","10","3.8239470234850454","","0.6159645260517114","2.691782417310586","5.41112133476563","3.3983044489677807","6.171568241087659","5.033045317085362","2.6355624453031745","4.0875965853650955","5.422903697974042","13","4.148801153037994","4","4.869161983361787","17","3.963412056322241"
"MIA","4.1559805781526205","5.449904886295159","2.3429579370494964","4.275257247230236","5.229512204305321","3.1476462165824137","3.899710759263004","10","3.8239470234850454","0.43235758034162136","","6.171568241087659","1.2209576812686382","5.626282655694554","2.3429579370494964","0.6159645260517114","4.1559805781526205","5.229512204305321","13","5.134884016129973","4","2.3971042817196815","17","2.859111063413051"
