player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,15,7,5,,0,1,17,0,0,60.4,83.0,89.4,66.5,87.6,29.3,6,24,0,0,,20.4,11,0,0,0.0,0,4,0,5,0,13,533,527,15,207,186,119,0,6,341,179,0,33,36,6,0,34,0,0,0,
Brandon Graham,5538,ED,PHI,11,4,0,100.0,0,1,24,0,0,50.9,78.6,63.9,71.8,80.1,34.0,3,13,0,0,5,23.8,5,0,1,87.5,1,4,0,1,0,15,311,309,0,6,269,34,0,2,169,127,1,12,12,3,1,20,0,5,8,5.0
Kareem Jackson,5545,S,BUF,2,1,0,50.0,0,0,4,0,0,65.9,67.6,90.6,57.1,60.0,80.0,0,0,0,0,4,0.0,0,0,0,56.3,1,0,0,5,0,29,33,1,0,0,1,0,25,32,2,2,1,0,2,0,2,0,0,4,0,4.0
Jerry Hughes,5556,ED,HST,6,2,0,,0,0,13,0,0,60.9,46.8,82.5,45.9,51.9,73.8,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,3,65,64,0,0,62,2,1,1,38,24,0,1,2,0,0,1,0,0,0,
Linval Joseph,5571,DI,DAL,15,5,0,,0,1,9,0,0,79.3,51.8,60.1,79.7,35.2,59.6,0,3,0,0,,6.7,1,0,1,0.0,0,2,0,0,0,0,231,231,155,76,0,0,0,0,104,127,0,7,9,0,0,5,0,0,0,
Von Miller,6154,ED,BUF,11,2,0,,0,0,4,0,0,68.1,78.0,37.6,80.4,57.3,55.1,3,23,0,0,,20.0,2,0,2,0.0,0,4,0,0,0,10,262,262,0,0,262,0,0,0,197,55,0,9,6,0,0,30,0,0,0,
Cameron Jordan,6176,ED,NO,15,10,4,,0,0,20,0,0,71.3,56.3,75.8,56.3,51.6,41.2,3,21,0,1,,17.1,6,0,1,0.0,0,3,0,1,0,6,486,485,3,20,325,137,0,1,298,182,0,18,19,1,0,27,0,0,0,
Cameron Heyward,6183,DI,PIT,15,11,7,,0,0,25,0,0,61.3,89.7,86.5,84.7,78.0,64.0,11,31,0,0,,7.0,4,0,0,0.0,0,10,0,1,0,0,681,680,19,373,27,261,0,1,407,274,0,39,42,4,0,52,0,0,0,
Lawrence Guy Sr.,6385,DI,CIN,4,2,0,,0,0,7,0,0,,51.1,80.2,52.5,52.7,25.2,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,90,90,1,73,3,13,0,0,41,49,0,0,0,0,0,0,0,0,0,
Nick Bellore,6515,LB,WAS,3,0,0,100.0,0,0,32,0,0,79.4,87.9,68.9,60.0,63.2,73.2,0,0,0,0,2,0.0,0,0,0,79.2,2,0,0,6,0,3,7,0,0,0,0,0,0,7,1,3,0,1,1,1,2,0,0,-4,3,-2.0
Stephon Gilmore,7016,CB,MIN,13,10,0,63.5,0,1,18,0,0,62.0,66.0,87.0,,82.6,70.5,0,0,0,1,27,10.5,6,8,5,93.8,47,0,0,90,606,513,736,6,0,0,6,0,5,730,0,223,29,17,41,1,74,0,4,468,189,10.0
Bobby Wagner,7050,LB,WAS,15,29,0,71.9,0,1,32,2,0,62.2,87.4,64.0,90.8,91.1,84.0,6,14,0,0,32,5.7,7,2,2,106.0,23,3,0,867,2,448,929,13,0,0,13,0,1,916,89,392,46,44,86,7,32,23,1,258,161,11.2
Lavonte David,7060,LB,TB,15,19,1,86.3,0,3,30,1,0,58.1,66.3,85.4,65.1,72.5,41.1,2,18,0,1,49,17.2,21,3,1,108.7,69,6,0,813,6,528,975,72,0,0,72,0,2,903,122,325,82,49,82,4,80,26,3,667,400,9.7
Demario Davis,7079,LB,NO,14,34,0,74.4,0,0,20,0,0,66.6,73.6,65.0,66.2,77.3,59.6,1,5,0,1,23,11.8,14,3,2,84.5,29,2,0,864,3,524,946,42,0,0,42,0,2,904,58,364,35,38,71,4,39,8,0,291,193,10.0
