"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"90","Chez Reavie",22819065,6300,49.24,0.0039,0.0039,90,0,0,49.54,0.91,75.5,23.5,0.62,1,-0.05,0.12,2,0
"91","Danny Lee",22819066,6300,48.5,0.0044,0.0044,83,0,0,46.56,1.2,72.58,23.5,0.7,1,0.03,-1.11,0,0
"92","Michael Thompson",22819067,6200,57.44,0.003,0.003,97,0,0,50.13,0.68,75.5,23.5,0.48,1,-0.14,1.52,2,0
"93","Paul Barjon",22819068,6200,47.97,0.0024,0.0024,104,0,0,46.6,0.29,72,23.5,0.39,1,-0.23,-1.76,0,0
"94","Bill Haas",22819069,6200,53.07,0.0024,0.0024,104,0,0,40.69,0.37,66.5,21.5,0.39,1,-0.23,-3.08,0,0
"95","Garrick Higgo",22819070,6200,46.03,0.002,0.002,106,0,0,44.46,0.72,71.08,23,0.32,1,-0.3,-2.57,0,0
"96","Brandt Snedeker",22819071,6200,43.91,0.0026,0.0026,102,0,0,49.86,0.49,74.5,24.5,0.42,1,-0.2,-1.44,0,0
"97","Kramer Hickok",22819073,6200,46.81,0.0038,0.0038,92,0,0,49.66,0.47,75.5,24,0.61,1,-0.01,-0.27,0,0
"98","Andrew Putnam",22819074,6200,52.18,0.0061,0.0061,58,0,0,47.22,0.69,73,24,0.98,1,0.36,0.13,0,0
"99","Lee Hodges",22819078,6100,51.47,0.0028,0.0028,100,0,0,51.21,0.32,76.08,24,0.46,1,-0.11,0.7,2,0
"100","Trey Mullinax",22819079,6100,52.11,0.0028,0.0028,100,0,0,50.98,0.47,76.5,24,0.46,1,-0.11,0.99,2,0
"101","Doc Redman",22819081,6100,50,0.0051,0.0051,72,0,0,46.01,1.4,72,23,0.84,1,0.27,-0.79,0,0
"102","Adam Svensson",22819082,6100,53.02,0.0042,0.0042,88,0,0,52.07,2.2,77.5,24.5,0.69,1,0.12,1.84,4,0
"103","Nick Watney",22819085,6000,47.78,0.002,0.002,106,0,0,36.32,0.22,63.5,20,0.33,1,-0.19,-5.23,0,0
"104","Robert Streb",22819087,6000,48.86,0.0044,0.0044,83,0,0,45.21,0.42,71.58,23,0.73,1,0.21,-1.24,0,0
"105","Luke Donald",22819090,6000,49.77,0.0028,0.0028,100,0,0,47.47,0.39,73.5,24,0.47,1,-0.05,-0.6,0,0
"106","Adam Schenk",22819091,6000,47.73,0.0057,0.0057,65,0,0,45.85,2.6,72.5,23,0.95,1,0.43,-0.81,2,0
