"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Cooper Kupp","LA","wr","11","SF","24.4","0","0","0","0","0","0","0.3786","1.9391","0.0133","11.4407","8.9788","109.425","0.7074","0.1249","0.0624","0.0258","13.4192","0.0163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Jonathan Taylor","IND","rb","14","@JAX","22.1","0","0","0","0","0","0","20.8739","106.2359","1.087","3.189","2.6582","17.8338","0.1047","0.175","0.0875","0.0021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Najee Harris","PIT","rb","7","@BLT","18.4","0","0","0","0","0","0","20.1662","79.5647","0.5065","4.9445","3.8371","27.3668","0.1361","0.1092","0.0546","0.0113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Alvin Kamara","NO","rb","6","@ATL","18.2","0","0","0","0","0","0","13.0522","56.4701","0.5185","6.0679","4.8299","34.9199","0.2015","0.1273","0.0637","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Josh Allen","BUF","qb","7","NYJ","27.1","21.8716","33.5316","256.565","2.1703","0.7974","1.584","9.5044","44.8703","0.7794","0","0","0","0","0.7664","0.3832","0.0655","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Justin Jefferson","MIN","wr","7","CHI","19.8","0","0","0","0","0","0","0.2629","1.5464","0.0091","9.2105","6.3856","97.7791","0.5674","0.0768","0.0384","0.0168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Dalvin Cook","MIN","rb","7","CHI","17.8","0","0","0","0","0","0","18.4036","85.5033","0.7015","3.176","2.6925","18.5233","0.0927","0.2555","0.1278","0.0374","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","James Conner","ARZ","rb","12","SEA","17.3","0","0","0","0","0","0","14.5777","55.1441","0.4921","5.0733","4.3251","32.421","0.2161","0.1804","0.0902","0.0199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Tyreek Hill","KC","wr","12","@DEN","18.8","0","0","0","0","0","0","0.5913","2.7079","0.0373","9.0132","6.2636","84.4109","0.6069","0.0545","0.0273","0.0032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","A.J. Brown","TEN","wr","13","@HST","18.8","0","0","0","0","0","0","0","0","0","8.4466","5.7841","89.4267","0.6859","0.0462","0.0231","0.0064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Stefon Diggs","BUF","wr","7","NYJ","18.5","0","0","0","0","0","0","0.027","0.1243","0.0011","8.895","6.1278","81.4336","0.7124","0.079","0.0395","0.0013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Austin Ekeler","LAC","rb","7","@LV","16.4","0","0","0","0","0","0","11.7876","52.7623","0.3466","5.287","4.3727","34.0383","0.2259","0.1645","0.0823","0.0196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Saquon Barkley","NYG","rb","10","WAS","16.4","0","0","0","0","0","0","15.4195","66.4997","0.4333","4.7892","3.7057","27.1547","0.127","0.1268","0.0634","0.0075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Kyler Murray","ARZ","qb","12","SEA","24.8","24.6196","36.0969","275.2743","1.9266","0.6549","2.0633","7.5739","40.4219","0.4634","0","0","0","0","0.5909","0.2955","0.0921","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Davante Adams","GB","wr","13","@DET","17.6","0","0","0","0","0","0","0.0262","0.1204","0.0012","7.6082","5.9315","72.2845","0.7428","0.0548","0.0274","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Travis Kelce","KC","te","12","@DEN","15.8","0","0","0","0","0","0","0","0","0","7.9528","5.5758","69.828","0.5465","0.05","0.025","0.0145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Josh Jacobs","LV","rb","8","LAC","15.6","0","0","0","0","0","0","14.336","59.3697","0.4468","4.2846","3.5931","26.4365","0.1368","0.105","0.0525","0.0035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Brandin Cooks","HST","wr","10","TEN","17.5","0","0","0","0","0","0","0","0","0","9.5678","6.5433","85.4326","0.3973","0.0316","0.0158","0.0109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Devin Singletary","BUF","rb","7","NYJ","15.5","0","0","0","0","0","0","15.9752","76.528","0.5539","2.8591","2.2749","17.8346","0.104","0.2975","0.1487","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Darren Waller","LV","te","8","LAC","14.9","0","0","0","0","0","0","0","0","0","7.5409","5.563","62.8653","0.4966","0.069","0.0345","0.0298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","D.K. Metcalf","SEA","wr","9","@ARZ","16.7","0","0","0","0","0","0","0.0442","0.2487","0.0013","8.1465","5.3513","80.8361","0.5373","0.1067","0.0534","0.0242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Tom Brady","TB","qb","9","CAR","23.7","25.456","38.1494","322.0147","2.5405","0.5151","1.1606","2.2328","2.6192","0.1631","0","0","0","0","0.2946","0.1473","0.042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Keenan Allen","LAC","wr","7","@LV","16.5","0","0","0","0","0","0","0","0","0","8.8116","6.681","72.5196","0.4261","0.0868","0.0434","0.0168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Sony Michel","LA","rb","11","SF","14.5","0","0","0","0","0","0","16.4072","71.9775","0.4759","2.7819","2.2856","16.8869","0.0951","0.1168","0.0584","0.0023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","David Montgomery","CHI","rb","10","@MIN","14.2","0","0","0","0","0","0","17.0288","70.3547","0.518","2.5409","2.0238","15.4934","0.0782","0.1077","0.0539","0.0185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Ke'Shawn Vaughn","TB","rb","9","CAR","14.2","0","0","0","0","0","0","12.3283","59.4212","0.4326","3.299","2.7061","21.6018","0.1376","0.1642","0.0821","0.0107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Antonio Gibson","WAS","rb","9","@NYG","14.1","0","0","0","0","0","0","13.8666","61.5952","0.5539","3.392","2.6765","16.5844","0.0641","0.2214","0.1107","0.0216","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Ja'Marr Chase","CIN","wr","10","@CLV","16","0","0","0","0","0","0","0.1224","0.7445","0.0036","7.82","4.8953","79.4152","0.5066","0.0732","0.0366","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Patrick Mahomes","KC","qb","12","@DEN","23","24.5594","37.6847","288.5435","2.0925","0.6757","1.6588","5.1211","23.0598","0.2766","0","0","0","0","0.5709","0.2855","0.0632","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","D.J. Moore","CAR","wr","13","@TB","15.9","0","0","0","0","0","0","0.573","3.6216","0.0132","9.4065","5.812","80.2764","0.2754","0.0843","0.0422","0.0199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Tyler Lockett","SEA","wr","9","@ARZ","15.8","0","0","0","0","0","0","0.1105","0.55","0.0039","7.6765","5.7647","74.972","0.4051","0.052","0.026","0.023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Rex Burkhead","HST","rb","10","TEN","13.7","0","0","0","0","0","0","12.0758","44.0207","0.3198","4.613","3.6889","27.6438","0.1574","0.1186","0.0593","0.0129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Aaron Jones","GB","rb","13","@DET","13.7","0","0","0","0","0","0","11.1168","52.3759","0.5806","2.7051","2.2483","17.5728","0.1668","0.1135","0.0568","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Kyle Pitts","ATL","te","6","NO","13.8","0","0","0","0","0","0","0.0233","0.141","0.0009","7.1312","4.5462","68.4876","0.396","0.0384","0.0192","0.0147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Aaron Rodgers","GB","qb","13","@DET","22.5","21.6081","30.8538","260.0962","2.5561","0.2708","1.5917","2.3818","8.7498","0.2094","0","0","0","0","0.2236","0.1118","0.0646","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Hunter Renfrow","LV","wr","8","LAC","15.4","0","0","0","0","0","0","0.0238","0.1337","0.0009","7.5409","5.9903","68.1499","0.4319","0.0904","0.0452","0.0138","23.6083","0.0224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","Rashaad Penny","SEA","rb","9","@ARZ","13.4","0","0","0","0","0","0","13.5903","63.2366","0.4294","2.8199","2.3244","16.4001","0.0984","0.1223","0.0611","0.0155","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Nick Chubb","CLV","rb","13","CIN","13.4","0","0","0","0","0","0","15.2347","77.6032","0.5563","1.5795","1.2511","9.325","0.0337","0.0976","0.0488","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","Darnell Mooney","CHI","wr","10","@MIN","15.3","0","0","0","0","0","0","0.092","0.5089","0.0039","8.8084","5.8205","70.2606","0.3966","0.0595","0.0298","0.0084","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Ryan Tannehill","TEN","qb","13","@HST","22.3","21.5855","31.3415","255.9271","1.9771","0.6309","2.4911","3.7796","21.5675","0.4633","0","0","0","0","0.5804","0.2902","0.0599","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","D'Onta Foreman","TEN","rb","13","@HST","13.1","0","0","0","0","0","0","16.6723","75.2288","0.5781","1.1855","0.9851","7.7856","0.0575","0.1423","0.0711","0.0131","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","Justin Herbert","LAC","qb","7","@LV","22","25.1516","37.1885","292.2856","1.7941","0.8323","2.1344","4.6776","20.6661","0.3213","0","0","0","0","0.3535","0.1768","0.078","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","Michael Pittman Jr.","IND","wr","14","@JAX","14.9","0","0","0","0","0","0","0.2821","1.6363","0.0089","7.5929","5.4061","68.5467","0.4094","0.0742","0.0371","0.0098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","Darrel Williams","KC","rb","12","@DEN","12.9","0","0","0","0","0","0","12.2053","52.6667","0.5191","2.8277","2.2545","16.4546","0.0963","0.0897","0.0448","0.0185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","George Kittle","SF","te","6","@LA","13","0","0","0","0","0","0","0","0","0","7.118","5.0904","61.2878","0.3047","0.0644","0.0322","0.0075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","Cordarrelle Patterson","ATL","rb","6","NO","12.7","0","0","0","0","0","0","10.4715","38.5415","0.2526","4.1744","3.3023","28.8053","0.1933","0.1004","0.0502","0.0118","45.8758","0.027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","D'Andre Swift","DET","rb","9","GB","12.7","0","0","0","0","0","0","9.9894","42.6371","0.2994","4.5123","3.6571","23.6878","0.1069","0.1255","0.0627","0.0103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","Rob Gronkowski","TB","te","9","CAR","12.8","0","0","0","0","0","0","0","0","0","5.8649","4.0696","54.2408","0.5586","0.0423","0.0212","0.0063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","Mike Evans","TB","wr","9","CAR","14.6","0","0","0","0","0","0","0","0","0","6.7813","4.5089","68.3306","0.5396","0.0151","0.0076","0.0028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","Deebo Samuel","SF","wr","6","@LA","14.6","0","0","0","0","0","0","0.4218","2.5511","0.023","7.9089","5.4958","70.5241","0.2846","0.1572","0.0786","0.0207","45.9638","0.0272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","Corey Clement","DAL","rb","7","@PHI","12.4","0","0","0","0","0","0","12.5654","49.5377","0.3779","3.459","2.7341","18.9917","0.0985","0.1209","0.0605","0.0109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","Tee Higgins","CIN","wr","10","@CLV","14.1","0","0","0","0","0","0","0.0245","0.1402","0.0007","7.657","4.8565","68.6115","0.3961","0.0609","0.0305","0.0205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","Mark Andrews","BLT","te","8","PIT","12","0","0","0","0","0","0","0","0","0","7.0078","4.5115","55.8567","0.3201","0.0823","0.0411","0.0214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","Christian Kirk","ARZ","wr","12","SEA","13.6","0","0","0","0","0","0","0.0972","0.5145","0.0032","6.7644","4.9539","61.6756","0.395","0.0285","0.0143","0.0188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","Russell Wilson","SEA","qb","9","@ARZ","20.5","22.1962","33.4786","266.524","1.6629","0.6329","2.9072","5.212","29.2242","0.1606","0","0","0","0","0.4697","0.2349","0.0806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
