"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","472","21","0.35","68","1.44","67.2","-10","Travin Howard","32","19","0.24","67","1.16","69.3"
"Dawson Knox","464","14","0.33","71","1.16","61.5","-7","Kyle Dugger","404","11","0.17","65","0.67","71.6"
"C.J. Uzomah","461","13","0.28","79","1.07","62.4","2","Divine Deablo","103","14","0.27","86","1.51","68.9"
"Dalton Schultz","530","18","0.36","77","1.48","78.9","31","Dre Greenlaw","25","20","0.31","100","1.12","58.6"
"Travis Kelce","570","22","0.43","70","1.91","82.7","62","Devin Bush","332","18","0.31","80","1.29","33.8"
"Tyler Higbee","466","16","0.27","73","1.08","64.4","25","Isaiah Simmons","455","15","0.23","73","1.09","49.7"
"Darren Waller","346","24","0.37","65","1.86","70.7","25","Germaine Pratt","337","15","0.28","80","1.18","49.9"
"Hunter Henry","379","18","0.4","65","1.36","74.2","25","Tremaine Edmunds","412","15","0.27","82","1.24","47.6"
"Dallas Goedert","355","20","0.46","78","2.34","89.9","44","Devin White","533","15","0.24","80","1.02","35"
"Pat Freiermuth","360","19","0.39","79","1.23","70.7","18","Willie Gay Jr.","176","15","0.25","81","1.32","54.3"
"George Kittle","358","24","0.54","77","2.53","91.3","42","Damontae Kazee","527","3","0.06","47","0.15","58.6"
"Rob Gronkowski","348","22","0.43","62","1.91","76.4","40","T.J. Edwards","362","15","0.28","84","1.24","78.2"
