,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Jacksonville,2021-12-21 14:00:00,190,38.00,6.5,17.39,118.0,18.18,33.0,55.8,62.3
Pittsburgh,2021-12-21 14:00:00,-235,8.51,-6.5,19.05,118.0,18.18,67.0,62.3,55.8
Texas-San Antonio,2021-12-21 15:00:00,,,,,,,,,
Illinois State,2021-12-21 15:00:00,,,,,,,,,
Jacksonville State,2021-12-21 15:00:00,-320,6.25,-7.5,18.18,133.5,18.18,72.7,70.5,63.0
Arkansas-Little Rock,2021-12-21 15:00:00,250,50.00,,,133.5,18.18,27.3,,
Samford,2021-12-21 16:00:00,650,130.00,14.0,19.05,141.0,18.18,12.8,,
Mississippi,2021-12-21 16:00:00,-1000,2.00,,,141.0,18.18,87.2,,
Merrimack,2021-12-21 17:00:00,-365,5.48,-8.5,18.18,114.5,20.00,,61.5,53.0
Maine,2021-12-21 17:00:00,,,8.5,18.18,114.5,16.67,,53.0,61.5
South Carolina State,2021-12-21 17:00:00,-150,13.33,-3.0,18.18,151.5,20.00,58.0,,
Charleston Southern,2021-12-21 17:00:00,130,26.00,,,151.5,16.67,42.0,,
Florida A&M,2021-12-21 17:00:00,800,160.00,16.5,18.18,132.0,18.18,,57.8,74.3
Arizona State,2021-12-21 17:00:00,,,-16.5,18.18,132.0,18.18,,74.3,57.8
Dartmouth,2021-12-21 17:00:00,150,30.00,4.0,18.18,122.0,16.67,38.8,,
Cal State Bakersfield,2021-12-21 17:00:00,-170,11.76,,,122.0,20.00,61.2,,
Northwestern State,2021-12-21 18:00:00,1600,320.00,24.5,18.18,140.5,16.67,5.7,58.0,82.5
Texas A&M,2021-12-21 18:00:00,-3800,0.53,-24.5,18.18,140.5,20.00,94.3,82.5,58.0
Appalachian State,2021-12-21 19:00:00,750,150.00,16.5,17.39,140.5,16.67,11.3,62.0,78.5
North Carolina,2021-12-21 19:00:00,-1250,1.60,-16.5,19.05,140.5,20.00,88.7,78.5,62.0
Wright State,2021-12-21 19:00:00,385,77.00,10.0,19.05,147.0,20.00,19.7,68.5,78.5
North Carolina State,2021-12-21 19:00:00,-525,3.81,-10.0,17.39,147.0,16.67,80.3,78.5,68.5
Chicago State,2021-12-21 19:00:00,,,,,,,,,
Iowa State,2021-12-21 19:00:00,,,,,,,,,
Bradley,2021-12-21 19:00:00,,,,,,,,,
Sam Houston,2021-12-21 19:00:00,,,,,,,,,
Marshall,2021-12-21 19:00:00,150,30.00,3.5,19.05,159.5,19.05,38.8,78.0,81.5
Toledo,2021-12-21 19:00:00,-170,11.76,-3.5,17.39,159.5,17.39,61.2,81.5,78.0
Fresno State,2021-12-21 19:00:00,130,26.00,2.5,20.00,135.0,18.18,42.0,66.3,68.8
Utah,2021-12-21 19:00:00,-150,13.33,-2.5,16.67,135.0,18.18,58.0,68.8,66.3
Winthrop,2021-12-21 19:00:00,-450,4.44,9.5,18.18,138.5,18.18,,64.5,74.0
Mississippi State,2021-12-21 19:00:00,,,-9.5,18.18,138.5,18.18,,74.0,64.5
Elon,2021-12-21 19:00:00,1200,240.00,22.0,17.39,152.0,18.18,7.4,65.0,87.0
Arkansas,2021-12-21 19:00:00,-2500,0.80,-22.0,19.05,152.0,18.18,92.6,87.0,65.0
IPFW,2021-12-21 19:00:00,1600,320.00,24.5,18.18,140.0,17.39,5.7,57.8,82.3
Michigan,2021-12-21 19:00:00,-3800,0.53,-24.5,18.18,140.0,19.05,94.3,82.3,57.8
Southern,2021-12-21 19:00:00,750,150.00,16.0,17.39,137.0,20.00,11.3,60.5,76.5
Dayton,2021-12-21 19:00:00,-1250,1.60,-16.0,19.05,137.0,16.67,88.7,76.5,60.5
American,2021-12-21 19:00:00,750,150.00,17.0,16.67,134.5,18.18,11.3,58.8,75.8
George Mason,2021-12-21 19:00:00,-1250,1.60,-17.0,20.00,134.5,18.18,88.7,75.8,58.8
Florida Atlantic,2021-12-21 19:00:00,-150,13.33,-3.0,18.18,133.5,18.18,58.0,68.3,65.3
High Point,2021-12-21 19:00:00,130,26.00,3.0,18.18,133.5,18.18,42.0,65.3,68.3
Morehead State,2021-12-21 19:00:00,-1600,1.25,-16.0,19.05,118.5,18.18,90.4,67.3,51.3
IUPUI,2021-12-21 19:00:00,900,180.00,16.0,17.39,118.5,18.18,9.6,51.3,67.3
Howard,2021-12-21 19:00:00,250,50.00,7.5,19.05,146.5,18.18,27.3,69.5,77.0
Harvard,2021-12-21 19:00:00,-320,6.25,-7.5,17.39,146.5,18.18,72.7,77.0,69.5
Eastern Illinois,2021-12-21 19:00:00,,,,,,,,,
Ball State,2021-12-21 19:00:00,,,,,,,,,
Manhattan,2021-12-21 19:00:00,105,21.00,2.0,17.39,144.5,18.18,46.8,71.3,73.3
Citadel,2021-12-21 19:00:00,-125,16.00,-2.0,19.05,144.5,18.18,53.2,73.3,71.3
Davidson,2021-12-21 19:00:00,340,68.00,10.0,18.18,148.5,19.05,21.7,69.3,79.3
Alabama,2021-12-21 19:00:00,-450,4.44,-10.0,18.18,148.5,17.39,78.3,79.3,69.3
Presbyterian,2021-12-21 19:00:00,500,100.00,12.0,18.18,132.5,18.18,16.0,60.3,72.3
Furman,2021-12-21 19:00:00,-720,2.78,-12.0,18.18,132.5,18.18,84.0,72.3,60.3
Loyola Marymount,2021-12-21 19:00:00,-135,14.81,-2.0,16.67,139.0,18.18,55.3,70.5,68.5
Bellarmine,2021-12-21 19:00:00,115,23.00,2.0,20.00,139.0,18.18,44.7,68.5,70.5
Tennessee Tech,2021-12-21 19:00:00,900,180.00,17.0,17.39,136.5,20.00,9.6,59.8,76.8
Cincinnati,2021-12-21 19:00:00,-1600,1.25,-17.0,19.05,136.5,16.67,90.4,76.8,59.8
Xavier,2021-12-21 19:00:00,180,36.00,5.5,18.18,137.0,20.00,34.2,65.8,71.3
Villanova,2021-12-21 19:00:00,-220,9.09,-5.5,18.18,137.0,16.67,65.8,71.3,65.8
Albany,2021-12-21 19:00:00,145,29.00,3.5,19.05,129.5,17.39,39.6,63.0,66.5
Lehigh,2021-12-21 19:00:00,-165,12.12,-3.5,17.39,129.5,19.05,60.4,66.5,63.0
Delaware,2021-12-21 19:30:00,220,44.00,6.5,18.18,141.5,17.39,29.9,67.5,74.0
Iona,2021-12-21 19:30:00,-275,7.27,-6.5,18.18,141.5,19.05,70.1,74.0,67.5
Michigan State,2021-12-21 19:30:00,-510,3.92,-10.0,17.39,143.5,17.39,79.9,76.8,66.8
Oakland,2021-12-21 19:30:00,375,75.00,10.0,19.05,143.5,19.05,20.1,66.8,76.8
McNeese State,2021-12-21 20:00:00,1200,240.00,19.5,19.05,139.0,18.18,7.4,59.8,79.3
Kansas State,2021-12-21 20:00:00,-2500,0.80,-19.5,17.39,139.0,18.18,92.6,79.3,59.8
Grambling,2021-12-21 20:00:00,1300,260.00,22.0,19.05,134.0,20.00,6.9,56.0,78.0
TCU,2021-12-21 20:00:00,-3000,0.67,-22.0,17.39,134.0,16.67,93.1,78.0,56.0
SE Louisiana,2021-12-21 20:00:00,1600,320.00,28.5,17.39,157.0,20.00,5.7,64.3,92.8
Iowa,2021-12-21 20:00:00,-3800,0.53,-28.5,19.05,157.0,16.67,94.3,92.8,64.3
Air Force,2021-12-21 20:00:00,225,45.00,7.0,18.18,114.0,20.00,29.5,53.5,60.5
Tarleton State,2021-12-21 20:00:00,-280,7.14,-7.0,18.18,114.0,16.67,70.5,60.5,53.5
SIU-Edwardsville,2021-12-21 20:00:00,,,,,,,,,
South Alabama,2021-12-21 20:00:00,,,,,,,,,
Georgia State,2021-12-21 21:00:00,185,37.00,4.5,18.18,144.5,18.18,33.6,70.0,74.5
