"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Chris Olave","NO","NE","WR","6900","14.3","-2.3","2.8","0.6","30030989","4.6","26.8"
"Kenny Pickett","PIT","BAL","QB","5000","13.3","-2.3","0.5","0.5","30030687","6.1","21.4"
"Rondale Moore","ARI","CIN","WR","3200","6.9","-2.5","2.7","2.1","30031105","1.4","14.2"
"Drake London","ATL","HOU","WR","4700","9.9","-2.5","4.1","4.0","30031021","2.5","19.7"
"Puka Nacua","LA","PHI","WR","7700","15.8","-2.5","7.6","5.5","30030983","5.6","29.0"
"K.J. Osborn","MIN","KC","WR","4100","8.6","-2.5","0.5","0.5","30031041","1.6","17.9"
"Foster Moreau","NO","NE","TE","2500","5.5","-2.5","0.5","0.5","30031513","0.6","12.6"
"Nick Westbrook-Ikhine","TEN","IND","WR","3500","7.5","-2.5","2.4","2.3","30031079","0.9","16.3"
"Vikings ","MIN","KC","DST","2500","3.4","-2.5","0.1","1.0","30031577","-0.7","11.6"
"Chris Moore","TEN","IND","WR","3000","6.4","-2.6","0.5","0.5","30031265","0.8","14.1"
"Derek Carr","NO","NE","QB","5300","13.7","-2.7","0.5","0.5","30030682","6.4","22.2"
"Tyler Higbee","LA","PHI","TE","4100","8.4","-2.8","3.1","1.6","30031361","1.8","17.2"
"Najee Harris","PIT","BAL","RB","5400","10.9","-2.8","0.5","0.5","30030773","3.9","20.3"
"Dalton Schultz","HOU","ATL","TE","3400","6.9","-2.9","0.8","0.5","30031369","1.0","14.9"
"Jordan Addison","MIN","KC","WR","5300","10.6","-2.9","3.6","4.5","30031007","2.3","21.5"
"Jaylen Warren","PIT","BAL","RB","4900","9.8","-2.9","2.4","1.0","30030791","3.4","18.0"
"Tutu Atwell","LA","PHI","WR","5300","10.5","-3.0","0.5","0.5","30031009","2.3","21.4"
"JuJu Smith-Schuster","NE","NO","WR","3500","7.0","-3.0","0.5","0.5","30031077","1.3","14.5"
"Darren Waller","NYG","MIA","TE","5400","10.7","-3.0","0.8","0.5","30031353","3.0","20.7"
"Allen Robinson II","PIT","BAL","WR","3400","6.7","-3.1","0.8","0.5","30031087","1.1","14.1"
"Lamar Jackson","BAL","PIT","QB","7800","20.8","-3.2","1.2","0.6","30030671","10.4","33.0"
"Braxton Berrios","MIA","NYG","WR","3600","6.9","-3.2","0.5","0.5","30031069","1.0","14.9"
"Jaylen Waddle","MIA","NYG","WR","7500","14.5","-3.3","3.6","3.2","30030985","3.9","28.4"
"Mack Hollins","ATL","HOU","WR","3300","6.2","-3.4","0.5","0.5","30031091","0.7","14.0"
"Gus Edwards","BAL","PIT","RB","5000","9.5","-3.4","0.5","0.5","30030785","2.6","19.2"
"Jerry Jeudy","DEN","NYJ","WR","6300","12.0","-3.4","2.5","0.5","30030995","3.2","23.6"
"Kendrick Bourne","NE","NO","WR","4600","8.8","-3.4","0.5","0.5","30031023","2.0","17.7"
"Hunter Henry","NE","NO","TE","4400","8.3","-3.4","0.5","0.5","30031357","1.7","17.1"
"Tyjae Spears","TEN","IND","RB","4800","9.1","-3.4","0.5","0.5","30030797","2.5","17.6"
"Alec Pierce","IND","TEN","WR","3400","6.3","-3.5","0.7","0.5","30031085","0.6","14.4"
"Noah Gray","KC","MIN","TE","2800","5.1","-3.5","0.5","0.5","30031389","0.3","12.2"
"Chuba Hubbard","CAR","DET","RB","4500","8.3","-3.6","0.5","0.5","30030819","2.5","16.0"
"Darius Slayton","NYG","MIA","WR","4100","7.6","-3.6","0.5","0.5","30031043","1.5","15.9"
"Justin Watson","KC","MIN","WR","3400","6.0","-3.7","0.5","0.5","30031083","0.2","14.6"
"Demario Douglas","NE","NO","WR","3000","5.2","-3.7","0.5","0.5","30031217","0.4","12.1"
"Mike Gesicki","NE","NO","TE","2700","4.7","-3.7","0.1","0.0","30031395","0.2","11.2"
"DJ Chark Jr.","CAR","DET","WR","4000","7.2","-3.8","0.5","0.5","30031049","1.0","15.6"
"Hayden Hurst","CAR","DET","TE","3100","5.4","-3.8","0.6","0.5","30031379","0.7","12.0"
"Darnell Washington","PIT","BAL","TE","2500","4.2","-3.8","0.1","0.0","30031531","0.1","10.2"
"Tyler Allgeier","ATL","HOU","RB","4700","8.4","-3.9","0.5","0.5","30030799","2.1","17.3"
"Skyy Moore","KC","MIN","WR","4400","7.8","-3.9","0.5","0.5","30031029","1.3","16.5"
"Connor Heyward","PIT","BAL","TE","2500","4.1","-3.9","0.3","0.2","30031533","0.1","9.8"
"Odell Beckham Jr.","BAL","PIT","WR","4200","7.3","-4.0","0.5","0.5","30031037","1.0","16.1"
"Marvin Mims Jr.","DEN","NYJ","WR","4000","6.9","-4.0","0.5","0.5","30031047","0.6","15.8"
"Josh Oliver","MIN","KC","TE","2500","4.0","-4.0","0.0","0.0","30031479","0.0","10.2"
"Trenton Irwin","CIN","ARI","WR","3200","5.2","-4.1","0.5","0.5","30031101","0.2","12.7"
"Adam Trautman","DEN","NYJ","TE","2700","4.3","-4.1","0.1","0.0","30031391","0.1","10.5"
"Marvin Jones Jr.","DET","CAR","WR","3000","4.8","-4.2","0.0","0.0","30031133","0.1","11.7"
"Ezekiel Elliott","NE","NO","RB","4700","8.0","-4.3","0.5","0.5","30030801","2.0","16.1"
"Marquez Valdes-Scantling","KC","MIN","WR","4100","6.7","-4.4","0.5","0.5","30031039","0.5","15.7"
"Taysom Hill","NO","NE","TE","3900","6.3","-4.4","0.5","0.5","30031363","0.8","14.3"
"Trey McBride","ARI","CIN","TE","2500","3.3","-4.7","0.1","0.0","30031497","0.0","8.4"
"Drew Ogletree","IND","TEN","TE","2700","3.6","-4.7","0.0","0.0","30031393","0.0","9.9"
"Parris Campbell","NYG","MIA","WR","3300","4.8","-4.7","0.0","0.0","30031095","0.6","10.8"
"Brandon Johnson","DEN","NYJ","WR","3200","4.2","-5.2","0.0","0.0","30031103","0.0","10.8"
"Cooper Kupp","LA","PHI","WR","8600","14.8","-5.2","5.0","4.0","30030975","5.1","27.4"
"Randall Cobb","NYJ","DEN","WR","3000","3.8","-5.2","0.0","0.0","30031203","0.0","9.6"
"Devin Singletary","HOU","ATL","RB","4400","6.5","-5.3","0.5","0.5","30030825","1.3","13.6"
"Jalin Hyatt","NYG","MIA","WR","3600","4.6","-5.5","0.0","0.0","30031073","0.2","11.2"
"Kyle Philips","TEN","IND","WR","3000","3.5","-5.5","0.0","0.0","30031271","0.0","9.1"
"Olamide Zaccheaus","PHI","LA","WR","3200","3.7","-5.6","0.0","0.0","30031099","0.0","9.8"
"Isaiah Likely","BAL","PIT","TE","2500","2.3","-5.7","0.0","0.0","30031553","0.0","6.5"
"Kenneth Gainwell","PHI","LA","RB","4800","6.8","-5.7","0.5","0.5","30030793","1.3","14.3"
"Van Jefferson","LA","PHI","WR","3800","4.7","-5.8","0.0","0.0","30031059","0.0","11.9"
"Jerick McKinnon","KC","MIN","RB","4900","6.8","-5.9","0.5","0.5","30030787","1.0","15.0"
"Brevin Jordan","HOU","ATL","TE","2500","2.0","-6.0","0.0","0.0","30031539","0.0","6.2"
"Jonathan Taylor","IND","TEN","RB","6800","10.5","-6.0","1.1","0.5","30030741","3.2","20.0"
"Kadarius Toney","KC","MIN","WR","4300","5.6","-6.0","0.5","0.5","30031033","0.6","12.6"
"Jeremy Ruckert","NYJ","DEN","TE","2500","2.0","-6.0","0.0","0.0","30031469","0.0","6.0"
"C.J. Uzomah","NYJ","DEN","TE","2500","1.9","-6.1","0.0","0.0","30031467","0.0","5.9"
"Mo Alie-Cox","IND","TEN","TE","2600","2.0","-6.2","0.0","0.0","30031399","0.0","6.5"
"Dalvin Cook","NYJ","DEN","RB","5100","6.9","-6.2","0.5","0.5","30030781","1.5","14.3"
"Jameson Williams","DET","CAR","WR","4000","4.6","-6.3","0.0","0.0","30031045","0.0","11.8"
"Brock Wright","DET","CAR","TE","2500","1.6","-6.4","0.0","0.0","30031425","0.0","5.4"
"Laviska Shenault Jr.","CAR","DET","WR","3000","2.4","-6.5","0.0","0.0","30031287","0.0","6.9"
"John Metchie III","HOU","ATL","WR","3100","2.6","-6.6","0.0","0.0","30031109","0.0","7.5"
"Cam Akers","MIN","KC","RB","4900","6.2","-6.6","0.5","0.5","30030789","1.1","13.2"
"Daniel Bellinger","NYG","MIA","TE","2500","1.4","-6.6","0.0","0.0","30031543","0.0","4.5"
"Justice Hill","BAL","PIT","RB","4400","5.0","-6.7","0.0","0.0","30030827","0.8","11.1"
"Teagan Quitoriano","HOU","ATL","TE","2500","1.2","-6.8","0.0","0.0","30031537","0.0","4.3"
"Zach Pascal","ARI","CIN","WR","3000","2.1","-6.9","0.0","0.0","30031255","0.0","6.2"
"Nelson Agholor","BAL","PIT","WR","3300","2.6","-6.9","0.0","0.0","30031097","0.0","7.5"
"Chris Manhertz","DEN","NYJ","TE","2500","1.1","-6.9","0.0","0.0","30031443","0.0","4.0"
"Nate Adkins","DEN","NYJ","TE","2500","1.1","-6.9","0.0","0.0","30031445","0.0","4.0"
"Jimmy Graham","NO","NE","TE","2500","1.1","-6.9","0.0","0.0","30031515","0.0","3.9"
"Josh Whyle","TEN","IND","TE","2500","1.1","-6.9","0.0","0.0","30031507","0.0","3.9"
"Ian Thomas","CAR","DET","TE","2500","1.0","-7.0","0.0","0.0","30031523","0.0","3.6"
"Tommy Tremble","CAR","DET","TE","2500","1.0","-7.0","0.0","0.0","30031525","0.0","3.7"
"Brycen Hopkins","LA","PHI","TE","2500","0.9","-7.0","0.0","0.0","30031487","0.0","3.6"
"Andrei Iosivas","CIN","ARI","WR","3000","1.9","-7.1","0.0","0.0","30031135","0.0","5.9"
"Drew Sample","CIN","ARI","TE","2500","0.9","-7.1","0.0","0.0","30031417","0.0","3.3"
"Mitchell Wilcox","CIN","ARI","TE","2500","0.9","-7.1","0.0","0.0","30031419","0.0","3.5"
"Geoff Swaim","ARI","CIN","TE","2500","0.8","-7.2","0.0","0.0","30031499","0.0","3.2"
"MyCole Pruitt","ATL","HOU","TE","2500","0.7","-7.2","0.0","0.0","30031453","0.0","2.9"
"Devin Duvernay","BAL","PIT","WR","3000","1.8","-7.2","0.0","0.0","30031335","0.0","5.4"
"Lil'Jordan Humphrey","DEN","NYJ","WR","3000","1.8","-7.2","0.0","0.0","30031165","0.0","5.8"
"Cedrick Wilson Jr.","MIA","NYG","WR","3000","1.7","-7.3","0.0","0.0","30031157","0.0","5.7"
"Julian Hill","MIA","NYG","TE","2500","0.7","-7.3","0.0","0.0","30031433","0.0","2.6"
"Michael Carter","NYJ","DEN","RB","4000","3.7","-7.3","0.0","0.0","30030887","0.1","8.7"
"Rashod Bateman","BAL","PIT","WR","4400","4.4","-7.4","0.0","0.0","30031031","0.1","10.4"
"Terrace Marshall Jr.","CAR","DET","WR","3600","2.8","-7.4","0.0","0.0","30031071","0.0","7.4"
"Robbie Chosen","MIA","NYG","WR","3000","1.5","-7.4","0.0","0.0","30031155","0.0","5.3"
"Jack Stoll","PHI","LA","TE","2500","0.5","-7.4","0.0","0.0","30031401","0.0","2.1"
"Emari Demercado","ARI","CIN","RB","4200","3.8","-7.5","0.0","0.0","30030835","0.4","9.1"
"Pharaoh Brown","NE","NO","TE","2500","0.5","-7.5","0.0","0.0","30031475","0.0","2.0"
