player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Deshaun Watson,11767,QB,CLV,1,3.12,2.72,3.95,5.8,56,8,72.0,25,25,5.5,1.84,0,0,0.0,64.0,16,3,11.1,25,44.6,2,8,,76.8,78.6,75.8,77.0,,,0,2,27,0.0,58.1,0.0,0,0,0,0,1,0,0.0,136,5.4,66.7,15,20,10.7,4.16,0,1,4.8,40.0,8,21,20.0,31,55.4,2,2,,26.7,41.9,76.5,39.3,,60.7,3,0,33,28.6,47.9,19.4,6,5,0,2,0,1,3.0,33,1.7
Lamar Jackson,46416,QB,BLT,1,3.26,2.82,2.8,5.29,51,3,93.8,16,17,0.1,1.81,1,0,0.0,88.2,15,0,0.0,17,33.3,0,4,,75.1,67.2,74.7,66.6,,,0,0,20,,87.5,0.0,0,0,0,0,0,0,0.0,85,5.0,57.9,19,24,15.0,3.98,1,1,3.8,45.8,11,15,0.0,34,66.7,0,12,,27.6,62.3,76.9,54.3,,73.6,2,0,37,6.7,86.8,2.9,1,9,0,2,1,2,5.4,188,7.8
Bo Nix,97790,QB,DEN,1,3.01,2.7,6.25,5.56,51,10,81.0,21,21,2.9,2.03,0,0,0.0,76.2,16,4,5.9,21,41.2,1,3,,75.4,60.1,74.9,59.9,,,0,0,21,0.0,78.9,0.0,0,0,0,0,0,1,4.8,67,3.2,57.9,19,21,9.4,3.96,0,1,4.8,47.6,10,17,9.1,28,54.9,1,6,,77.0,39.8,75.9,32.6,,71.6,1,2,28,11.8,16.3,7.1,2,5,0,1,0,2,7.1,71,3.4
Matthew Stafford,4924,QB,LA,1,2.58,2.55,3.35,,51,26,83.3,24,24,4.0,1.93,0,0,0.0,75.0,18,4,10.0,25,49.0,2,9,,76.6,65.3,75.6,64.7,,,0,0,26,25.0,104.0,4.0,1,0,0,0,1,0,0.0,147,6.1,70.8,24,25,8.6,3.21,0,0,0.0,64.0,16,14,5.9,26,51.0,1,6,,76.8,41.7,75.8,43.0,,,0,1,27,7.1,67.1,3.8,1,0,0,1,0,3,11.1,170,6.8
Daniel Jones,39395,QB,NYG,1,2.77,2.63,3.68,4.7,50,21,64.7,17,19,2.3,1.74,1,0,0.0,47.4,9,4,18.2,19,38.0,2,3,,75.1,41.6,74.7,42.8,,,1,2,20,0.0,16.9,0.0,0,0,0,0,0,1,5.0,68,3.6,84.2,19,23,7.4,3.51,0,1,4.2,56.5,13,16,18.8,30,60.0,3,6,,77.6,71.4,76.3,70.0,,62.9,0,0,31,31.3,70.6,16.7,5,2,0,4,0,0,0.0,118,5.1
Tua Tagovailoa,60326,QB,MIA,1,2.38,2.46,3.57,3.0,44,17,84.2,19,20,2.3,1.66,1,0,0.0,65.0,13,0,18.8,20,45.5,3,6,,75.1,67.6,74.7,66.9,,,0,0,20,,83.5,0.0,0,0,0,0,0,0,0.0,131,6.6,68.8,16,17,11.4,3.42,0,4,20.0,58.8,10,6,9.1,21,47.7,1,6,,76.3,82.9,75.5,75.3,,78.4,0,0,25,50.0,121.4,14.3,3,1,0,1,1,0,0.0,207,12.2
Gardner Minshew,41401,QB,LV,1,2.63,2.39,2.73,5.03,40,23,87.5,16,17,1.9,1.78,1,0,0.0,82.4,14,2,0.0,18,45.0,0,4,,20.5,60.1,74.3,60.0,,,0,0,18,50.0,113.2,5.6,1,0,0,0,1,1,5.6,110,6.5,73.3,15,16,7.7,3.32,0,0,0.0,68.8,11,13,0.0,22,55.0,0,8,,75.9,60.7,75.2,67.5,,44.4,0,1,23,23.1,71.6,13.6,3,3,0,1,0,0,0.0,147,9.2
Jalen Hurts,40291,QB,PHI,1,3.08,2.84,3.75,5.27,38,24,100.0,13,14,3.6,1.84,1,0,0.0,92.9,13,4,0.0,14,36.8,0,8,,73.5,75.6,73.7,74.3,,,0,0,15,0.0,102.1,0.0,0,0,0,0,0,0,0.0,119,8.5,50.0,14,19,13.6,3.8,1,2,10.0,36.8,7,12,0.0,24,63.2,0,7,,76.3,26.6,75.5,25.1,,71.4,0,2,25,16.7,63.2,8.3,2,3,0,4,2,4,16.0,159,8.4
C.J. Stroud,129759,QB,HST,1,2.91,2.85,2.48,4.75,38,13,86.7,15,15,3.7,2.04,0,0,0.0,86.7,13,2,0.0,17,44.7,0,7,,74.5,83.1,74.3,81.2,,,0,0,18,100.0,132.9,11.8,2,0,0,0,2,0,0.0,96,6.4,75.0,16,17,12.9,3.62,0,1,5.6,64.7,11,10,8.3,21,55.3,1,6,,75.6,52.5,75.0,51.8,,61.8,0,0,22,20.0,89.8,9.5,2,2,0,1,0,3,13.6,138,8.1
Bryce Young,123943,QB,CAR,1,3.11,2.88,3.28,4.65,38,5,56.3,16,16,8.1,1.88,0,0,0.0,56.3,9,4,0.0,18,47.4,0,3,,75.1,44.1,74.7,45.2,,,0,1,20,50.0,47.4,11.1,2,0,0,0,0,1,5.0,94,5.9,40.0,10,14,18.7,4.21,1,0,0.0,28.6,4,11,0.0,20,52.6,0,5,,75.4,33.4,74.9,33.2,,57.0,0,1,21,18.2,17.3,10.0,2,4,0,3,0,1,4.8,67,4.8
