Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
26,2938798958,Franckyboy17 (2/2),0,174.2,UTIL Auston Matthews C Tomas Hertl C Mikael Backlund W Mitchell Marner W Drake Batherson W Jason Robertson D Jakob Chychrun D Jake Muzzin G Jack Campbell,,Kyle Connor,UTIL,9.01%,1.5
26,2939288755,CJStone12 (2/2),0,174.2,C Auston Matthews UTIL Tomas Hertl C Mikael Backlund W Mitchell Marner W Drake Batherson W Jason Robertson D Jakob Chychrun D Jake Muzzin G Jack Campbell,,Cam Talbot,G,8.79%,8.8
26,2939439245,Djhjr75 (1/5),0,174.2,UTIL Auston Matthews C Tomas Hertl C Mikael Backlund W Mitchell Marner W Drake Batherson W Jason Robertson D Jakob Chychrun D Jake Muzzin G Jack Campbell,,Jack Campbell,G,8.54%,28.2
26,2939463009,wesol33,0,174.2,C Auston Matthews UTIL Tomas Hertl C Mikael Backlund W Mitchell Marner W Drake Batherson W Jason Robertson D Jakob Chychrun D Jake Muzzin G Jack Campbell,,Morgan Rielly,D,7.99%,9.5
26,2939481071,mikeg1862,0,174.2,UTIL Auston Matthews C Tomas Hertl C Mikael Backlund W Mitchell Marner W Drake Batherson W Jason Robertson D Jakob Chychrun D Jake Muzzin G Jack Campbell,,Joel Eriksson Ek,C,7.87%,11
31,2939267192,Jcreary (111/150),0,174.09999,C Auston Matthews C Nick Suzuki UTIL William Nylander W Brendan Gallagher W Michael Bunting W Josh Anderson D Jakob Chychrun D Travis Dermott G Jake Allen,,Michael Bunting,W,7.83%,8
32,2939049605,jummyjummy (27/150),0,173.90001,C Auston Matthews C Tomas Hertl W William Nylander W Mitchell Marner UTIL Rudolfs Balcers W Alexander Barabanov D Ivan Provorov D Tyler Myers G Jake Allen,,Frederick Gaudreau,UTIL,7.83%,6
33,2939049632,jummyjummy (54/150),0,173.8,C Auston Matthews C Nick Suzuki UTIL William Nylander W Mitchell Marner W Tyler Toffoli W Brendan Gallagher D Christopher Tanev D Mark Pysyk G Filip Gustavsson,,Ivan Provorov,D,7.61%,5.6
34,2938627734,jjbumphrey (57/150),0,173.5,C Auston Matthews C Nick Suzuki UTIL William Nylander W Tyler Toffoli W Brendan Gallagher W Michael Bunting D Travis Sanheim D Christopher Tanev G John Gibson,,Dawson Mercer,UTIL,7.29%,4.5
35,2938673021,Tease87 (59/150),0,173.3,C Auston Matthews C John Tavares UTIL Tomas Hertl W Mitchell Marner W Jason Robertson W Alexander Kerfoot D Alec Martinez D Mark Pysyk G Carter Hart,,Jesper Bratt,W,6.62%,3
