,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Colgate,2022-01-28 14:00:00,-125,16.00,-1.5,17.39,137.5,18.18,53.2,69.5,68.0
Boston University,2022-01-28 14:00:00,105,21.00,1.5,19.05,137.5,18.18,46.8,68.0,69.5
Stony Brook,2022-01-28 17:00:00,130,26.00,2.5,19.05,137.5,17.39,42.0,67.5,70.0
New Hampshire,2022-01-28 17:00:00,-150,13.33,-2.5,17.39,137.5,19.05,58.0,70.0,67.5
Pennsylvania,2022-01-28 17:00:00,140,28.00,3.5,18.18,142.0,18.18,40.4,69.3,72.8
Harvard,2022-01-28 17:00:00,-160,12.50,-3.5,18.18,142.0,18.18,59.6,72.8,69.3
Lehigh,2022-01-28 17:00:00,-220,9.09,-4.5,16.67,139.5,18.18,65.8,72.0,67.5
Holy Cross,2022-01-28 17:00:00,180,36.00,4.5,20.00,139.5,18.18,34.2,67.5,72.0
Wyoming,2022-01-28 18:00:00,-335,5.97,-7.5,18.18,129.5,18.18,73.5,68.5,61.0
Air Force,2022-01-28 18:00:00,260,52.00,7.5,18.18,129.5,18.18,26.5,61.0,68.5
Ohio,2022-01-28 19:00:00,145,29.00,3.5,18.18,149.5,19.05,39.6,73.0,76.5
Buffalo,2022-01-28 19:00:00,-165,12.12,-3.5,18.18,149.5,17.39,60.4,76.5,73.0
Akron,2022-01-28 19:00:00,290,58.00,8.0,18.18,140.5,18.18,24.5,66.3,74.3
Toledo,2022-01-28 19:00:00,-380,5.26,-8.0,18.18,140.5,18.18,75.5,74.3,66.3
Canisius,2022-01-28 19:00:00,500,100.00,12.0,18.18,143.0,18.18,16.0,65.5,77.5
Monmouth,2022-01-28 19:00:00,-720,2.78,-12.0,18.18,143.0,18.18,84.0,77.5,65.5
Fairfield,2022-01-28 19:00:00,-130,15.38,-1.5,16.67,134.5,18.18,54.3,68.0,66.5
Rider,2022-01-28 19:00:00,110,22.00,1.5,20.00,134.5,18.18,45.7,66.5,68.0
Manhattan,2022-01-28 19:00:00,,,6.0,17.39,134.0,18.18,,64.0,70.0
St. Peter's,2022-01-28 19:00:00,,,-6.0,19.05,134.0,18.18,,70.0,64.0
Niagara,2022-01-28 19:00:00,-120,16.67,-1.5,18.18,128.0,18.18,52.2,64.8,63.3
Siena,2022-01-28 19:00:00,100,20.00,1.5,18.18,128.0,18.18,47.8,63.3,64.8
Rhode Island,2022-01-28 19:00:00,205,41.00,6.0,18.18,124.0,18.18,31.3,59.0,65.0
Dayton,2022-01-28 19:00:00,-255,7.84,-6.0,18.18,124.0,18.18,68.7,65.0,59.0
IPFW,2022-01-28 19:00:00,125,25.00,2.5,18.18,136.5,19.05,42.9,67.0,69.5
Northern Kentucky,2022-01-28 19:00:00,-145,13.79,-2.5,18.18,136.5,17.39,57.1,69.5,67.0
Marist,2022-01-28 19:30:00,-105,19.05,1.5,17.39,138.0,18.18,48.9,68.3,69.8
Quinnipiac,2022-01-28 19:30:00,-115,17.39,-1.5,19.05,138.0,18.18,51.1,69.8,68.3
San Jose State,2022-01-28 21:00:00,385,77.00,10.0,18.18,147.0,18.18,19.7,68.5,78.5
New Mexico,2022-01-28 21:00:00,-525,3.81,-10.0,18.18,147.0,18.18,80.3,78.5,68.5
UNLV,2022-01-28 21:00:00,550,110.00,13.5,18.18,141.5,18.18,14.8,64.0,77.5
Colorado State,2022-01-28 21:00:00,-800,2.50,-13.5,18.18,141.5,18.18,85.2,77.5,64.0
Cleveland State,2022-01-28 21:00:00,110,22.00,2.0,18.18,149.0,16.67,45.7,73.5,75.5
Wright State,2022-01-28 21:00:00,-130,15.38,-2.0,18.18,149.0,20.00,54.3,75.5,73.5
Boise State,2022-01-28 23:00:00,-105,19.05,1.5,17.39,119.0,19.05,48.9,58.8,60.3
Fresno State,2022-01-28 23:00:00,-115,17.39,-1.5,19.05,119.0,17.39,51.1,60.3,58.8
