player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Trayveon Williams,45775,HB,CIN,6,5,1,0,0.0,0,0,20,0,0,1,13,28.9,0,1,7,0,2,73.5,59.8,81.3,,85.7,55.7,59.1,53.3,5,0,7,4,38,14,0,0,5,9,0,20,13,2.6,4.0,0.18,3
Sam Darnold,29048,QB,SF,4,5,0,0,0.0,0,0,-5,0,0,0,0,0.0,0,0,28,0,0,70.4,63.5,74.7,60.4,,,61.3,60.0,-1,1,0,0,0,17,0,0,0,5,0,-5,0,0.0,-1.0,,0
Emanuel Wilson,154173,HB,GB,3,5,0,0,0.0,0,0,11,0,0,0,2,0.0,0,0,12,0,2,71.9,58.5,72.0,,,52.8,60.6,60.0,7,0,6,1,5,8,0,0,1,6,0,11,2,0.4,2.2,1.2,3
DeeJay Dallas,55632,HB,SEA,5,5,1,0,0.0,0,0,14,0,0,1,9,22.5,0,0,29,0,3,82.4,63.9,79.9,,40.7,69.9,63.1,53.9,8,0,11,3,16,7,0,0,4,8,0,14,9,1.8,2.8,0.69,2
Elijah Dotson,57394,HB,LAC,3,4,0,0,0.0,0,0,6,0,0,0,4,0.0,0,0,27,0,0,70.0,54.8,72.4,,,62.7,53.2,60.0,2,0,13,2,5,10,0,0,2,6,0,6,4,1.0,1.5,2.6,4
Zach Evans,123072,HB,LA,1,4,0,0,0.0,0,0,10,0,0,0,8,0.0,0,0,26,0,3,68.6,49.8,67.8,,,57.9,52.4,,3,0,0,0,2,4,0,0,0,4,0,10,8,2.0,2.5,0.0,1
Derius Davis,78196,WR,LAC,5,4,1,1,83.6,51,0,61,0,2,1,34,318.8,2,2,27,0,2,79.9,67.5,77.2,,,65.0,68.3,53.7,51,0,24,4,17,17,0,0,4,8,0,61,34,8.5,15.3,1.41,0
Chase Edmonds,45851,HB,TB,2,4,2,0,0.0,0,0,20,0,0,2,16,200.0,1,2,30,0,1,68.6,62.5,70.8,,76.0,54.7,64.7,,14,0,0,0,5,4,0,0,0,4,0,20,16,4.0,5.0,0.0,3
Curtis Samuel,11795,WR,WAS,6,4,1,0,0.0,0,0,20,0,2,1,20,48.4,1,2,32,0,2,77.3,73.3,86.6,,61.6,72.4,64.0,59.7,13,0,285,27,187,62,0,0,31,31,1,20,20,5.0,5.0,1.52,0
Dorian Thompson-Robinson,83574,QB,CLV,2,1,2,0,0.0,0,0,-1,0,0,0,0,0.0,1,1,8,1,0,27.6,38.4,0.0,33.5,,,79.1,60.1,12,1,0,0,0,28,25,3,0,1,0,24,7,1.75,6.0,,0
Calvin Ridley,48262,WR,JAX,7,4,1,0,0.0,0,0,10,4,1,1,4,6.5,1,1,15,1,0,28.1,61.4,40.8,,,63.0,53.8,53.6,11,2,368,27,253,128,0,0,47,31,0,10,4,1.0,2.5,1.45,1
Velus Jones Jr.,40573,WR,CHI,4,4,2,1,77.3,17,0,22,0,0,2,16,160.0,2,2,6,0,2,72.7,61.0,74.1,,,57.0,63.6,60.4,17,0,5,1,7,12,0,0,1,5,0,22,16,4.0,5.5,0.71,0
Cooper Rush,12324,QB,DAL,3,4,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,9,0,0,72.2,50.7,75.3,47.8,,,61.0,60.0,0,0,0,0,0,18,0,0,0,4,0,-4,0,0.0,-1.0,,0
Mike White,46453,QB,MIA,2,4,0,0,0.0,0,0,-5,0,0,0,0,0.0,0,0,17,0,0,70.7,46.2,75.6,40.0,,,61.0,60.0,-1,0,0,0,0,23,0,0,0,4,0,-5,0,0.0,-1.3,,0
Devin Duvernay,40006,WR,BLT,6,3,0,0,0.0,0,0,15,0,0,0,4,0.0,0,0,3,0,2,84.4,53.6,80.4,,,49.8,61.4,70.1,8,0,8,2,52,48,0,0,7,5,0,15,4,1.33,5.0,0.15,1
Rashaad Penny,27414,HB,PHI,1,3,0,0,0.0,0,0,9,0,0,0,6,0.0,0,1,24,0,0,68.2,52.8,73.4,,16.9,63.4,57.4,60.0,6,1,5,1,3,4,0,0,1,4,0,9,6,2.0,3.0,1.67,3
Devine Ozigbo,45903,HB,DET,1,3,1,0,0.0,0,0,5,0,1,1,5,83.3,0,1,11,0,0,68.2,66.0,68.8,,,80.1,60.6,60.0,4,0,8,1,2,4,0,0,1,4,0,5,5,1.67,1.7,4.0,3
Harrison Bryant,26394,TE,CLV,5,3,0,0,0.0,0,0,6,0,0,0,3,0.0,0,3,8,0,0,69.7,59.2,82.8,,80.4,53.1,75.6,52.6,2,0,7,3,40,66,0,0,6,6,0,6,3,1.0,2.0,0.18,0
P.J. Walker,12134,QB,CLV,1,2,1,0,0.0,0,0,0,0,0,0,0,0.0,0,1,8,0,0,79.6,26.4,79.6,26.4,,,59.4,60.1,1,1,0,0,0,34,1,1,0,2,0,1,7,2.33,0.3,,0
C.J. Beathard,11859,QB,JAX,2,3,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,15,0,0,69.1,56.8,71.5,55.1,,,60.5,60.0,0,0,0,0,0,6,0,0,0,3,0,-2,0,0.0,-0.7,,0
Malik Willis,60341,QB,TEN,2,0,0,0,0.0,0,0,0,0,0,0,,100.0,1,1,31,0,0,74.0,48.6,74.9,48.4,,,57.2,60.0,11,0,0,0,0,5,17,3,0,0,0,17,15,5.0,5.7,,0
Aidan O'Connell,60516,QB,LV,1,3,0,0,0.0,0,0,3,0,0,0,0,0.0,0,2,23,3,0,28.3,39.8,79.5,37.4,,,68.5,60.0,2,0,0,0,0,24,0,0,0,3,1,3,0,0.0,1.0,,0
CeeDee Lamb,61570,WR,DAL,6,3,1,0,0.0,0,0,21,1,5,1,19,102.7,1,1,9,1,1,29.0,77.6,27.2,,,80.4,59.0,50.3,12,3,475,34,198,97,0,0,42,37,0,21,19,6.33,7.0,2.4,0
Kalif Raymond,11028,WR,DET,6,3,0,1,74.1,40,0,54,0,3,0,9,52.9,2,2,11,0,1,83.2,78.5,82.4,,,76.3,67.3,71.9,40,0,187,14,85,47,0,0,17,17,0,54,9,3.0,18.0,2.2,0
Michael Burton,9601,FB,DEN,6,3,0,0,0.0,0,0,5,0,0,0,3,0.0,0,2,10,0,0,69.4,67.9,79.9,,82.2,52.9,73.3,65.3,3,0,3,1,18,28,0,0,1,4,0,5,3,1.0,1.7,0.17,0
Deven Thompkins,84480,WR,TB,5,3,0,0,0.0,0,0,27,0,2,0,7,35.9,2,2,30,0,0,29.2,66.4,14.3,,,66.0,68.5,58.6,11,1,59,10,67,49,0,0,15,13,0,27,7,2.33,9.0,0.88,0
Hunter Luepke,91319,FB,DAL,6,3,3,0,0.0,0,0,13,0,1,3,9,300.0,0,2,9,0,0,69.8,62.0,80.6,,68.5,59.9,69.7,54.3,9,0,12,1,14,41,0,0,1,4,1,13,9,3.0,4.3,0.86,2
Deonte Harty,91470,WR,BUF,6,3,1,0,0.0,0,0,2,0,1,1,8,35.6,0,0,4,0,0,82.0,68.7,81.6,,,70.5,55.1,59.8,4,0,103,12,63,15,0,0,14,15,0,2,8,2.67,0.7,1.63,0
Jameis Winston,9434,QB,NO,3,3,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,20,0,0,75.7,62.0,76.5,61.1,,,60.5,60.0,-1,1,0,0,0,13,0,0,0,3,0,-4,0,0.0,-1.3,,0
Skyy Moore,97116,WR,KC,6,3,1,0,0.0,0,0,23,0,2,1,18,128.6,1,1,16,0,0,73.5,60.6,84.7,,,61.5,55.1,52.0,11,0,145,11,150,93,0,0,20,14,0,23,18,6.0,7.7,0.97,0
Zonovan Knight,97432,HB,DET,2,3,1,0,0.0,0,0,13,0,0,1,10,83.3,0,0,11,0,1,70.7,62.1,68.4,,76.7,62.6,60.4,,8,0,8,1,4,4,0,0,1,4,0,13,10,3.33,4.3,2.0,2
Kyle Juszczyk,7912,FB,SF,6,3,0,0,0.0,0,0,6,0,0,0,4,0.0,0,1,28,0,0,71.3,55.5,86.2,,54.3,52.1,63.8,58.2,3,0,39,6,79,112,0,0,6,9,0,6,4,1.33,2.0,0.49,0
Tre Tucker,101106,WR,LV,5,3,1,2,92.6,50,0,54,0,0,1,12,80.0,2,2,23,0,0,69.0,58.3,0.0,,,55.7,74.5,61.2,34,1,57,2,51,11,0,0,4,5,0,54,12,4.0,18.0,1.12,0
Xavier Gipson,104136,WR,NYJ,4,3,1,1,58.1,18,0,31,0,0,1,12,100.0,2,1,22,1,0,24.1,48.6,76.0,,,53.1,48.5,60.1,18,0,4,1,16,21,0,0,1,4,0,31,12,4.0,10.3,0.25,0
Marvin Mims Jr.,122937,WR,DEN,6,3,1,0,0.0,0,0,13,0,3,1,10,102.6,0,0,10,0,0,80.3,77.3,80.7,,,78.5,56.6,56.6,8,0,246,10,58,33,0,0,12,13,0,13,10,3.33,4.3,4.24,0
Andy Dalton,6187,QB,CAR,3,2,0,0,0.0,0,0,2,0,0,0,3,0.0,1,2,5,0,0,82.5,81.1,80.1,79.1,,,64.2,60.0,10,0,0,0,0,14,10,1,0,2,0,12,5,1.67,4.0,,1
Brian Hoyer,5277,QB,LV,2,3,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,23,0,0,73.6,66.8,76.0,65.6,,,60.5,60.0,-1,0,0,0,0,18,0,0,0,3,0,-3,0,0.0,-1.0,,0
Jake Funk,45835,HB,IND,1,2,0,0,0.0,0,0,10,0,0,0,4,0.0,0,0,14,0,0,66.7,63.5,76.5,,36.0,66.5,62.8,,7,0,12,1,8,2,0,0,1,3,0,10,4,2.0,5.0,1.5,2
