player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Trevor Lawrence,77632,QB,JAX,7,280,69.0,58,61,9.7,2.48,2,3,4.5,54.1,33,29,17.5,70,25.0,7,17,,,,83.0,69.1,79.5,66.9,60.0,,69.1,0,2,75,17.2,71.1,7.1,5,4,0,1,2,3,4.0,390,6.4,0,15,55.2,81.8,78.7,75.4,79.5,166,178,6.8,2.52,7,9,4.8,71.9,128,53,3.0,210,75.0,4,68,,,,39.8,84.5,83.6,80.6,,,76.8,2,1,221,20.8,100.3,5.2,11,19,0,3,6,7,3.2,1256,7.1,81.0,179,187,6.3,2.18,7,8,4.1,72.7,136,0,6.2,198,70.7,9,63,,,,90.0,88.5,83.3,84.8,60.0,,77.2,0,1,206,,97.7,0.0,0,9,0,1,5,5,2.4,1271,6.8,2,60.0,45,52,12.6,3.3,2,4,6.7,48.1,25,82,7.4,82,29.3,2,22,,,,23.4,62.8,80.1,58.6,,,71.7,2,2,90,19.5,75.4,19.5,16,14,0,3,3,5,5.6,375,7.2
Derek Carr,8671,QB,NO,7,278,67.5,77,84,10.0,2.46,1,6,6.8,59.5,50,39,3.8,97,34.9,2,26,,,,85.0,63.1,0.0,64.0,,,58.0,2,2,101,25.6,75.6,10.3,10,3,0,4,2,4,4.0,523,6.2,0,20,66.8,63.7,62.9,61.6,73.1,160,171,8.7,2.67,2,6,3.4,66.1,113,61,3.4,181,65.1,4,51,,,,51.9,61.3,83.0,61.5,,,52.3,2,2,190,13.1,86.3,4.4,8,2,0,7,4,4,2.1,1077,6.3,74.4,172,177,7.3,2.27,2,8,4.4,70.1,124,0,3.1,178,64.0,4,54,,,,89.4,68.5,31.1,68.5,,,58.3,0,2,183,,90.4,0.0,0,1,0,3,5,6,3.3,1071,6.1,2,63.1,65,78,13.9,3.16,1,4,4.7,50.0,39,100,4.9,100,36.0,2,23,,,,29.7,52.0,80.8,53.0,,,53.9,4,2,108,18.0,65.6,18.0,18,4,0,8,1,2,1.9,529,6.8
Sam Howell,97599,QB,WAS,6,265,78.0,50,57,7.5,2.73,3,2,3.2,61.4,35,31,10.3,69,26.0,4,18,,,,83.1,56.3,79.5,57.6,,,52.3,0,2,76,29.0,73.5,13.0,9,3,0,4,2,3,3.9,317,5.6,0,32,76.3,66.0,63.5,70.0,78.6,145,157,8.5,2.98,3,9,5.4,70.1,110,70,3.5,196,74.0,4,57,,,,69.0,68.5,83.4,65.5,,,73.1,1,4,211,35.7,96.1,12.8,25,13,0,8,7,5,2.4,1183,7.5,79.7,148,156,7.9,2.63,4,8,4.9,71.8,112,0,5.1,164,61.9,6,51,,,,88.9,74.1,82.6,72.4,,,65.9,0,2,172,,102.2,0.0,0,8,0,4,7,3,1.7,1149,7.4,0,74.5,47,58,9.2,3.38,2,3,4.6,56.9,33,101,5.7,101,38.1,2,24,,,,52.3,49.9,81.1,47.3,,,67.4,1,4,115,33.7,57.5,33.7,34,8,0,8,2,5,4.3,351,6.1
Matthew Stafford,4924,QB,LA,6,253,66.1,62,68,9.0,2.33,0,5,7.0,58.8,40,33,2.4,73,28.9,1,27,,,,83.2,71.8,79.6,70.7,,,,0,2,78,15.2,74.4,6.8,5,0,0,6,1,2,2.6,501,7.4,0,26,90.5,84.5,83.3,61.2,75.9,145,159,9.3,2.63,4,13,7.9,62.3,99,56,10.0,180,71.1,11,58,,,,89.5,86.3,82.9,84.9,,,59.9,1,3,186,19.6,87.4,6.1,11,9,3,6,5,3,1.6,1176,7.4,80.5,149,156,8.5,2.34,2,12,7.4,71.2,111,0,7.5,164,64.8,9,66,,,,88.8,92.4,82.6,91.5,,,63.8,0,3,170,,97.4,0.0,0,7,3,2,5,2,1.2,1247,8.0,4,53.4,58,71,10.9,2.92,2,6,8.1,39.4,28,89,9.7,89,35.2,3,19,,,,84.5,54.1,80.3,55.0,,,54.2,1,2,94,18.0,53.1,18.0,16,2,0,10,1,3,3.2,430,6.1
Kirk Cousins,7102,QB,MIN,6,252,78.6,70,80,7.6,2.52,0,2,2.4,62.5,50,37,9.1,91,36.1,5,30,,,,23.1,64.4,80.3,64.3,,,57.9,5,0,95,27.0,113.8,11.0,10,1,0,5,8,5,5.3,504,6.3,0,18,32.6,80.5,79.5,58.7,78.9,152,155,8.1,2.8,0,4,2.4,69.7,108,41,10.0,161,63.9,12,52,,,,89.0,86.1,82.6,84.1,,,58.3,1,4,174,12.2,93.9,3.1,5,1,1,1,6,1,0.6,1175,7.6,84.6,169,172,7.4,2.6,0,5,2.7,75.0,129,0,9.8,174,69.0,14,63,,,,89.5,90.5,82.9,89.4,,,54.2,0,3,186,,102.1,0.0,0,2,1,2,7,2,1.1,1288,7.5,4,60.4,53,63,9.7,2.91,0,1,1.5,46.0,29,78,9.4,78,31.0,3,19,,,,22.0,51.4,79.8,51.8,,,,6,1,83,19.2,96.7,19.2,15,0,0,4,7,4,4.8,391,6.2
Joe Burrow,28022,QB,CIN,6,252,68.8,64,71,7.3,2.21,1,2,2.7,59.2,42,29,4.5,80,31.7,2,23,,,,83.6,65.8,79.8,66.7,,,52.4,3,0,83,17.2,86.9,6.3,5,4,0,3,3,0,0.0,366,5.2,0,7,90.5,66.4,66.5,58.2,77.0,148,161,6.3,2.43,3,3,1.8,65.2,105,35,7.9,172,68.3,9,45,,,,89.2,66.2,82.8,64.9,,,66.4,3,4,180,25.7,76.7,5.2,9,2,1,6,4,4,2.2,864,5.4,76.0,179,186,6.5,2.11,3,4,2.1,68.3,127,0,6.6,188,74.6,9,58,,,,89.9,72.0,83.1,70.8,,,61.1,0,3,196,,82.4,0.0,0,2,1,3,3,4,2.0,1104,5.9,2,66.7,33,46,7.1,3.08,1,1,2.0,43.5,20,64,9.1,64,25.4,2,10,,,,82.1,51.1,79.0,51.7,,,57.0,6,1,67,21.9,70.7,21.9,14,4,0,6,4,0,0.0,126,2.7
Patrick Mahomes,11765,QB,KC,6,250,80.0,55,57,6.3,2.38,0,1,1.7,70.2,40,21,9.1,61,24.4,4,23,,,,81.8,70.6,79.0,70.6,,,56.8,1,0,63,14.3,106.5,4.9,3,1,0,1,3,3,4.8,389,6.8,0,16,78.7,85.5,78.8,90.1,76.3,156,168,7.3,3.12,1,8,4.5,67.3,113,62,5.0,189,75.6,6,64,,,,90.0,88.7,83.2,78.7,,,92.8,3,5,200,4.8,91.5,1.6,3,18,1,7,8,6,3.0,1204,7.2,80.3,152,156,5.3,2.44,1,4,2.5,73.7,115,0,5.7,167,66.8,7,61,,,,88.8,87.3,82.6,80.7,,,90.3,0,2,170,,107.0,0.0,0,11,1,2,10,5,2.9,1027,6.6,3,69.5,59,69,11.5,3.95,0,5,6.5,55.1,38,83,7.3,83,33.2,3,26,,,,84.4,76.6,80.3,69.0,,,88.5,4,3,93,7.2,68.9,7.2,6,8,0,6,1,4,4.3,566,8.2
Jalen Hurts,40291,QB,PHI,6,245,75.6,82,90,9.3,2.96,0,6,6.5,65.6,59,44,4.8,105,42.9,3,40,,,,85.4,77.6,80.8,73.5,,,76.3,1,4,107,13.6,81.5,5.7,6,9,0,7,3,5,4.7,696,7.7,0,24,68.5,76.5,75.6,67.1,79.5,112,123,9.2,3.41,1,8,6.2,66.7,82,45,7.9,140,57.1,7,35,,,,87.8,74.5,82.0,73.0,,,65.3,3,3,149,17.8,87.0,5.7,8,9,0,7,4,5,3.4,846,6.9,80.7,145,148,8.2,2.64,1,10,6.5,73.6,109,0,6.8,156,63.7,8,52,,,,88.5,85.2,82.4,83.3,,,64.4,0,5,164,,90.1,0.0,0,8,0,2,4,6,3.7,1127,7.6,2,69.4,49,65,12.1,4.22,0,4,6.0,49.2,32,89,5.9,89,36.3,2,23,,,,84.3,60.5,80.2,55.4,,,76.4,4,2,92,15.7,72.3,15.7,14,10,0,12,3,4,4.3,415,6.4
C.J. Stroud,129759,QB,HST,6,237,71.2,52,54,8.5,2.6,0,1,1.7,63.0,34,26,8.1,61,25.7,3,24,,,,82.0,66.4,79.0,66.2,,,58.3,1,0,65,19.2,111.4,8.2,5,1,0,1,3,2,3.1,497,9.2,0,13,62.3,73.3,70.5,71.2,72.3,141,159,8.6,2.89,2,5,3.0,58.5,93,54,8.8,176,74.3,9,57,,,,50.5,72.6,82.9,70.4,,,70.4,1,1,185,14.8,91.3,4.5,8,8,5,10,6,4,2.2,1163,7.3,77.3,141,151,8.4,2.51,2,6,3.8,65.6,99,0,9.2,157,66.2,10,65,,,,88.5,89.9,82.4,86.9,,,69.1,0,1,165,,111.5,0.0,0,4,5,3,9,2,1.2,1365,9.0,1,57.7,52,62,9.0,3.41,0,0,0.0,45.2,28,80,6.7,80,33.8,2,16,,,,27.4,37.0,80.0,36.9,,,62.5,2,0,85,16.3,59.5,16.3,13,5,0,8,0,4,4.7,295,4.8
Desmond Ridder,55086,QB,ATL,6,233,70.8,48,53,8.2,2.78,3,2,3.5,60.4,32,34,5.9,65,27.9,2,21,,,,44.1,63.4,79.2,64.9,,,52.6,0,2,70,20.6,84.0,10.8,7,5,0,2,3,3,4.3,362,6.8,0,2,47.3,47.5,47.2,59.6,71.3,143,150,8.2,2.55,1,3,1.9,65.3,98,44,3.9,168,72.1,4,54,,,,48.9,41.8,82.7,41.6,,,67.1,0,4,176,27.3,80.4,7.1,12,5,1,5,3,11,6.3,1018,6.8,74.8,147,151,7.3,2.29,2,3,1.9,69.5,105,0,4.5,155,66.5,5,55,,,,88.5,51.5,82.4,51.5,,,63.5,0,4,163,,89.7,0.0,0,3,1,1,5,8,4.9,1075,7.1,3,59.1,44,52,11.2,3.26,2,2,3.6,48.1,25,78,3.8,78,33.5,1,20,,,,22.8,44.2,79.9,44.3,,,58.0,0,2,83,24.4,57.0,24.4,19,7,0,6,1,6,7.2,305,5.9
