"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","166","23","0.28","63","1.01","52","-29","Jordyn Brooks","147","13","0.18","84","0.69","69"
"Kyle Pitts","185","19","0.29","61","1.36","67.2","-10","Lavonte David","190","16","0.23","81","0.96","59.2"
"Mark Andrews","166","20","0.43","71","1.77","71.1","-14","Alex Anzalone","239","14","0.18","73","0.84","76.4"
"Dawson Knox","153","16","0.19","58","0.6","48.6","-2","Ja'Whaun Bentley","165","10","0.15","62","0.5","70.8"
"Cole Kmet","158","20","0.42","78","1.52","69.5","-28","Robert Spillane","186","11","0.18","81","0.92","70"
"David Njoku","158","14","0.22","86","1.03","62.1","-16","Zaire Franklin","219","15","0.24","88","1.08","62.2"
"Greg Dulcich","20","20","0.28","75","1.25","66.8","-4","Quay Walker","125","19","0.32","88","1.47","64.3"
"Sam LaPorta","168","25","0.47","69","1.93","75.5","-5","Patrick Queen","208","10","0.17","71","0.65","79.9"
"Luke Musgrave","122","19","0.28","78","1.3","59.4","-10","Josey Jewell","124","10","0.21","85","1.21","68.5"
"Kylen Granson","154","16","0.25","64","1.1","56.6","-53","Grant Delpit","145","9","0.09","77","0.26","76.4"
"Evan Engram","210","20","0.31","86","1.43","70.4","-13","Demario Davis","195","8","0.09","53","0.15","86.1"
"Travis Kelce","144","32","0.62","78","2.4","83.2","50","Eric Kendricks","96","10","0.18","70","1.05","63.3"
"Tyler Higbee","221","13","0.2","69","1.06","62.8","-3","Cole Holcomb","160","7","0.14","75","0.84","67.6"
"Gerald Everett","108","18","0.32","84","1.14","65.8","8","Nick Bolton","95","9","0.12","67","0.59","71"
"Michael Mayer","89","12","0.22","73","1.3","61.4","-7","Tremaine Edmunds","206","13","0.25","85","0.85","51.2"
"Durham Smythe","159","9","0.15","79","0.77","51.5","-29","Zach Cunningham","205","14","0.18","79","0.71","62.1"
"T.J. Hockenson","204","23","0.38","78","1.49","65.4","0","Fred Warner","220","13","0.19","75","0.99","77"
"Hunter Henry","176","16","0.27","64","1.04","64.8","5","Terrel Bernard","192","14","0.22","78","1.14","64.2"
"Taysom Hill","86","15","0.2","85","0.76","64.6","-34","Foyesade Oluokun","230","14","0.18","81","0.71","78.1"
"Darren Waller","212","19","0.26","70","1.33","67.4","-7","Jamin Davis","147","14","0.21","71","1.05","72"
"Dallas Goedert","216","17","0.26","72","1.14","67.2","2","David Long Jr.","134","12","0.34","94","1.81","68.9"
"Pat Freiermuth","97","13","0.26","62","0.55","53.8","-14","Ernest Jones","165","12","0.16","68","0.81","77"
"Noah Fant","78","15","0.36","92","2.17","74.5","42","Josh Woods","72","8","0.16","50","0.32","28.6"
"George Kittle","157","15","0.37","75","1.38","77.6","11","Ivan Pace Jr.","77","13","0.17","80","0.64","76.9"
"Cade Otton","153","11","0.19","76","0.68","47.4","-27","Nate Landman","92","12","0.25","82","0.86","70.8"
"Logan Thomas","158","16","0.31","76","1.17","65.4","-27","Bobby Okereke","163","10","0.13","56","0.78","75.4"
