player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Sam Howell,97599,QB,WAS,7,-13.27,0,314,32,75.1,209,234,9.5,2.94,7,14,5.7,62.8,147,118,6.4,292,93.0,10,80,,,,78.2,60.8,63.6,58.5,,,70.8,1,7,313,33.9,80.7,13.7,40,17,0,17,8,11,3.5,1536,6.6,80.0,190,210,7.5,2.76,7,12,5.4,67.6,142,100,6.6,260,82.8,10,72,,,,75.6,67.5,61.5,64.5,,,76.1,1,5,276,36.0,86.1,13.8,36,13,0,12,5,9,3.3,1493,7.1,65.0,40,46,12.1,3.4,0,2,4.0,54.3,25,21,3.8,54,17.2,1,14,,,,81.6,42.3,78.7,43.5,,,54.4,0,2,61,19.0,81.4,7.4,4,4,0,6,4,2,3.3,256,5.6,0,100.0,21,22,-4.0,1.92,0,0,0.0,90.9,20,3,4.8,22,7.0,1,6,,,,76.1,67.4,75.3,66.7,,,,0,0,24,0.0,122.2,0.0,0,0,0,1,1,0,0.0,213,9.7,-1.54
Kirk Cousins,7102,QB,MIN,7,4.27,0,297,18,78.3,235,250,9.1,2.75,0,9,3.4,67.2,168,91,8.7,267,89.9,16,92,,,,35.9,82.3,38.8,81.8,,,57.1,7,5,284,16.5,101.2,5.6,15,2,2,6,15,7,2.5,1889,7.6,78.1,187,198,8.3,2.5,0,7,3.3,67.7,134,66,8.2,207,69.7,12,67,,,,42.5,73.4,31.3,73.3,,,58.6,6,5,220,12.1,98.0,3.9,8,1,2,3,11,6,2.7,1498,7.6,83.1,77,82,6.1,3.02,0,2,2.3,72.0,59,28,7.8,90,30.3,5,33,,,,46.6,90.6,80.4,89.8,60.0,,58.3,1,0,96,25.0,110.8,7.8,7,1,0,4,5,1,1.0,559,6.8,0,89.7,29,30,-3.5,1.83,0,0,0.0,83.3,25,3,3.8,30,10.1,1,8,,,,77.7,67.8,76.5,67.3,60.0,,,0,0,32,0.0,101.1,0.0,0,0,0,1,1,0,0.0,168,5.6,-0.75
Patrick Mahomes,11765,QB,KC,7,-6.77,0,296,16,74.9,215,230,9.1,3.18,1,11,4.5,64.8,149,92,7.5,256,86.5,12,95,,,,79.5,90.3,86.3,84.1,,,90.5,4,6,272,6.5,95.1,2.3,6,20,1,9,12,10,3.7,1792,7.8,80.0,210,223,7.0,2.87,1,8,3.4,70.4,157,78,6.5,247,83.4,11,91,,,,78.7,90.2,86.2,84.1,,,90.1,4,5,261,6.4,98.7,2.0,5,18,1,7,12,9,3.4,1572,7.0,70.7,41,44,9.4,3.42,0,3,6.5,63.6,28,19,3.4,49,16.6,1,19,,,,80.5,75.1,78.3,70.9,,,74.8,0,1,51,10.5,110.5,4.1,2,3,0,3,3,1,2.0,445,10.1,0,100.0,36,37,-2.7,1.58,0,0,0.0,97.3,36,5,0.0,40,13.5,0,15,,,,79.0,70.2,77.4,67.6,,,63.9,0,0,40,20.0,119.0,2.5,1,1,0,1,3,0,0.0,225,6.1,3.06
Matthew Stafford,4924,QB,LA,7,0.84,0,285,26,69.7,211,232,10.3,2.66,3,19,7.8,56.9,132,97,10.2,259,90.9,15,92,,,,90.5,83.4,64.1,82.2,,,60.5,1,6,275,17.5,80.0,6.6,17,10,3,14,6,6,2.2,1821,7.8,70.5,200,213,8.6,2.46,1,10,4.5,59.6,127,79,9.9,238,83.5,14,75,,,,90.4,72.9,62.9,71.4,,,64.7,0,6,251,20.3,79.1,6.7,16,8,3,9,7,6,2.4,1438,6.8,81.8,33,43,12.3,3.04,3,9,19.1,60.5,26,20,3.7,47,16.5,1,20,,,,80.5,95.3,78.0,94.9,,,52.3,1,0,51,10.0,98.0,4.3,2,2,0,6,0,0,0.0,470,10.9,0,95.5,22,24,-3.0,1.5,1,0,0.0,87.5,21,2,0.0,26,9.1,0,3,,,,76.8,63.2,75.8,62.8,,,,0,0,27,50.0,95.7,3.8,1,0,0,1,1,0,0.0,87,3.6,4.18
Jalen Hurts,40291,QB,PHI,7,-6.56,0,281,24,75.9,199,220,10.5,3.31,2,17,7.4,64.1,141,104,6.6,257,91.5,10,83,,,,58.4,78.9,65.8,76.6,,,71.9,4,7,268,16.3,86.6,6.6,17,20,0,15,8,11,4.1,1704,7.7,79.3,169,183,8.6,3.08,1,12,6.3,68.9,126,78,6.0,206,73.3,8,66,,,,52.4,73.5,63.4,71.7,,,68.3,2,6,217,11.5,91.9,4.4,9,14,0,11,8,10,4.6,1385,7.6,74.1,54,61,10.5,3.37,1,5,7.9,62.3,38,27,5.0,75,26.7,2,22,,,,83.2,86.0,79.6,81.2,,,78.0,2,2,77,29.6,75.6,10.7,8,6,0,4,1,1,1.3,436,7.1,0,95.8,24,24,-2.6,1.55,0,0,0.0,95.8,23,1,0.0,24,8.5,0,5,,,,76.6,69.5,75.6,68.7,,,,0,1,26,0.0,83.5,0.0,0,0,0,0,1,0,0.0,117,4.9,-0.42
Trevor Lawrence,77632,QB,JAX,7,2.11,0,280,15,72.3,184,197,9.9,2.73,7,12,5.6,62.9,124,81,6.8,235,83.9,9,75,,,,49.4,82.0,63.3,78.6,,,76.5,2,3,251,19.8,91.9,6.8,16,22,0,4,8,10,4.0,1426,7.2,75.0,172,181,7.8,2.39,6,9,4.7,66.9,121,56,6.2,210,75.0,8,60,,,,44.4,78.8,61.7,76.4,60.0,,71.6,0,2,221,21.4,94.7,5.7,12,15,0,3,8,8,3.6,1163,6.4,82.7,52,58,6.7,2.87,3,3,4.8,69.0,40,26,7.0,70,25.0,3,25,,,,83.0,79.6,79.5,75.8,,,73.3,2,1,75,15.4,87.1,5.7,4,8,0,1,0,2,2.7,483,8.3,0,97.5,40,42,-3.2,1.34,2,0,0.0,88.1,37,1,5.1,45,16.1,2,10,,,,79.6,68.0,77.7,68.6,60.0,,58.3,0,0,45,0.0,88.5,0.0,0,1,0,0,0,0,0.0,220,5.2,1.9
Derek Carr,8671,QB,NO,7,-3.81,0,278,20,69.3,215,231,10.4,2.69,3,12,4.9,61.9,143,99,4.0,254,91.4,6,70,,,,64.4,63.2,60.9,62.5,,,61.6,4,4,267,18.2,81.1,7.1,18,5,0,9,5,8,3.0,1523,6.6,72.0,207,222,8.9,2.51,2,12,5.2,64.4,143,85,4.0,241,86.7,6,68,,,,62.8,66.0,60.0,65.2,,,61.0,4,4,252,20.0,84.2,7.1,17,2,0,9,6,8,3.2,1437,6.5,66.7,30,33,10.7,3.12,1,0,0.0,60.6,20,15,0.0,37,13.3,0,9,,,,78.9,51.8,77.3,51.4,,,61.3,0,0,39,6.7,73.2,2.7,1,3,0,2,0,0,0.0,163,4.9,0,90.9,22,24,-3.3,1.53,0,0,0.0,83.3,20,1,0.0,24,8.6,0,7,,,,76.1,64.7,75.6,64.1,,,,0,0,24,0.0,93.9,0.0,0,0,0,2,1,0,0.0,77,3.2,-1.53
Jared Goff,10635,QB,DET,7,10.34,0,274,11,77.7,206,222,8.8,2.71,4,10,4.4,66.7,148,85,7.5,240,87.6,12,81,,,,67.1,86.6,86.4,83.7,,,72.1,1,4,248,17.6,98.7,6.3,15,3,1,10,11,5,2.0,1706,7.7,78.1,178,194,7.2,2.46,4,9,4.5,65.5,127,65,8.6,207,75.5,12,65,,,,80.0,80.7,86.1,77.6,,,74.7,1,4,216,16.9,86.5,5.3,11,2,1,10,6,4,1.9,1309,6.7,87.7,57,62,7.5,2.91,1,1,1.6,75.8,47,24,6.0,67,24.5,3,26,,,,42.1,87.1,79.1,85.7,,,58.3,0,0,68,16.7,131.9,6.0,4,1,0,4,5,1,1.5,592,9.5,0,100.0,29,34,-3.7,1.61,1,0,0.0,76.5,26,4,10.3,34,12.4,3,10,,,,78.4,65.5,76.8,65.0,,,,0,0,36,0.0,89.7,0.0,0,0,0,4,0,0,0.0,195,5.7,2.8
Josh Allen,46601,QB,BUF,7,4.23,0,274,4,77.7,211,227,10.2,3.12,3,14,5.8,68.7,156,91,4.9,255,93.1,8,94,,,,76.3,86.0,62.5,84.8,,,67.4,2,7,275,11.0,100.9,3.9,10,18,1,10,15,7,2.5,1766,7.8,78.1,169,181,8.8,2.96,3,9,4.7,69.6,126,71,4.5,203,74.1,6,64,,,,71.5,78.8,58.9,77.3,,,67.7,1,6,218,11.3,89.3,3.9,8,14,1,7,9,6,2.8,1149,6.3,83.3,60,65,10.1,3.08,0,5,7.4,73.8,48,21,4.0,71,25.9,2,34,,,,83.1,90.5,79.5,90.0,,,61.5,1,1,76,9.5,132.3,2.8,2,4,0,4,6,1,1.3,692,10.6,0,100.0,18,19,-3.4,1.35,0,0,0.0,94.7,18,1,0.0,19,6.9,0,4,,,,74.8,68.6,74.5,67.9,,,,0,0,19,0.0,83.1,0.0,0,0,0,1,0,0,0.0,75,3.9,4.3
Desmond Ridder,55086,QB,ATL,7,-12.22,0,261,2,70.7,191,205,9.6,2.72,5,6,2.8,62.9,129,85,4.4,237,90.8,6,81,,,,25.9,48.1,21.4,50.2,,,47.7,0,6,250,23.5,79.9,8.4,20,12,1,8,4,15,6.0,1531,7.5,73.8,160,166,7.1,2.38,3,2,1.1,68.7,114,56,3.4,189,72.4,4,61,,,,23.9,45.2,14.4,48.2,,,43.9,0,5,200,25.0,81.3,7.4,14,9,1,2,3,13,6.5,1134,6.8,71.7,53,62,11.6,3.25,2,4,6.3,56.5,35,31,7.9,72,27.6,3,25,,,,83.0,63.2,79.5,61.8,,,65.5,0,1,75,19.4,91.9,8.3,6,3,0,7,3,2,2.7,496,8.0,0,95.5,22,23,-3.5,1.65,0,0,0.0,87.0,20,2,4.8,24,9.2,1,5,,,,76.3,64.9,75.5,64.3,,,,0,0,25,0.0,113.6,0.0,0,0,0,1,2,0,0.0,99,4.3,1.17
