player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Willie Gay,57987,LB,KC,6,11,11.0,5.5,16,0,68.8,1,2,0,12,3,1.09
Richie Grant,43196,S,ATL,7,33,11.0,6.6,2,0,72.9,3,5,0,25,6,0.76
Jonathan Owens,66930,S,GB,3,11,11.0,11.0,12,0,100.0,1,1,0,8,7,0.73
Mike Hilton,10898,S,CIN,6,143,11.0,6.2,7,1,61.0,13,23,0,165,77,1.15
Cobie Durant,79126,CB,LA,7,170,10.6,7.4,26,0,102.1,16,23,0,232,78,1.36
Myles Bryant,43336,CB,NE,7,126,10.5,9.0,19,0,125.0,12,14,1,116,63,0.92
Isaiah McDuffie,57754,LB,GB,5,21,10.5,10.5,12,0,87.5,2,2,0,10,8,0.48
Kamren Curl,55800,S,WAS,7,63,10.5,6.3,32,0,71.3,6,10,0,46,29,0.73
Kader Kohou,156070,CB,MIA,5,136,10.5,10.5,17,0,99.7,13,13,0,103,46,0.76
Tre'von Moehrig,77847,S,LV,7,31,10.3,10.3,23,0,122.9,3,3,1,12,17,0.39
Dax Hill,97519,S,CIN,6,41,10.3,5.1,7,0,101.0,4,8,1,34,18,0.83
Andre Cisco,76641,S,JAX,7,31,10.3,6.2,15,0,84.6,3,5,0,39,35,1.26
Ja'Sir Taylor,55426,CB,LAC,6,174,10.2,6.2,27,0,89.6,17,28,0,248,116,1.43
Rayshawn Jenkins,11868,S,JAX,7,61,10.2,6.8,15,0,86.3,6,9,0,62,14,1.02
Kenny Moore II,51596,CB,IND,7,191,10.1,7.6,14,1,76.6,19,25,0,167,101,0.87
Michael Davis,12040,CB,LAC,4,10,10.0,5.0,27,0,68.8,1,2,0,12,17,1.2
Devin White,43089,LB,TB,6,10,10.0,10.0,30,0,79.2,1,1,0,1,2,0.1
Shaun Wade,55673,CB,NE,4,10,10.0,10.0,19,0,91.7,1,1,0,6,1,0.6
Akayleb Evans,65033,CB,MIN,4,10,10.0,10.0,18,0,118.8,1,1,0,14,7,1.4
Brandon Stephens,45644,CB,BLT,4,10,10.0,5.0,3,0,89.6,1,2,0,22,4,2.2
Greg Newsome II,83341,CB,CLV,5,89,9.9,5.9,8,0,77.9,9,15,0,93,52,1.04
Taron Johnson,49511,CB,BUF,7,193,9.7,8.8,4,0,130.1,20,22,2,175,87,0.91
DJ Turner II,101376,CB,CIN,5,19,9.5,3.2,7,0,42.4,2,6,0,14,12,0.74
Deommodore Lenoir,55686,CB,SF,4,38,9.5,6.3,28,0,77.8,4,6,0,29,13,0.76
Kyler Gordon,83451,CB,CHI,3,65,9.3,7.2,6,0,94.4,7,9,0,60,25,0.92
Rudy Ford,11963,S,GB,6,46,9.2,4.6,12,1,56.7,5,10,1,46,25,1.0
Cole Holcomb,49753,LB,PIT,5,18,9.0,9.0,25,0,118.8,2,2,0,30,7,1.67
Taylor Rapp,51172,S,BUF,3,9,9.0,9.0,4,0,95.8,1,1,0,7,11,0.78
Jourdan Lewis,11846,CB,DAL,5,81,9.0,6.2,9,0,144.2,9,13,2,140,67,1.73
Paulson Adebo,52280,CB,NO,4,9,9.0,4.5,20,0,62.5,1,2,0,9,0,1.0
Nate Landman,57788,LB,ATL,4,9,9.0,4.5,2,0,66.7,1,2,0,11,7,1.22
Sydney Brown,83241,S,PHI,2,9,9.0,4.5,24,0,56.3,1,2,0,1,3,0.11
Darnell Savage,34247,S,GB,6,27,9.0,6.8,12,0,81.3,3,4,0,16,12,0.59
Christian Rozeboom,49862,LB,LA,6,18,9.0,4.5,26,0,56.3,2,4,0,8,14,0.44
Dane Belton,101398,S,NYG,4,9,9.0,9.0,21,0,118.8,1,1,0,23,15,2.56
Kevon Seymour,10852,CB,BLT,1,9,9.0,4.5,3,0,56.3,1,2,0,1,2,0.11
Amani Hooker,51378,S,TEN,5,80,8.9,7.3,31,1,80.9,9,11,0,148,70,1.85
Jimmie Ward,8665,S,HST,4,80,8.9,8.0,13,0,94.6,9,10,0,67,50,0.84
Tracy Walker III,51266,S,DET,5,44,8.8,7.3,11,0,126.4,5,6,2,29,7,0.66
Grayland Arnold,43528,CB,HST,4,70,8.8,7.0,13,0,95.4,8,10,0,69,32,0.99
Arthur Maulet,12224,CB,BLT,5,105,8.8,6.6,3,0,100.8,12,16,0,139,101,1.32
Chandon Sullivan,49349,CB,PIT,6,61,8.7,5.5,25,0,111.2,7,11,1,68,15,1.11
Nicholas Morrow,51674,LB,PHI,5,26,8.7,6.5,24,0,95.8,3,4,0,30,14,1.15
Logan Wilson,29623,LB,CIN,6,26,8.7,6.5,7,0,94.8,3,4,0,29,8,1.12
