"","team","opp","name","fpts","ceil","floor","proj_own","salary","rg_value","def_pass_epa_rank","off_pass_epa_rank","pass_adv","def_rush_epa_rank","off_rush_epa_rank","rush_adv","delta"
"1","PHI","NO","Eagles",7.7,14.34,2.63,2.14,4000,-1.3,2,17,15,8,21,13,28
"2","NYG","IND","Giants",8.45,14.35,3.53,1.96,3900,-0.35,25,26,1,26,31,5,6
"3","KC","DEN","Chiefs",8.76,14.76,3.8,5.07,3800,0.16,11,25,14,15,29,14,28
"4","LAC","LAR","Chargers",8.24,14.21,3.29,1.91,3700,-0.16,8,NA,NA,23,NA,NA,NA
"5","JAX","HOU","Jaguars",7.14,12.3,3.11,0.98,3600,-1.06,22,32,10,21,30,9,19
"6","MIA","NE","Dolphins",6.45,12.65,1.6,0.84,3500,-1.55,24,24,0,6,5,-1,-1
"7","CLE","WAS","Browns",6.14,11.34,1.92,0.84,3400,-1.66,5,30,25,30,16,-14,11
"8","IND","NYG","Colts",5.85,11.43,1.45,0.65,3300,-1.75,10,13,3,20,16,-4,-1
"9","SEA","NYJ","Seahawks",7.29,12.86,3.07,2.04,3200,-0.11,26,29,3,27,27,0,3
"10","WAS","CLE","Commanders",7.17,13.09,3.01,2.65,3100,-0.03,12,20,8,18,7,-11,-3
"11","TB","CAR","Buccaneers",7.19,12.96,2.88,7.9,3000,0.19,3,31,28,17,1,-16,12
"12","ARI","ATL","Cardinals",5.41,11.17,1.17,0.82,3000,-1.59,19,20,1,25,4,-21,-20
"13","DET","CHI","Lions",6.77,12.59,2.4,2.55,2900,-0.03,26,12,-14,29,15,-14,-28
"14","SF","LV","49ers",8.57,15.13,3.61,21.86,2900,1.77,6,11,5,2,20,18,23
"15","NYJ","SEA","Jets",7.19,13.5,2.44,8.98,2800,0.59,14,14,0,14,24,10,10
"16","CHI","DET","Bears",3.89,8.38,0.18,0.81,2800,-2.71,32,7,-25,24,28,4,-21
"17","ATL","ARI","Falcons",7.01,13.16,2.49,6.32,2700,0.61,31,28,-3,32,26,-6,-9
"18","MIN","GB","Vikings",5.11,11.55,0.35,1.99,2700,-1.29,29,16,-13,7,18,11,-2
"19","NE","MIA","Patriots",7.32,13.24,2.63,11.57,2600,1.12,9,8,-1,11,14,3,2
"20","HOU","JAX","Texans",5.54,10.76,1.35,2.25,2500,-0.46,21,9,-12,28,20,-8,-20
"21","CAR","TB","Panthers",4.89,9.29,1.37,1.08,2400,-0.91,12,22,10,12,32,20,30
"22","LAR","LAC","Rams",5.7,11.01,1.37,4.08,2400,-0.1,30,23,-7,10,11,1,-6
"23","LV","SF","Raiders",5.26,10.7,0.88,1.4,2300,-0.34,28,2,-26,9,8,-1,-27
"24","GB","MIN","Packers",6.1,12.18,1.58,4.6,2300,0.5,17,10,-7,31,24,-7,-14
"25","NO","PHI","Saints",5,11.04,0.27,4.01,2200,-0.4,16,4,-12,22,3,-19,-31
"26","DEN","KC","Broncos",4,8.83,0.14,0.7,2200,-1.4,1,1,0,20,12,-8,-8
