"","Name","TeamAbbrev","Salary","proj_own","fpts","sum_sd","touches_game","runBlockAdv","opp","off_def","off_rush_epa_rank","def_rush_epa_rank","rdef_rank","mtf_per_attempt","breakaway_percent","elusive_rating","tack_rank","grades_offense","yco_attempt","yprr","name_salary_own"
"1","Nick Chubb","CLE",7300,1.23,14.05,1.051,19.8,13,"WAS",13.5,7,18,23,4.5,35.5,95.2,10,88.6,3.41,0.85,"Nick Chubb 7300 1.23"
"2","Christian McCaffrey","SF",9000,23.5,24.05,0.919,19.4,-8,"LV",2.5,8,9,12,1.6,29.2,50.5,30,86.4,2.88,1.75,"Christian McCaffrey 9000 23.5"
"3","Miles Sanders","PHI",5900,18.73,14.85,0.911,17.1,-13,"NO",19,3,22,22,2.7,24.5,58.4,25,76.7,3.11,0.31,"Miles Sanders 5900 18.73"
"4","Josh Jacobs","LV",7400,4.42,14.76,0.805,23.5,-42,"SF",-18,20,2,2,4.7,25.1,88.1,3,92.3,3.52,1.26,"Josh Jacobs 7400 4.42"
"5","Rhamondre Stevenson","NE",6800,14.64,18.51,0.784,17.2,-31,"MIA",0.5,5,6,5,2.5,34.3,83.2,26,83.3,3.77,1.25,"Rhamondre Stevenson 6800 14.64"
"6","Saquon Barkley","NYG",8000,14.88,20.63,0.759,22.5,-20,"IND",-2,16,20,8,2.4,34.3,39.2,10,78.8,2.82,0.97,"Saquon Barkley 8000 14.88"
"7","Tyler Allgeier","ATL",5300,17.13,14.97,0.716,12.9,40,"ARI",22,4,25,27,3.4,29.1,85.5,12,85,3.52,0.81,"Tyler Allgeier 5300 17.13"
"8","Alvin Kamara","NO",6900,8.56,15.23,0.715,18.4,-40,"PHI",-7,21,8,20,1.6,11.6,40.1,21,66.8,2.52,1.81,"Alvin Kamara 6900 8.56"
"9","Cordarrelle Patterson","ATL",5400,0.75,11.4,0.689,13,40,"ARI",22,4,25,27,2.1,28.8,46.9,12,79.6,3.05,0.57,"Cordarrelle Patterson 5400 0.75"
"10","D'Onta Foreman","CAR",5700,1.02,10.11,0.682,12.2,-22,"TB",17.5,1,17,20,2.7,34.8,62.6,11,74.3,3.28,0.26,"D'Onta Foreman 5700 1.02"
