"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_pass_route","advantage","adv","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","route_rate","slot_rate_cov","slot_rate","slot","wide","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"51","K.J. Osborn","MIN",4600,0.35,8.07,62.2,18.5,-3.8,4.8,0.89,-0.441,"GB",17,13,0.14,1,0.86,21,12,184,0.251,6,296,0.749,92.8,66,58.8,62.29,71.41,24,0.054,4,4.8,"K.J. Osborn 4600 0.35"
"52","Parris Campbell","IND",4600,0.47,8.01,62.3,43,5.9,4.7,0.98,0.049,"NYG",26,31,0.26,1.22,0.96,1,32,175,0.503,20,306,0.497,94.9,56.4,82.2,54.97,62.75,32,0.121,3,5,"Parris Campbell 4600 0.47"
"53","Terrace Marshall Jr.","CAR",3600,0.67,7.94,70.3,20,2,3.4,1.67,-0.144,"TB",5,7,0.42,2,1.58,28,4,58,0.212,5,198,0.788,95.4,68.3,8.5,66.09,68.49,15,-0.063,1,6,"Terrace Marshall Jr. 3600 0.67"
"54","Alec Pierce","IND",3900,0.83,7.62,61.6,32.1,-0.699999999999996,4.8,1.27,0.185,"NYG",26,31,0.5,1.72,1.22,1,32,140,0.503,20,240,0.497,95.2,62.3,6.3,54.97,62.75,32,0.121,2,2.9,"Alec Pierce 3900 0.83"
"55","Olamide Zaccheaus","ATL",3400,0.76,7.21,66.6,45.2,NA,3.6,1.55,-0.107,"ARI",18,17,-0.44,1.28,1.72,31,2,72,0.198,14,232,0.802,93.3,NA,63.3,NA,NA,3,0.059,2,5.2,"Olamide Zaccheaus 3400 0.76"
"56","Jauan Jennings","SF",3600,1.35,7.05,68.1,33.2,8.3,3.4,1.4,-0.185,"LV",28,25,-0.71,1.04,1.75,6,27,89,0.39,27,146,0.61,94.5,59.8,55.9,60.4,59.08,21,0.136,1,5.1,"Jauan Jennings 3600 1.35"
"57","Josh Reynolds","DET",3700,1.26,6.82,65.1,65.4,6.39999999999999,4.4,1.3,-0.043,"CHI",32,20,0.44,1.44,1,16,17,114,0.282,24,201,0.718,94.4,58.7,35.9,58.72,58.69,20,0.251,3,3.3,"Josh Reynolds 3700 1.26"
"58","Brandon Powell","LAR",3000,0.65,6.8,71.8,31.2,4.8,1.7,1.48,NA,"LAC",8,3,-1.51,0.3,1.81,NA,NA,23,NA,NA,69,NA,98.1,67,51.9,68.79,64.99,NA,-0.037,0,7.9,"Brandon Powell 3000 0.65"
"59","Randall Cobb","GB",3800,0.96,6.78,73.3,NA,14.5,4,1.77,NA,"MIN",29,23,-0.62,1.43,2.05,25,8,81,0.234,1,113,0.766,95.2,58.8,80.3,55.58,71.92,18,0.138,1,5.7,"Randall Cobb 3800 0.96"
"60","Mack Hollins","LV",4200,0.67,6.68,61.9,24.6,-5.4,5.5,1.2,-0.146,"SF",6,2,0.83,1.76,0.93,28,4,119,0.212,12,304,0.788,93.6,67.3,14.7,64.79,67.77,2,-0.059,4,3.5,"Mack Hollins 4200 0.67"
