"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_pass_route","advantage","adv","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","route_rate","slot_rate_cov","slot_rate","slot","wide","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"91","Tre'Quan Smith","NO",3000,0.07,2.6,69.5,36.5,3,2.1,1.56,-0.00599999999999994,"PHI",1,11,0.41,1.88,1.47,18,15,60,0.266,12,100,0.734,94.6,66.5,63.6,60.8,76.57,8,-0.097,1,3.4,"Tre'Quan Smith 3000 0.07"
"92","Jameson Williams","DET",3400,0.02,2.52,51.5,NA,-7.2,1.2,1.86,NA,"CHI",32,20,-2.56,0,2.56,16,17,5,0.282,24,17,0.718,95.7,58.7,21.7,58.72,58.69,20,0.251,1,5,"Jameson Williams 3400 0.02"
"93","Cedrick Wilson Jr.","MIA",3000,0.04,2.28,NA,NA,NA,NA,NA,NA,"NE",9,9,NA,NA,NA,5,28,NA,0.395,11,NA,0.605,NA,NA,NA,64.67,63.81,14,-0.027,NA,NA,"Cedrick Wilson Jr. 3000 0.04"
"94","Velus Jones Jr.","CHI",3000,0.36,2.09,59,NA,8.4,1,1.23,NA,"DET",24,32,-0.77,0.67,1.44,2,31,15,0.453,24,43,0.547,95.5,50.6,19.4,56.29,49.17,31,0.116,1,6.5,"Velus Jones Jr. 3000 0.36"
"95","Penny Hart","SEA",3000,0.02,1.93,59.1,NA,-11.9,0.6,1,NA,"NYJ",12,4,-2.14,0,2.14,14,19,5,0.287,4,8,0.713,87,71,60.9,63.15,83.22,6,0.014,0,4,"Penny Hart 3000 0.02"
"96","Andre Baccellia","ARI",3000,0,1.9,61.2,NA,3.6,1.2,0.65,NA,"ATL",31,30,-0.76,0,0.76,19,14,7,0.265,26,38,0.735,96.1,57.6,9.8,59.98,57.35,29,0.212,0,2.2,"Andre Baccellia 3000 0"
"97","Scotty Miller","TB",3000,0.03,1.74,56.4,NA,-2.6,2.9,1.02,NA,"CAR",16,28,-0.55,0.43,0.98,30,3,47,0.2,32,110,0.8,94,59,20.1,56.66,59.54,28,0.042,0,1.4,"Scotty Miller 3000 0.03"
"98","Marquez Callaway","NO",3000,0.03,1.73,58.8,21.1,-16.7,2.6,0.84,-0.418,"PHI",1,11,0.35,1.04,0.69,18,15,50,0.266,12,107,0.734,95.4,75.5,7.1,60.8,76.57,8,-0.097,1,2.4,"Marquez Callaway 3000 0.03"
"99","Danny Gray","SF",3000,0.04,1.46,53,NA,-6.4,0.6,0.4,NA,"LV",28,25,1.67,1.67,0,6,27,7,0.39,27,12,0.61,96.2,59.4,23.1,60.4,59.08,21,0.136,0,4,"Danny Gray 3000 0.04"
"100","Denzel Mims","NYJ",3000,0.02,1.44,60.7,NA,-2.59999999999999,2.9,1.19,NA,"SEA",27,27,-1.04,0.61,1.65,26,7,58,0.228,28,84,0.772,98.1,63.3,21.5,54.51,65.72,27,0.132,0,7.1,"Denzel Mims 3000 0.02"
"101","Keelan Cole","LV",3000,0.02,1.28,49.8,NA,-16,1.7,0.59,NA,"SF",6,2,0.39,0.76,0.37,28,4,57,0.212,12,126,0.788,93.5,65.8,64.5,64.79,67.77,2,-0.059,1,2.2,"Keelan Cole 3000 0.02"
"102","Keith Kirkwood","NO",3000,0.05,1.25,49.7,NA,-16.5,1.3,0.46,NA,"PHI",1,11,0.53,0.78,0.25,18,15,19,0.266,12,16,0.734,95.1,66.2,65.9,60.8,76.57,8,-0.097,0,1.5,"Keith Kirkwood 3000 0.05"
"103","Braylon Sanders","MIA",3000,0,1.1,48.6,NA,-15.4,1,0.89,NA,"NE",9,9,-1.89,0,1.89,5,28,7,0.395,11,9,0.605,100,64,26.3,64.67,63.81,14,-0.027,0,2,"Braylon Sanders 3000 0"
"104","Mike Strachan","IND",3000,0.04,1.05,NA,NA,NA,NA,NA,NA,"NYG",26,31,NA,NA,NA,1,32,NA,0.503,20,NA,0.497,NA,NA,NA,54.97,62.75,32,0.121,NA,NA,"Mike Strachan 3000 0.04"
"105","Lance McCutcheon","LAR",3000,0.01,1.05,47.3,NA,-18.5,0.5,0,NA,"LAC",8,3,0,0,0,NA,NA,7,NA,NA,17,NA,92.6,65.8,22.2,68.79,64.99,NA,-0.037,0,NA,"Lance McCutcheon 3000 0.01"
"106","Zach Pascal","PHI",3000,0.02,1.03,63.5,NA,6.1,1.2,1.09,NA,"NO",11,12,1.27,1.81,0.54,10,23,54,0.298,20,74,0.702,93.8,57.4,63.7,60.71,51.56,11,0.009,1,5.9,"Zach Pascal 3000 0.02"
"107","A.J. Green","ARI",3200,0.01,1,51.4,NA,-6.3,3,0.38,NA,"ATL",31,30,-0.09,0.33,0.42,19,14,69,0.265,26,214,0.735,94.3,57.7,13.9,59.98,57.35,29,0.212,1,0.8,"A.J. Green 3200 0.01"
"108","KhaDarel Hodge","ATL",3000,0.02,0.99,81.4,NA,NA,1.3,3.23,NA,"ARI",18,17,-1.98,2,3.98,31,2,10,0.198,14,47,0.802,95.3,NA,20.3,NA,NA,3,0.059,1,5.1,"KhaDarel Hodge 3000 0.02"
"109","Dareke Young","SEA",3000,0.04,0.99,NA,NA,NA,NA,NA,NA,"NYJ",12,4,NA,NA,NA,14,19,NA,0.287,4,NA,0.713,NA,NA,NA,63.15,83.22,6,0.014,NA,NA,"Dareke Young 3000 0.04"
"110","Michael Woods II","CLE",3000,0.05,0.93,52.7,NA,-11.2,1.1,0.44,NA,"WAS",13,10,-0.39,0.31,0.7,11,22,30,0.296,15,32,0.704,93.2,63.9,30.1,65.23,63.36,7,0.017,0,1.8,"Michael Woods II 3000 0.05"
"111","Jalen Reagor","MIN",3000,0.01,0.93,70.2,NA,3.10000000000001,0.9,2.42,NA,"GB",17,13,2.62,3.5,0.88,21,12,9,0.251,6,16,0.749,94.7,67.1,47.4,62.29,71.41,24,0.054,1,4.5,"Jalen Reagor 3000 0.01"
"112","Dyami Brown","WAS",3000,0.04,0.86,69.6,NA,NA,0.9,1.77,NA,"CLE",4,19,2.41,4.13,1.72,22,11,16,0.248,8,48,0.752,96.4,NA,28.6,NA,NA,23,-0.079,2,6.2,"Dyami Brown 3000 0.04"
"113","Cade Johnson","SEA",3000,0,0.82,NA,NA,NA,NA,NA,NA,"NYJ",12,4,NA,NA,NA,14,19,NA,0.287,4,NA,0.713,NA,NA,NA,63.15,83.22,6,0.014,NA,NA,"Cade Johnson 3000 0"
"114","Samori Toure","GB",3000,0.03,0.69,51.6,NA,-9.9,1.1,1.12,NA,"MIN",29,23,0.34,1.48,1.14,25,8,28,0.234,1,43,0.766,91.3,61.5,63.8,55.58,71.92,18,0.138,1,2,"Samori Toure 3000 0.03"
"115","Austin Trammell","LAR",3000,0.02,0.57,63.4,NA,-3.6,1,0.48,NA,"LAC",8,3,1,1,0,NA,NA,15,NA,NA,7,NA,87.1,67,51.6,68.79,64.99,NA,-0.037,0,0,"Austin Trammell 3000 0.02"
"116","Tim Jones","JAX",3000,0.05,0.53,49.8,NA,NA,0.3,0.53,NA,"HOU",22,29,-0.68,0,0.68,24,9,11,0.239,21,46,0.761,91.9,NA,19.4,NA,NA,30,0.085,0,7.3,"Tim Jones 3000 0.05"
"117","Tay Martin","SF",3000,0,0.49,NA,NA,NA,NA,NA,NA,"LV",28,25,NA,NA,NA,6,27,NA,0.39,27,NA,0.61,NA,NA,NA,60.4,59.08,21,0.136,NA,NA,"Tay Martin 3000 0"
"118","Marcus Johnson","NYG",3000,0.03,0.47,50.7,NA,-19.4,1.2,0.43,NA,"IND",14,18,0.03,0.55,0.52,27,6,40,0.227,22,90,0.773,93,70.1,10.8,56.54,71.71,4,0.025,0,4.2,"Marcus Johnson 3000 0.03"
"119","Pharoh Cooper","ARI",3000,0.03,0.42,NA,NA,NA,NA,NA,NA,"ATL",31,30,NA,NA,NA,19,14,NA,0.265,26,NA,0.735,NA,NA,NA,59.98,57.35,29,0.212,NA,NA,"Pharoh Cooper 3000 0.03"
"120","Montrell Washington","DEN",3000,0.01,0.37,48.4,NA,-20.8,0.7,0.04,NA,"KC",10,5,-0.07,0,0.07,8,25,17,0.362,3,30,0.638,94.5,69.2,65.5,70.49,66.81,12,-0.006,0,3.5,"Montrell Washington 3000 0.01"
"121","N'Keal Harry","CHI",3000,0.05,0.34,67.1,NA,15.7,1.2,1.86,NA,"DET",24,32,-0.69,1.55,2.24,2,31,14,0.453,24,39,0.547,86.2,51.4,31,56.29,49.17,31,0.116,1,1.8,"N'Keal Harry 3000 0.05"
"122","Kenny Golladay","NYG",3000,0.04,0.1,50.3,NA,-19.5,1,0.49,NA,"IND",14,18,-0.82,0,0.82,27,6,41,0.227,22,68,0.773,89.7,69.8,12.8,56.54,71.71,4,0.025,0,2.8,"Kenny Golladay 3000 0.04"
"123","Britain Covey","PHI",3000,0.03,0.1,NA,NA,NA,NA,NA,NA,"NO",11,12,NA,NA,NA,10,23,NA,0.298,20,NA,0.702,NA,NA,NA,60.71,51.56,11,0.009,NA,NA,"Britain Covey 3000 0.03"
"124","Jalen Virgil","DEN",3000,0.03,0.09,58.9,NA,-8.8,0.6,1.83,NA,"KC",10,5,-2.68,0,2.68,8,25,11,0.362,3,30,0.638,95.3,67.7,23.3,70.49,66.81,12,-0.006,1,21.5,"Jalen Virgil 3000 0.03"
