player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Rickey Smith,15900,S,MIDDLE TN,1,1,0,,0,0,224,,61.4,66.2,,60.0,75.3,0,0,0,,0.0,0,0,0,0.0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,
Jahsen Wint,42914,CB,MARSHALL,2,0,0,66.7,0,0,214,70.6,73.5,78.5,59.2,70.9,76.8,0,1,0,7,0.0,0,0,0,70.1,2,0,1,0,24,32,3,0,0,3,0,1,29,2,6,27,1,2,3,1,0,6,15,3.0
Chaz Ah You,51989,LB,BYU,1,0,0,100.0,0,0,128,42.8,45.8,69.3,59.1,69.5,73.1,0,0,0,20,0.0,0,0,0,118.8,1,0,7,0,3,8,1,0,0,1,0,0,7,1,4,0,1,1,1,0,0,20,18,20.0
Sinjun Astani,52257,DI,USC,3,0,0,,0,0,326,,68.7,73.4,58.4,70.9,23.1,0,2,0,,100.0,1,0,0,0.0,0,0,0,0,0,16,16,2,10,0,4,0,0,8,8,0,0,0,0,2,0,0,0,
Malik Vann,52555,ED,CINCINNATI,2,1,0,,0,0,138,,74.1,76.2,74.6,63.2,74.0,0,2,0,,0.0,0,0,0,0.0,0,1,0,0,0,47,47,0,8,12,27,0,0,32,15,0,0,0,0,3,0,0,0,
Tyler Bentley,52790,DI,PITTSBURGH,2,0,0,,0,0,268,,48.2,76.1,60.2,43.8,,0,1,0,,,0,0,0,0.0,0,0,0,0,0,38,38,3,35,0,0,0,0,20,18,0,0,0,0,1,0,0,0,
Xavier Peters,52819,ED,FAU,2,0,0,,0,0,165,60.4,64.7,76.8,59.2,67.6,71.5,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,2,35,35,0,0,30,5,0,0,24,9,0,1,1,0,1,0,0,0,
Zaid Hamdan,52925,DI,TULSA,2,1,0,,0,0,320,,69.6,76.2,59.2,73.7,29.0,0,1,0,,40.0,2,0,0,0.0,0,0,0,0,0,54,54,0,37,3,14,0,0,32,22,0,2,2,0,1,0,0,0,
Cole Pearce,52970,LB,BALL ST,2,0,0,81.8,0,0,117,38.8,44.1,77.6,53.6,58.7,53.6,0,1,0,27,16.7,2,0,0,139.4,9,0,101,0,64,109,3,0,0,3,0,0,106,6,39,5,8,10,11,1,1,112,77,12.4
James Camden,53418,LB,CINCINNATI,1,0,0,,0,0,138,,38.4,70.1,,39.3,75.8,0,0,0,,0.0,0,0,0,0.0,0,0,6,0,0,8,0,0,0,0,0,0,8,0,8,2,1,2,0,0,0,0,0,
