Position,,Name,,Salary,,,TeamAbbrev
WR,,Lofton Howard,,3000,,,WKU
WR,,Weston Adams,,3000,,,IL
WR,,Jjay Mcafee,,3400,,,GSU
RB,,Javaris Bufford,,3000,,,MSST
WR,,Marcus Chretien,,3000,,,WSU
RB,,Tank Smith,,3700,,,PSU
WR,,Demariyon Houston,,3800,,,MIZZ
WR,,Nick Elksnis,,3000,,,SCAR
RB,,Andrew Paul,,4000,,,UGA
QB,,Jack Lambert,,4500,,,PSU
WR,,Jordon Harris,,3000,,,MIZZ
RB,,Kelley Joiner,,3700,,,USF
RB,,Anthony Favrow,,3000,,,MIZZ
RB,,Sevaughn Clark,,3000,,,UGA
RB,,Terron Dixon II,,3000,,,GSU
WR,,Brock Bowers,,4700,,,UGA
WR,,Kade Kolka,,3000,,,MSST
QB,,Tanner Bailey,,4500,,,SCAR
WR,,Jayden Davis,,3000,,,USF
QB,,Brett Brown,,4500,,,MIZZ
QB,,Sam Horn,,5700,,,MIZZ
QB,,Dylan McNamara,,4500,,,FSU
WR,,Graeme Williams,,3000,,,GSU
RB,,Adrian Cormier,,3000,,,WSU
WR,,Will Helmadollar,,3000,,,SCAR
WR,,Kylic Horton,,3000,,,SCAR
QB,,Jakob Hollingshaus,,4500,,,WSU
RB,,Tate Jernigan,,3000,,,TUL
WR,,Riley Sharp,,3200,,,ORST
WR,,Timothy Dennis Jr.,,3000,,,ORST
WR,,Vance Nicklaus,,3000,,,FSU
WR,,DeCorion Temple,,3000,,,CMU
WR,,Tyler Warren,,3800,,,PSU
QB,,Cameron Rising,,9900,,,UTAH
WR,,Andrew Wilks,,3000,,,TUL
WR,,Hayden Hall,,3000,,,WSU
QB,,David Dallas,,4500,,,GSU
WR,,Joseph Griffin Jr.,,5100,,,BC
QB,,Davis Brin,,6900,,,GSU
WR,,Nick Lauderdale,,3000,,,MSST
WR,,Zay Franks,,3100,,,USM
WR,,Malachi Corley,,4700,,,WKU
WR,,Reggie Brown,,3000,,,TUL
QB,,Dylan Gutierrez,,4800,,,WSU
RB,,Terrance Gibbs,,4000,,,GSU
WR,,Micah Manning,,3000,,,MIZZ
QB,,Peter Delaportas,,4500,,,BC
WR,,Javy Bunton,,3000,,,WKU
WR,,Matt Ragan,,3000,,,BC
WR,,Julian Fleming,,6800,,,OSU
WR,,Deuce Spann,,3500,,,FSU
WR,,Jett Vance,,4400,,,WSU
QB,,Travis Throckmorton,,4500,,,ORST
RB,,OJ Arnold,,5000,,,GSU
WR,,Luke McLaughlin,,3000,,,BC
WR,,George Takacs,,3700,,,BC
QB,,Collin Drake,,4500,,,UGA
WR,,Nick Lampert,,3000,,,DUKE
WR,,Tanner Arkin,,3000,,,IL
WR,,Davis Sherwood,,3100,,,ND
WR,,Joshua Goines,,3000,,,TUL
WR,,Jake Spencer,,3000,,,PSU
QB,,Shane Hanafin,,4500,,,BC
WR,,Bryson Rodgers,,3000,,,OSU
RB,,Elijah Young,,4100,,,WKU
WR,,Evan Lester Jr.,,3000,,,GSU
WR,,Jaleel Walker,,3000,,,WKU
WR,,Jakarius Caston,,4800,,,USM
RB,,Bradley Dunn,,3500,,,SCAR
WR,,Tyler Stephens,,3400,,,MIZZ
WR,,Frank Covey IV,,3000,,,NW
WR,,Langston Lewis,,3000,,,CMU
WR,,Devin Ford,,3800,,,WSU
WR,,Tucker Miller,,3000,,,MIZZ
RB,,Logan Diggs,,5700,,,LSU
WR,,Jerry Cross,,3000,,,PSU
RB,,Trey Benson,,6600,,,FSU
WR,,Mitchell Butler,,3000,,,USM
WR,,Alex Moeller,,3000,,,WISC
QB,,Alex Wigginton,,4500,,,TUL
WR,,Collin Dixon,,3000,,,IL
WR,,Luke Besh,,3000,,,TUL
WR,,Zarian Courtney,,3000,,,BAMA
RB,,London Montgomery,,3000,,,PSU
WR,,Jack Velling,,4000,,,ORST
QB,,Darian Mensah,,4500,,,TUL
WR,,Malick Meiga,,3700,,,PSU
WR,,Colby Samuels,,3000,,,WSU
WR,,Malik Benson,,5500,,,BAMA
RB,,Audric Estime,,7800,,,ND
WR,,Omari Evans,,4800,,,PSU
WR,,Jacob Kaminski,,3000,,,CMU
WR,,Mehki Wall,,3100,,,DUKE
QB,,Jake Weir,,4500,,,MSST
QB,,Billy Wiles,,5300,,,USM
WR,,Phillippe Wesley II,,3100,,,SDSU
WR,,Marcus Rosemy-Jacksaint,,4900,,,UGA
WR,,A.J. Henning,,4900,,,NW
WR,,Gabe Leonards,,3000,,,LSU
WR,,James Bomba,,3400,,,IU
WR,,Phillip Brooks,,5700,,,KSU
WR,,Destyn Hill,,5100,,,FSU
QB,,Ethan Lane,,4500,,,CMU
RB,,Amiel Davis,,3000,,,PSU
WR,,Ze'Vian Capers,,3000,,,WKU
WR,,Mookie Cooper,,4400,,,MIZZ
WR,,Bryce Bohanon,,3000,,,TUL
WR,,Camp Magee,,3000,,,NW
RB,,Ja'Quinden Jackson,,6700,,,UTAH
QB,,Lincoln Kienholz,,4500,,,OSU
WR,,Trevor Evans,,3000,,,TUL
WR,,Logan Johnson,,3000,,,UGA
WR,,Alex Williams,,3000,,,WKU
RB,,Keyvone Lee,,3200,,,MSST
RB,,Alex Broome,,5000,,,BC
RB,,Kye Robichaux,,4700,,,BC
RB,,Cash Jones,,3500,,,UGA
RB,,Kaden Moorman,,3000,,,UL
WR,,Cowinn Helaire,,3000,,,LSU
QB,,Beau Pribula,,6300,,,PSU
WR,,Reis Stocksdale,,3300,,,OSU
WR,,Jaedn Skeete,,3000,,,BC
QB,,John Paddock,,5900,,,IL
WR,,Adam Thorsland,,3000,,,BAMA
QB,,Sam Bush,,4500,,,UGA
QB,,Donovan Leary,,5000,,,IL
WR,,Seth Jones,,3000,,,USF
WR,,Andre Davis,,3000,,,KSU
RB,,Braelon Allen,,7500,,,WISC
WR,,Yash Gupta,,3000,,,TUL
WR,,Alexander Capka-Jones,,3000,,,IL
WR,,Jatavian Churchill,,3000,,,UL
QB,,Cole Freeman,,4500,,,NW
RB,,Tyler DeWitt,,3000,,,CMU
QB,,Kai Horton,,7300,,,TUL
WR,,Jai Lambert,,3000,,,ORST
WR,,Erik Pizarro,,3000,,,KSU
WR,,Nick Nicotra,,3000,,,BC
RB,,Sam Assaf,,3000,,,ND
WR,,Isaac Koch,,3000,,,KSU
RB,,Cam'ron Barfield,,4400,,,BC
WR,,Ismael Zamor,,3500,,,BC
WR,,Kevin Coleman,,4500,,,UL
RB,,Jeffery Pittman,,3300,,,MSST
WR,,Lawson Bachelder,,3000,,,GSU
WR,,Joey Gatewood,,3700,,,UL
RB,,Jase McClellan,,6300,,,BAMA
WR,,Tastean Reddicks,,3000,,,ORST
WR,,Kaden Saunders,,3000,,,PSU
WR,,Trent Walker,,3000,,,ORST
WR,,JP Mikhael,,3000,,,GSU
RB,,Dallas Larson,,3800,,,WSU
WR,,Walter Blanchard,,3000,,,UGA
WR,,Javohn Thomas,,3000,,,USF
QB,,Kirkland Michaux,,4500,,,IL
QB,,Jase Bauer,,5500,,,CMU
WR,,Brandon Moody,,3000,,,UGA
WR,,Jermaine Burton,,7100,,,BAMA
WR,,Jelani Whitmore,,3000,,,SDSU
WR,,Arian Smith,,4200,,,UGA
RB,,Robert Edwards III,,3000,,,GSU
WR,,Bailey Smith,,3000,,,CMU
WR,,Duane Martin,,3000,,,UL
QB,,Tate Rodemaker,,8100,,,FSU
WR,,Gee Scott Jr.,,3300,,,OSU
RB,,Thane Martin,,3000,,,UL
QB,,Sam Young,,4500,,,UL
WR,,Mekhi Mews,,3000,,,UGA
WR,,Andrew Rappleyea,,3000,,,PSU
RB,,Reggie Love III,,4200,,,IL
RB,,Charles Schibler,,3000,,,TUL
WR,,Brant Kuithe,,3500,,,UTAH
QB,,Jack Brandon,,4500,,,BC
RB,,Trey Cornist,,3000,,,TUL
WR,,Jaden Williams,,4800,,,BC
QB,,Tyler Buchner,,7100,,,BAMA
WR,,Mitchell Evans,,4800,,,ND
WR,,River Helms,,3500,,,WKU
WR,,Jacoby Bellazar,,3000,,,MSST
RB,,Iverson Celestine,,4500,,,TUL
RB,,Arnold Barnes III,,3000,,,TUL
WR,,Silas Bolden,,6000,,,ORST
QB,,Carson Beck,,8400,,,UGA
WR,,Bennett Christian,,3000,,,OSU
WR,,DeAndre Buchannon,,3100,,,GSU
WR,,Xavier Johnson,,6100,,,OSU
QB,,Holman Edwards,,4700,,,USM
RB,,David Mbadinga,,3000,,,GSU
WR,,Jay Rudolph,,3200,,,SDSU
WR,,Freddie Roberson,,4600,,,MSST
WR,,Jeremiah Noga,,4600,,,ORST
RB,,Nicholas Singleton,,6300,,,PSU
RB,,Kaden Feagin,,3000,,,IL
WR,,Reed Harris,,3000,,,BC
WR,,RJ Garcia II,,5200,,,KSU
WR,,Marek Briley,,3000,,,UGA
WR,,Joshua Nicholson,,4100,,,SDSU
WR,,Joshua Thompson,,3000,,,GSU
WR,,Tyson Davis,,4900,,,CMU
WR,,Pax Hughes,,3000,,,USM
WR,,Ladd McConkey,,6000,,,UGA
WR,,Evan Boyd,,3000,,,CMU
WR,,George Vining,,3000,,,UGA
WR,,Ja'Khi Douglas,,3000,,,FSU
WR,,Dylan Snyder,,3000,,,GSU
WR,,Dominic Lovett,,5200,,,UGA
QB,,Sam Vaulton,,4500,,,UL
RB,,Cam Wallace,,3000,,,PSU
WR,,Chase Dixon,,3000,,,ND
WR,,Tip Reiman,,3300,,,IL
WR,,Cade Stover,,3800,,,OSU
RB,,Micah Bernard,,6100,,,UTAH
WR,,Hunter Summers,,3000,,,TUL
WR,,Jermaine Terry II,,3200,,,ORST
WR,,Jordyn Williams,,3000,,,CMU
WR,,Kevin Bauman,,3000,,,ND
WR,,Saan Lewis,,3000,,,GSU
WR,,Zavier Short,,3000,,,SCAR
WR,,Chris Petrucci,,3000,,,NW
QB,,Jake Lange,,4500,,,USM
WR,,Goldie Lawrence,,3000,,,FSU
WR,,Jalen Brown,,3000,,,LSU
RB,,Dakereon Joyner,,5300,,,SCAR
WR,,Will Swanson,,4000,,,KSU
QB,,Harrison Bailey,,4500,,,UL
