Position,,Name,,Salary,,,TeamAbbrev
WR,,Reed Rutkowski,,3000,,,TUL
WR,,Hudson Mitchell,,3000,,,SDSU
RB,,Keyjuan Brown,,4200,,,UL
QB,,Kylan Weisser,,5000,,,WSU
WR,,Hans Lillis,,3000,,,BC
RB,,Tre Bradford,,4500,,,LSU
WR,,Nino Remigio,,3000,,,SDSU
WR,,Gregory Clayton Jr.,,3000,,,LSU
WR,,Chris Brooks Jr.,,3000,,,WISC
WR,,Tiaquelin Mims,,4200,,,USM
QB,,Kenny Minchey,,4500,,,ND
WR,,Eli Jochem,,3000,,,IU
WR,,Elija Walton,,3000,,,GSU
WR,,Nyck Harbor,,3900,,,SCAR
WR,,Montrell Wade,,3000,,,BC
WR,,Cameron Harpole,,3100,,,SDSU
WR,,Will Taylor,,3000,,,UGA
WR,,Skyler Bell,,3000,,,WISC
WR,,Jaheim Bell,,4200,,,FSU
WR,,Nicky Dalmolin,,3400,,,DUKE
RB,,Chris Curry,,3300,,,UTAH
WR,,RJ Willis,,3000,,,LSU
QB,,Dom Montiel,,4500,,,ORST
RB,,Jakivion Calip,,3000,,,CMU
WR,,LaDarius Moore,,3000,,,USM
RB,,Jake Reichle,,3100,,,ORST
WR,,Kris Hughes,,3000,,,UL
WR,,C.J. Williams,,3000,,,WISC
WR,,Jalen Rogers,,3000,,,TUL
WR,,Jonathan Kahn,,3000,,,TUL
WR,,Josh Dallas,,3200,,,GSU
WR,,Erwin Nash,,3000,,,KSU
WR,,Gage Reale,,3000,,,UL
WR,,Jace Middleton,,3000,,,OSU
WR,,Michael Mathison,,4300,,,WKU
QB,,Richie Munoz,,4500,,,WSU
WR,,Reid Mikeska,,3000,,,SCAR
QB,,George Hamsley,,4500,,,LSU
WR,,Derin McCulley,,3000,,,IU
WR,,Zavion Thomas,,5000,,,MSST
WR,,Alex Bowen,,3000,,,GSU
WR,,Malik Ellis,,3000,,,MSST
QB,,Will Howard,,8200,,,KSU
WR,,Kyren Lacy,,5200,,,LSU
WR,,Zamari McKenley,,3000,,,FSU
WR,,Jayleen Record,,3900,,,WSU
RB,,Will Hartson,,3000,,,OSU
RB,,Kaleb Jackson,,4800,,,LSU
QB,,Devin Brown,,7600,,,OSU
RB,,Hunter Schroeder,,3000,,,UTAH
QB,,Coby Walton,,4500,,,GSU
RB,,Richard Young,,3000,,,BAMA
RB,,Chandler Pittman,,4200,,,USM
RB,,Makhi Hughes,,4600,,,TUL
WR,,Jaylon Barden,,3400,,,GSU
WR,,Kenari Wilcher,,3000,,,IL
QB,,Brady Cook,,6800,,,MIZZ
QB,,Brady Allen,,4500,,,UL
QB,,Byrum Brown,,6400,,,USF
WR,,Davis Dalton,,3200,,,USM
QB,,Dylan Devezin,,4500,,,ND
WR,,Elijah Caldwell,,3000,,,SCAR
RB,,Datrell Jones,,3000,,,BC
WR,,Raphael Williams Jr.,,3900,,,SDSU
WR,,Jailen Holmes,,3000,,,ORST
RB,,Gi'Bran Payne,,6200,,,ND
RB,,Daniel Weems,,3000,,,IU
QB,,Sam Hartman,,8500,,,ND
WR,,Chimere Dike,,5500,,,WISC
WR,,Cameron Cobb,,3000,,,USF
WR,,Jontavis Robertson,,3000,,,DUKE
WR,,Ma'jon Wright,,3000,,,SDSU
WR,,Cole Finney,,3000,,,DUKE
QB,,Ryan Hilinski,,4500,,,NW
QB,,Jackson Muschamp,,4500,,,UGA
WR,,Malik Elzy,,3000,,,IL
QB,,Tyler Jefferson,,4500,,,CMU
WR,,Trey Knox,,3400,,,SCAR
WR,,Luca Caldarella,,3100,,,UTAH
QB,,Bert Emanuel Jr.,,6100,,,CMU
RB,,Sam Hicks,,3700,,,CMU
RB,,Devyn Ford,,3000,,,ND
WR,,Jack Polian,,3000,,,ND
WR,,Jimmy Calloway,,4100,,,UL
WR,,Garrett Oakley,,3000,,,KSU
WR,,Javon Gantt,,3000,,,CMU
WR,,Elijah Downing,,3000,,,UL
WR,,Brian Thomas Jr.,,7000,,,LSU
RB,,Samuel Singleton Jr.,,3700,,,FSU
RB,,L.T. Sanders,,4200,,,WKU
RB,,Pat Garwo III,,5600,,,BC
WR,,Ammon Munyer,,3000,,,WSU
WR,,Sam West,,3000,,,IU
WR,,Dallen Bentley,,3000,,,UTAH
WR,,Joel Valadez,,3000,,,ORST
WR,,Jalen McGaughy,,3700,,,CMU
WR,,Zak Herbstreit,,3000,,,OSU
QB,,Jordan Travis,,9700,,,FSU
WR,,Eddie Lewis,,4300,,,SCAR
RB,,Trey Holly,,3000,,,LSU
WR,,Nolan Baudo,,3000,,,OSU
WR,,Baylin Brooks,,3400,,,SDSU
WR,,Jimmy Holiday,,4200,,,WKU
RB,,Leo Kemp,,3000,,,SDSU
QB,,Ben Bryant,,5400,,,NW
WR,,Kyion Grayes,,3200,,,OSU
QB,,Ethan Crawford,,4500,,,USM
WR,,Rayfield Lotten,,3000,,,MSST
WR,,Deion Colzie,,4600,,,ND
WR,,Peyton Beck,,3000,,,WSU
QB,,Aidan Chiles,,6100,,,ORST
WR,,Johnny Wilson,,7200,,,FSU
RB,,Roydell Williams,,5800,,,BAMA
WR,,Seth Porter,,3000,,,KSU
RB,,Jonathan Bennett,,3000,,,BAMA
WR,,Braylon James,,3000,,,ND
WR,,Ethan Christian,,3000,,,GSU
WR,,Jack Jackson,,3000,,,USM
QB,,Mike Wright,,6100,,,MSST
WR,,Tylon Webb,,3000,,,WKU
WR,,Kelton Henderson,,3000,,,SCAR
RB,,Miyan Williams,,7000,,,OSU
RB,,Josh McCray,,4300,,,IL
WR,,Dalen Cobb,,4400,,,GSU
RB,,Daijun Edwards,,5000,,,UGA
RB,,Grover Bortolotti,,3000,,,WISC
WR,,Thomas Yassmin,,3400,,,UTAH
WR,,GiVanni Peterson,,3000,,,LSU
WR,,Javorian Wimberly,,3000,,,CMU
QB,,Gerry Bohanon,,5700,,,USF
RB,,Jake Arthurs,,3100,,,NW
WR,,Kyren Ware,,3000,,,CMU
RB,,Mario Agyen,,3000,,,UL
WR,,Michael Lavergne,,3000,,,TUL
QB,,Jake Rubley,,4500,,,KSU
WR,,Matteo Carriere,,3000,,,CMU
WR,,Jamai East,,3100,,,ORST
RB,,Dallan Hayden,,4400,,,OSU
WR,,Jaden Walley,,4300,,,MSST
WR,,William Robertson,,3000,,,DUKE
WR,,Makai Cope,,3000,,,UTAH
QB,,Roman Purcell,,4500,,,IU
WR,,Chris Tyree,,5000,,,ND
QB,,Jack Lausch,,4500,,,NW
WR,,Pearce Spurlin III,,3000,,,UGA
WR,,Robert Ellis,,3000,,,BAMA
QB,,Colten Gauthier,,4500,,,SCAR
WR,,Avery White,,3000,,,USM
RB,,Malachi Lane,,3000,,,LSU
WR,,Justyn Reid,,3200,,,USM
WR,,Thomas Pannunzio,,3400,,,CMU
WR,,Will Pauling,,5100,,,WISC
RB,,Skip Velotta,,3000,,,ND
WR,,Josh Sterns,,3000,,,WKU
WR,,Keon Coleman,,6500,,,FSU
WR,,Jayce Brown,,3000,,,KSU
QB,,Michael Grant,,4500,,,FSU
QB,,Chris Parson,,4500,,,MSST
WR,,Miki Suguturaga,,3000,,,UTAH
WR,,Ben Sinnott,,4500,,,KSU
WR,,Darius De Los Reyes,,3000,,,SDSU
QB,,Ryan Bolduc,,4500,,,USF
RB,,Kris Jackson,,4200,,,WSU
WR,,Nate Guinn,,3000,,,IL
WR,,Matt Nixon,,3000,,,USM
WR,,Rweha Munyagi Jr.,,3500,,,ORST
WR,,Jeremiah Franklin,,3500,,,BC
QB,,Cal Swanson,,4500,,,IL
WR,,Jadon Thompson,,3000,,,UL
WR,,Alex Whitman,,3000,,,ND
WR,,Tyshawn Russell,,3000,,,SCAR
WR,,CJ Adams,,3000,,,SCAR
WR,,Joe Royer,,3000,,,OSU
WR,,Jesse Prewitt III,,3300,,,CMU
QB,,Jake Garcia,,4500,,,MIZZ
RB,,Josh Henderson,,5200,,,IU
WR,,Rory Callahan,,3000,,,CMU
WR,,Brandon Inniss,,3900,,,OSU
WR,,Troy Wertman,,3000,,,CMU
QB,,Jacob Knuth,,4500,,,KSU
QB,,Will Rogers,,7300,,,MSST
WR,,Miles Thornton,,3000,,,UGA
RB,,Grissim Anderson,,3000,,,DUKE
QB,,Asher Morgan,,4500,,,MSST
RB,,Damien Martinez,,6400,,,ORST
WR,,Marcus Young,,3000,,,CMU
QB,,Mack Howard,,4500,,,UTAH
WR,,MJ Chirgwin,,3000,,,BAMA
WR,,Jahlil McClain,,3000,,,UL
WR,,Solomon Lowery Jr.,,3000,,,FSU
WR,,Quran Boyd,,3000,,,DUKE
WR,,Keaton Upshaw,,3000,,,GSU
WR,,Logan Tanner,,3000,,,SDSU
RB,,Nathan Harris-Waynick,,3000,,,SCAR
WR,,Mark Redman,,4200,,,SDSU
WR,,Spencer Jones,,3000,,,DUKE
WR,,Javieon Butler,,3000,,,USM
WR,,Javen Nicholas,,3000,,,LSU
WR,,Jack Schwing,,3000,,,USM
WR,,Reece Bellin,,3000,,,IU
RB,,Jalen White,,5700,,,GSU
QB,,Justin Ibieta,,6100,,,TUL
WR,,Brandon Hayes,,3700,,,USM
QB,,Rickie Collins,,4500,,,LSU
WR,,Tyson Berry,,3000,,,SDSU
WR,,Jackson McGohan,,3000,,,LSU
RB,,Shaadie Clayton-Johnson,,5000,,,TUL
WR,,Trevor Pope,,3000,,,ORST
QB,,Bronson Barron,,5100,,,WKU
QB,,Steve Smedley,,4500,,,UTAH
QB,,Jack Plummer,,6600,,,UL
WR,,Ka'Morreun Pimpton,,3100,,,LSU
WR,,Markeston Douglas,,3000,,,FSU
WR,,KD Dorsey,,3100,,,GSU
WR,,Michael Jefcoat,,3000,,,USM
WR,,Tyler McClure,,3000,,,IL
RB,,Kendall Milton,,6500,,,UGA
WR,,Izayah Reeves,,3000,,,UGA
WR,,Antonio Harmon,,3200,,,MSST
RB,,Cade Yacamelli,,3000,,,WISC
WR,,Sawyer Deerman,,3000,,,BAMA
WR,,Jayden Thomas,,6200,,,ND
QB,,Drew Allar,,7900,,,PSU
QB,,Chad Ray,,4500,,,OSU
RB,,Cayden Saunders,,3000,,,OSU
WR,,Noah Rogers,,3000,,,OSU
WR,,Rico Flores Jr.,,3600,,,ND
WR,,Rara Thomas,,4700,,,UGA
RB,,Djay Braswell,,3000,,,SCAR
WR,,Jax Cooper,,3000,,,WKU
QB,,DJ Ralph,,4500,,,SDSU
RB,,Cam Davis,,4900,,,SDSU
QB,,Steve Angeli,,7400,,,ND
WR,,Leo Scheidler,,3000,,,ND
WR,,Pat Bryant,,5800,,,IL
QB,,Matt O'Dowd,,4500,,,LSU
WR,,Hunter Welcing,,3000,,,NW
WR,,Braxton Hicks,,3000,,,UGA
RB,,Christopher Kreh,,3000,,,MIZZ
WR,,Khafre Brown,,4700,,,USF
RB,,Jordan Waters,,5700,,,DUKE
RB,,Mekhi Jenkins,,3000,,,CMU
WR,,Jesiah Stevens-Silva,,3000,,,CMU
WR,,Ahmari Huggins-Bruce,,4800,,,UL
RB,,Albert Kunickis III,,3000,,,NW
WR,,Gerard Edimo,,3000,,,USF
RB,,D.J. Twitty,,3000,,,SCAR
WR,,Coby McNeal,,3000,,,BAMA
WR,,Andrew Sonner,,3000,,,KSU
RB,,Jacob Hardie,,3000,,,UGA
WR,,Jalen Hale,,3200,,,BAMA
RB,,Marion Lukes,,4500,,,CMU
WR,,David Adolph,,3000,,,OSU
WR,,Edwin Barnes III,,3000,,,DUKE
RB,,Zahn Diaz,,3000,,,USM
WR,,Maurice Brown II,,3000,,,SCAR
RB,,Chase Ketterer,,3000,,,ND
QB,,Cole LaCrue,,4500,,,WISC
RB,,David Kency Jr.,,3000,,,PSU
WR,,Malik Bowen-Sims,,3200,,,DUKE
WR,,Sean Brown,,3000,,,DUKE
WR,,Tucker Ashcraft,,3400,,,WISC
RB,,Maurice Turner,,4800,,,UL
WR,,Calvin Johnson II,,3800,,,NW
QB,,Austin Reed,,5500,,,WKU
WR,,Lucas Desjardins,,3000,,,TUL
RB,,Antavious Willis,,3800,,,USM
RB,,K'wan Powell,,4300,,,USF
WR,,Taji Johnson,,4100,,,BC
WR,,Emery Simmons,,4300,,,UTAH
RB,,Isaiah Newell,,4300,,,ORST
RB,,Peyton Jones,,3200,,,DUKE
QB,,Avery Johnson,,7200,,,KSU
QB,,Grayson Loftis,,4500,,,DUKE
WR,,Cataurus Hicks,,3000,,,UL
WR,,Keion Battle,,3000,,,IL
WR,,Mac Markway,,3100,,,LSU
WR,,Darion Williamson,,3800,,,FSU
QB,,Tiger Adolpho,,4500,,,WSU
QB,,Travis Egan,,4500,,,UL
WR,,Chris Carter,,3000,,,TUL
WR,,Khai Prean,,3000,,,LSU
WR,,Kentron Poitier,,4500,,,FSU
WR,,Malik Kelley,,3000,,,ORST
RB,,Davion Ervin-Poindexter,,4500,,,WKU
WR,,Justin Robinson,,4800,,,MSST
WR,,Jesiah Irish,,5000,,,ORST
RB,,Chip Trayanum,,4800,,,OSU
RB,,Jackson Treister,,3400,,,BC
RB,,Kaytron Allen,,5500,,,PSU
WR,,Jacob Kraft,,3000,,,BC
RB,,Simeon Price,,3600,,,MSST
WR,,Jaden Greathouse,,4000,,,ND
WR,,Evan McNally,,3000,,,USM
RB,,Anthony Ferrucci,,3000,,,BC
RB,,Sheldon Canley II,,3000,,,SDSU
WR,,Tobias Merriweather,,4700,,,ND
QB,,Donald Tomlin,,4500,,,DUKE
RB,,Jadarian Price,,5200,,,ND
WR,,Dannis Jackson,,3000,,,MIZZ
WR,,Holden Staes,,5100,,,ND
WR,,Jordan Moore,,5100,,,DUKE
WR,,Casey Washington,,4800,,,IL
WR,,Michael Brown-Stephens,,3900,,,USF
WR,,Brooks Pangle,,3000,,,GSU
QB,,Tayven Jackson,,7100,,,IU
WR,,David Wells Jr.,,3000,,,ORST
WR,,Ben Rollins,,3000,,,SCAR
WR,,Ryan Hoerstkamp,,3000,,,MIZZ
WR,,Cooper Johnson,,3000,,,UGA
WR,,Kojo Antwi,,3400,,,OSU
WR,,Jaren Hamilton,,3000,,,BAMA
QB,,Pierce Clarkson,,4500,,,UL
RB,,Yasias Young,,3000,,,USF
WR,,Hayden Erickson,,3000,,,UTAH
QB,,Brock Glenn,,4500,,,FSU
WR,,K.D. Hutchinson,,3000,,,WKU
WR,,Jarvis Hayes,,3000,,,WKU
WR,,Jha'Quan Jackson,,6300,,,TUL
WR,,Gunnar Greenwald,,3400,,,USF
WR,,Michael Cerniglia Jr.,,3000,,,WISC
WR,,Jack Fitzgerald,,3000,,,NW
WR,,Charlie Skehan,,3000,,,BAMA
WR,,Riley Nowakowski,,3000,,,WISC
QB,,Austin Gonzalez,,4500,,,USM
RB,,Mario Anderson,,3800,,,SCAR
WR,,Montrel Hatten Jr.,,3000,,,ORST
WR,,O'Mega Blake,,3600,,,SCAR
WR,,Jay Brunelle,,3000,,,BC
QB,,Carson Haggard,,4500,,,TUL
RB,,Demetric Stephens,,3000,,,FSU
RB,,Wykece Johnson,,3000,,,MSST
WR,,Christian Moore,,3000,,,KSU
WR,,Naiem Simmons,,4200,,,USF
QB,,Dylan Laible,,4500,,,MIZZ
WR,,Ashton Hollins,,3000,,,IL
WR,,Theo Johnson,,3400,,,PSU
WR,,Chance Luper,,3000,,,MIZZ
WR,,Shelton Sampson Jr.,,3000,,,LSU
WR,,Nakai Poole,,3000,,,MSST
QB,,Turner Helton,,4500,,,WKU
WR,,Kaleb Fleming,,3000,,,BAMA
RB,,JR Gardner,,3000,,,BAMA
WR,,Antwane Wells Jr.,,5500,,,SCAR
RB,,George Arata,,3000,,,TUL
RB,,Markese Stepp,,4000,,,WKU
WR,,Taylor Bradshaw,,3000,,,GSU
RB,,Kamron Sandlin,,3000,,,SCAR
WR,,C.J. Smith,,3500,,,UGA
WR,,Craig Burt Jr.,,3300,,,WKU
WR,,Bryce Kirtz,,4100,,,NW
RB,,DJ Giddens,,5700,,,KSU
WR,,Lewis Bond,,3700,,,BC
RB,,Christian Brown,,3000,,,CMU
QB,,Tommy Lock,,4500,,,MIZZ
WR,,Jason Estrella,,3000,,,PSU
WR,,Isaiah Williams,,5900,,,IL
WR,,Cody Christensen,,3000,,,UTAH
WR,,Tyquan Henderson,,3300,,,USM
WR,,Andrew Metzger,,3000,,,KSU
WR,,Dante Cephas,,4600,,,PSU
WR,,Hakim Sanfo,,3000,,,ND
RB,,Jo'Quavious Marks,,6800,,,MSST
WR,,Emmanuel Henderson Jr.,,4400,,,BAMA
WR,,Bryce Hendershot,,3000,,,IU
QB,,Jaxon Smolik,,4500,,,PSU
WR,,Chris Bell,,3800,,,UL
QB,,Mason Maggs,,4500,,,OSU
RB,,Justice Haynes,,4500,,,BAMA
WR,,Luther Burden III,,5900,,,MIZZ
QB,,Tyler Pape,,4500,,,CMU
WR,,Kobe Prentice,,5200,,,BAMA
QB,,Adryan Lara,,4500,,,KSU
WR,,Walker Riney,,3000,,,ORST
WR,,Mitchel Collier,,3400,,,CMU
RB,,Armoni Goodwin,,3000,,,LSU
WR,,Tyson Struber,,3000,,,KSU
WR,,Lawson Luckie,,3000,,,UGA
WR,,Jaedon King,,3000,,,UL
WR,,Griffin Eifert,,3000,,,ND
WR,,Denzil Alleyne,,3000,,,WKU
WR,,Liam Clifford,,4200,,,PSU
WR,,Dahlyn Jones,,3000,,,WSU
WR,,Trech Kekahuna,,3000,,,WISC
RB,,La'James White,,3000,,,KSU
WR,,Blue Smith,,3800,,,WKU
WR,,Joop Mitchell,,3000,,,OSU
WR,,Cole Dakovich,,3000,,,WISC
RB,,JQ Gray,,3000,,,USM
WR,,Zachary Card,,3400,,,ORST
