,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Canisius,1/18/2022 14:00,270,54,8,18.18,133,19.05,25.8,62.5,70.5
St. Peter's,1/18/2022 14:00,-350,5.71,-8,18.18,133,17.39,74.2,70.5,62.5
Baylor,1/18/2022 17:00,-275,7.27,-6.5,19.05,138.5,19.05,70.1,72.5,66
West Virginia,1/18/2022 17:00,220,44,6.5,17.39,138.5,17.39,29.9,66,72.5
Western Michigan,1/18/2022 18:00,700,140,14.5,18.18,135,17.39,12,60.3,74.8
Akron,1/18/2022 18:00,-1125,1.78,-14.5,18.18,135,19.05,88,74.8,60.3
Jacksonville,1/18/2022 19:00,385,77,9.5,19.05,121.5,17.39,19.7,56,65.5
Liberty,1/18/2022 19:00,-525,3.81,-9.5,17.39,121.5,19.05,80.3,65.5,56
Florida Gulf Coast,1/18/2022 19:00,-150,13.33,-2.5,16.67,138,18.18,58,70.3,67.8
Stetson,1/18/2022 19:00,130,26,2.5,20,138,18.18,42,67.8,70.3
North Alabama,1/18/2022 19:00,260,52,7.5,18.18,137.5,18.18,26.5,65,72.5
Bellarmine,1/18/2022 19:00,-335,5.97,-7.5,18.18,137.5,18.18,73.5,72.5,65
Lipscomb,1/18/2022 19:00,210,42,7,18.18,161,18.18,30.9,77,84
Eastern Kentucky,1/18/2022 19:00,-260,7.69,-7,18.18,161,18.18,69.1,84,77
Missouri,1/18/2022 19:00,300,60,8,20,133.5,18.18,23.8,62.8,70.8
Mississippi,1/18/2022 19:00,-400,5,-8,16.67,133.5,18.18,76.2,70.8,62.8
South Carolina,1/18/2022 19:00,500,100,11.5,18.18,150.5,17.39,16,69.5,81
Arkansas,1/18/2022 19:00,-720,2.78,-11.5,18.18,150.5,19.05,84,81,69.5
Maryland,1/18/2022 19:00,215,43,6,20,137,18.18,30.4,65.5,71.5
Michigan,1/18/2022 19:00,-265,7.55,-6,16.67,137,18.18,69.6,71.5,65.5
Kent State,1/18/2022 19:00,-160,12.5,-3.5,18.18,141.5,18.18,59.6,72.5,69
Eastern Michigan,1/18/2022 19:00,140,28,3.5,18.18,141.5,18.18,40.4,69,72.5
Ohio,1/18/2022 19:00,-115,17.39,-1.5,20,146.5,18.18,51.1,74,72.5
Miami (OH),1/18/2022 19:00,-105,19.05,1.5,16.67,146.5,18.18,48.9,72.5,74
Ball State,1/18/2022 19:00,650,130,13.5,18.18,154.5,18.18,12.8,70.5,84
Toledo,1/18/2022 19:00,-1000,2,-13.5,18.18,154.5,18.18,87.2,84,70.5
Kansas,1/18/2022 19:00,-160,12.5,-3.5,18.18,144,18.18,59.6,73.8,70.3
Oklahoma,1/18/2022 19:00,140,28,3.5,18.18,144,18.18,40.4,70.3,73.8
North Carolina,1/18/2022 19:00,-145,13.79,-2.5,17.39,155,18.18,57.1,78.8,76.3
Miami,1/18/2022 19:00,125,25,2.5,19.05,155,18.18,42.9,76.3,78.8
Central Florida,1/18/2022 19:00,-150,13.33,-3,18.18,142,17.39,58,72.5,69.5
East Carolina,1/18/2022 19:00,130,26,3,18.18,142,19.05,42,69.5,72.5
Niagara,1/18/2022 19:00,100,20,1,19.05,135,18.18,47.8,67,68
Manhattan,1/18/2022 19:00,-120,16.67,-1,17.39,135,18.18,52.2,68,67
Davidson,1/18/2022 19:00,120,24,2.5,17.39,131.5,18.18,43.8,64.5,67
VCU,1/18/2022 19:00,-140,14.29,-2.5,19.05,131.5,18.18,56.2,67,64.5
Iona,1/18/2022 19:00,-130,15.38,-2,18.18,146,16.67,54.3,74,72
Monmouth,1/18/2022 19:00,110,22,2,18.18,146,20,45.7,72,74
St. Bonaventure,1/18/2022 19:00,105,21,2,17.39,132.5,18.18,46.8,65.3,67.3
Dayton,1/18/2022 19:00,-125,16,-2,19.05,132.5,18.18,53.2,67.3,65.3
Butler,1/18/2022 19:00,650,130,13.5,18.18,127.5,20,12.8,57,70.5
Connecticut,1/18/2022 19:00,-1000,2,-13.5,18.18,127.5,16.67,87.2,70.5,57
IUPUI,1/18/2022 19:00,3300,660,33.5,18.18,130.5,17.39,2.9,48.5,82
Ohio State,1/18/2022 19:00,-10000,0.2,-33.5,18.18,130.5,19.05,97.1,82,48.5
Jacksonville State,1/18/2022 20:00,-525,3.81,-10.5,18.18,148.5,18.18,80.3,79.5,69
Central Arkansas,1/18/2022 20:00,385,77,10.5,18.18,148.5,18.18,19.7,69,79.5
Bowling Green,1/18/2022 20:00,,,,,,,,,
Northern Illinois,1/18/2022 20:00,,,,,,,,,
Loyola-Chicago,1/18/2022 20:00,,,,,,,,,
Evansville,1/18/2022 20:00,,,,,,,,,
South Florida,1/18/2022 20:00,1300,260,18.5,19.05,125,19.05,6.9,53.3,71.8
Houston,1/18/2022 20:00,-3000,0.67,-18.5,17.39,125,17.39,93.1,71.8,53.3
Richmond,1/18/2022 20:00,-320,6.25,-7,17.39,139,20,72.7,73,66
Fordham,1/18/2022 20:00,250,50,7,19.05,139,16.67,27.3,66,73
Kansas State,1/18/2022 20:30,500,100,11,18.18,125,18.18,16,57,68
Texas,1/18/2022 20:30,-720,2.78,-11,18.18,125,18.18,84,68,57
Air Force,1/18/2022 21:00,1200,240,18,19.05,120,18.18,7.4,51,69
Boise State,1/18/2022 21:00,-2500,0.8,-18,17.39,120,18.18,92.6,69,51
Tennessee,1/18/2022 21:00,-275,7.27,-6.5,18.18,135,18.18,70.1,70.8,64.3
Vanderbilt,1/18/2022 21:00,220,44,6.5,18.18,135,18.18,29.9,64.3,70.8
Wisconsin,1/18/2022 21:00,,,-3,,140,,,,
