player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Joe Flacco,4332,QB,NYJ,2,76.9,91,103,7.8,2.64,2,2,1.9,61.2,63,0,40,10.0,109,7,35,22,86.0,75.8,74.4,61.5,6,1,115,1,12.5,90.1,4.6,5,1,0,4,5,0,0.0,616,6.0
Joe Burrow,28022,QB,CIN,2,74.1,81,89,7.0,2.56,3,0,0.0,64.0,57,0,34,5.0,110,3,38,7,32.2,60.1,57.2,70.1,1,4,117,0,38.2,73.1,11.8,13,8,0,4,3,5,4.3,537,6.0
Carson Wentz,10636,QB,WAS,2,77.2,79,87,8.1,2.73,2,4,4.2,65.5,57,0,30,6.6,98,4,33,32,85.6,63.1,62.4,64.8,2,3,107,2,20.0,100.3,6.1,6,5,0,4,7,5,4.7,650,7.5
Tua Tagovailoa,60326,QB,MIA,2,77.8,81,83,8.0,2.54,0,2,2.4,71.1,59,0,23,6.3,88,4,35,17,53.4,73.1,71.8,60.8,0,2,90,0,17.4,116.5,4.5,4,0,0,2,7,4,4.4,739,8.9
Kyler Murray,38334,QB,ARZ,2,75.3,73,83,6.7,2.61,3,4,4.4,63.9,53,0,25,3.6,89,2,26,1,85.4,75.2,67.4,90.0,1,1,99,1,12.0,85.9,3.4,3,3,0,6,3,3,3.0,470,5.7
Justin Herbert,28237,QB,LAC,2,81.6,76,82,6.5,2.78,3,3,3.6,72.0,59,0,33,4.8,85,3,27,27,84.6,73.3,71.6,64.6,1,1,87,0,6.1,112.5,2.4,2,1,0,2,6,1,1.1,613,7.5
Matt Ryan,4317,QB,IND,2,68.9,74,80,8.3,2.71,3,1,1.2,60.0,48,0,26,5.9,89,3,28,14,23.7,55.2,56.6,46.2,1,4,92,0,26.9,63.9,7.9,7,2,0,2,1,6,6.5,547,6.8
Kirk Cousins,7102,QB,MIN,2,75.0,72,78,5.7,2.63,0,3,3.8,64.1,50,0,30,7.4,83,4,29,18,50.7,66.8,66.0,66.4,2,3,86,1,10.0,78.9,3.6,3,2,0,4,3,4,4.7,498,6.4
Matthew Stafford,4924,QB,LA,2,79.5,73,77,7.0,2.55,1,4,5.1,72.7,56,0,25,3.4,87,2,31,26,51.4,65.2,63.7,62.6,0,5,88,0,32.0,80.7,9.2,8,1,0,3,4,5,5.7,512,6.6
Derek Carr,8671,QB,LV,2,70.6,68,76,8.2,2.44,2,1,1.2,61.8,47,0,24,2.1,83,1,31,23,27.7,47.8,48.1,58.3,3,3,88,0,25.0,84.7,7.2,6,1,0,3,4,6,6.8,547,7.2
