player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Tom Brady,698,QB,TB,10,-4.44,0,445,30,72.6,347,371,9.2,2.4,5,22,5.6,63.3,235,81,6.7,387,87.0,17,127,,,,76.7,79.5,70.4,79.4,59.9,,43.2,,1,2,414,17.3,90.8,3.6,14,2,3,15,11,9,2.2,2517,6.8,74.6,338,358,7.3,2.19,4,18,4.7,66.8,239,69,5.2,376,84.5,13,112,,,,75.9,72.8,70.0,73.0,59.9,,43.2,,1,2,400,20.3,90.7,3.7,14,2,3,12,10,8,2.0,2234,6.2,78.7,61,69,9.1,2.66,1,4,5.6,62.3,43,12,10.4,69,15.5,5,28,,,,82.7,88.5,79.3,86.1,,,,,0,0,72,0.0,98.2,0.0,0,0,0,7,2,2,2.8,571,8.3,0,92.3,52,56,-2.9,1.39,0,0,0.0,83.9,47,0,2.1,58,13.0,1,13,,,,81.3,58.4,78.5,58.2,,,,,0,0,58,,94.0,0.0,0,0,0,4,1,1,1.7,288,5.1,2.04
Justin Herbert,28237,QB,LAC,9,7.14,0,413,27,75.5,314,349,7.9,2.85,13,12,3.3,63.6,222,135,6.3,374,90.6,15,113,,,,85.4,76.5,87.6,74.1,,,68.7,,10,6,390,8.9,87.8,3.2,12,13,0,12,13,6,1.5,2296,6.6,75.2,250,276,7.1,2.69,9,8,2.8,63.8,176,103,6.4,296,71.7,12,82,,,,81.4,73.2,87.0,71.2,,,65.5,,8,5,308,8.7,82.3,3.0,9,10,0,9,8,6,1.9,1654,6.0,84.7,98,110,5.8,2.98,5,4,3.5,70.9,78,37,6.0,117,28.3,5,39,,,,86.4,77.1,81.3,75.3,60.0,,66.2,,2,1,123,8.1,105.7,2.6,3,4,0,5,6,0,0.0,796,7.2,0,100.0,34,37,-4.2,2.09,1,0,0.0,86.5,32,5,5.9,39,9.4,2,8,,,,79.2,67.2,77.3,67.9,60.0,,58.3,,0,0,41,0.0,93.0,0.0,0,1,0,2,1,0,0.0,154,4.2,1.25
Patrick Mahomes,11765,QB,KC,9,5.03,0,410,16,77.4,296,325,9.0,2.94,3,19,5.3,64.6,210,142,8.3,367,89.5,19,155,,,,85.7,91.3,69.2,88.4,,,88.3,,5,7,399,11.3,104.8,4.4,16,25,0,21,23,11,2.8,2673,8.2,77.9,262,287,7.7,2.76,2,13,4.2,65.9,189,117,7.4,321,78.3,15,131,,,,83.2,87.9,67.3,82.0,,,90.7,,5,6,346,11.1,99.6,4.0,13,20,0,18,16,10,2.9,2256,7.9,84.5,71,79,7.2,2.89,3,6,6.9,70.9,56,29,6.7,89,21.7,4,37,,,,84.7,89.4,80.4,89.3,,,55.1,,0,1,97,10.3,129.7,3.4,3,6,0,5,9,1,1.0,680,8.6,0,94.6,37,41,-3.6,1.52,2,0,0.0,85.4,35,4,0.0,43,10.5,0,13,,,,79.6,63.0,77.5,63.6,,,58.3,,0,0,44,0.0,109.7,0.0,0,1,0,2,2,0,0.0,263,6.4,0.75
Kyler Murray,38334,QB,ARZ,9,6.88,0,407,1,73.6,273,299,9.2,2.74,9,8,2.5,63.2,189,105,6.0,343,84.3,12,104,,,,46.8,64.5,87.6,62.0,,,66.6,,2,6,370,21.9,84.8,6.7,23,21,3,12,11,15,4.1,1878,6.3,76.3,270,295,6.4,2.52,9,6,1.9,65.4,193,88,6.3,332,81.6,13,92,,,,45.1,61.3,87.4,60.2,,,60.6,,2,5,355,25.0,82.9,6.6,22,15,3,11,9,14,3.9,1645,5.6,81.7,60,65,9.6,2.77,0,2,2.9,72.3,47,22,4.1,75,18.4,2,24,,,,48.4,75.4,79.8,69.6,,,82.0,,0,1,82,9.1,104.5,2.7,2,6,0,5,3,2,2.4,518,8.0,0,94.7,57,61,-3.5,1.6,0,0,0.0,83.6,51,5,5.6,64,15.7,3,12,,,,41.6,65.9,79.0,65.2,,,,,0,0,67,20.0,91.6,1.6,1,0,0,4,1,1,1.5,285,4.7,2.39
Josh Allen,46601,QB,BUF,9,8.58,0,394,4,73.4,286,313,10.3,2.89,12,24,7.4,62.9,197,129,6.2,364,92.4,13,145,,,,65.1,90.1,67.4,78.4,,,94.0,,2,10,378,14.0,95.9,4.9,18,33,1,12,19,19,5.0,2584,8.3,73.7,232,255,9.2,2.76,9,19,7.2,62.4,159,103,7.0,299,75.9,12,114,,,,70.9,88.1,64.6,75.2,,,93.8,,2,8,310,14.6,88.5,5.0,15,28,1,11,12,14,4.5,1949,7.6,79.7,79,86,9.7,2.85,3,5,5.6,70.9,61,28,3.2,95,24.1,2,41,,,,54.6,81.7,80.5,76.9,,,80.5,,0,2,98,10.7,120.5,3.2,3,6,0,4,8,5,5.1,784,9.1,0,96.0,25,28,-2.4,1.46,0,0,0.0,82.1,23,2,4.2,30,7.6,1,10,,,,77.4,67.3,76.1,63.8,,,64.4,,0,0,30,0.0,100.7,0.0,0,1,0,3,1,0,0.0,149,5.3,1.48
Kirk Cousins,7102,QB,MIN,9,4.15,0,382,18,75.2,278,317,8.8,2.8,5,14,4.1,61.8,196,133,6.2,345,90.3,13,115,,,,62.6,72.0,33.2,71.2,,,65.0,,8,8,371,15.0,84.6,5.8,20,8,2,24,12,13,3.5,2196,6.9,74.9,215,242,7.8,2.55,4,12,4.6,62.8,152,95,5.6,262,68.6,9,84,,,,53.1,70.0,24.5,68.4,60.0,,73.9,,7,5,281,16.8,84.3,6.1,16,4,2,14,7,9,3.2,1676,6.9,82.5,97,112,6.6,3.01,3,2,1.7,67.0,75,42,6.3,120,31.4,5,39,,,,86.6,72.5,81.4,73.5,,,46.2,,2,3,127,9.5,92.8,3.3,4,4,0,10,7,4,3.1,679,6.1,0,94.1,34,37,-3.3,1.7,2,0,0.0,83.8,31,4,3.1,37,9.7,1,8,,,,78.6,68.8,77.0,68.3,60.0,,,,1,0,37,0.0,102.6,0.0,0,0,0,0,2,0,0.0,159,4.3,-0.87
Trevor Lawrence,77632,QB,JAX,10,4.98,0,380,15,73.1,268,290,10.4,2.67,8,13,4.2,62.1,180,101,8.2,320,84.2,16,114,,,,38.7,67.0,87.7,63.5,,,73.3,,2,6,341,16.8,89.3,5.3,17,13,2,10,13,12,3.5,2033,7.0,75.1,245,261,7.9,2.39,7,9,3.3,64.0,167,79,9.2,287,75.5,17,91,,,,32.7,64.6,87.5,60.3,,,75.3,,0,4,301,16.5,87.0,4.5,13,11,2,7,10,10,3.3,1581,6.1,81.0,79,87,8.4,2.79,2,4,4.1,69.0,60,25,6.3,93,24.5,4,37,,,,85.1,70.6,80.7,70.5,60.0,,54.5,,2,2,103,16.0,97.8,4.3,4,2,0,4,3,2,1.9,759,8.7,0,92.9,56,58,-3.1,1.56,1,0,0.0,81.0,47,3,9.6,60,15.8,5,14,,,,81.8,64.0,78.9,63.7,60.0,,,,0,0,63,0.0,88.7,0.0,0,0,0,1,0,0,0.0,307,5.3,2.66
Joe Burrow,28022,QB,CIN,9,-10.13,0,377,7,78.4,283,307,8.3,2.52,11,13,4.0,69.1,212,96,4.5,350,92.8,10,118,,,,63.4,80.9,50.9,78.8,60.0,,71.9,,5,6,372,30.2,103.4,8.3,29,13,0,8,18,10,2.7,2384,7.8,81.7,252,273,6.6,2.42,10,9,3.1,71.8,196,78,4.9,310,82.2,10,104,,,,71.3,78.9,48.2,77.2,60.0,,69.4,,4,4,331,30.8,105.5,7.7,24,12,0,7,15,7,2.1,2059,7.5,69.1,55,60,11.2,2.66,2,4,6.3,61.7,37,20,2.6,67,17.8,1,20,,,,44.1,76.4,79.3,73.6,60.0,,65.9,,1,2,70,30.0,89.3,9.0,6,1,0,2,3,3,4.3,476,7.9,0,91.7,24,26,-2.4,1.66,1,0,0.0,80.8,21,2,4.5,27,7.2,1,6,,,,77.2,64.7,76.0,64.2,,,,,0,0,29,50.0,90.9,3.7,1,0,0,1,0,0,0.0,151,5.8,0.39
Aaron Rodgers,2241,QB,GB,10,1.81,0,365,12,70.9,244,270,10.7,2.84,3,22,7.6,59.6,161,97,6.9,297,81.4,12,90,,,,68.6,79.1,69.2,77.0,,,68.4,,3,7,320,20.6,87.3,6.7,20,7,1,19,13,8,2.5,1961,7.3,76.2,227,245,7.9,2.47,4,19,7.3,64.5,158,73,8.7,267,73.2,15,78,,,,79.2,77.5,67.9,75.4,,,68.4,,2,5,282,20.5,89.5,5.6,15,7,1,11,11,6,2.1,1598,6.5,75.9,83,92,8.1,2.77,0,3,3.0,66.3,61,25,3.2,98,26.8,2,29,,,,56.3,74.2,80.8,72.9,,,,,1,2,108,20.0,102.5,5.1,5,0,0,8,6,2,1.9,717,7.8,0,95.5,66,67,-2.2,1.29,1,0,0.0,86.6,58,1,7.9,68,18.6,5,17,,,,82.5,68.1,79.2,67.3,,,,,0,0,70,0.0,108.6,0.0,0,0,0,0,4,0,0.0,354,5.3,1.27
Geno Smith,7820,QB,SEA,10,12.66,0,358,29,77.3,277,293,9.0,2.85,4,21,6.6,71.3,209,117,2.3,335,93.6,5,124,,,,84.9,86.0,34.8,82.5,59.0,,81.4,,0,4,360,20.5,109.2,7.2,24,18,0,12,17,13,3.6,2393,8.2,74.6,213,223,8.4,2.68,2,15,6.2,69.1,154,88,3.1,256,71.5,5,80,,,,80.6,80.7,27.0,76.9,,,81.6,,0,4,276,22.7,99.9,7.8,20,13,0,8,12,10,3.6,1597,7.2,88.5,87,93,7.1,3.02,2,6,5.9,81.7,76,31,1.3,102,28.5,1,47,,,,85.6,86.6,81.0,84.8,59.0,,65.3,,0,0,111,12.9,123.9,3.9,4,5,0,4,5,3,2.7,878,9.4,0,95.7,23,23,-3.3,1.7,0,0,0.0,91.3,21,2,4.5,23,6.4,1,3,,,,76.8,67.8,75.8,67.1,,,,,0,0,27,0.0,81.5,0.0,0,0,0,0,0,0,0.0,82,3.6,2.28
