player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Eric Kendricks,9478,LB,MIN,13,46,11.5,7.7,18,0,90.3,4,6,0,47,18,1.02
Xavier McKinney,55775,S,NYG,8,23,11.5,3.8,21,0,42.4,2,6,0,15,9,0.65
Tyler Hall,43958,CB,LV,4,69,11.5,7.7,23,0,70.1,6,9,0,24,30,0.35
Jaquan Johnson,51433,S,BUF,5,23,11.5,7.7,4,0,77.1,2,3,0,14,7,0.61
Jordyn Brooks,50851,LB,SEA,12,34,11.3,8.5,29,0,84.4,3,4,0,19,12,0.56
Nick Scott,49012,S,LA,13,56,11.2,5.6,26,0,94.2,5,10,1,41,10,0.73
Bradley Roby,8666,CB,NO,8,123,11.2,5.9,20,0,61.4,11,21,0,79,45,0.64
Tony Fields II,57698,LB,CLV,4,11,11.0,11.0,8,0,118.8,1,1,0,14,13,1.27
Jordan Hicks,9517,LB,MIN,12,77,11.0,5.9,18,0,75.5,7,13,0,89,55,1.16
Keith Taylor,56289,CB,CAR,5,11,11.0,5.5,5,0,75.0,1,2,0,15,0,1.36
Antoine Winfield Jr.,42475,S,TB,10,198,11.0,7.9,30,1,87.9,18,25,1,175,82,0.88
Benjamin St-Juste,56061,CB,WAS,11,110,11.0,6.5,32,0,103.3,10,17,1,133,60,1.21
Will Parks,10853,S,NYJ,6,22,11.0,11.0,22,0,104.2,2,2,0,18,12,0.82
Ar'Darius Washington,77848,CB,BLT,3,11,11.0,5.5,3,0,66.7,1,2,0,11,0,1.0
Mike Hilton,10898,CB,CIN,12,328,10.9,7.6,7,0,98.8,30,43,1,318,135,0.97
Marcus Williams,11797,S,BLT,7,32,10.7,8.0,3,0,86.5,3,4,0,21,22,0.66
Adoree' Jackson,11773,CB,NYG,8,32,10.7,4.6,21,0,50.3,3,7,0,10,9,0.31
Zaire Franklin,49834,LB,IND,12,53,10.6,8.8,14,0,111.8,5,6,0,65,31,1.23
Robert Spillane,50918,LB,PIT,13,42,10.5,6.0,25,0,69.9,4,7,0,34,3,0.81
Darnell Savage,34247,S,GB,12,93,10.3,6.2,12,0,106.3,9,15,1,115,40,1.24
Zaven Collins,77190,LB,ARZ,12,31,10.3,7.8,1,0,83.3,3,4,0,18,24,0.58
Marlon Humphrey,11771,CB,BLT,14,124,10.3,7.3,3,1,60.4,12,17,0,98,41,0.79
Bryce Callahan,10000,CB,LAC,13,300,10.3,7.7,27,3,93.4,29,39,3,335,150,1.12
Troy Hill,9881,CB,LA,8,134,10.3,6.4,26,1,86.8,13,21,2,107,72,0.8
Mike Edwards,51282,S,TB,11,51,10.2,7.3,30,0,134.5,5,7,2,56,19,1.1
Grant Delpit,60685,S,CLV,13,61,10.2,6.1,8,0,123.8,6,10,1,92,31,1.51
Avonte Maddox,50543,CB,PHI,8,254,10.2,8.2,24,1,90.5,25,31,0,277,189,1.09
Ronnie Harrison,49206,S,CLV,13,71,10.1,6.5,8,0,73.3,7,11,0,48,31,0.68
Jourdan Lewis,11846,CB,DAL,6,172,10.1,7.8,9,1,90.3,17,22,1,146,122,0.85
Rodney McLeod,7271,S,IND,13,71,10.1,7.1,14,0,87.9,7,10,0,66,36,0.93
Tyson Campbell,83217,CB,JAX,11,20,10.0,10.0,15,0,91.7,2,2,0,12,11,0.6
Jalen Mills,10867,CB,NE,10,30,10.0,5.0,19,0,106.9,3,6,1,34,38,1.13
Nik Needham,50356,CB,MIA,6,30,10.0,7.5,17,0,114.6,3,4,0,48,26,1.6
Dane Belton,101398,S,NYG,7,40,10.0,8.0,21,0,98.3,4,5,0,38,17,0.95
Jack Jones,29050,CB,NE,10,30,10.0,5.0,19,0,77.8,3,6,0,49,20,1.63
Jevon Holland,83873,S,MIA,14,60,10.0,10.0,17,0,102.1,6,6,0,51,46,0.85
Dicaprio Bootle,42913,CB,KC,1,10,10.0,3.3,16,0,57.6,1,3,0,20,3,2.0
Shaquill Griffin,11845,CB,JAX,5,20,10.0,6.7,15,0,78.5,2,3,0,15,11,0.75
Jalen Pitre,57737,S,HST,13,59,9.8,8.4,13,1,103.0,6,7,1,61,29,1.03
Jonathan Owens,66930,S,HST,12,59,9.8,6.6,13,0,91.0,6,9,0,72,31,1.22
Kenny Moore II,51596,CB,IND,12,310,9.7,7.2,14,0,121.1,32,43,3,348,196,1.12
Amik Robertson,55619,CB,LV,12,193,9.7,6.2,23,1,114.0,20,31,3,293,110,1.52
Myles Bryant,43336,CB,NE,14,279,9.6,6.8,19,1,105.3,29,41,3,296,95,1.06
Caden Sterns,76725,S,DEN,5,19,9.5,9.5,10,0,118.8,2,2,0,28,15,1.47
Drue Tranquill,51276,LB,LAC,13,47,9.4,6.7,27,0,84.2,5,7,0,38,37,0.81
Jalen Ramsey,10639,CB,LA,14,113,9.4,5.7,26,0,102.5,12,20,1,162,65,1.43
Vonn Bell,10695,S,CIN,13,65,9.3,5.9,7,0,83.5,7,11,0,75,31,1.15
Darious Williams,55724,CB,JAX,13,315,9.3,6.1,15,0,102.6,34,52,2,414,234,1.31
Danny Johnson,49379,CB,WAS,2,28,9.3,5.6,32,1,37.5,3,5,0,30,8,1.07
Darnay Holmes,56247,CB,NYG,13,241,9.3,5.1,21,0,80.5,26,47,1,284,154,1.18
Arthur Maulet,12224,CB,PIT,14,231,9.2,6.6,25,0,116.4,25,35,1,380,173,1.65
Justin Reid,49048,S,KC,13,101,9.2,6.3,16,0,119.5,11,16,2,79,24,0.78
Kareem Jackson,5545,S,DEN,13,81,9.0,6.2,10,0,126.6,9,13,2,85,18,1.05
Darius Harris,29188,LB,KC,9,18,9.0,3.6,16,0,49.6,2,5,0,17,20,0.94
Akeem Davis-Gaither,34788,LB,CIN,6,9,9.0,4.5,7,0,56.3,1,2,0,4,1,0.44
Jake Hansen,43645,LB,HST,6,18,9.0,9.0,13,0,110.4,2,2,0,21,9,1.17
Mike Ford,50535,CB,ATL,6,36,9.0,7.2,2,0,106.7,4,5,0,48,44,1.33
Tremaine Edmunds,50905,LB,BUF,7,9,9.0,9.0,4,0,104.2,1,1,0,9,5,1.0
