player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Saquon Barkley,45791,HB,NYG,4,84,16,8,49.7,230,0,463,0,3,16,342,78.1,12,16,21,1,45,63.0,69.3,84.4,,57.2,66.5,69.2,59.2,68,0,107,15,106,103,0,0,17,99,2,463,342,4.07,5.5,1.01,35
Joe Mixon,11803,HB,CIN,4,82,7,1,13.8,31,0,224,1,2,7,152,16.9,2,10,7,0,36,86.8,58.5,83.5,,70.5,67.4,54.6,60.0,31,0,116,17,108,92,0,0,22,99,1,224,152,1.85,2.7,1.07,43
Nick Chubb,45783,HB,CLV,4,81,32,7,35.5,163,0,459,0,0,32,316,143.5,15,21,8,0,45,86.4,88.5,80.6,,67.5,55.0,89.7,60.0,36,0,37,6,54,91,0,0,7,87,5,459,316,3.9,5.7,0.69,33
Jonathan Taylor,57488,HB,IND,4,81,20,3,18.0,59,0,328,1,2,20,240,72.4,10,18,14,1,24,61.1,60.3,82.8,,21.4,53.5,65.1,60.0,21,0,44,9,110,89,0,0,13,90,1,328,240,2.96,4.0,0.4,54
Derrick Henry,10679,HB,TEN,4,76,14,4,26.9,83,0,308,3,0,14,251,55.0,9,12,31,1,37,86.0,73.0,79.3,,78.6,43.0,75.3,60.3,24,0,91,8,45,81,0,0,11,84,3,308,251,3.3,4.1,2.02,38
Miles Sanders,40555,HB,PHI,4,72,13,3,23.3,83,0,356,1,4,13,250,73.8,11,18,24,0,24,85.7,67.9,84.6,,70.2,50.2,71.0,57.2,35,0,35,8,66,98,0,0,9,80,3,356,250,3.47,4.9,0.53,46
Josh Jacobs,45953,HB,LV,4,70,22,2,17.9,60,0,335,0,2,22,276,115.4,8,17,23,1,44,57.9,81.4,80.8,,40.3,61.8,87.2,59.8,42,0,90,12,85,77,0,0,13,82,2,335,276,3.94,4.8,1.06,18
Dalvin Cook,11796,HB,MIN,4,63,14,1,5.7,16,0,279,1,0,14,178,54.9,7,15,18,1,22,54.0,68.8,83.9,,46.8,57.2,72.6,60.0,16,0,47,9,88,66,0,0,11,72,1,279,178,2.83,4.4,0.53,39
Jamaal Williams,11889,HB,DET,4,62,6,2,23.9,66,0,276,3,1,6,178,30.0,6,15,11,0,50,84.5,66.4,0.0,,57.0,29.6,75.5,60.0,51,1,30,5,39,65,0,0,8,67,6,276,178,2.87,4.5,0.77,12
Leonard Fournette,11759,HB,TB,4,60,7,2,15.2,34,0,224,1,2,7,142,28.0,7,8,30,0,37,85.0,60.1,81.5,,29.4,67.6,61.5,45.3,17,0,111,16,104,69,0,0,19,76,0,224,142,2.37,3.7,1.07,21
Dameon Pierce,83659,HB,HST,4,60,16,2,31.5,99,0,314,0,3,16,262,118.5,6,15,13,2,35,28.5,70.9,79.6,,53.9,69.8,69.7,60.0,75,0,43,10,48,63,0,0,10,70,2,314,262,4.37,5.2,0.9,25
James Robinson,22425,HB,JAX,4,59,8,4,49.8,129,0,259,0,1,8,178,41.8,6,12,15,1,21,52.6,64.8,82.7,,72.5,58.5,65.1,60.0,50,0,33,6,61,71,0,0,7,65,3,259,178,3.02,4.4,0.54,35
Ezekiel Elliott,10638,HB,DAL,4,59,9,1,11.9,27,0,227,2,1,9,159,42.1,2,11,9,0,21,84.2,66.8,82.0,,46.2,37.5,74.3,67.9,27,0,27,5,73,68,0,0,7,64,1,227,159,2.69,3.8,0.37,35
Christian McCaffrey,11763,HB,CAR,4,58,14,2,24.8,67,0,270,0,5,14,201,85.5,5,15,5,0,37,85.0,86.5,81.8,,65.1,77.7,86.6,63.7,49,0,138,19,99,68,0,0,22,77,1,270,201,3.47,4.7,1.39,21
Cordarrelle Patterson,7810,HB,ATL,4,58,8,5,31.8,108,0,340,1,0,8,171,38.0,11,19,2,0,17,84.5,77.4,81.5,,71.8,52.6,81.6,54.5,40,0,28,4,49,73,0,0,7,62,3,340,171,2.95,5.9,0.57,41
Najee Harris,57121,HB,PIT,4,58,10,1,7.9,16,0,202,0,2,10,159,48.4,5,10,25,1,21,84.3,64.6,83.9,,43.7,65.1,65.6,56.9,16,0,48,10,65,70,0,0,11,68,1,202,159,2.74,3.5,0.74,35
A.J. Dillon,57165,HB,GB,4,57,6,0,0.0,0,0,211,2,1,6,155,28.8,4,13,12,0,21,84.2,72.2,84.8,,83.8,59.3,73.4,62.3,14,0,69,9,65,73,0,0,12,66,1,211,155,2.72,3.7,1.06,36
Jalen Hurts,40291,QB,PHI,4,34,14,0,0.0,0,0,59,0,0,7,35,21.2,6,14,24,2,6,72.7,80.0,22.1,85.7,,,57.1,60.0,26,2,0,0,0,137,141,21,0,34,4,200,134,2.44,3.6,,12
Antonio Gibson,78050,HB,WAS,4,53,8,0,0.0,0,0,173,2,3,8,132,41.5,4,11,32,0,16,84.0,71.3,83.2,,71.7,68.3,69.9,59.5,13,0,101,13,67,62,0,0,16,66,2,173,132,2.49,3.3,1.51,37
Damien Harris,35134,HB,NE,4,53,7,1,6.5,16,0,246,0,3,7,174,54.7,5,13,19,0,31,83.5,77.2,79.7,,83.1,70.1,74.8,60.0,16,0,29,7,36,55,0,0,8,60,3,246,174,3.28,4.6,0.81,21
Khalil Herbert,41668,HB,CHI,4,52,13,4,35.6,113,0,317,0,1,13,205,96.8,11,14,6,0,22,83.4,73.8,80.9,,26.2,59.4,76.4,59.9,52,0,37,5,39,60,0,0,5,57,3,317,205,3.94,6.1,0.95,30
Rashaad Penny,27414,HB,SEA,4,49,12,5,49.3,144,0,292,0,1,12,224,112.1,9,12,29,1,14,46.5,69.7,81.1,,38.5,55.9,74.9,59.3,41,0,16,4,70,63,0,0,5,53,2,292,224,4.57,6.0,0.23,33
Aaron Jones,11937,HB,GB,4,48,18,6,41.3,135,0,327,0,2,18,212,147.2,12,18,12,1,17,48.5,79.0,87.5,,62.3,59.8,85.1,61.4,36,0,81,12,83,65,0,0,16,60,1,327,212,4.42,6.8,0.98,30
Javonte Williams,77803,HB,DEN,4,47,16,3,24.5,50,0,204,1,5,16,164,116.3,7,9,10,1,19,49.7,64.5,7.7,,60.3,68.0,64.3,60.0,17,1,76,16,69,54,0,0,21,63,0,204,164,3.49,4.3,1.1,27
Kareem Hunt,11841,HB,CLV,4,46,8,2,22.0,44,0,200,1,6,8,149,79.6,7,13,8,0,29,83.0,66.8,84.4,,73.6,63.0,66.3,56.1,24,0,73,11,67,56,0,0,12,57,1,200,149,3.24,4.3,1.09,15
James Conner,11860,HB,ARZ,4,45,9,0,0.0,0,0,149,1,3,9,102,46.9,1,14,1,1,18,47.9,66.3,12.4,,76.9,60.0,67.1,69.9,10,1,95,13,77,61,0,0,16,58,1,149,102,2.27,3.3,1.23,25
Austin Ekeler,12164,HB,LAC,4,45,8,1,14.3,20,0,140,1,11,8,104,61.0,4,7,27,1,12,62.6,68.5,82.4,,16.0,79.9,66.7,60.0,20,0,188,27,94,50,0,0,29,72,2,140,104,2.31,3.1,2.0,29
Rhamondre Stevenson,98689,HB,NE,4,43,11,3,24.2,51,0,211,0,1,11,177,91.5,6,14,19,0,20,82.7,81.7,80.5,,53.3,70.3,84.0,59.9,18,0,57,11,66,49,0,0,14,54,1,211,177,4.12,4.9,0.86,20
Clyde Edwards-Helaire,57279,HB,KC,4,42,6,3,43.3,90,0,208,1,5,6,159,75.7,3,8,16,0,15,82.8,72.2,82.2,,82.9,80.0,66.7,60.0,52,0,117,13,66,46,0,0,14,55,2,208,159,3.79,5.0,1.77,26
Jeff Wilson Jr.,29413,HB,SF,3,39,6,3,39.2,71,0,181,0,2,6,134,59.8,4,7,28,1,14,41.6,59.1,80.9,,50.8,46.8,66.2,42.0,37,0,58,7,46,62,0,0,7,46,0,181,134,3.44,4.6,1.26,25
Raheem Mostert,9783,HB,MIA,4,39,7,1,17.0,25,0,147,1,4,7,99,62.1,3,7,17,0,12,83.2,61.2,81.9,,69.6,54.8,63.1,58.9,25,0,56,6,74,50,0,0,8,45,0,147,99,2.54,3.8,0.76,25
Breece Hall,97636,HB,NYJ,4,38,5,4,39.9,71,0,178,5,4,5,128,57.2,6,9,22,1,14,43.9,59.8,84.2,,75.9,43.0,67.8,60.0,23,0,113,15,85,42,0,0,26,53,1,178,128,3.37,4.7,1.33,22
Michael Carter,57337,HB,NYJ,4,37,11,2,29.9,41,0,137,1,4,11,100,78.0,2,4,22,1,13,82.4,65.1,16.0,,38.8,64.7,67.8,72.0,22,1,88,15,84,52,0,0,17,52,0,137,100,2.7,3.7,1.05,23
Lamar Jackson,46416,QB,BLT,4,25,9,4,48.7,154,0,219,0,0,4,49,31.4,10,15,3,1,17,70.3,76.2,46.5,68.6,,,84.2,60.1,79,1,0,0,0,97,97,12,0,25,2,316,114,3.08,8.5,,0
Melvin Gordon III,9448,HB,DEN,4,37,8,0,0.0,0,0,139,2,0,8,99,47.6,1,6,10,4,14,17.2,44.1,0.0,,82.7,29.4,54.8,60.0,13,2,49,8,40,40,0,0,10,45,1,139,99,2.68,3.8,1.23,22
Tony Pollard,27126,HB,DAL,4,36,6,2,38.9,63,0,162,0,0,6,118,45.7,5,8,9,0,17,81.6,73.2,82.2,,69.6,60.6,75.9,58.6,46,0,71,7,49,49,0,0,11,43,1,162,118,3.28,4.5,1.45,16
David Montgomery,45719,HB,CHI,3,35,10,1,17.6,28,0,159,0,3,10,124,115.1,6,6,6,0,12,81.1,60.5,79.2,,83.7,66.0,57.8,56.8,28,0,38,5,29,44,0,0,6,40,0,159,124,3.54,4.5,1.31,22
