player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Tyreek Hill,10799,WR,MIA,4,43,0,17,0,-2.8,2,80.0,,0,0,0.0,0,2,0,90.9,92.8,0,18,0.0,0,12,4,83.3,10,100.8,5,11.6,0,41,52,13.0,10.3,4.1,9.2,1,80.0,100.0,1,1,7.7,1,7,1,86.3,89.4,0,26,0.0,0,48,12,95.8,46,105.0,15,34.9,0,138,64,5.3,11.5,3.0
Ja'Marr Chase,84270,WR,CIN,4,39,0,7,0,0.0,0,50.0,,0,0,50.0,1,0,0,24.1,29.4,0,5,0.0,0,11,1,90.9,10,56.3,2,5.1,0,5,4,4.0,5.0,0.5,4.1,0,81.8,,0,0,10.0,1,7,0,68.0,75.4,0,17,0.0,0,40,9,95.0,38,95.8,11,28.2,0,77,40,4.4,8.6,2.03
Cooper Kupp,11824,WR,LA,3,35,0,26,0,-2.0,0,100.0,,0,0,0.0,0,1,0,84.5,49.9,0,3,0.0,0,13,2,100.0,13,79.2,2,5.7,0,2,6,3.0,1.0,0.15,9.7,3,85.0,66.7,2,3,5.6,1,9,1,78.7,90.8,0,23,0.0,0,61,17,98.4,60,101.3,20,57.1,0,166,68,4.0,9.8,2.77
Jaylen Waddle,84088,WR,MIA,4,34,0,17,0,-2.5,0,100.0,,0,0,0.0,0,2,0,84.5,91.1,0,6,0.0,0,9,2,77.8,7,131.3,2,5.9,1,12,17,8.5,6.0,1.71,9.8,0,60.0,0.0,0,2,25.0,2,4,0,40.4,90.0,0,59,0.0,0,29,6,86.2,25,143.8,10,29.4,2,127,73,12.2,21.2,5.08
Marquise Brown,61568,WR,ARZ,3,33,0,1,0,-1.3,0,100.0,,0,0,0.0,0,2,0,90.2,70.6,0,20,0.0,0,23,4,100.0,23,118.8,4,12.1,0,55,60,15.0,13.8,2.39,10.7,0,70.0,50.0,1,2,0.0,0,4,0,90.4,73.8,1,24,0.0,0,38,7,89.5,34,77.1,10,30.3,1,55,4,0.6,7.9,1.62
Stefon Diggs,9579,WR,BUF,3,33,0,4,0,-0.8,1,100.0,,0,0,0.0,0,2,0,90.2,94.4,0,10,0.0,0,8,4,100.0,8,91.7,4,12.1,0,24,27,6.8,6.0,3.0,5.1,0,100.0,,0,0,0.0,0,4,0,90.1,89.8,0,28,0.0,0,38,7,100.0,38,107.7,7,21.2,0,69,33,4.7,9.9,1.82
Amon-Ra St. Brown,84470,WR,DET,3,33,0,11,0,-2.7,0,100.0,,0,0,0.0,0,0,0,88.7,83.0,0,9,0.0,0,7,3,100.0,7,80.6,3,9.1,0,10,18,6.0,3.3,1.43,4.8,1,68.4,0.0,0,2,13.3,2,4,0,58.3,72.4,0,29,1.4,1,70,13,94.3,66,82.6,19,57.6,0,107,53,4.1,8.2,1.62
Diontae Johnson,33441,WR,PIT,3,32,0,25,0,-3.0,0,100.0,,0,0,0.0,0,0,0,25.7,33.5,0,2,0.0,0,11,2,81.8,9,79.2,2,6.3,0,3,9,4.5,1.5,0.33,-4.0,0,100.0,,0,0,0.0,0,0,0,62.3,76.4,0,1,0.0,0,6,1,100.0,6,79.2,1,3.1,0,1,5,5.0,1.0,0.17
CeeDee Lamb,61570,WR,DAL,3,32,0,9,0,-3.3,2,66.7,,0,0,0.0,0,0,0,84.5,54.2,0,5,0.0,0,8,2,100.0,8,70.1,3,9.4,0,6,13,6.5,3.0,0.75,9.4,0,62.5,50.0,2,4,9.1,1,8,0,29.7,65.2,0,26,0.0,0,63,10,93.7,59,88.8,16,50.0,0,133,42,4.2,13.3,2.25
Mark Andrews,47436,TE,BLT,3,32,0,3,0,-2.0,1,100.0,,0,0,0.0,0,1,0,78.7,86.0,0,5,0.0,0,6,1,100.0,6,127.1,1,3.1,1,5,7,7.0,5.0,0.83,13.2,1,60.9,66.7,2,3,12.5,2,10,0,62.7,86.7,0,25,0.0,0,61,14,95.1,58,96.8,23,71.9,1,163,43,3.1,11.6,2.81
Davante Adams,8688,WR,LV,3,30,0,23,0,0.0,0,100.0,,0,0,0.0,0,1,0,78.7,65.7,0,1,7.1,1,14,1,85.7,12,118.8,1,3.3,1,1,1,1.0,1.0,0.08,9.8,2,90.0,100.0,2,2,0.0,0,6,0,89.3,74.8,1,41,2.0,1,50,9,90.0,45,102.5,10,33.3,1,101,53,5.9,11.2,2.24
Garrett Wilson,97405,WR,NYJ,3,29,0,22,0,0.5,1,100.0,,0,0,0.0,0,0,0,84.5,85.3,0,9,0.0,0,5,2,100.0,5,95.8,2,6.9,0,14,13,6.5,7.0,2.8,10.2,2,80.0,50.0,1,2,0.0,0,4,0,60.3,75.4,0,23,0.0,0,61,8,96.7,59,106.3,10,34.5,0,95,23,2.9,11.9,1.61
Curtis Samuel,11795,WR,WAS,3,28,0,32,0,-2.7,1,100.0,,0,0,0.0,0,1,0,91.1,72.9,0,11,0.0,0,16,6,93.8,15,88.9,6,21.4,0,32,48,8.0,5.3,2.13,5.1,3,72.7,0.0,0,1,0.0,0,4,0,90.4,73.4,0,27,0.0,0,97,8,89.7,87,121.4,11,39.3,1,75,26,3.3,9.4,0.86
Chris Olave,84355,WR,NO,3,28,0,20,0,-2.0,0,100.0,,0,0,0.0,0,0,0,78.7,55.3,0,4,0.0,0,5,1,80.0,4,83.3,1,3.6,0,4,6,6.0,4.0,1.0,37.5,0,25.0,0.0,0,2,0.0,0,1,0,88.3,76.8,2,11,0.0,0,24,1,91.7,22,0.0,4,14.3,0,11,0,0.0,11.0,0.5
Courtland Sutton,48164,WR,DEN,3,28,0,10,0,,0,,,0,0,,0,0,0,,47.9,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,17.0,0,66.7,0.0,0,1,0.0,0,2,0,74.9,81.3,1,18,0.0,0,16,2,100.0,16,56.9,3,10.7,0,28,-1,-0.5,14.0,1.75
A.J. Brown,48327,WR,PHI,3,28,0,24,0,-1.0,1,100.0,,0,0,0.0,0,0,0,90.6,78.6,0,10,0.0,0,16,4,87.5,14,86.5,4,14.3,0,19,23,5.8,4.8,1.36,3.5,1,50.0,0.0,0,1,0.0,0,0,0,90.1,91.7,0,10,0.0,0,30,1,96.7,29,64.6,2,7.1,0,10,11,11.0,10.0,0.34
Tee Higgins,61211,WR,CIN,4,27,0,7,0,,0,,,0,0,,0,0,0,,46.4,0,0,0.0,0,9,0,88.9,8,0.0,0,0.0,0,0,0,,,0.0,13.4,0,60.0,,0,0,0.0,0,2,0,86.5,81.7,0,14,0.0,0,24,3,95.8,23,77.9,5,18.5,0,31,9,3.0,10.3,1.35
Justin Jefferson,61398,WR,MIN,3,27,0,18,0,,0,,,0,0,,0,0,0,,44.9,0,0,0.0,0,13,0,100.0,13,0.0,0,0.0,0,0,0,,,0.0,7.5,3,91.7,,0,0,0.0,0,7,0,66.6,66.3,0,64,0.0,0,54,11,96.3,52,146.2,12,44.4,1,149,68,6.2,13.5,2.87
Amari Cooper,9437,WR,CLV,3,27,0,8,0,-2.0,0,100.0,,0,0,0.0,0,0,0,84.5,52.7,0,2,0.0,0,11,2,100.0,11,79.2,2,7.4,0,2,6,3.0,1.0,0.18,9.7,0,85.7,0.0,0,1,0.0,0,5,0,68.1,71.5,0,28,0.0,0,20,6,90.0,18,158.3,7,25.9,1,88,30,5.0,14.7,4.89
Brandin Cooks,8655,WR,HST,3,27,0,13,0,-3.0,0,100.0,,0,0,0.0,0,0,0,84.5,52.2,0,2,0.0,0,10,2,100.0,10,79.2,2,7.4,0,3,9,4.5,1.5,0.3,13.7,0,83.3,100.0,1,1,0.0,0,3,0,28.4,54.1,0,42,0.0,0,23,5,100.0,23,118.8,6,22.2,0,93,35,7.0,18.6,4.04
D.K. Metcalf,47864,WR,SEA,3,25,0,29,0,-2.5,1,100.0,,0,0,0.0,0,0,1,84.5,23.5,0,1,0.0,0,7,2,85.7,6,79.2,2,8.0,0,-7,-2,-1.0,-3.5,-1.17,11.7,0,33.3,,0,0,0.0,0,0,0,86.1,67.1,0,6,0.0,0,17,1,100.0,17,42.4,3,12.0,0,6,1,1.0,6.0,0.35
