player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Tyreek Hill,10799,WR,MIA,9,99,0,17,0,-2.0,3,84.6,,0,0,8.3,1,2,0,75.2,90.6,0,18,0.0,0,26,11,84.6,22,85.9,13,13.1,0,60,83,7.5,5.5,2.73,11.1,3,83.8,100.0,3,3,3.1,1,19,1,89.7,94.3,0,39,0.0,0,119,31,95.0,113,114.3,37,37.4,0,423,168,5.4,13.6,3.74
Cooper Kupp,11824,WR,LA,8,90,0,26,0,-1.9,5,93.8,,0,0,0.0,0,7,1,92.5,90.1,1,22,4.0,2,50,15,96.0,48,64.1,16,17.8,0,90,121,8.1,6.0,1.88,7.5,8,84.4,42.9,3,7,2.6,1,20,2,91.1,91.0,1,75,0.6,1,178,38,96.6,172,123.8,45,50.0,3,477,284,7.5,12.6,2.77
Davante Adams,8688,WR,LV,8,80,0,23,0,0.0,1,100.0,,0,0,0.0,0,1,0,88.7,59.3,0,16,4.0,1,25,3,88.0,22,134.0,3,3.8,1,20,20,6.7,6.7,0.91,7.9,6,89.5,100.0,2,2,0.0,0,11,0,79.7,82.4,1,41,1.1,1,91,17,91.2,83,106.4,19,23.8,1,201,107,6.3,11.8,2.42
Stefon Diggs,9579,WR,BUF,8,80,0,4,0,-2.0,3,100.0,,0,0,0.0,0,3,0,91.6,91.4,0,13,0.0,0,19,9,100.0,19,88.9,9,11.3,0,48,66,7.3,5.3,2.53,8.1,1,80.8,50.0,1,2,8.7,2,12,0,79.5,90.7,0,53,0.0,0,119,21,98.3,117,112.7,26,32.5,0,287,145,6.9,13.7,2.45
Justin Jefferson,61398,WR,MIN,8,78,0,18,0,-1.5,0,100.0,,0,0,0.0,0,1,0,90.9,81.2,0,14,0.0,0,34,6,97.1,33,93.1,6,7.7,0,38,47,7.8,6.3,1.15,10.3,3,88.5,66.7,2,3,4.2,1,13,0,70.1,87.1,0,64,0.0,0,113,23,93.8,106,131.6,26,33.3,1,385,184,8.0,16.7,3.63
Travis Kelce,7844,TE,KC,8,76,0,16,0,-2.0,3,85.7,,0,0,14.3,1,2,0,33.2,63.8,0,10,3.1,1,32,6,93.8,30,79.8,7,9.2,0,22,36,6.0,3.7,0.73,7.8,10,80.6,42.9,3,7,6.5,2,22,0,62.1,90.5,0,29,0.6,1,154,29,92.9,143,124.5,36,47.4,2,340,126,4.3,11.7,2.38
Michael Pittman Jr.,29049,WR,IND,8,74,0,14,0,-2.8,0,100.0,100.0,1,1,0.0,0,0,0,90.6,48.7,0,10,0.0,0,27,4,92.6,25,79.2,4,5.4,0,9,20,5.0,2.3,0.36,7.2,2,73.7,60.0,3,5,6.7,1,10,0,80.6,67.4,1,26,0.0,0,93,14,91.4,85,79.1,19,25.7,0,171,83,5.9,12.2,2.01
Diontae Johnson,33441,WR,PIT,8,74,0,25,0,-3.5,0,100.0,,0,0,0.0,0,2,0,32.0,59.5,0,14,0.0,0,25,6,88.0,22,88.2,6,8.1,0,31,52,8.7,5.2,1.41,3.9,0,58.3,0.0,0,1,12.5,1,1,0,58.7,61.5,2,6,0.0,0,37,7,94.6,35,23.6,12,16.2,0,32,30,4.3,4.6,0.91
D.J. Moore,48267,WR,CAR,10,71,0,5,0,-1.7,2,100.0,,0,0,0.0,0,1,0,91.1,57.7,0,6,0.0,0,65,7,96.9,63,79.2,7,9.9,0,13,25,3.6,1.9,0.21,7.8,1,52.9,0.0,0,1,0.0,0,5,0,74.8,67.9,1,29,0.0,0,90,9,95.6,86,41.8,17,23.9,0,82,44,4.9,9.1,0.95
D.K. Metcalf,47864,WR,SEA,9,68,0,29,0,-1.0,1,66.7,,0,0,33.3,1,0,1,25.8,24.5,0,1,0.0,0,18,2,88.9,16,70.1,3,4.4,0,-7,-2,-1.0,-3.5,-0.44,14.1,0,46.7,50.0,2,4,12.5,1,3,1,72.8,77.2,0,23,0.0,0,52,7,100.0,52,83.8,15,22.1,1,74,10,1.4,10.6,1.42
