player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Carson Wentz,10636,QB,WAS,4,59,16.9,0,32,2,2,16.9,16.9,88.1,5.1,0,5,10,10,10,59,52,3,13,12,5,3,22.0,20.3,1,8.5,5.1
Daniel Jones,39395,QB,NYG,4,53,11.3,0,21,3,5,13.2,11.3,69.8,9.4,0,10,6,7,6,53,37,5,11,10,10,3,20.8,18.9,2,18.9,5.7
Joe Flacco,4332,QB,NYJ,3,53,9.4,0,22,2,1,24.5,34.0,94.3,0.0,0,4,5,13,18,53,50,0,11,9,4,4,20.8,17.0,1,7.5,7.5
Joe Burrow,28022,QB,CIN,4,52,17.3,0,7,0,1,23.1,28.8,94.2,1.9,0,3,9,12,15,52,49,1,7,9,3,2,13.5,17.3,2,5.8,3.8
Justin Herbert,28237,QB,LAC,4,48,4.2,0,27,0,5,31.3,22.9,77.1,10.4,0,7,2,15,11,48,37,5,10,7,7,2,20.8,14.6,2,14.6,4.2
Josh Allen,46601,QB,BUF,4,47,19.1,0,4,0,1,17.0,14.9,85.1,10.6,0,3,9,8,7,47,40,5,11,12,3,0,23.4,25.5,2,6.4,0.0
Patrick Mahomes,11765,QB,KC,4,46,13.0,0,16,1,5,6.5,28.3,78.3,8.7,0,7,6,3,13,46,36,4,9,7,7,2,19.6,15.2,1,15.2,4.3
Kirk Cousins,7102,QB,MIN,4,45,17.8,0,18,1,1,24.4,15.6,86.7,6.7,0,3,8,11,7,45,39,3,14,8,3,2,31.1,17.8,1,6.7,4.4
Jared Goff,10635,QB,DET,4,45,2.2,0,11,1,0,24.4,24.4,88.9,4.4,0,2,1,11,11,45,40,2,15,7,2,3,33.3,15.6,1,4.4,6.7
Davis Mills,52269,QB,HST,4,43,16.3,0,13,2,1,34.9,9.3,86.0,2.3,0,5,7,15,4,43,37,1,3,7,5,3,7.0,16.3,2,11.6,7.0
