player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Justin Jefferson,61398,WR,MIN,14,151,0,18,0,-1.1,0,100.0,,0,0,0.0,0,2,0,91.4,73.6,0,14,0.0,0,57,8,93.0,53,94.8,8,5.3,0,54,63,7.9,6.8,1.02,11.9,5,84.4,81.8,9,11,5.0,2,23,0,84.4,91.7,0,64,0.0,0,192,38,91.7,176,126.2,45,29.8,1,657,257,6.8,17.3,3.73
Tyreek Hill,10799,WR,MIA,14,149,0,17,0,-1.8,3,88.2,100.0,1,1,6.3,1,2,0,86.6,91.1,0,18,0.0,0,32,15,87.5,28,86.5,17,11.4,0,81,109,7.3,5.4,2.89,10.6,4,74.1,62.5,5,8,4.4,2,25,1,90.4,93.6,0,39,0.0,0,199,43,96.0,191,108.3,58,38.9,1,538,220,5.1,12.5,2.82
Davante Adams,8688,WR,LV,14,141,0,23,0,-1.4,5,100.0,,0,0,0.0,0,2,0,90.9,74.7,0,16,2.4,1,42,5,83.3,35,136.3,5,3.5,1,36,43,8.6,7.2,1.03,8.9,8,83.8,66.7,2,3,3.1,1,20,0,86.8,91.7,2,45,0.6,1,161,31,92.5,149,117.8,37,26.2,3,414,175,5.6,13.4,2.78
Stefon Diggs,9579,WR,BUF,14,137,0,4,0,-1.8,4,100.0,,0,0,0.0,0,4,0,92.3,80.3,0,13,0.0,0,35,13,97.1,34,82.4,13,9.5,0,49,73,5.6,3.8,1.44,8.7,3,74.4,66.7,4,6,5.9,2,16,0,47.7,90.0,0,53,0.0,0,186,32,96.8,180,104.5,43,31.4,0,417,192,6.0,13.0,2.32
Travis Kelce,7844,TE,KC,14,125,0,16,0,-2.2,5,91.7,,0,0,8.3,1,4,0,61.5,77.8,0,18,5.8,3,52,11,88.5,46,114.9,12,9.6,1,59,85,7.7,5.4,1.28,7.5,13,78.0,44.4,4,9,6.1,3,32,1,73.4,90.6,0,46,0.8,2,253,46,93.7,237,121.6,59,47.2,3,538,223,4.8,11.7,2.27
Diontae Johnson,33441,WR,PIT,14,120,0,25,0,-3.4,0,100.0,,0,0,0.0,0,2,0,45.7,55.2,0,14,0.0,0,38,8,92.1,35,85.4,8,6.7,0,36,63,7.9,4.5,1.03,5.0,4,73.9,50.0,1,2,10.5,2,8,0,65.8,72.8,2,14,0.0,0,73,17,94.5,69,50.6,23,19.2,0,128,59,3.5,7.5,1.86
CeeDee Lamb,61570,WR,DAL,14,118,0,9,0,-2.3,2,87.5,,0,0,0.0,0,0,0,91.1,51.2,0,13,0.0,0,30,7,96.7,29,83.9,8,6.8,0,33,48,6.9,4.7,1.14,11.0,3,72.6,57.1,8,14,2.2,1,32,0,82.7,84.2,3,39,0.0,0,278,45,95.3,265,91.2,62,52.5,1,646,207,4.6,14.4,2.44
D.K. Metcalf,47864,WR,SEA,14,118,0,29,0,-1.0,1,75.0,,0,0,25.0,1,0,1,27.1,26.5,0,4,0.0,0,29,3,93.1,27,77.1,4,3.4,0,-3,3,1.0,-1.0,-0.11,13.2,0,57.9,60.0,3,5,8.3,1,6,1,79.2,81.3,0,23,0.0,0,87,11,97.7,85,110.2,19,16.1,2,113,19,1.7,10.3,1.33
Michael Pittman Jr.,29049,WR,IND,13,118,0,14,0,-2.1,0,100.0,100.0,1,1,0.0,0,0,0,91.6,47.8,0,10,0.0,0,47,8,91.5,43,79.2,8,6.8,0,14,31,3.9,1.8,0.33,6.6,3,75.8,62.5,5,8,3.8,1,17,0,90.4,72.9,2,26,0.0,0,143,25,93.0,133,74.8,33,28.0,0,276,123,4.9,11.0,2.08
Amon-Ra St. Brown,84470,WR,DET,13,114,0,11,0,-2.9,0,100.0,,0,0,0.0,0,6,0,92.1,92.2,0,13,0.0,0,44,11,95.5,42,98.5,11,9.6,0,84,116,10.5,7.6,2.0,5.1,4,80.3,28.6,2,7,5.8,3,28,0,90.4,91.8,0,29,0.4,1,239,49,93.7,224,104.0,61,53.5,1,466,230,4.7,9.5,2.08
A.J. Brown,48327,WR,PHI,14,112,0,24,0,-1.6,1,85.7,,0,0,14.3,1,0,1,51.2,49.3,0,10,0.0,0,66,6,93.9,62,79.2,7,6.3,0,20,28,4.7,3.3,0.32,10.4,2,69.2,50.0,1,2,10.0,1,6,1,77.6,90.7,0,39,0.0,0,124,9,96.8,120,147.4,13,11.6,4,150,52,5.8,16.7,1.25
Austin Ekeler,12164,HB,LAC,14,111,0,27,0,-5.1,10,90.3,,0,0,6.7,2,8,1,81.6,95.2,0,21,6.0,3,50,28,90.0,45,103.5,31,27.9,1,194,338,12.1,6.9,4.31,1.6,1,50.0,,0,0,28.6,2,0,0,78.2,73.2,0,7,0.0,0,43,5,97.7,42,56.3,10,9.0,0,19,17,3.4,3.8,0.45
Amari Cooper,9437,WR,CLV,14,111,0,8,0,-2.3,2,100.0,,0,0,0.0,0,1,0,90.2,52.2,0,9,0.0,0,41,4,97.6,40,79.2,4,3.6,0,11,20,5.0,2.8,0.28,12.3,2,78.6,57.1,4,7,0.0,0,19,0,65.6,80.8,0,45,0.0,0,126,22,95.2,120,152.2,28,25.2,3,335,103,4.7,15.2,2.79
Chris Godwin,11839,WR,TB,12,111,0,30,0,-1.8,2,91.7,,0,0,4.3,1,4,0,90.5,73.7,0,24,0.0,0,63,22,98.4,62,104.7,24,21.6,1,139,179,8.1,6.3,2.24,7.1,5,68.4,62.5,10,16,5.5,3,26,0,74.8,74.6,1,44,0.3,1,379,52,93.7,355,83.9,76,68.5,0,553,235,4.5,10.6,1.56
Christian Kirk,47546,WR,JAX,14,108,0,15,0,-2.6,3,85.7,,0,0,14.3,1,3,0,32.0,52.0,0,11,1.2,1,82,6,92.7,76,89.9,7,6.5,0,39,55,9.2,6.5,0.51,10.3,3,64.6,20.0,2,10,10.2,6,35,1,68.4,82.0,4,49,0.0,0,423,53,96.2,407,88.7,82,75.9,4,725,261,4.9,13.7,1.78
