player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Brett Rypien,46487,QB,DEN,1,59.1,44,46,10.9,2.74,0,0,0.0,52.2,24,0,16,7.7,48,2,10,10,32.6,46.0,44.5,64.3,0,1,50,0,6.3,56.9,2.1,1,1,0,2,0,3,6.0,225,4.9
Trey Lance,91399,QB,SF,2,64.3,28,31,7.8,3.15,1,2,6.3,48.4,15,0,15,16.7,38,3,8,28,34.8,53.1,52.4,56.7,1,1,39,0,13.3,55.0,5.3,2,4,0,1,0,1,2.6,194,6.3
Malik Willis,60341,QB,TEN,3,52.0,25,30,9.6,3.61,0,3,9.4,40.0,12,0,21,7.7,42,1,7,31,37.2,47.7,40.5,62.6,0,1,44,0,28.6,41.1,14.3,6,6,0,5,0,1,2.3,141,4.7
Jarrett Stidham,13725,QB,LV,1,61.5,13,13,8.1,2.33,0,0,0.0,61.5,8,0,4,0.0,14,0,4,23,73.2,62.4,62.0,,0,0,14,0,25.0,76.4,7.1,1,0,0,0,0,0,0.0,72,5.5
Jordan Love,40306,QB,GB,2,100.0,8,9,5.3,1.81,0,0,0.0,66.7,6,0,2,25.0,9,2,4,12,70.9,62.1,61.8,,0,0,9,0,0.0,91.4,0.0,0,0,1,0,0,0,0.0,73,8.1
Taysom Hill,12112,TE,NO,5,87.5,8,9,11.5,2.29,0,1,11.1,77.8,7,0,3,0.0,9,0,6,20,45.5,81.8,82.2,90.6,0,0,9,0,0.0,150.5,0.0,0,0,0,1,1,0,0.0,101,11.2
Brock Purdy,77672,QB,SF,1,55.6,9,9,10.1,3.25,0,0,0.0,44.4,4,0,3,20.0,10,1,4,28,72.1,50.5,52.0,57.9,0,1,10,0,0.0,30.1,0.0,0,1,0,0,0,1,10.0,66,7.3
Case Keenum,7323,QB,BUF,2,28.6,7,7,8.3,1.87,0,0,0.0,28.6,2,0,0,0.0,7,0,0,4,73.2,28.5,27.3,58.1,0,0,7,0,,39.6,0.0,0,0,0,0,0,1,14.3,8,1.1
Brian Hoyer,5277,QB,NE,1,83.3,6,6,4.2,1.97,0,0,0.0,83.3,5,0,3,0.0,7,0,2,19,69.6,63.7,62.9,,0,0,7,0,33.3,92.4,14.3,1,0,0,0,0,0,0.0,37,6.2
Jacob Eason,46444,QB,CAR,1,80.0,5,5,5.0,2.22,0,0,0.0,60.0,3,0,1,25.0,5,1,2,5,68.0,29.2,29.9,,0,1,5,0,0.0,61.7,0.0,0,0,0,0,0,1,20.0,59,11.8
Trace McSorley,32819,QB,ARZ,1,66.7,3,4,4.3,3.56,0,0,0.0,50.0,2,0,3,0.0,7,0,2,1,70.6,60.8,61.0,59.9,1,0,7,0,33.3,56.3,14.3,1,2,0,0,0,0,0.0,12,3.0
Tyrod Taylor,6332,QB,NYG,1,66.7,3,3,21.0,3.3,0,0,0.0,33.3,1,0,2,50.0,5,1,3,21,16.2,47.3,54.1,50.4,0,1,5,0,0.0,5.6,0.0,0,2,0,0,0,2,40.0,11,3.7
Brandon Allen,10835,QB,CIN,1,100.0,3,3,3.7,2.6,0,0,0.0,100.0,3,0,1,0.0,4,0,1,7,70.5,74.9,70.1,65.7,0,0,4,0,100.0,97.2,25.0,1,0,0,0,0,0,0.0,22,7.3
Chad Henne,4371,QB,KC,1,100.0,1,2,0.0,1.8,1,0,0.0,0.0,0,0,0,100.0,2,1,0,16,69.1,67.0,58.7,60.5,0,0,2,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Gardner Minshew,41401,QB,PHI,1,50.0,2,2,6.0,2.2,0,0,0.0,50.0,1,0,1,0.0,2,0,1,24,66.1,50.8,49.7,60.0,0,0,2,0,0.0,91.7,0.0,0,0,0,0,0,0,0.0,23,11.5
Rex Burkhead,7971,HB,HST,1,,0,1,,3.1,0,0,0.0,0.0,0,0,1,,1,0,0,13,81.1,60.4,60.0,59.5,0,0,1,0,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Nick Mullens,12282,QB,MIN,1,100.0,1,1,-6.0,2.6,0,0,0.0,100.0,1,0,0,0.0,1,0,0,18,60.4,60.3,60.1,,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,-3,-3.0
Mack Hollins,11873,WR,LV,1,100.0,1,1,-6.0,3.4,0,0,0.0,100.0,1,0,0,0.0,1,0,0,23,76.3,65.6,60.0,,0,0,1,4,,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0
Justin Jefferson,61398,WR,MIN,1,100.0,1,1,-5.0,3.3,0,0,0.0,100.0,1,0,0,0.0,1,0,1,18,80.8,82.7,60.3,59.7,0,0,1,2,,118.8,0.0,0,0,0,0,0,0,0.0,23,23.0
Ryan Wright,77591,P,MIN,1,100.0,1,1,13.0,1.9,0,0,0.0,100.0,1,0,0,0.0,1,0,1,18,60.4,73.1,68.8,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,13,13.0
Jack Fox,34735,P,DET,1,100.0,1,1,6.0,2.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,11,60.4,70.6,67.2,,0,0,1,0,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0
Cooper Kupp,11824,WR,LA,1,0.0,1,1,25.0,3.3,0,0,0.0,0.0,0,0,1,,1,0,0,26,52.6,88.3,57.4,58.1,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Tommy Townsend,33007,P,KC,1,0.0,1,1,1.0,3.4,0,0,0.0,0.0,0,0,0,,1,0,0,16,60.4,50.1,56.7,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Tyler Boyd,10689,WR,CIN,2,100.0,1,1,21.0,3.45,0,0,0.0,100.0,1,0,1,0.0,2,0,1,7,78.2,75.2,71.4,,0,0,2,0,100.0,118.8,50.0,1,0,0,0,0,0,0.0,23,23.0
